conducta	conducta_texto	ola	comparado_con	veredicto	alcance_del_veredicto	reactivo	texto_literal	opciones_y_codigos	filtro_y_flujo	unidad	poblacion_base	fuente	secciones_fd_recorridas	componentes_no_estimables	texto_buscado	limite_fd	nota
K1	Tenencia de crédito formal (cualquiera)	2021	2021 (ancla)	MISMO-INSTRUMENTO	Fila ancla: K1 = al menos un 6.2.k = 1 (k=1..9). Los veredictos de las otras olas se leen contra esta fila.	P6_2_1..P6_2_9 (6.2); complemento P6_14 (6.14)	6.2 ¿Usted tiene... [batería de 9 productos] · 6.14 ¿Alguna vez tuvo un préstamo, crédito o tarjeta de crédito en un banco, tienda o institución financiera?	6.2.1 tarjeta de crédito departamental o de tienda de autoservicio · 6.2.2 tarjeta de crédito bancaria · 6.2.3 crédito de nómina · 6.2.4 crédito personal · 6.2.5 crédito automotriz · 6.2.6 crédito de vivienda como INFONAVIT, FOVISSSTE, banco u otra institución · 6.2.7 crédito grupal, comunal o solidario (como el de Compartamos) · 6.2.8 crédito contratado por Internet o aplicación como Prestadero, Doopla o Playbusiness · 6.2.9 Otro; cada uno 1 Sí / 2 No · 6.14: 1 Sí (PASE A 6.16) / 2 No	6.2 se pregunta a toda persona elegida, sin filtro previo, tras el cintillo «Ahora le preguntaré sobre créditos de bancos, instituciones que prestan o tiendas departamentales»; «SI TODAS TIENEN CÓDIGO 2, PASE A 6.14». Con algún código 1 pregunta 6.3 (cuántos) y 6.4 (atraso) por producto.	P	Persona elegida de 18 años y más (cuestionario 2021 pdf-pág 5: «DE 18 AÑOS Y MÁS»; FD 2021 TModulo fila 1502: EDAD 18-96); residente habitual en vivienda particular	enif_2021_cuestionario.pdf sha256/16=2fe495a58f2eae73 pdf-pág 16 (6.2) y 18 (6.14); enif_2021_fd_pdf.zip/enif_2021_estructura_del_archivo.xlsx sha256/16(zip)=6f4e3aab705ddb69 TModulo filas 624-732, 851	Cuestionario 2021 pdf-págs 15-19 (SECCIÓN 6, 6.1-6.18) + pág 5 (universo) + pág 11 (5.4); FD 2021: TModulo filas 611-899 (P6_1_1..P6_18_9, 96 campos); modelo ER 2021 (TMODULO)				La batería es directa (una etapa); no hay pregunta única «¿tiene algún crédito?». El complemento 6.14 separa nunca-usuarios de ex-usuarios y decide quién recibe 6.15 (K4) o 6.16.
K1	Tenencia de crédito formal (cualquiera)	2024	2021	CAMBIO-MENOR	K1 completa (cualquier producto formal).	P6_2_1..P6_2_9 (6.2); complemento P6_13 (6.13)	6.2 ¿Usted tiene... [batería de 9 productos] · 6.13 ¿Alguna vez tuvo un préstamo, crédito o tarjeta de crédito en un banco, tienda o institución financiera?	Idénticas a 2021 salvo: 6.2.2 «tarjeta de crédito bancaria u otra institución financiera» (2021: «tarjeta de crédito bancaria») · 6.2.6 «Infonavit, Fovissste» (mayúsculas) · 6.2.8 «... Prestadero, Doopla o YoTePresto» (2021: Playbusiness); 1 Sí / 2 No; 6.13: 1 Sí (PASE A 6.15) / 2 No	Igual que 2021: batería directa a toda persona elegida; «SI TODAS TIENEN CÓDIGO 2, PASE A 6.13». Se elimina la pregunta «¿cuántos tiene?» (6.3 de 2021): con código 1 se pregunta 6.3 (atraso) y 6.4.	P	Persona elegida de 18 años y más (cuestionario 2024 pdf-pág 4: «PARA PERSONAS DE 18 AÑOS Y MÁS»; FD 2024 TSDEM fila 39); residente habitual en vivienda particular	enif_2024_cuestionario.pdf sha256/16=32e37cc13da38691 pdf-pág 17 (6.2) y 19 (6.13); enif_2024_fd.xlsx sha256/16=17e2ad86ce9e4fd5 TMODULO filas 690-772, 857	Cuestionario 2024 pdf-págs 16-20 (SECCIÓN 6, 6.1-6.17) + pág 4 (universo) + pág 12 (5.4); FD 2024: TMODULO filas 665-903 (P6_1_1..P6_17_9, 84 campos); modelo lógico 2024 (TMODULO)				Por qué no entra en el estimando de K1: la ampliación de 6.2.2 («u otra institución financiera») mueve respuestas entre casillas de la misma batería (de 6.2.9 Otro / 6.2.8 a 6.2.2), pero «al menos un producto formal» es invariante a esa reasignación. El cambio de ejemplo en 6.2.8 es de marca, no de categoría. Colisión de nemónico a declarar al sucesor: P6_3_k es «cuántos tiene» en 2021 y «se atrasó» en 2024.
K1	Tenencia de crédito formal (cualquiera)	2018	2021	CAMBIO-MENOR	K1 completa; exige recorte de 2021/2024 a 18-70 y la regla de recodificación blanco→No declarada en filtro_y_flujo.	P6_3 (6.3) y P6_4 (6.4) como filtro; P6_8_1..P6_8_8 (6.8) como batería; complemento P6_5 (6.5)	6.3 ¿Usted tiene algún crédito bancario, tarjeta de crédito bancaria, departamental, de tienda de autoservicio o con alguna otra institución financiera? · 6.4 ¿Usted tiene un crédito FONACOT o algún crédito de vivienda con INFONAVIT, FOVISSSTE u otra institución financiera? · 6.5 ¿Alguna vez tuvo un préstamo, crédito o tarjeta de crédito en un banco, tienda o institución financiera? · 6.8 ¿Usted tiene...	6.3/6.4/6.5: 1 Sí / 2 No. 6.8: 1 tarjeta de crédito departamental o de tienda de autoservicio · 2 tarjeta de crédito bancaria · 3 crédito de nómina · 4 crédito personal · 5 crédito automotriz · 6 crédito de vivienda (INFONAVIT, FOVISSSTE, banco u otra institución) · 7 crédito grupal, comunal o solidario (como el de Compartamos) · 8 Otro; 1 Sí / 2 No. No existe el ítem «crédito contratado por Internet o aplicación».	Dos etapas: 6.3 Sí → PASE A 6.8; 6.3 No → 6.4; 6.4 Sí → PASE A 6.8; 6.4 No → 6.5; 6.5 Sí → PASE A 6.7; 6.5 No → 6.6 (razón de nunca haber tenido). La batería 6.8 sólo la responde quien dijo Sí en 6.3 o en 6.4; para el resto queda en blanco. «SI TODAS TIENEN CÓDIGO 2, PASE A 6.18». K1 en 2018 = (P6_3 = 1 o P6_4 = 1); equivalente a «algún P6_8_k = 1» si no hay inconsistencias filtro-batería, lo cual el sucesor debe medir, no suponer.	P	Persona elegida de 18 a 70 años (cuestionario 2018 pdf-pág 3: «DE 18 A 70 AÑOS»; FD 2018 TModulo fila 605: EDAD 18..70); residente habitual en vivienda particular	enif_2018_cuestionario.pdf sha256/16=cda9a0283a39514e pdf-pág 12 (6.3-6.6) y 13 (6.8); enif_2018_fd.xlsx sha256/16=dd8d5c92a7a03150 TModulo filas 442-448, 463-526	Cuestionario 2018 pdf-págs 12-15 (SECCIÓN 6, 6.1-6.19) + pág 3 (universo) + pág 8 (5.4-5.6); FD 2018: TModulo filas 410-599 (P6_1_1..P6_19_9, 89 campos) + TModulo2 SECCIÓN 10 (filas 302-393)				Por qué no entra en el estimando de K1: (i) el filtro 6.3+6.4 enumera el mismo universo institucional que la batería (banco, tarjeta bancaria, departamental, autoservicio, otra institución financiera, FONACOT, vivienda), así que «Sí en el filtro» ≡ «algún producto formal»; (ii) el ítem Internet/aplicación de 2021 cae en 2018 dentro de «otra institución financiera» (6.3) u «Otro» (6.8.8) y sigue contando como formal; (iii) la base 18-70 se resuelve recortando 2021/2024, recorte que no toca el segmento de K1 (ancla de nivel, sin segmento). Firma D2: 2018 entra a K1 con este recorte declarado.
K1	Tenencia de crédito formal (cualquiera)	2015	2021	CAMBIO-MENOR	K1 completa; exige recorte de 2021/2024 a 18-70 y la regla de recodificación blanco→No de la batería 6.9 (gateada por 6.4) declarada en filtro_y_flujo. Mismo esquema de dos etapas que 2018, con el filtro fundido en una sola pregunta (6.4).	P6_4 (6.4) filtro; P6_9_1..P6_9_8 (6.9) batería; complemento P6_5 (6.5)	6.4 ¿Usted tiene algún crédito bancario, tarjeta de crédito bancaria, departamental, de tienda de autoservicio o con alguna otra institución financiera (Infonavit, Fovissste, Fonacot)? · 6.5 ¿Alguna vez tuvo un préstamo, crédito o tarjeta de crédito en dichas instituciones? · 6.9 ¿Usted tiene... (cintillo previo: «Ahora le preguntaré sobre créditos de bancos, instituciones que prestan o tiendas departamentales»)	6.4/6.5: 1 Sí / 2 No, CIRCULE UN SOLO CÓDIGO. 6.9 (REGISTRE EL CÓDIGO CORRESPONDIENTE PARA CADA OPCIÓN): 1 tarjeta de crédito departamental o de tienda de autoservicio · 2 tarjeta de crédito bancaria · 3 crédito de nómina · 4 crédito personal · 5 crédito automotriz · 6 crédito hipotecario · 7 crédito grupal, comunal o solidario (como el de Compartamos) · 8 Otro (ESPECIFIQUE); 1 Sí / 2 No. No existe el ítem «crédito contratado por Internet o aplicación».	Dos etapas: 6.4 Sí → PASE A 6.8 (comparación de productos) y de ahí 6.9 (batería); 6.4 No → 6.5; 6.5 Sí → PASE A 6.7 (razón de ex usuario) → PASE A 6.20; 6.5 No → 6.6 (razón de no tenencia) → PASE A 6.20. La batería 6.9 sólo la responde quien dijo Sí en 6.4; para el resto queda en blanco. «SI TODAS TIENEN CÓDIGO 2, PASE A 6.20». K1 en 2015 = (P6_4 = 1); equivalente a «algún P6_9_k = 1» si no hay inconsistencias filtro-batería, lo cual el sucesor debe medir, no suponer. Columnas verificadas por recorte de página (pdftotext -x/-W): 6.4 Sí→6.8 está en la columna izquierda y 6.5 Sí→6.7 en la derecha.	P	Persona elegida de 18 a 70 años (cuestionario 2015 pdf-pág 2: «PARA PERSONAS DE 18 A 70 AÑOS», «Resto de las personas de 18 a 70 años»; FD 2015 TModulo1 fila 634: EDAD [18-70]); residente habitual en vivienda particular	enif_2015_cuestionario.pdf sha256/16=10688412391ecd5e pdf-pág 10 (6.4, 6.5) y 11 (6.9); enif_2015_fd.xlsx sha256/16=8233cf53f5904966 TModulo1 filas 620-624 (6.4, 6.5), TModulo2 filas 75-228 (6.9)	Cuestionario 2015 pdf-págs 9-12 (SECCIÓN 6. CRÉDITO INFORMAL Y FORMAL, 6.1-6.21, reactivo por reactivo) + pág 2 (universo) + pág 9 (5.25.2-5.32b); búsqueda de términos sobre el cuestionario completo (20 páginas, 1 623 líneas de texto extraído con pdftotext -layout); FD 2015: TModulo1 filas 559-624 (6.1-6.5, 23 campos) + TModulo2 filas 9-332 (6.6-6.21, 101 campos) + TModulo1 5.26.1/5.26.2 + Índice; modelo de datos 2015 = imagen sin texto				Por qué no entra en el estimando de K1: (i) 6.4 enumera el mismo universo institucional que la batería (banco, tarjeta bancaria, departamental, autoservicio, otra institución financiera con Infonavit/Fovissste/Fonacot entre paréntesis), así que «Sí en 6.4» ≡ «algún producto formal»; (ii) el ítem Internet/aplicación de 2021 cae en 2015 dentro de «otra institución financiera» u «Otro» (6.9.8) y sigue contando como formal; (iii) «hipotecario» (6.9.6) frente a «vivienda como INFONAVIT, FOVISSSTE, banco u otra institución» (6.2.6 de 2021): el referente es el crédito de vivienda en ambos, y el paréntesis de 6.4 lo hace explícito; (iv) la base 18-70 se resuelve recortando 2021/2024, recorte que no toca el segmento de K1. Sucede a la fila v1.0, que anticipaba CAMBIO-MENOR por las mismas tres razones que 2018 más la fusión 6.3+6.4 → 6.4: confirmado por el cuestionario.
K1	Tenencia de crédito formal (cualquiera)	2012	2021	CAMBIO-MENOR	K1 completa; exige recorte de 2021/2024 a 18-70 y la regla blanco→No de la batería 6.6 (gateada por 6.4). Diferencias declaradas: la tenencia se pregunta en UNA pregunta directa (6.4) cuyo texto no enumera instituciones («las instituciones que prestan y las tiendas departamentales»), y no existe «alguna vez tuvo» (2012 no separa nunca usuarios de ex usuarios; no afecta a K1, sí a K4).	P6_4 (6.4) pregunta única; P6_6_1..P6_6_8 (6.6) batería	6.4 Ahora, considerando a las instituciones que prestan y a las tiendas departamentales, ¿usted tiene algún préstamo, crédito o tarjeta de crédito? · 6.6 ¿Tiene usted...	6.4: 1 Sí (PASE A 6.6) / 2 No, CIRCULE UN SOLO CÓDIGO. 6.6 (REGISTRE EL CÓDIGO CORRESPONDIENTE): 1 tarjeta de crédito bancaria · 2 tarjeta de crédito departamental o de tienda de autoservicio · 3 crédito de nómina · 4 crédito personal · 5 crédito automotriz · 6 crédito hipotecario · 7 crédito grupal, comunal (como el de Compartamos) · 8 Otro (ESPECIFIQUE); 1 Sí / 2 No. No existe el ítem «crédito contratado por Internet o aplicación».	6.4 Sí → PASE A 6.6 (batería; «CON CÓDIGO 1 PREGUNTE DE 6.7 A 6.11»; «SI TODAS TIENEN CÓDIGO 2, PASE A 6.17»); 6.4 No → 6.5 (razón de no tenencia, multirrespuesta) → PASE A 6.17. La batería 6.6 sólo la responde quien dijo Sí en 6.4; para el resto queda en blanco. K1 en 2012 = (P6_4 = 1); equivalente a «algún P6_6_k = 1» si no hay inconsistencias filtro-batería, lo cual el sucesor debe medir, no suponer.	P	Persona elegida de 18 a 70 años (cuestionario 2012 pdf-pág 3: «PARA PERSONAS DE 18 A 70 AÑOS», «IDENTIFIQUE A LAS PERSONAS DE 18 A 70 AÑOS»; FD 2012 NOTAS ACLARATORIAS fila 15); residente habitual en vivienda particular	enif_2012_cuestionario.pdf sha256/16=b7fc1f4a2363a609 pdf-pág 8 (6.4-6.6); fd_enif2012.xlsx sha256/16=f03d8e7c82f511e7 TMODULO1 filas 506-508 (6.4), 542-737 (6.6-6.11); modelo_enif2012.pdf sha256/16=77a9b05ed53f243d	Cuestionario 2012 pdf-págs 7-10 (SECCIÓN 6. CRÉDITO INFORMAL Y FORMAL, 6.1-6.20, reactivo por reactivo) + pág 3 (universo) + pág 7 (5.16-5.18); búsqueda de términos sobre el cuestionario completo (16 páginas, 1 061 líneas de texto extraído con pdftotext -layout); FD 2012: TMODULO1 filas 445-842 (SECCIÓN 6. CRÉDITO INFORMAL Y FORMAL, 6.1-6.20, 109 campos) + TMODULO1 filas 125-149 (SECCIÓN 4) + TMODULO2 filas 254-443 (SECCIÓN 10) + NOTAS ACLARATORIAS; modelo de datos 2012 (TMODULO1 P6_1_1..P6_20_9)				Por qué no entra en el estimando de K1: (i) 6.4 pregunta directamente «algún préstamo, crédito o tarjeta de crédito» con las instituciones que prestan y las tiendas departamentales como referente: es la definición de crédito formal de 2021 en una sola pregunta; (ii) el ítem Internet/aplicación de 2021 cae en «instituciones que prestan» / «Otro» y sigue contando como formal; (iii) «hipotecario» frente a «vivienda»: mismo referente; (iv) la base 18-70 se resuelve recortando 2021/2024. Matiz para cada RESULT: la pregunta única sin enumeración puede recoger menos tenencia que una batería de 9 ítems (efecto de recordación); se declara, no se corrige. Sucede a la fila v1.0.
K2	Tenencia por familia de producto: departamental · bancaria · nómina · automotriz/durable	2021	2021 (ancla)	MISMO-INSTRUMENTO	Fila ancla. Familias: departamental = 6.2.1; bancaria = 6.2.2; nómina = 6.2.3; automotriz = 6.2.5. «Durable» no tiene ítem propio en ninguna ola: la tarjeta departamental/autoservicio es el circuito de bienes durables y se declara como tal, no se infiere.	P6_2_1, P6_2_2, P6_2_3, P6_2_5 (6.2)	6.2 ¿Usted tiene... 1 tarjeta de crédito departamental o de tienda de autoservicio? 2 tarjeta de crédito bancaria? 3 crédito de nómina? 5 crédito automotriz?	1 Sí / 2 No por ítem; con 1 se pregunta 6.3 (¿cuántas(os) tiene?, número) y 6.4 (atraso)	Batería directa a toda persona elegida (ver K1-2021).	P por familia	Persona elegida de 18 años y más (cuestionario 2021 pdf-pág 5: «DE 18 AÑOS Y MÁS»; FD 2021 TModulo fila 1502: EDAD 18-96); residente habitual en vivienda particular	enif_2021_cuestionario.pdf sha256/16=2fe495a58f2eae73 pdf-pág 16; enif_2021_fd_pdf.zip/enif_2021_estructura_del_archivo.xlsx sha256/16(zip)=6f4e3aab705ddb69 TModulo filas 624, 636, 651, 675	Cuestionario 2021 pdf-págs 15-19 (SECCIÓN 6, 6.1-6.18) + pág 5 (universo) + pág 11 (5.4); FD 2021: TModulo filas 611-899 (P6_1_1..P6_18_9, 96 campos); modelo ER 2021 (TMODULO)	durable (como categoría propia)	«durable», «bienes duraderos», «enseres», «electrodoméstico», «a plazos», «abonos» en cuestionario 2021 completo y FD TModulo: 0 reactivos de tenencia de crédito por bien durable. Sólo el destino de crédito (que 2021 no pregunta, ver K8) o la tarjeta departamental aproximan el circuito.		6.3 (número de productos) permite pasar de P a PR para tarjetas, si el sucesor lo necesita.
K2	Tenencia por familia de producto: departamental · bancaria · nómina · automotriz/durable	2024	2021	CAMBIO-DE-INSTRUMENTO	Aplica a la familia BANCARIA (6.2.2). Departamental (6.2.1), nómina (6.2.3) y automotriz (6.2.5) son MISMO-INSTRUMENTO respecto de 2021 (texto, códigos y flujo idénticos).	P6_2_1, P6_2_2, P6_2_3, P6_2_5 (6.2)	6.2 ¿Usted tiene... 1 tarjeta de crédito departamental o de tienda de autoservicio? 2 tarjeta de crédito bancaria u otra institución financiera? 3 crédito de nómina? 5 crédito automotriz?	1 Sí / 2 No por ítem; 2024 elimina «¿cuántas(os) tiene?»: no hay paso P→PR para tarjetas	Batería directa a toda persona elegida (ver K1-2024).	P por familia	Persona elegida de 18 años y más (cuestionario 2024 pdf-pág 4: «PARA PERSONAS DE 18 AÑOS Y MÁS»; FD 2024 TSDEM fila 39); residente habitual en vivienda particular	enif_2024_cuestionario.pdf sha256/16=32e37cc13da38691 pdf-pág 17; enif_2024_fd.xlsx sha256/16=17e2ad86ce9e4fd5 TMODULO filas 690, 700, 710, 730	Cuestionario 2024 pdf-págs 16-20 (SECCIÓN 6, 6.1-6.17) + pág 4 (universo) + pág 12 (5.4); FD 2024: TMODULO filas 665-903 (P6_1_1..P6_17_9, 84 campos); modelo lógico 2024 (TMODULO)	durable (como categoría propia)	«durable», «bienes duraderos», «enseres», «electrodoméstico», «a plazos», «abonos» en cuestionario 2024 completo y FD TMODULO: 0 reactivos de tenencia por bien durable.		Qué cambió y por qué entra en el estimando: 6.2.2 pasa de «tarjeta de crédito bancaria» a «tarjeta de crédito bancaria u otra institución financiera». Una tarjeta emitida por no-banco (SOFOM, fintech) cae en 2024 dentro de «bancaria» y en 2021 dentro de 6.2.8/6.2.9 o de una autoclasificación no controlada. La hipótesis REPORTADO «bancaria +5.2 pp desde 2021» mezcla este cambio de frontera con el cambio real: no es comparable sin función de enlace. Además desaparece 6.3 (número de productos): K2 en 2024 sólo existe como P.
K2	Tenencia por familia de producto: departamental · bancaria · nómina · automotriz/durable	2018	2021	CAMBIO-MENOR	Las cuatro familias: 6.8.1 departamental, 6.8.2 bancaria, 6.8.3 nómina, 6.8.5 automotriz; texto de ítem idéntico a 2021. Exige recorte 18-70 y la regla blanco→No del filtro 6.3/6.4.	P6_8_1, P6_8_2, P6_8_3, P6_8_5 (6.8), gateadas por P6_3/P6_4	6.8 ¿Usted tiene... 1 tarjeta de crédito departamental o de tienda de autoservicio? 2 tarjeta de crédito bancaria? 3 crédito de nómina? 5 crédito automotriz?	1 Sí / 2 No por ítem; con 1 se pregunta 6.9 (¿cuántas(os) tiene?) y 6.10 (atraso)	Sólo responde 6.8 quien dijo Sí en 6.3 o 6.4 (ver K1-2018); para quien dijo No en ambas, cada P6_8_k queda en blanco y el sucesor lo recodifica a No declarándolo.	P por familia	Persona elegida de 18 a 70 años (cuestionario 2018 pdf-pág 3: «DE 18 A 70 AÑOS»; FD 2018 TModulo fila 605: EDAD 18..70); residente habitual en vivienda particular	enif_2018_cuestionario.pdf sha256/16=cda9a0283a39514e pdf-pág 13; enif_2018_fd.xlsx sha256/16=dd8d5c92a7a03150 TModulo filas 463, 472, 481, 499	Cuestionario 2018 pdf-págs 12-15 (SECCIÓN 6, 6.1-6.19) + pág 3 (universo) + pág 8 (5.4-5.6); FD 2018: TModulo filas 410-599 (P6_1_1..P6_19_9, 89 campos) + TModulo2 SECCIÓN 10 (filas 302-393)	durable (como categoría propia)	«durable», «bienes duraderos», «enseres», «electrodoméstico», «a plazos», «abonos» en cuestionario 2018 completo y FD TModulo/TModulo2: 0 reactivos de tenencia por bien durable; 6.12 (destino) trae «vehículos, joyas, animales» como destino, no como tenencia.		Por qué no entra en el estimando por familia: el filtro 6.3 nombra explícitamente «tarjeta de crédito bancaria, departamental, de tienda de autoservicio» y «crédito bancario»; nómina y automotriz están cubiertos por «crédito bancario ... o con alguna otra institución financiera». Un No en 6.3 y 6.4 implica No en las cuatro familias. Riesgo residual (crédito automotriz de financiera de marca autoclasificado fuera de 6.3) se declara, no se corrige.
K2	Tenencia por familia de producto: departamental · bancaria · nómina · automotriz/durable	2015	2021	CAMBIO-MENOR	Las cuatro familias: 6.9.1 departamental, 6.9.2 bancaria, 6.9.3 nómina, 6.9.5 automotriz; texto de ítem idéntico a 2018/2021 y mismo orden. Exige recorte 18-70 y la regla blanco→No del filtro 6.4.	P6_9_1, P6_9_2, P6_9_3, P6_9_5 (6.9), gateadas por P6_4	6.9 ¿Usted tiene... 1 tarjeta de crédito departamental o de tienda de autoservicio? 2 tarjeta de crédito bancaria? 3 crédito de nómina? 5 crédito automotriz?	1 Sí / 2 No por ítem; con 1 se pregunta de 6.10 a 6.13 (cuántas(os) tiene, intereses, comisiones, atraso)	Sólo responde 6.9 quien dijo Sí en 6.4 (ver K1-2015); para quien dijo No, cada P6_9_k queda en blanco y el sucesor lo recodifica a No declarándolo. «CON CÓDIGO 1, PREGUNTE DE 6.10 A 6.13»; «SI TODAS TIENEN CÓDIGO 2, PASE A 6.20».	P por familia	Persona elegida de 18 a 70 años (cuestionario 2015 pdf-pág 2: «PARA PERSONAS DE 18 A 70 AÑOS», «Resto de las personas de 18 a 70 años»; FD 2015 TModulo1 fila 634: EDAD [18-70]); residente habitual en vivienda particular	enif_2015_cuestionario.pdf sha256/16=10688412391ecd5e pdf-pág 11 (6.9) y 10 (6.4); enif_2015_fd.xlsx sha256/16=8233cf53f5904966 TModulo2 filas 75-76, 94-95, 112-113, 150-151	Cuestionario 2015 pdf-págs 9-12 (SECCIÓN 6. CRÉDITO INFORMAL Y FORMAL, 6.1-6.21, reactivo por reactivo) + pág 2 (universo) + pág 9 (5.25.2-5.32b); búsqueda de términos sobre el cuestionario completo (20 páginas, 1 623 líneas de texto extraído con pdftotext -layout); FD 2015: TModulo1 filas 559-624 (6.1-6.5, 23 campos) + TModulo2 filas 9-332 (6.6-6.21, 101 campos) + TModulo1 5.26.1/5.26.2 + Índice; modelo de datos 2015 = imagen sin texto	durable (como categoría propia)	«durable», «enseres», «electrodoméstico», «a plazos», «abonos» en el cuestionario 2015 completo (20 páginas): 0 aciertos; en FD 2015 (TModulo1, TModulo2): 0 campos. 6.19 (destino) trae «vehículos, joyas, animales» como destino, no como tenencia.		Por qué no entra en el estimando por familia: el filtro 6.4 nombra explícitamente «tarjeta de crédito bancaria, departamental, de tienda de autoservicio» y «crédito bancario ... o con alguna otra institución financiera»; nómina y automotriz están cubiertos por «otra institución financiera». Un No en 6.4 implica No en las cuatro familias. Riesgo residual (crédito automotriz de financiera de marca autoclasificado fuera de 6.4) se declara, no se corrige. FRONTERA FP-404 para bancaria: 6.9.2 de 2015 dice «tarjeta de crédito bancaria» como 6.2.2 de 2021; la ampliación «u otra institución financiera» es de 2024 y no toca esta ola.
K2	Tenencia por familia de producto: departamental · bancaria · nómina · automotriz/durable	2012	2021	CAMBIO-MENOR	Las cuatro familias: 6.6.1 bancaria, 6.6.2 departamental, 6.6.3 nómina, 6.6.5 automotriz; texto de ítem idéntico a 2021, ORDEN INVERTIDO en las dos primeras (P6_6_1 = bancaria, P6_6_2 = departamental; en 2015-2024 el sufijo _1 es departamental y _2 bancaria). Exige recorte 18-70 y la regla blanco→No del filtro 6.4.	P6_6_1 (bancaria), P6_6_2 (departamental), P6_6_3 (nómina), P6_6_5 (automotriz) (6.6), gateadas por P6_4	6.6 ¿Tiene usted... 1 tarjeta de crédito bancaria? 2 tarjeta de crédito departamental o de tienda de autoservicio? 3 crédito de nómina? 5 crédito automotriz?	1 Sí / 2 No por ítem; con 1 se pregunta de 6.7 a 6.11 (cuántas(os), conoce el interés, conoce las comisiones, utilizó de febrero a la fecha, atraso)	Sólo responde 6.6 quien dijo Sí en 6.4 (ver K1-2012); para quien dijo No, cada P6_6_k queda en blanco y el sucesor lo recodifica a No declarándolo. «SI TODAS TIENEN CÓDIGO 2, PASE A 6.17».	P por familia	Persona elegida de 18 a 70 años (cuestionario 2012 pdf-pág 3: «PARA PERSONAS DE 18 A 70 AÑOS», «IDENTIFIQUE A LAS PERSONAS DE 18 A 70 AÑOS»; FD 2012 NOTAS ACLARATORIAS fila 15); residente habitual en vivienda particular	enif_2012_cuestionario.pdf sha256/16=b7fc1f4a2363a609 pdf-pág 8 (6.6); fd_enif2012.xlsx sha256/16=f03d8e7c82f511e7 TMODULO1 filas 543, 570, 597, 643; modelo_enif2012.pdf sha256/16=77a9b05ed53f243d	Cuestionario 2012 pdf-págs 7-10 (SECCIÓN 6. CRÉDITO INFORMAL Y FORMAL, 6.1-6.20, reactivo por reactivo) + pág 3 (universo) + pág 7 (5.16-5.18); búsqueda de términos sobre el cuestionario completo (16 páginas, 1 061 líneas de texto extraído con pdftotext -layout); FD 2012: TMODULO1 filas 445-842 (SECCIÓN 6. CRÉDITO INFORMAL Y FORMAL, 6.1-6.20, 109 campos) + TMODULO1 filas 125-149 (SECCIÓN 4) + TMODULO2 filas 254-443 (SECCIÓN 10) + NOTAS ACLARATORIAS; modelo de datos 2012 (TMODULO1 P6_1_1..P6_20_9)	durable (como categoría propia)	«durable», «enseres», «electrodoméstico», «a plazos», «abonos» en el cuestionario 2012 completo (16 páginas): 0 reactivos de tenencia por bien durable (único acierto de «electrodom»: 8.x uso del dinero recibido «Comprar alimentos, ropa, calzado o bienes (electrodomésticos, ...)», que es destino de una remesa, no crédito); en FD 2012 (TMODULO1, TMODULO2): 0 campos.		Por qué no entra en el estimando por familia: 6.4 pregunta la tenencia de cualquier préstamo, crédito o tarjeta con las instituciones que prestan y las tiendas departamentales; un No en 6.4 implica No en las cuatro familias. La inversión de orden es la trampa concreta de esta ola: cualquier sucesor que mapee por sufijo cruza las dos familias con más peso del dominio (mismo defecto que NC-0304). FRONTERA FP-404 para bancaria: 6.6.1 dice «tarjeta de crédito bancaria» como 6.2.2 de 2021; la ampliación es de 2024.
