fuente_canonica	regla_resolucion	payloads_n	payloads_sha256	representaciones	objetos_e2	evidencia_resolucion	relaciones_n	relaciones_sha256	estado_cobertura
01-	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	56ee06325e729ae359f2065537038d456daee5cb4b0c8d93be6be1fcbf360e5f	SIN-MATERIAL-OBSERVADO
02-	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	7b6fdcb0f3ffd136d41f2224c9871cc8172849c3f58805d77dda434de9dcf5f8	SIN-MATERIAL-OBSERVADO
ACLED	R4-TOKEN-CONTRA-PAYLOAD-O-RUTA	1	c01777b3a288fcddfb6b37bf8ee5d245730ca8807bb61a3d119a14d8a4c5e9f3	1	7	token=ACLED en payload_id/ruta_relativa	3	d0f33e59223fd61cd9aae9947448e6b86189f1314f1f90f531b750b692402738	CON-MATERIAL
AHORRO FINANCIERO Y FINANCIAMI	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	f3a3858ba5c8e526b2eb7afe741025a00aa538b321d3fe2f4e96cea53dbc562b	SIN-MATERIAL-OBSERVADO
BASE_DEL_OBSERVATORIO_DE_CONFLICTOS_POR_EL_AGUA	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	450c6a86876d8740241b9a2791460d60d4ff5a157f400ae3bce692b80d9f8240	SIN-MATERIAL-OBSERVADO
BASE_DE_EVENTOS_DE_PROTESTA_EN_MEXICO	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	6fadd69199c3541bd9eb8b59740beaeaf34eee1e0b99ff3ea3ca98ee54bbad13	SIN-MATERIAL-OBSERVADO
BDIF	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	e8cd8647d2ca2564c8baa9b9f42566d9cb041b245a64d87249038a3b0d762a17	SIN-MATERIAL-OBSERVADO
BIARE	R4-TOKEN-CONTRA-PAYLOAD-O-RUTA	2	1cce4223587da3a4dc94b47d8b93c38f676dda154c78ae8515cba17432e460f4	2	1204	token=BIARE en payload_id/ruta_relativa	1	f0c9c69072a895e2b87555476e18c933b66c240f54e74a211f8a4897281e8cdc	CON-MATERIAL
CANAL_DE_ADQUISICION_REFERIDOS_FINTECH	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	87df625d71d92cb347b6209dff703d275d4cd75ea8860b49c90116f4f3b9bbce	SIN-MATERIAL-OBSERVADO
CCPV	R7-SLUG-DE-PROGRAMA-INEGI	8	24c0799133229d00a29a26152911daea70335691d2564217959d40ff24e3a9fb	8	2775	manifiesto:url_origen slug inegi.org.mx/programas/ccpv	1	9d2501e0f9b8036ec64c7e72e8accb6d986f89ffda5521399d280eaa1b91a392	CON-MATERIAL
CNGMD	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	4099e0a67d3be265ea7ef16b89dacc32b6a156b3ff66878a36bb00854e95ccab	SIN-MATERIAL-OBSERVADO
COMPARATIVE_STUDY_OF_ELECTORAL_SYSTEMS_MEXICO_2018	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	740816a13d6a5ff13bf867d5c980446f9df071edd6fc2e40f577c23f3c617808	SIN-MATERIAL-OBSERVADO
CSES	R1-ID-MANIFIESTO-EN-LEDGER	1	506e28086cce92a4be2d5f324bbbedef9fdf1b4aea13fa0589733bd591148270	1	801	ledger:payload_id=cses5_modulo5_2016_2021_cuestionario	5	c9fd1df10e4a26f10bf09b912fb7c6deec2851942deb392a734baaff3fce33ed	CON-MATERIAL
DENUNCIA_VINCULADA_CON_TENENCIA_DE_SEGURO	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	74d15bd1e8ff06e43da6543f4fa1035ef13d255405dc59a2dac47e06c8c25895	SIN-MATERIAL-OBSERVADO
DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	2	1925f5746fd453400061079e9f89437ee1278536733cb06b92141eefa1c67687	SIN-MATERIAL-OBSERVADO
EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	c0e2f1b6ad1b5c0050c74c03079e2b004bd74b46bab266db7b6b747687a1f75b	SIN-MATERIAL-OBSERVADO
ELECTORAL_PRECINCT_LEVEL_DATABASE_FOR_MEXICAN_MUNICIPAL_ELECTION	R5-CADENA-CANONICA-EN-USADO-PARA	1	c9c6d4fdab7fbd4775346d8fd0fea438fede7660772649d926abf682e10d20a3	1	644079	manifiesto:usado_para nombra la fuente canonica literal	1	3b4d0e74eb68c132afc9492e69df8c3a55d6ea9654a7c711289de8e438a2a69f	CON-MATERIAL
ENAFIN	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	aba98c5263e3e88727ebfd51f8b88a89a5cc7a11d6547eef48a38081b9898c9d	SIN-MATERIAL-OBSERVADO
ENASIC	R1-ID-MANIFIESTO-EN-LEDGER+R7-SLUG-DE-PROGRAMA-INEGI	3	b063328ba8f9387078f5129661c84f91e3c1d947411cb24a97ca9f98b0ef887a	3	2812	ledger:payload_id=enasic2022_fd_xlsx | union R7 slug programas/enasic: enasic2022_bd_csv_zip;enasic_2022_889463927082	6	23f7030d21487af34a2500776f321476baa5da9768add4bfde243888acbe17ef	CON-MATERIAL
ENBIARE	R1-ID-MANIFIESTO-EN-LEDGER+R7-SLUG-DE-PROGRAMA-INEGI	2	1cce4223587da3a4dc94b47d8b93c38f676dda154c78ae8515cba17432e460f4	2	1204	ledger:payload_id=enbiare2021_fd_pdf | union R7 slug programas/enbiare: enbiare2021_bd_csv_zip	11	bfec106cdf615778b2f2b4f9dc2cc146bcd422c73033424712377f046cbdcc37	CON-MATERIAL
ENCIG	R1-ID-MANIFIESTO-EN-LEDGER+R7-SLUG-DE-PROGRAMA-INEGI	37	5605101be314c548bff65aeee4633889e8c6eb0bd1d7552f9546a3f45f0b6119	37	34716	ledger:payload_id=encig23_base_datos_csv | union R7 slug programas/encig: encig2015_csv;encig2015_cuestionario_pdf;encig2015_estructura_base_datos_pdf	3	783d26d6dc1ba9fbd828afafc9a082a133cc78dab88994e305158b98b2db2da5	CON-MATERIAL
ENCOAP	R4-TOKEN-CONTRA-PAYLOAD-O-RUTA	1	0bbbd8056dac935b160542212e8835387c63cd5c65c45564c3aa338f9a5e7b5c	1	246	token=ENCOAP en payload_id/ruta_relativa	5	4050ff308c4039619a9fced1b7ddca1919867cd7a14ea5ee8b19a0950fce0313	CON-MATERIAL
ENCUCI	R1-ID-MANIFIESTO-EN-LEDGER+R7-SLUG-DE-PROGRAMA-INEGI	2	c56e0091b15c3a7ac80d2077e857c77c81bdd1c25c25eb49053f2f1e6fa62169	2	1062	ledger:payload_id=encuci2020_bd_dbf | union R7 slug programas/encuci: encuci2020_fd_pdf	1	47160df789449109b8f5acfc3052f2371f7807ad1da1b7d60e7d2c1f379b9764	CON-MATERIAL
ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_2019_2024	R0-SIN-CANDIDATO-MATERIAL	0	NO-APLICA	0	0	NO-APLICA	1	1daf6c923735686918dfc8af2cb417f6bc29b8fdb6208628681e9dce389af6c4	SIN-MATERIAL-OBSERVADO
ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_DE_LA_POBLACION	R5-CADENA-CANONICA-EN-USADO-PARA	1	d168e042e3788c9120a63bafd8a843f38d89da788cd828b2fe3ec22379f9b440	1	146	manifiesto:usado_para nombra la fuente canonica literal	1	bb8afd3e3ac48a9794391626227a3b68b47d6f62ad5f93a9024a6497c124fa89	CON-MATERIAL
ENCUP	R3-TOKEN-CONTRA-ID-MANIFIESTO	6	da6f51fa9b73b83246fe31c2555115d8a23149cef517906888e1b05b7b93094d	6	2281	manifiesto:id=encup_2001_cuestionario_pdf;encup_2003_cuestionario_pdf;encup_2005_cuestionario_pdf;encup_2008_cuestionario_pdf	1	4c16eb87fa2bf755519c0929fe0d3a539e6f9ae627418e63563bbc9193bfb2e3	CON-MATERIAL
ENFIH	R1-ID-MANIFIESTO-EN-LEDGER+R7-SLUG-DE-PROGRAMA-INEGI	2	7f9b33d361750c8db6bdc59deb76ca3a3f30226a558070239fb54e3612b2d2ff	2	1472	ledger:payload_id=enfih2019_fd_xlsx | union R7 slug programas/enfih: enfih2019_bd_csv_zip	20	edc5c4aaa984c68790a5c6c99f65ff35917f07e8c6aa4426c7335191bb20799c	CON-MATERIAL
ENIF	R1-ID-MANIFIESTO-EN-LEDGER+R7-SLUG-DE-PROGRAMA-INEGI	22	3c76824d4e02b33fb2afd208b464c92e9433deb29176787b370226394b52c7b3	22	16541	ledger:payload_id=enif2024_csv | union R7 slug programas/enif: enif2018_csv;enif2018_cuestionario_pdf;enif2018_fd_xlsx	5	f9ca6d72cbaaf4cd3bc1f857bf837d3218d05534c47a176101d328b133f075f4	CON-MATERIAL
ENIGH	R3-TOKEN-CONTRA-ID-MANIFIESTO	6	a756e4b7db6ae95147c2805fa76ee30090c1d9fa77d28e826b98cc8ec955e273	6	38714	manifiesto:id=enigh2012_nc_csv;enigh2014_nc_csv;enigh2016_nc_csv;enigh2018_nc_csv	1	f32c1c39120a95364dba0a71d6f358015502bd770967f890aee61b8f864b7935	CON-MATERIAL
ENNVIH	R3-TOKEN-CONTRA-ID-MANIFIESTO	27	afd9444060b13f046b2f0043fbde64e85acc31754b473824bef5cade3d8fb92f	27	142551	manifiesto:id=ennvih1_2002_guia;ennvih1_2002_hogar_cb;ennvih1_2002_hogar_dta;ennvih1_2002_hogar_q	1	3b40d8034eb7723544c540cbaef6050bcb4caa6d366063d95f473b2c531aa25d	CON-MATERIAL
ENOE	R3-TOKEN-CONTRA-ID-MANIFIESTO+R7-SLUG-DE-PROGRAMA-INEGI	36	6f1ac2fa45d8831eae32c734780cde1b0dd704d117810db8a22ffa490e63903d	36	89648	manifiesto:id=enoe_2019_1t_csv;enoe_2019_2t_csv;enoe_2019_3t_csv;enoe_2019_4t_csv | union R7 slug programas/enoe: enoen_2020_3t_csv;enoen_2020_4t_csv;enoen_202…	1	306565927257c41a06216e5874eed2f82d0649361aa07cbbf71ffdeb87104f40	CON-MATERIAL
ENSAFI	R1-ID-MANIFIESTO-EN-LEDGER	1	c67945ca2a9e0dbf68ce576cca25c11d6a7ef5fd35f47d77f45af048d11d697a	1	377	ledger:payload_id=ensafi2023_bd_csv_zip	20	dadd16f612b1241df1c506740608f7830ab7494b9dcc6f735ec3e0f390156522	CON-MATERIAL
