id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-612e931c-01	corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md:L49	Simpatía como script y escala de dos factores Acevedo 2020 son constructos; muestra mexicanoamericana (b), no medida representativa de residentes en México.		PENDIENTE-TRANSFERENCIA-B	¿Qué ítems, validación factorial y población Acevedo 2020 respaldan calidez/evitación, y qué réplica existe en residentes mexicanos?	Acevedo et al. 2020 escala de simpatía y Triandis et al. 1984; nota vigente L13-L15	ASTRA5-MESA-INTERACCION	Registrar instrumento/muestra y marcar transferencia b antes de comparar con conducta mexicana.
LECTURA-612e931c-02	corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md:L57	Quedar bien y facework son marcos; Castillo 2019 perdón por ofensa reputacional [MEDIA] y Smith 2017 autopercepción dignidad/face son experimentos distintos. Etiqueta «cultura de honor» retirada.		PENDIENTE-CASTILLO-SMITH	¿Qué estímulo, pregunta de perdón y muestras Castillo 2019; qué escala, N=210 y matriz r=.96 Smith 2017?	Castillo 2019 y Smith et al. 2017 Acta de Investigación Psicológica textos/métodos por registrar; corrección L9-L11,L61	ASTRA5-MESA-EMOCIONES	Preservar dignidad/face y retirar honor-violencia; contratar perdón y autodescripción como estimandos separados.
LECTURA-612e931c-03	corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md:L63	Abnegación y obediencia afiliativa de Díaz-Guerrero se apoyan en premisas históricas; >80% 1950-60 exige instrumento, muestras/segmentos y ola, no aplica automáticamente a 2026.		PENDIENTE-DIAZ-GUERRERO	¿Qué baterías y cortes 1950/60, segmentos y denominadores originan >80% y cómo se replicó en México actual?	Díaz-Guerrero premisas histórico-socioculturales y tabulados originales por localizar	ASTRA5-MESA-INTERACCION	Separar teoría, porcentaje histórico y mecanismo interpersonal contemporáneo.
LECTURA-612e931c-04	corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md:L73	Félix-Brasdefer 2006/08 reporta 64% de rechazos indirectos en universitarios de Tlaxcala; unidad es interacción/tarea, no personas mexicanas ni entornos empresariales.		PENDIENTE-FELIX-BRASDEFER	¿Qué tarea/role-play, número de actos, interlocutores y codificación dan 64%, y hay contraste de estatus superior/inferior?	Félix-Brasdefer 2006/2008 estudio de rechazos; forense/notas/2026-08-06-mapa-ext-general.md R10.1 como antecedente, artículo primario por registrar	ASTRA5-MESA-INTERACCION	Verificar tabla y muestra; no convertir tasa de actos de habla estudiantiles en prevalencia nacional.
LECTURA-612e931c-05	corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md:L79	Albur y humor como dominancia o resistencia son interpretaciones de prácticas específicas; no heredan tasas 64% de rechazos ni escala EHV/ESSH de humor.		PENDIENTE-ALBUR	¿Qué estudio etnográfico/lingüístico registra contexto, participantes y función del albur en desacuerdo o jerarquía?	Estudios mexicanos de albur/pragmática por localizar; lectura-humor-v1_0.tsv para constructos psicométricos distintos	ASTRA5-MESA-CULTURA	Separar mecanismo semántico, práctica situada y generalización psicológica.
LECTURA-612e931c-06	corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md:L85	Chisme/impuntualidad/olvido como resistencia pasiva no están contados; autosilenciamiento Nuñez 2016 HCHS/SOL N=4,426 es muestra hispana en EE.UU. (b), con asociación clínica.		PENDIENTE-CHISME-B	¿Qué instrumento mide autosilenciamiento y resultados p<.05 en submuestra de origen mexicano, y qué estudio mexicano observa chisme como respuesta a conflicto?	Nuñez et al. 2016 HCHS/SOL; Gil/Vázquez 1996 clínica; forense de sanción social; nota L13-L15	ASTRA5-U4	Conservar marca b y separar chisme de asociación clínica; no inferir causalidad ni prevalencia nacional.
LECTURA-612e931c-07	corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md:L103	Ogliastri/Davis 2017 negociación relacional y reglas «cualquier amenaza termina permanentemente» mezclan observación sectorial y consejo universal; sin tasa nacional.		PENDIENTE-NEGOCIACION	¿Qué muestra, industrias y tareas se observaron, y existe contrafactual de amenazas/resultado?	Ogliastri y Davis 2017 texto de negociación intercultural; estudio primario y muestra por registrar	ASTRA5-MESA-EMPRESA	Ubicar ámbito y método; matizar universales en aplicaciones L193.
LECTURA-612e931c-08	corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md:L111	«Seis estados fronterizos» enumera siete e incluye Sinaloa, que no tiene frontera terrestre con EE.UU.; directividad norte-sur requiere escala de comunicación, no industrialización como proxy.		CORRECCION-GEOGRAFIA	¿Qué estados y qué escala/estudio regional de directividad sustenta el contraste, con clases y urbanización comparables?	Díaz-Loving et al. 2018 cuatro regiones; INEGI división territorial; report L113-L117	ASTRA5-MESA-TERRITORIO	Corregir seis estados fronterizos; registrar tabla regional y evitar equiparar frontera con directividad.
LECTURA-612e931c-09	corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md:L119	Afirmación de mayor directividad Gen Z mezcla estudio latinoamericano, estereotipo «cuatro i» y exposición digital causal; falta contraste de cohorte/periodo en México.		PENDIENTE-GENERACION	¿Qué encuesta mide decir no y directividad por edad/ola en México, y qué modelo separa escolaridad/urbanización?	Madrigal-Moreno et al. estudio Chile/Colombia/México/Panamá; Vilanova/Ortega 2017; tabulados mexicanos por localizar	ASTRA5-U4	No atribuir cambio temporal a redes sociales sin diseño; conservar segmentos urbanos/rurales.
LECTURA-612e931c-10	corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md:L125	Machismo/caballerismo Arciniega 2008, HCHS/SOL N=4,426 y marianismo Castillo 2010, Wheeler 2010 N=227 parejas son estudios mexicanoamericanos/EE.UU. (b), no México.		PENDIENTE-GENERO-B	¿Qué muestras, subescalas y asociaciones corresponden a cada estudio y existe validación/replicación mexicana?	Arciniega 2008; Nuñez 2016 HCHS/SOL; Castillo 2010; Wheeler/Updegraff/Thayer 2010; corrección L13-L15	ASTRA5-U2	Conservar marca b y no transferir asociación clínica o patrón de pareja a residentes mexicanos.
