instrumento	id_manifiesto	sha256_verificado	necesidad	variable_encontrada	texto_del_reactivo	escala	tabla	n_filas	desenlace_coobservado_en_mismo_instrumento	es_panel	llave_ADR57c	clasificacion_a4	universo_declarado
ENSAFI 2023	ensafi2023_bd_csv_zip	COINCIDE	3.11 sens_estatus (G2,G4)	—	—	—	—	—	—	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	NO-ENCONTRADO	369 encabezados crudos de TSDEM/TVIVIENDA/THOGAR/TMODULO (unicas 4 tablas del zip; ENSAFI no trae diccionario en el manifiesto, confirmado: el zip solo contiene los 4 CSV, sin catalogo/layout adicional); terminos estatus/apariencia/comparar/vecinos/marca sobre encabezados via zipfile+python3, 2026-08-08
ENSAFI 2023	ensafi2023_bd_csv_zip	COINCIDE	4.6 aversion_riesgo (G2,G3)	IMPULSIVID	[SIN TEXTO DE REACTIVO -- ENSAFI no trae diccionario en este corpus; nombre de columna derivada, hallada por lectura manual del encabezado, no por el barrido de terminos]	binaria, valores observados {1,2} en TMODULO.csv (python3+csv); dirección/sentido no verificable sin documentación	TMODULO	20448	No verificable sin texto del reactivo	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna (no verificable)	EXISTE-NO-SATISFACE	369 encabezados crudos, terminos riesgo/arriesg/perdida/perder/certidumbre = 0; IMPULSIVID (y GRA_CONTROL) hallados por lectura manual de las ultimas 17 columnas de TMODULO (indices derivados no P-numerados); sin documentacion complementaria en todo el repo (grep -rIl sobre *.md/*.yaml/*.txt, 0 resultados), 2026-08-08. Mismo riesgo de sobre-interpretar nombre sin pregunta que ya penalizo a P5_23 (ADR-52 A) -- por eso no se sella EXISTE-SATISFACE
ENSAFI 2023	ensafi2023_bd_csv_zip	COINCIDE	10 horizonte_temporal (G4)	ORIEN_FUT	[SIN TEXTO -- mismo caso que IMPULSIVID; nombre de columna derivada sin pregunta documentada]	binaria, valores observados {1,2} en TMODULO.csv	TMODULO	20448	Ninguno -- ENSAFI es instrumento de salud financiera, sin bateria de victimizacion/justicia (G4) en ninguna de sus 4 tablas	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna (no verificable)	EXISTE-NO-SATISFACE	369 encabezados crudos, terminos futuro/planear/planeacion/plazo = 0 en columnas P-numeradas; ORIEN_FUT hallado por lectura manual (mismo bloque de indices derivados que IMPULSIVID); aunque se verificara el texto, la necesidad 10 exige co-observacion con desenlace de G4 y ENSAFI no lo trae, 2026-08-08
ENSAFI 2023	ensafi2023_bd_csv_zip	COINCIDE	12 familismo_apoyo (no-ENIF)	—	—	—	—	—	—	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	NO-ENCONTRADO	369 encabezados crudos; terminos apoyo/ayuda/familiar = 0 (ni en forma completa ni en los indices derivados de TMODULO), 2026-08-08
ENSAFI 2023	ensafi2023_bd_csv_zip	COINCIDE	13 familismo_obligacion	—	—	—	—	—	—	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	NO-ENCONTRADO	369 encabezados crudos; terminos obligacion/cuidar/cuidado = 0, 2026-08-08
ENSAFI 2023	ensafi2023_bd_csv_zip	COINCIDE	14 puente radio_confianza	CONF_FINAN	[SIN TEXTO -- mismo caso; nombre de columna derivada sugiere 'confianza financiera', sin pregunta documentada]	binaria, valores observados {1,2} en TMODULO.csv	TMODULO	20448	Estructuralmente plausible sin verificar: TMODULO es el modulo financiero completo (secciones 5-10: deuda, ahorro, seguros, remesas) -- si CONF_FINAN mide confianza, coexiste con desenlaces financieros reales en la misma tabla y la misma persona	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna (no verificable)	EXISTE-NO-SATISFACE	369 encabezados crudos, terminos confianza/confia = 0 en preguntas P-numeradas (ninguna trae la palabra en su codigo); CONF_FINAN hallado por lectura manual. Es el candidato que el propio encargo senala como mas prometedor de este acto -- el hallazgo confirma que la columna EXISTE con valores reales, pero sellar EXISTE-SATISFACE exigiria el texto de la pregunta que este corpus no tiene, 2026-08-08
ENSAFI 2023	ensafi2023_bd_csv_zip	COINCIDE	theta subjetivos (ENBIARE-like)	OPTIMISMO	[SIN TEXTO -- mismo caso; ademas NIV_ESTRES (ordinal 1-3, estres financiero) como hallazgo tangencial]	OPTIMISMO binaria {1,2}; NIV_ESTRES ordinal {1,2,3}	TMODULO	20448	—	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna (no verificable)	EXISTE-NO-SATISFACE	Columnas derivadas halladas por lectura manual; sin documentacion complementaria en el repo. No es el instrumento que el encargo senala para esta busqueda (esa es ENBIARE) -- se reporta como hallazgo tangencial no buscado con la bateria completa de bienestar, 2026-08-08
ENFIH 2019	enfih2019_fd_xlsx	COINCIDE	3.11 sens_estatus (G2,G4)	—	—	—	—	—	—	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	NO-ENCONTRADO	838 variables extraidas de las 16 hojas (TVivienda..TConcentradora) de enfih_2019_fd.xlsx via openpyxl, columnas Pregunta+Concepto+Nemonico; terminos estatus/apariencia/comparar/vecinos/marca = 0, 2026-08-08
ENFIH 2019	enfih2019_fd_xlsx	COINCIDE	4.6 aversion_riesgo (G2,G3)	P9_12_1..6 (bateria 'tiene seguro de...')	'9.12 ¿Usted tiene seguro de vida?' / educativo / de auto / personal contra accidentes / de casa / de gastos medicos (6 variantes P9_12_1 a P9_12_6)	binario Si/No, tenencia de producto de seguro	TModulo	40940	Ninguno relevante -- son variables de tenencia, no un desenlace de generador	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	EXISTE-NO-SATISFACE	19 coincidencias de 'seguro' en 838 variables (16 hojas); riesgo/arriesg/perdida/perder/certidumbre = 0. Le falta: mide tenencia de producto de seguro (conducta/acceso financiero), no disposicion actitudinal al riesgo -- mismo defecto de categoria que el candidato ya descartado ENIF P5_23/P5_24 (ADR-52 A: mide proteccion IPAB, un moderador, no aversion), 2026-08-08
ENFIH 2019	enfih2019_fd_xlsx	COINCIDE	10 horizonte_temporal (G4)	P9_3_5 (deposito a plazo fijo)	'9.3 ¿Usted tiene depositos a plazo fijo (solo puede retirar dinero en determinadas fechas)?'	binario Si/No, tenencia de producto	TModulo	40940	Ninguno -- ENFIH no trae desenlaces de G4 (violencia/justicia) en ninguna de sus 16 tablas	NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita)	Ninguna	EXISTE-NO-SATISFACE	6 coincidencias de 'plazo' (una sola bateria: deposito a plazo fijo); futuro/planear/planeacion = 0. Le falta: es tenencia de un producto de ahorro con plazo fijo, no una disposicion de horizonte temporal ni una expectativa; y aunque lo fuera, no hay desenlace de G4 co-observable en este instrumento, 2026-08-08
