id_afirmacion	fila_local	unidades	localizador	texto_vigente	tier_report	clase	procedencia_evidencia	componente_contrastable	limite_inferencial	conducta_unidad_universo	instrumento_ola	documento_id_hash_pagina	pregunta_textual_codigo_respuestas	dictamen	dictamen_razon	datos_id_estado	reserva	gen2_existente	propietario_propuesto	siguiente_operacion	dedup_concepto	contrato_existente	busqueda_a13	dominio	falsador
ENLACE	conocimiento-001	LECTURA-196ec5d4-07;CAND-196ec5d4-L53;CAND-196ec5d4-L181	L25,L54,L181	PISA 2022 México: 395 puntos en matemáticas (mapa de evidencia FUERTE, L54); resumen ejecutivo repite 395/415/410 y lugar 51/81 (L25).	FUERTE	ENLACE	primaria México							VER-CONTRATO	VER-CONTRATO. Nota de corrección vigente (correcciones-vigentes-v1_0.tsv L25,L58): el 51º puesto puntual queda RETIRADO; la tabla oficial OCDE Vol. I I.2.4 da un intervalo de rango 54-64/81, no un puesto puntual. El texto del report (L25,L54) sigue afirmando 'lugar 51 de 81' sin aplicar la corrección: queda como CIFRA-PUBLICADA vigente solo para la media (395, IC95% 391-399); el ranking puntual no está acreditado.			ninguna corrida con OECD PISA 2022 (u0mf --calc: 0)	ASTRA5-MESA-CONOCIMIENTO	Ninguna (contrato cerrado); mesa decide si edita el texto_vigente del report para retirar '51 de 81'.	CONC-DOC-OCDEPISA2022-MEXICO	ASTRA5-U0-CONOC-001	paquete conocimiento.md §Contratos CERRADOS; u0mf --busca 8be7ac8c → 0 (SIN-ID, sin cambio); u0mf --busca 84bb19ca → 0 (SIN-ID, sin cambio), 24/sep	CONOCIMIENTO	Cambiaría si la OCDE publicara un ranking puntual oficial de México distinto de 51 con metodología comparable, o si se recalculara el puesto 51 de forma reproducible desde la Tabla I.2.4.
ENLACE	conocimiento-002	LECTURA-196ec5d4-07;CAND-196ec5d4-L53	L25,L54	PISA 2022 México: 66% no alcanza el nivel básico (nivel 2) en matemáticas.	FUERTE	ENLACE	primaria México							VER-CONTRATO	VER-CONTRATO (ASTRA5-U0-CONOC-002): ficha OCDE México pp.2-3, 34% alcanza nivel 2, 66% por debajo; no mide rechazo a la educación.			ninguna corrida con OECD PISA 2022 (u0mf --calc: 0)	ASTRA5-MESA-CONOCIMIENTO	Ninguna (contrato cerrado).	CONC-DOC-OCDEPISA2022-MEXICO	ASTRA5-U0-CONOC-002	paquete conocimiento.md §Contratos CERRADOS, 24/sep	CONOCIMIENTO	Cambiaría si una edición posterior de PISA México mostrara una proporción bajo nivel 2 sustancialmente menor con el mismo marco muestral.
ENLACE	conocimiento-003	LECTURA-196ec5d4-07;CAND-196ec5d4-L53	L25,L54	Muestra PISA 2022 México: 6,288 estudiantes en 280 escuelas, ~1,393,700 representados, ~64% de la cohorte de 15 años.	FUERTE	ENLACE	primaria México							VER-CONTRATO	VER-CONTRATO (ASTRA5-U0-CONOC-003): ficha OCDE México, Key features/The students; deja fuera a la población no escolarizada/no elegible de 15 años.			ninguna corrida con OECD PISA 2022 (u0mf --calc: 0)	ASTRA5-MESA-CONOCIMIENTO	Ninguna (contrato cerrado).	CONC-DOC-OCDEPISA2022-MEXICO	ASTRA5-U0-CONOC-003	paquete conocimiento.md §Contratos CERRADOS, 24/sep	CONOCIMIENTO	Cambiaría si la OCDE revisara la cobertura de la muestra mexicana o el % de cohorte representado en una fe de erratas.
ENLACE	conocimiento-004	LECTURA-196ec5d4-02;CAND-196ec5d4-L63	L20,L64	ENPECYT 2017: 75% de adultos urbanos (≥100 mil hab.) declaró interés al menos moderado por ciencia/tecnología.	FUERTE (resumen L20); MEDIA (mapa de evidencia L64)	ENLACE	primaria México							VER-CONTRATO	VER-CONTRATO (ASTRA5-U0-CONOC-004): boletín 272/18 p.1, 8.4%+27.4%+39.2%=75.0%; cuestionario IV A P1 ítem3; universo urbano 18+, no nacional. Nota: el report etiqueta esta misma cifra FUERTE en el resumen (L20) y dentro del bloque MEDIA en el mapa de evidencia (L64) — inconsistencia de tier interna del propio report, no corregida aquí (no se sube ni baja el tier, solo se anota).			ninguna corrida con INEGI/CONACYT ENPECYT (u0mf --calc: 0)	ASTRA5-MESA-CONOCIMIENTO	Ninguna (contrato cerrado); mesa decide si homogeniza el tier L20 vs L64.	CONC-DOC-ENPECYT2017-INTERES	ASTRA5-U0-CONOC-004	paquete conocimiento.md §Contratos CERRADOS; u0mf --busca 8cf0c1a6 → 0 (SIN-ID, sin cambio), 24/sep	CONOCIMIENTO	Cambiaría si una ENPECYT posterior (no existe desde 2017) mostrara un interés sustancialmente distinto, o si el universo rural cambiara la cifra al incluirse.
ENLACE	conocimiento-005	LECTURA-196ec5d4-02;CAND-196ec5d4-L53	L20,L59	Boletín ENPECYT 2017 272/18: ~92% de acuerdo con mayor inversión pública en investigación (92.2% texto/titular, 92.3% numeralia final).	FUERTE	ENLACE	primaria México							VER-CONTRATO	VER-CONTRATO (ASTRA5-U0-CONOC-005): discrepancia interna 92.2/92.3 sin resolver; cuestionario sección25 ítem1 códigos 1+2.			ninguna corrida con INEGI/CONACYT ENPECYT (u0mf --calc: 0)	ASTRA5-MESA-CONOCIMIENTO	Ninguna (contrato cerrado).	CONC-DOC-ENPECYT2017-INVERSION	ASTRA5-U0-CONOC-005	paquete conocimiento.md §Contratos CERRADOS, 24/sep	CONOCIMIENTO	Cambiaría si se localizara la versión de campo que concilia 92.2 vs 92.3 y una de las dos deja de sostenerse.
ENLACE	conocimiento-006	LECTURA-196ec5d4-02;CAND-196ec5d4-L63	L20,L65	Wellcome Global Monitor 2018: 27% de confianza 'baja' en científicos para la región conjunta Centroamérica y México (más del doble que la 'alta').	FUERTE (resumen L20); MEDIA (mapa de evidencia L65)	ENLACE	mixta							VER-CONTRATO	VER-CONTRATO (ASTRA5-U0-CONOC-006): informe 2019 cap.3 p.54, índice de 5 ítems, 9 países de Centroamérica y México conjunta; no es dato exclusivo de México. Misma inconsistencia interna de tier que CONOC-004 (FUERTE en L20 vs MEDIA en L65), anotada sin corregir.			ninguna corrida con Wellcome Global Monitor 2018 (u0mf --calc: 0)	ASTRA5-MESA-CONOCIMIENTO	Ninguna (contrato cerrado).	CONC-DOC-WELLCOME2018-CONFCIENTIFICOS	ASTRA5-U0-CONOC-006	paquete conocimiento.md §Contratos CERRADOS; u0mf --busca eea01061 → 0 (SIN-ID, sin cambio), 24/sep	CONOCIMIENTO	Cambiaría si Wellcome publicara un desglose exclusivo de México con un % de confianza baja sustancialmente distinto de 27%.
ASTRA5-U0-CONOC-007	conocimiento-007	LECTURA-196ec5d4-08;CAND-196ec5d4-L53	L26,L55	ENDUTIH 2023: 91.2% de usuarios de smartphone usa mensajería tipo WhatsApp; 91.5% usa redes sociales; 97.1% se conecta por smartphone.	FUERTE	CIFRA-PUBLICADA	primaria México	Uso declarado de mensajería instantánea, redes sociales y conexión por celular inteligente entre usuarios de Internet/smartphone.	No mide creencia/verificación de contenido (eso es otro componente, filas 038/039); no mide población total, solo usuarios.	persona; usuarios de Internet de 6+ años que usan smartphone; ENDUTIH 2023 (INEGI/IFT)	ENDUTIH 2023 (INEGI/IFT)	endutih_2023_fd_endutih2023|0f78146a6d61b0b5cd4d84056aa77e0f1bf1b25a9a126e8813215eada4da62c2|hoja tic_2023_usuarios/tic_2023_usuarios2	P7_12_3: '7.12 En los últimos tres meses, ¿ha utilizado el internet para… enviar mensajes instantáneos (WhatsApp, Messenger, Twitter, etcétera)?'; P7_16_6: '7.16 ¿Qué redes sociales utiliza? Whatsapp'; P8_13_1: '8.13 ¿Ha usado aplicaciones para... mensajería instantánea (WhatsApp, Messenger, Telegram, etcétera)?'; P7_6_4: '7.6 ¿Se conecta a Internet por medio de… celular inteligente (Smartphone)?'. Códigos de respuesta por extraer de fuente_id endutih_2023_fd_endutih2023 (columnas de código en FD_ENDUTIH2023.xlsx).	MEDIBLE-EN-CORPUS	Payload y FD registrados en manifiesto (confirmado de nuevo con u0mf --id endutih_2023_fd_endutih2023: sha 0f78146a6d61b0b5cd4d84056aa77e0f1bf1b25a9a126e8813215eada4da62c2, archivo endutih2023/FD_ENDUTIH2023.xlsx, coincide exacto); texto literal de reactivo confirmado con u0busca para los cuatro items que sostienen las cuatro cifras del bullet L55; el % exacto reportado (91.2/91.5/97.1) es tabulacion derivada, no una variable de codigo unico, y no se abrio microdato (cero-microdato). Se corrige el defecto de validacion: el campo documento_id_hash_pagina traia el id y el sha con prefijos ('fuente_id=', 'sha256=') que rompian el patron id|sha256|ref exigido por el validador; ahora va en formato desnudo.	endutih_2023_endutih2023_bd_dbf|29d195082796c2692bfeb688348de3ed792848781ff7575f91b7da68119f9696|raíz data_raw; U0 no abrió microdato		RESULT de otro componente: RESULT-ENDUTIH-PISOS-2024-TABLA (ENDUTIH 2024, U4, #1085) mide P7_1/P7_2 de la ola 2024, no 2023 — sin contraste directo (u0mf --calc endutih_2023_endutih2023_bd_dbf: 0)	ASTRA5-U4	Cotejar 91.2%/91.5%/97.1% contra tabulados publicados INEGI/IFT ENDUTIH 2023 (comunicado de prensa) con las variables citadas; U4 puede correr un piso análogo al de ENDUTIH 2024.	CONC-ENDUTIH2023-P7_12_P7_16_P7_6		[previo] u0busca -q 'mensajeria|whatsapp' --encuesta endutih --ola 2023 -> 10 aciertos; u0busca -q 'conecta a Internet|dispositivo.*conecta' --encuesta endutih --ola 2023 -> 20 aciertos, 24/sep. [segunda pasada 24/sep] u0mf --id endutih_2023_fd_endutih2023 -> confirma id+sha256+archivo en el manifiesto, reformateado a id|sha256|ref sin prefijos.	TECNOLOGIA	Cambiaría si el tabulado oficial ENDUTIH 2023 reportara un % de uso de mensajería/redes entre usuarios de smartphone claramente distinto de ~91%.
ASTRA5-U0-CONOC-008	conocimiento-008	LECTURA-196ec5d4-08;CAND-196ec5d4-L53	L26,L55	ENDUTIH 2023: 81.2% de la población usa internet (97 millones de personas).	FUERTE	CIFRA-PUBLICADA	primaria México	Proporción de la población (6+ años) que es usuaria de Internet.	Es un indicador de penetracion poblacional (variable binaria de uso de Internet en los ultimos 3 meses, P3_9_2, tabla tic_2023_residentes = poblacion general, distinta de tic_2023_usuarios que ya es el subconjunto de usuarios), no de patron de uso; el % exacto (81.2%/97 millones) es tabulacion derivada de esta variable, no esta en el microdato como cifra unica -- U0 no abrio microdato.	persona; población de 6+ años; ENDUTIH 2023 (INEGI/IFT)	ENDUTIH 2023 (INEGI/IFT)	endutih_2023_fd_endutih2023|0f78146a6d61b0b5cd4d84056aa77e0f1bf1b25a9a126e8813215eada4da62c2|hoja tic_2023_residentes fila 41 (variable P3_9_2)	3.9 En los ultimos tres meses, ¿(NOMBRE) ha hecho uso de... internet? -- P3_9_2, ENDUTIH 2023, tabla tic_2023_residentes.DBF (poblacion general 6+ anos, no solo usuarios); codigos de respuesta por extraer de fuente_id endutih_2023_fd_endutih2023, hoja tic_2023_residentes fila 41.	MEDIBLE-EN-CORPUS	Regla del encargo aplicada: el payload y el FD ya estan en el manifiesto (mismo id que fila 007); en esta segunda pasada se localizo la variable binaria de 'usuario de Internet' que faltaba: P3_9_2 '3.9 En los ultimos tres meses, ¿(NOMBRE) ha hecho uso de... internet?' en la tabla tic_2023_residentes.DBF (poblacion general 6+, no solo usuarios de smartphone), FD_ENDUTIH2023.xlsx hoja tic_2023_residentes fila 41 -- esta es la variable de la que se deriva la penetracion poblacional citada (81.2%/97 millones). Con el reactivo literal localizado en la misma ola/payload ya registrado, la fila pasa a MEDIBLE-EN-CORPUS; el cotejo exacto del % y del total de personas queda residual.	endutih_2023_endutih2023_bd_dbf|29d195082796c2692bfeb688348de3ed792848781ff7575f91b7da68119f9696|raiz data_raw; U0 no abrio microdato		RESULT de otro componente: RESULT-ENDUTIH-PISOS-2024-TABLA (P7_1 uso de internet, ola 2024: 83.12%) — ola distinta, sin contraste directo	ASTRA5-U4	Cotejar 81.2%/97 millones contra el tabulado oficial INEGI/IFT ENDUTIH 2023 (comunicado de prensa) usando la variable P3_9_2 de tic_2023_residentes; U4 puede correr un piso analogo al de ENDUTIH 2024.	CONC-ENDUTIH2023-USOINTERNET		[previo] u0busca -q 'usuario de internet|uso de internet' --encuesta endutih --ola 2023 -> 2 aciertos (solo P8_17 frecuencia, no binaria); u0busca -q 'es usuario|Es usuario de Internet' -> 0 aciertos, 24/sep. [segunda pasada 24/sep] u0busca -q 'usa internet|utiliza internet|usuari' --encuesta endutih --ola 2023 --limite 30 -> 14 aciertos, incl. P7_2 (tic_2023_usuarios, ya usuarios); u0busca -q Internet --encuesta endutih --ola 2023 --limite 60 -> localiza P3_9_2 en tic_2023_residentes.DBF fila 41 ('3.9 ... ha hecho uso de... internet?'), la variable binaria de poblacion general que faltaba.	TECNOLOGIA	Cambiaría si el tabulado oficial mostrara una penetración de Internet sustancialmente distinta de 81.2% para la misma ola.
ASTRA5-U0-CONOC-009	conocimiento-009	LECTURA-196ec5d4-06;CAND-196ec5d4-L53	L24,L56	Retorno de la educación superior de los más altos de la OCDE (Education at a Glance 2025): egresado universitario gana 50%-150% más que quien solo terminó bachillerato; terciaria 25-34 años subió de 24% a 29% (2019-2024).	FUERTE	CIFRA-PUBLICADA	primaria México	Prima salarial de adultos con educación terciaria vs. upper secondary, y % de 25-34 años con terciaria completa, para México.	No identifica retorno causal individual (selección hacia terciaria no controlada); no se materializa igual para todos por informalidad y baja movilidad, como el propio report admite.	persona adulta (25-64 y 25-34 años); México; OCDE Education at a Glance 2025	OECD Education at a Glance 2025, nota de país México	OECD Education at a Glance 2025, 'Mexico' country note, https://www.oecd.org/en/publications/education-at-a-glance-2025_1a3543e2-en/mexico_3b36a6f6-en.html (existencia confirmada 24/sep/2026; contenido del PDF no legible por WebFetch — binario/403 en fetch directo del sitio)	No cotejado: el fetch automatizado a oecd.org devolvió HTTP 403 (Cloudflare) y el PDF del country note no fue legible como texto por la herramienta; la cifra promedio OCDE hallada en búsqueda (bachelor's +39%, master's/doctorado +83% vs upper secondary, promedio OCDE, no México) no coincide literalmente con el 50%-150% del report — puede ser un rango que mezcla distintos grados o comparadores.	MEDIBLE-CON-ADQUISICIÓN	Documento primario identificado (emisor OCDE, título, año, URL) vía WebSearch 24/sep/2026; existencia no en duda (organismo internacional). No se pudo leer el contenido (403/PDF binario) para cotejar el 50%-150% específico de México ni la Tabla A4 de origen.	SIN-ID-MANIFIESTO (no registrado en data/manifiesto.yaml; u0mf --busca 'education at a glance' → 0)		ninguna corrida con OECD Education at a Glance 2025 (u0mf --calc: 0)	ASTRA5-MESA-CONOCIMIENTO	faltante: registrar el country note/PDF de México (Education at a Glance 2025) en el manifiesto con sha256; cotejar cifra 50%-150% y 24%→29% contra Tabla A4/A1 para México, edad 25-64/25-34, año de referencia de los datos subyacentes (probable 2023/2024).	CONC-DOC-OECDEAG2025-MEXICO		WebSearch 'OECD Education at a Glance 2025 Mexico earnings premium' (24/sep/2026) → confirma título/URL del country note; WebFetch PDF del country note → binario ilegible; WebFetch HTML 'what-are-the-earnings-advantages-to-education' → HTTP 403	CONOCIMIENTO	Cambiaría si la Tabla A4 de México mostrara una prima salarial fuera del rango 50%-150% o si el % con terciaria 25-34 no hubiera subido de 24% a 29%.
ASTRA5-U0-CONOC-010	conocimiento-010	LECTURA-196ec5d4-10;CAND-196ec5d4-L53;CAND-196ec5d4-L183;CAND-196ec5d4-L209	L28,L57,L183,L209	ENSANUT Continua 2021-2023: cobertura de vacunación COVID en adultos jóvenes/mayores 86.6% y 89.2% autorreporte; esquema completo de vacunación infantil a los 2 años: 26.6% en 2022 (IC95% 22.1-31.5), caída desde 31.1% en 2021.	FUERTE	CIFRA-PUBLICADA	primaria México	Cobertura autorreportada de vacunación COVID en adultos y esquema completo de vacunación infantil a los 2 años, por ola ENSANUT.	Autorreporte, no cartilla verificada; no separa por sí sola desabasto/logística de rechazo actitudinal (el report lo infiere, no lo mide directamente aquí).	persona; adultos jóvenes/mayores (COVID) y niños de 2 años (esquema completo); ENSANUT Continua 2021, 2022 y 2023	ENSANUT Continua 2021 / 2022 / 2023 (INSP/Secretaría de Salud)	SIN-ID-MANIFIESTO — no registrado; corpus solo tiene ENSANUT 2024 y un cuestionario ENSANUT 2018 de utilizadores (conf17_r9_1_ensanut_2018_cuestionario_utilizadores)	No verificado en este lote (no hay documento local ni se gastó presupuesto web en esta cifra específica, priorizado hacia otras FUERTE).	MEDIBLE-CON-ADQUISICIÓN	ENSANUT Continua es una serie oficial INSP/Secretaría de Salud bien identificada por nombre, con ediciones anuales documentadas (2018-2023) antes de la reforma a ENSANUT 2024 que sí está en el corpus; ninguna ola 2021/2022/2023 está registrada en el manifiesto (u0mf --busca ensanut 2021/2022/2023 → 0 cada una).	SIN-ID-MANIFIESTO (u0mf --busca ensanut 2021 → 0; --busca ensanut 2022 → 0; --busca ensanut 2023 → 0)		ninguna corrida con ENSANUT Continua 2021/2022/2023 (u0mf --calc: 0)	ASTRA5-MESA-SALUD	faltante: ENSANUT Continua 2021, 2022 y 2023 (módulo de vacunación, microdato + informe/boletín) registrados en el manifiesto con id y sha256.	CONC-ENSANUTCONTINUA2021_2023-VACUNACION		u0mf --busca ensanut --busca 2021 → 0; --busca ensanut --busca 2022 → 0; --busca ensanut --busca 2023 → 0; u0mf --busca ensanut → 150 entradas, todas ENSANUT 2024/2018, 24/sep	SALUD	Cambiaría si el informe oficial mostrara coberturas de vacunación infantil/COVID distintas a 26.6%/86.6-89.2% para las mismas olas y grupo de edad.
