relacion_id	necesidad_id	fuente_canonica_normalizada	objeto_evidencia_id_canonico	fuente_nombre	tipo_fuente	id_manifiesto	sha256_fuente	capa1_universo_indexado	capa2_manifiesto	capa3_disco_real	capa4_apertura_mapeo	clasificacion_relacion	reason_code	evidencia_ref	evidencia_textual_breve	confianza	conflicto_material	nota
REL-00e7bd28c9c0db01fd89a3be	N24	ENIF	OE-6ef40dafb8aa2ce4de4aab6f	Encuesta Nacional de Inclusión Financiera	FUENTE_DATOS	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO		CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-fuentes-2026-08-06.tsv:L14	NO_DETERMINADO	MEDIA	NO	Escala/diseño/universo:
REL-010587549b42b447e0b551cc	N14	ENASIC	OE-39b0e41e519661a192590d66	ENASIC 2022	FUENTE_DATOS	enasic2022_fd_xlsx	33c692e05bd7dbafb801a1594a819c7be0e7cf5c25822c66ea458dc9fe9c1370	SI	SI	EXISTE;COINCIDE;INTEGRO	EXISTE-NO-SATISFACE	NEGATIVA	APERTURA_NEGATIVA_EXPLICITA	MAIN:data/abrir4-variables-2026-08-08.tsv:L21	'6.45.06 ¿Por que no ha buscado este tipo de servicios o lugares (guarderia, casa del abuelo, asilo, o algun lugar donde otorguen cuidados o realicen actividades o talleres)? Incomodidad o desconfianza de que alguien ajeno lo cuide'	ALTA	NO	Escala/diseño/universo: binario Si marcado / no marcado (razon de una lista de opcion multiple); NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); confianza/confia = 3 coincidencias, las 3 son la misma pregunta repetida en 3 tablas distintas. Le falta: es desconfianza acotada especificamente a 'que alguien ajeno cuide' (dominio de cuidados), no un radio de confianza general, y no existe ningun desenlace financiero en este instrumento para construir el puente que pide la necesidad 14, 2026-08-08
REL-01ff8326fdbe3c0a4e299a02	N14	ENSAFI	OE-f5415c4f1402e7c66987fbd5	ENSAFI	FUENTE_CANDIDATA	NO_DETERMINADO	NO_DETERMINADO	SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	Gradiente de confianza coobservado con dificultad financiera/seguro familiar en la misma muestra.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.
REL-028de5b919a6739a98cd9289	N12	ENFIH	OE-ccd36853bad165d40420a98b	Encuesta Nacional sobre las Finanzas de los Hogares	FUENTE_DATOS	enfih2019_fd_xlsx	326b68b342797de45a7a4eb3dbf04f3790d11035df2611d7f9153d1ae12a48e1	SI	SI	EXISTE;COINCIDE;INTEGRO	EXISTE-NO-SATISFACE	NEGATIVA	APERTURA_NEGATIVA_EXPLICITA	MAIN:data/abrir4-variables-2026-08-08.tsv:L12	'11.1 Si hoy tuviera una urgencia economica igual a lo que gana o recibe en un mes, ¿usted podria pagarla con un prestamo de amigos o familiares?'	ALTA	NO	Escala/diseño/universo: binario Si/No; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 26 coincidencias de 'familiar', 15 de 'apoyo' (838 variables) -- la enorme mayoria son transacciones conductuales (prestamos ya recibidos de familiares, subsidios de gobierno) o P11_1_5 (capacidad percibida de afrontamiento en UN escenario hipotetico). Le falta: no es una disposicion general de apoyo/familismo, es capacidad percibida de coping en un escenario puntual, 2026-08-08
REL-02a3b065790c80afc38dd59c	N29	REGISTRO_DE_TANDAS_Y_REPUTACION	OE-0c58708f4cb7f7053d9d7a7f	Registro de tandas y reputación	FUENTE_DATOS	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	NO-ACCESIBLE	NO_ACCESIBLE	APERTURA_NO_ACCESIBLE	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L29	NO-ACCESIBLE	ALTA	NO	Escala/diseño/universo:
REL-02b8ee6d0e13dfb6dc7d3331	N27	CSES	OE-a56efe10a720cb6696d3271e	CSES Module 5 México 2018	FUENTE_DATOS	cses5_modulo5_2016_2021_cuestionario	d4deba9a038639871db1625158ef437fe476a3f8b2a0edc5a8041347528abc6c	SI	SI	EXISTE;COINCIDE;INTEGRO		CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L7	NO_DETERMINADO	MEDIA	NO	"Escala/diseño/universo: Caveat (ACTO ENLACE-1): el manifiesto declara cobertura de Mexico ""NO verificada en esta sesion"" para el CSV pooled de CSES Modulo 5 -- verificacion pendiente, no ausencia confirmada. Ver forense/notas/2026-08-13-enlace1-commit1-reglas-mapeo.md S4."
REL-04c3943ecb0df7bacdc3c994	N12	ENFIH	OE-826b60a87b39ab2aec89c752	ENFIH	FUENTE_CANDIDATA	NO_DETERMINADO	NO_DETERMINADO	SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	NEGATIVA	CURADURIA_SEMANTICA_MULTI2	MAIN:data/abrir4-variables-2026-08-08.tsv:L12	11.1 Si hoy tuviera una urgencia economica igual a lo que gana o recibe en un mes, ¿usted podria pagarla con un prestamo de amigos o familiares?	BAJA	NO	El reactivo mide capacidad percibida de afrontar una urgencia puntual mediante préstamo familiar; no mide una disposición general de apoyo/familismo. | Reserva: La conclusión se limita a la evidencia local abierta; no se infiere contenido ausente. | Siguiente: Conservar como negativa fuente-específica; buscar un reactivo disposicional solo en una futura fuente ya identificada.
REL-055f95a08fee0f508052ddec	N4	ENSAFI	OE-7b029300001a2bf782ba2f34	Encuesta Nacional sobre Salud Financiera	FUENTE_DATOS	ensafi2023_bd_csv_zip	c0594079ddf4733d4f574d00f5e84290c62c5330eab0567dd867c26d42fafacd	SI	SI	EXISTE;COINCIDE;INTEGRO	EXISTE-NO-SATISFACE	NEGATIVA	APERTURA_NEGATIVA_EXPLICITA	MAIN:data/abrir4-variables-2026-08-08.tsv:L3	[SIN TEXTO DE REACTIVO -- ENSAFI no trae diccionario en este corpus; nombre de columna derivada, hallada por lectura manual del encabezado, no por el barrido de terminos]	ALTA	NO	Escala/diseño/universo: binaria, valores observados {1,2} en TMODULO.csv (python3+csv); dirección/sentido no verificable sin documentación; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 369 encabezados crudos, terminos riesgo/arriesg/perdida/perder/certidumbre = 0; IMPULSIVID (y GRA_CONTROL) hallados por lectura manual de las ultimas 17 columnas de TMODULO (indices derivados no P-numerados); sin documentacion complementaria en todo el repo (grep -rIl sobre *.md/*.yaml/*.txt, 0 resultados), 2026-08-08. Mismo riesgo de sobre-interpretar nombre sin pregun
REL-0692b43ca9c2f7bb608a2858	N25	EXPERIMENTO_DE_INFORMACION_ELECTORAL_2009	OE-8f2afe044e85aa01a5d1887e	Experimento de información electoral 2009	FUENTE_CANDIDATA	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:data/catalogo-fuentes-v2_0.md;MAIN:data/cola-aperturas-externas-2026-08-06.tsv	Serie municipal pareada por tipo de elección.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica. [ENLACE-2 2026-08-14] NO_REFERENCIADO. Los tres documentos analiticos citados (estado-programa, modelo-decision, catalogo-fuentes-v2_0) no mencionan la fuente; el cuarto, data/cola-aperturas-externas-2026-08-06.tsv:L6, la trae como accion pendiente (abrir codebook), sin payload ni objeto.
REL-08af2a451bfb04d90902eec4	N28	IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	OE-cf8d6b60756007bb54baf260	Impact Evaluation of Parental Empowerment Program	FUENTE_DATOS	NO_DETERMINADO	NO_DETERMINADO	SI	NO_REFERENCIADO	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L17	INDEXADO-NO-DESCARGADO	MEDIA	NO	Escala/diseño/universo:
