propuesta_id	tarea_id	reporte_id	payload_id	representacion_id	sha256	objeto_logico_id	necesidad_id	reactivo_id	accion_propuesta	relacion_id_actual	veredicto_a4	evidencia_ref	frontera_semantica	confianza	requiere_decision_mesa	decision_mesa_id	dependencia_fp24	razon_gate	estado_supervision	supervisor_id	fecha	estado_integracion	razon_integracion	journal_id
PROP-B2-8d5ea7f3f6c4e8a9f7afb3665c59bb64ad4b3ae8ab37cce8d105f7e22af83578	TSEM-B2-e769194cfacddb267e2669b0d6c5ff0dc63dadaead1a8e0b0d9ee4d434f75486	RPTC-B2-5753185d24e361ee8f4f4cea30cc92c79948242e99f497dd8b0072ca9b01f26a	ensafi2023_bd_csv_zip	REP-de65c996e2c07f18cdabb0c730ca6bfdadb8e7ffae281518a6912d9b0afb8e0c	c0594079ddf4733d4f574d00f5e84290c62c5330eab0567dd867c26d42fafacd	OBJ-B2-c97f6138f0939073453849df43b68bdf8e898c22c4a424766d44ea5038d47ac8	N14	OBJ-B2-c97f6138f0939073453849df43b68bdf8e898c22c4a424766d44ea5038d47ac8	CAMBIO	REL-01ff8326fdbe3c0a4e299a02	EXISTE-NO-SATISFACE	E2R-77d0db74024fa2f8a7f2b90e5377036335aeb09b44223a6386079b3607fcfb9c:fd00c5d15c557618bc16425f79832f06209fcf2e284626c00dd4b3d7728fae52	377 reg. del zip BD ENSAFI 2023: 4 miembros, 4 tablas y 369 encabezados de columna; sin diccionario, sin texto de reactivo ni value labels	ALTA	NO	NO-APLICA	NO	ADR-93: ENSAFI tiene UNA sola entrada en el manifiesto; no hay entrada distinta; condicion no se cumple; dependencia NO	VALIDADA	SUP-OPUS-B2SEM	2026-08-18	INTEGRADA	Capa 4 proyectada desde propuestas supervisadas y joins verificados	JRN-B2-720d1e43ccaad64eb2034a8039c74cc4342baeab6b6f99e8e5d5218fd8aa050c
PROP-B2-e1b9ecf70020d8bc2af5ffc7bca92eddadb3a1747386e3edd1fb0acda8589228	TSEM-B2-471043fc0f5261ba8ede0f1ee68b1e9e8594f9a6ca0b4d0e42fd9bd65c092403	RPTC-B2-380464c0ee9bb11f2b2a52c65388888e1c06407b11a01056fd387f01f20e4ff4	enfih2019_fd_xlsx	REP-9be3804a6acd764b4a3b41efb3f84da57cc420a18e2002eecfdc23d3d7a6b69f	326b68b342797de45a7a4eb3dbf04f3790d11035df2611d7f9153d1ae12a48e1	OBJ-B2-e2710c97a85329e25e010dbe888d27b7b7b5312a9c4f9b9c833956eff75f619c	N12	OBJ-B2-e2710c97a85329e25e010dbe888d27b7b7b5312a9c4f9b9c833956eff75f619c	CAMBIO	REL-04c3943ecb0df7bacdc3c994	EXISTE-NO-SATISFACE	E2R-9fad08daf75b322eff3ff87be34d8de1be70aa5de6f0d6f2cf8e4e787ed6d2cd:c5204112b2a7ef6298449eb15c2e7004d8274628b0fa0ca0be72ef573a687a17	Diccionario fd_xlsx completo: 664 variables, 16 hojas; bd solo aporta 527 nombres de columna. 43 reactivos nombran familia/amigos. Sin listas de opciones.	ALTA	NO	NO-APLICA	NO	ADR-93: objeto evidenciable en entrada distinta enfih2019_bd_csv_zip (527 nombres comunes); decidible por evidencia, dependencia NO	VALIDADA	SUP-OPUS-B2SEM	2026-08-18	INTEGRADA	Capa 4 proyectada desde propuestas supervisadas y joins verificados	JRN-B2-720d1e43ccaad64eb2034a8039c74cc4342baeab6b6f99e8e5d5218fd8aa050c
PROP-B2-e60ced8a813771df324706c10208fa53d35aa5a0005f96916c7a6f4d6a4d9a99	TSEM-B2-1f7c6194abd62c1ea6b29c7bbe615e358f47dadf4e84cfa8dc73dd9dd376413f	RPTC-B2-6daa2aaee734cbecb65de06cec2f42327a95f705beea9e5e08d239e80cb459b1	mex_2010_iepep_v01_m_v01_a_puf_spss	REP-7f8cdcb2ee07892a92b9aebf01bce845b5432304069518570f4be562e6db3a5e	567e024217b6ff3a095ba2e9cd92cddba7e45e1b4c56bcaa7cec8ac7e3959dc6	OBJ-B2-1af9297e3100ebf6015f9b011ed7fbacc417a345006a39cb4fd4dd256d52ef36	N28	OBJ-B2-1af9297e3100ebf6015f9b011ed7fbacc417a345006a39cb4fd4dd256d52ef36	CAMBIO	REL-08af2a451bfb04d90902eec4	EXISTE-SATISFACE	E2R-b002fb2c6a657d801506cc4054906b09d4070c99f0014aa1a27fbc9f0c167955:ffccd0540081f9267f179d86e24a81e260b9f75b9bf8bd55bae508ad536b4501	1288 etiquetas SAV/DTA de las 4 bases IEPEP (padres, maestros, directores, alumnos) mas informe 17pp; el DDI-XML (50307 elem.) va sin texto persistido	MEDIA	NO	NO-APLICA	NO	Decidible por evidencia fuente/objeto-especifica del material E2 abierto por BARRIDO-2; no exige la regla de pares	VALIDADA	SUP-OPUS-B2SEM	2026-08-18	INTEGRADA	Capa 4 proyectada desde propuestas supervisadas y joins verificados	JRN-B2-720d1e43ccaad64eb2034a8039c74cc4342baeab6b6f99e8e5d5218fd8aa050c
PROP-B2-4f9a20f7f92c67a16fbcfd594fbb70fb378edd031af9625707c722a1d410cab8	TSEM-B2-b68b889e3e20d737becf6a1db23c182720149946fedbda5cc6164df16c43b00a	RPTC-B2-5753185d24e361ee8f4f4cea30cc92c79948242e99f497dd8b0072ca9b01f26a	ensafi2023_bd_csv_zip	REP-de65c996e2c07f18cdabb0c730ca6bfdadb8e7ffae281518a6912d9b0afb8e0c	c0594079ddf4733d4f574d00f5e84290c62c5330eab0567dd867c26d42fafacd	OBJ-B2-0c6fe7a9676b9882c07289481c26f74a1dccac0f3e70866cefcef918d08ce651	N13	OBJ-B2-0c6fe7a9676b9882c07289481c26f74a1dccac0f3e70866cefcef918d08ce651	TERMINAL	REL-0b6385436015c470992017f1	NO-ENCONTRADO-EN-UNIVERSO-INSPECCIONADO	E2R-00b49fc3872b6e094497de5c0ba17822feefc3b946c91830bee11668f8c6031b:6aebbddea746529d3b5b8505be7b9ed4b1b0d8f945e3601febbaf88b7e473a35	377 reg. del zip BD ENSAFI 2023: 4 miembros, 4 tablas y 369 encabezados de columna; sin diccionario, sin texto de reactivo ni value labels	ALTA	NO	NO-APLICA	NO	ADR-93: ENSAFI tiene UNA sola entrada en el manifiesto; no hay entrada distinta; condicion no se cumple; dependencia NO	VALIDADA	SUP-OPUS-B2SEM	2026-08-18	INTEGRADA	Capa 4 proyectada desde propuestas supervisadas y joins verificados	JRN-B2-720d1e43ccaad64eb2034a8039c74cc4342baeab6b6f99e8e5d5218fd8aa050c
PROP-B2-74953c46f4d7c2fbdeb486a1006d83e7bc9c3cb0fc667cdb140209a846dc0236	TSEM-B2-6fbf05653310d2e4453728d4f79b5c79951351f9c6ce8d7182603f677a24bb9f	RPTC-B2-6558aec5ad97034e3a7f1aca826fe73066cc19837526ee14a5a07228755c51cc	dataverse_files	REP-a434b60075ee7f698b1d34fcf37697c2db2a84839c0c961e75778625ddb60e10	6358fb5ef7aaafaa186940591c27bd4fc52c66ecca37e3e9381040c270a4096d	OBJ-B2-93c194f57b50ad25ad454fbf680371a45d880ed3da73e7c2da4ee2f9163b77d2	N27	OBJ-B2-93c194f57b50ad25ad454fbf680371a45d880ed3da73e7c2da4ee2f9163b77d2	CAMBIO	REL-107500c8d4873fe4d05bb8e3	EXISTE-NO-SATISFACE	E2R-168e924064ac68cdb1cc348665382859e051707fd40052e735222d250b964965:5669b0babb02c785cdc3e79c42b6d92acc8286df97d11a0700abece410a6881f	87 objetos de dataverse_files (31 columnas CSV, 31 variables DTA, manual 6pp) y 20 del manual; sin catalogo de codigos ni celdas de microdato	ALTA	NO	NO-APLICA	NO	Decidible por evidencia fuente/objeto-especifica del material E2 abierto por BARRIDO-2; no exige la regla de pares	VALIDADA	SUP-OPUS-B2SEM	2026-08-18	INTEGRADA	Capa 4 proyectada desde propuestas supervisadas y joins verificados	JRN-B2-720d1e43ccaad64eb2034a8039c74cc4342baeab6b6f99e8e5d5218fd8aa050c
PROP-B2-07f1e957820c090d1a2ddb1e011bab9a59aad6599e851cdd6ab295291e46e67f	TSEM-B2-3c93f54e897c70d194fd4d7d06601ed1ac3a0a322db549d31f819a008d530037	RPTC-B2-9965f095cb96c3092017404518eefcd3d1295e705c220af975272470d4abf0ed	cses5_modulo5_2016_2021_cuestionario	REP-a3ae6523d18b5adb2bd245f06f130a2b7b5d716867552b410cc079dfca4a6a72	d4deba9a038639871db1625158ef437fe476a3f8b2a0edc5a8041347528abc6c	OBJ-B2-ab1a4747dc6e204bf3c7890ca1acd2897d4d11499e4434d12d052cf6dd575b89	N25	OBJ-B2-ab1a4747dc6e204bf3c7890ca1acd2897d4d11499e4434d12d052cf6dd575b89	CAMBIO	REL-162b116abdb2212886430f08	EXISTE-SATISFACE	E2R-239cbfcb1d2c08e45915c6f8fc00cd7871b6417f179515fe45a5df92ebb637e9:857edba5b83bf5431e92cfad2cb4bde42070a2ce92070a893b0324890c4fd932	801 secciones del cuestionario CSES M5; solo se persistieron lineas de opcion numeradas, no los enunciados; no se abrio el microdato	MEDIA	NO	NO-APLICA	NO	Decidible por evidencia fuente/objeto-especifica del material E2 abierto por BARRIDO-2; no exige la regla de pares	VALIDADA	SUP-OPUS-B2SEM	2026-08-18	INTEGRADA	Capa 4 proyectada desde propuestas supervisadas y joins verificados	JRN-B2-720d1e43ccaad64eb2034a8039c74cc4342baeab6b6f99e8e5d5218fd8aa050c
PROP-B2-16d23511aea3ae5a2eb975388117f455912cccc80b464ea513569e31a2ab6fa5	TSEM-B2-5ab379c553fd1af68ec4d1641b1563eb25804ca5422b9236cf2fc09db648a835	RPTC-B2-127e316f17ba1a92ae3014d56f9a6b0d265fe6861142f4019a9b3495d42affef	enfih2019_bd_csv_zip	REP-84d45be3c21bcf3ef54d32ad3122cb76a7eb10beef0f0584715b1d224fffaf58	be372533d5043920892142e8bf792b7293a5f20ab466a6441bc89925b42ef4d5	OBJ-B2-9b70c0c3d3b8251e93f69a02bfd33d32341470cb2aec1de45faafaaf2c781a00	N10	OBJ-B2-9b70c0c3d3b8251e93f69a02bfd33d32341470cb2aec1de45faafaaf2c781a00	TERMINAL	REL-16d3c66af7fc856df2130139	NO-ENCONTRADO-EN-UNIVERSO-INSPECCIONADO	E2R-006036a1afb52092123e7a5483dd861aab37598c4a60534ac9ec2c131e9c0e52:b33712000c7a7a0797b988609ea5c592ede3fa7c5a1ba0175d29128cca4d0ae9	fd_xlsx completo (664 vars, 16 hojas) + 527 nombres del bd. Barrido horizonte/plazo/futuro/vejez/planea: 0; si revise Afore y plazos de pago.	MEDIA	NO	NO-APLICA	NO	ADR-93: objeto evidenciable en entrada distinta enfih2019_bd_csv_zip (527 nombres comunes); decidible por evidencia, dependencia NO	VALIDADA	SUP-OPUS-B2SEM	2026-08-18	INTEGRADA	Capa 4 proyectada desde propuestas supervisadas y joins verificados	JRN-B2-720d1e43ccaad64eb2034a8039c74cc4342baeab6b6f99e8e5d5218fd8aa050c
PROP-B2-7f54adc8e7708ab45bf0ea7d9afa87d1a56341cdd0bd8274973b261dc25d9e3b	TSEM-B2-c3f6fb8ab4b835af4777aabdb4ae0f53a33e69b27f18b7a23ff5080a59c0a191	RPTC-B2-6558aec5ad97034e3a7f1aca826fe73066cc19837526ee14a5a07228755c51cc	dataverse_files	REP-a434b60075ee7f698b1d34fcf37697c2db2a84839c0c961e75778625ddb60e10	6358fb5ef7aaafaa186940591c27bd4fc52c66ecca37e3e9381040c270a4096d	OBJ-B2-0cfb27be06cfef9345101b67edc80d4793eee5a5a7d7092d43d2d155df0bcb08	N17	OBJ-B2-0cfb27be06cfef9345101b67edc80d4793eee5a5a7d7092d43d2d155df0bcb08	TERMINAL	REL-1d9d402e2e1aa77c9c01cb5f	NO-ENCONTRADO-EN-UNIVERSO-INSPECCIONADO	E2R-0693651f2885773112a6c1b5e4b041b85930bc5c2ebaf8f5bfe1a9cd04360fe9:c99778490887f7aef36f6ebf6cc11a10f7ad71e20eaa7d9961a65e007070c305	87+20 objetos MM (columnas CSV, variables DTA, secciones del manual); terminos digital/online/internet/tramite/impuesto: ninguna variable	ALTA	NO	NO-APLICA	NO	Decidible por evidencia fuente/objeto-especifica del material E2 abierto por BARRIDO-2; no exige la regla de pares	VALIDADA	SUP-OPUS-B2SEM	2026-08-18	INTEGRADA	Capa 4 proyectada desde propuestas supervisadas y joins verificados	JRN-B2-720d1e43ccaad64eb2034a8039c74cc4342baeab6b6f99e8e5d5218fd8aa050c
PROP-B2-b77316108a816a5b9dd18cd2293015385ab481a01c2e174d668c9526ff407aea	TSEM-B2-798f614ffbcda2db186353de3effc60fab97e6327a7b38df49d75d56e89eb8c6	RPTC-B2-98c6bf0643fdb229e2057beec03f5c5f435cd160da2d08f4cf1e60db37bdeed1	mex_2011_lfepie_v01_m_spss	REP-57a2b9c9a38fe94c5afe0768966db9f1a5236266a8eb1373d7b2afbb0ae91592	cbebbf0faf1375ea2cf7d2e73ed995f11288e6ab6969dc1ddcbbdfbe6289a69c	OBJ-B2-a0952d443f05b2b747dc6f454b625adea5c3afea98d143d813e716123500e3be	N5	OBJ-B2-a0952d443f05b2b747dc6f454b625adea5c3afea98d143d813e716123500e3be	CAMBIO	REL-2230c5027c1ce5589c32d9b0	EXISTE-SATISFACE	E2R-eae97dd7a4e0442dddd43325743ca580336cb3410901b922e7935c280705c155:1b641992b74c03f1784e33a3f368715eef0923a745df208d94997936e767b052	174 etiquetas SAV y 178 DTA del follow-up LFEPIE; el DDI-XML (8432 elem.) sin texto persistido; no se abrieron celdas de microdato	MEDIA	NO	NO-APLICA	NO	Decidible por evidencia fuente/objeto-especifica del material E2 abierto por BARRIDO-2; no exige la regla de pares	VALIDADA	SUP-OPUS-B2SEM	2026-08-18	INTEGRADA	Capa 4 proyectada desde propuestas supervisadas y joins verificados	JRN-B2-720d1e43ccaad64eb2034a8039c74cc4342baeab6b6f99e8e5d5218fd8aa050c
PROP-B2-a528b3dad25345632941e0ca2be7a95d4af7ad5626a6b1d262e78329062a6ef7	TSEM-B2-1565307c8ad2c489ccef81fc9249da9507d69159700ee31cfd37829fd6e7bdac	RPTC-B2-6558aec5ad97034e3a7f1aca826fe73066cc19837526ee14a5a07228755c51cc	dataverse_files	REP-a434b60075ee7f698b1d34fcf37697c2db2a84839c0c961e75778625ddb60e10	6358fb5ef7aaafaa186940591c27bd4fc52c66ecca37e3e9381040c270a4096d	OBJ-B2-93c194f57b50ad25ad454fbf680371a45d880ed3da73e7c2da4ee2f9163b77d2	N27	OBJ-B2-93c194f57b50ad25ad454fbf680371a45d880ed3da73e7c2da4ee2f9163b77d2	CAMBIO	REL-32d05d4dc466d048e2961f7b	EXISTE-NO-SATISFACE	E2R-168e924064ac68cdb1cc348665382859e051707fd40052e735222d250b964965:5669b0babb02c785cdc3e79c42b6d92acc8286df97d11a0700abece410a6881f	87 objetos de dataverse_files (31 columnas CSV, 31 variables DTA) y 20 secciones del manual MM; sin catalogo de codigos legible	ALTA	NO	NO-APLICA	NO	Decidible por evidencia fuente/objeto-especifica del material E2 abierto por BARRIDO-2; no exige la regla de pares	VALIDADA	SUP-OPUS-B2SEM	2026-08-18	INTEGRADA	Capa 4 proyectada desde propuestas supervisadas y joins verificados	JRN-B2-720d1e43ccaad64eb2034a8039c74cc4342baeab6b6f99e8e5d5218fd8aa050c
