#id	payload_id	tabla	variable	codificacion	universo_filtro	ponderador	estrato	upm	fuente	estado	fecha
CIV-M-01	envipe_2012_base_de_datos_envipe_2012_dbf	TMod_Vic	BP1_23	y=1 si BP1_23 en {01,02,06} (miedo al agresor / miedo a que lo extorsionaran / desconfianza en la autoridad); y=0 si BP1_23 en {03,04,05,07,08,09} (otras razones de no denuncia); 99 y b (blanco) fuera	delitos captados en TMod_Vic, seccion 'I. Todos los tipos de delito' (aplica a todo tipo de delito, no solo a uno); sin filtro adicional mas alla de la codificacion -- BP1_23 es 'b' (blanco) para quien SI denuncio (BP1_20==1), caso que ya queda fuera por codigo no valido, sin necesidad de filtrar por BP1_20 aparte	FAC_DEL	EST	UPM	FD:fd_envipe2012.xls	SELLADA (FP-370; ACTO GEN2-R-COMPLETA-MARCO)	2026-09-10
CIV-M-02	envipe_2013_bd_envipe13_dbf	TMod_Vic	BP1_23	y=1 si BP1_23 en {01,02,06} (miedo al agresor / miedo a que lo extorsionaran / desconfianza en la autoridad); y=0 si BP1_23 en {03,04,05,07,08,09} (otras razones de no denuncia); 99 y b (blanco) fuera	delitos captados en TMod_Vic, seccion I. Todos los tipos de delito (aplica a todo tipo de delito, no solo a uno); sin filtro adicional mas alla de la codificacion -- BP1_23 es b (blanco) para quien SI denuncio (BP1_20==1), caso que ya queda fuera por codigo no valido	FAC_DEL	EST	UPM	FD:fd_envipe2013.xlsx (hoja TMod_Vic, fila 291: catalogo BP1_23 identico al de 2012 y 2021); diseno verificado LEYENDO tmod_vic.dbf de envipe2013/bd_envipe13_dbf.zip (47117 filas): EST y UPM PRESENTES, EST_DIS y UPM_DIS AUSENTES -- no se hereda el diseno de ninguna otra ola	SELLADA (FP-370; ACTO GEN2-R-COMPLETA-MARCO)	2026-09-10
CIV-M-04	envipe_2015_bd_envipe2015_dbf	TMod_Vic	BP1_23	y=1 si BP1_23 en {01,02,06} (miedo al agresor / miedo a que lo extorsionaran / desconfianza en la autoridad); y=0 si BP1_23 en {03,04,05,07,08,09} (otras razones de no denuncia); 99 y b (blanco) fuera	delitos captados en TMod_Vic, seccion I. Todos los tipos de delito (aplica a todo tipo de delito, no solo a uno); sin filtro adicional mas alla de la codificacion -- BP1_23 es b (blanco) para quien SI denuncio (BP1_20==1), caso que ya queda fuera por codigo no valido	FAC_DEL	EST_DIS	UPM_DIS	FD:fd_envipe2015.pdf (pagina 57: catalogo BP1_23 identico); diseno verificado LEYENDO TMod_Vic.dbf de envipe2015/bd_envipe2015_dbf.zip (44699 filas): EST_DIS y UPM_DIS PRESENTES, EST AUSENTE -- 2013 y 2015 son olas contiguas y NO comparten nombres de diseno	SELLADA (FP-370; ACTO GEN2-R-COMPLETA-MARCO)	2026-09-10
CIV-M-10	envipe2021_csv	TMod_Vic	BP1_23	y=1 si BP1_23 en {01,02,06} (miedo al agresor / miedo a que lo extorsionaran / desconfianza en la autoridad); y=0 si BP1_23 en {03,04,05,07,08,09} (otras razones de no denuncia); 99 y b (blanco) fuera	delitos captados en TMod_Vic, seccion I. Todos los tipos de delito (aplica a todo tipo de delito, no solo a uno); sin filtro adicional mas alla de la codificacion -- BP1_23 es b (blanco) para quien SI denuncio (BP1_20==1), caso que ya queda fuera por codigo no valido	FAC_DEL	EST_DIS	UPM_DIS	FD:catalogo embebido catalogos/BP1_23.csv en envipe2021_csv.zip (catalogo identico); diseno verificado LEYENDO conjunto_de_datos_TMod_Vic_ENVIPE_2021.csv (37156 filas): EST_DIS y UPM_DIS PRESENTES	SELLADA (FP-370; ACTO GEN2-R-COMPLETA-MARCO)	2026-09-10
CIV-M-12	envipe2023_csv	TMod_Vic	BP1_23	y=1 si BP1_23 en {01,02,06} (miedo al agresor / miedo a que lo extorsionaran / desconfianza en la autoridad); y=0 si BP1_23 en {03,04,05,07,08,09} (otras razones de no denuncia); 99 y b (blanco) fuera	delitos captados en TMod_Vic, seccion I. Todos los tipos de delito (aplica a todo tipo de delito, no solo a uno); sin filtro adicional mas alla de la codificacion -- BP1_23 es b (blanco) para quien SI denuncio (BP1_20==1), caso que ya queda fuera por codigo no valido	FAC_DEL	EST_DIS	UPM_DIS	FD:catalogos/diccionario embebidos en envipe2023_csv.zip (TMod_Vic)	SELLADA (FP-370; ACTO GEN2-R-COMPLETA-MARCO)	2026-09-10
CIV-M-13	envipe2024_csv	TMod_Vic	BP1_23	y=1 si BP1_23 en {01,02,06} (miedo al agresor / miedo a que lo extorsionaran / desconfianza en la autoridad); y=0 si BP1_23 en {03,04,05,07,08,09} (otras razones de no denuncia); 99 y b (blanco) fuera	delitos captados en TMod_Vic, seccion I. Todos los tipos de delito (aplica a todo tipo de delito, no solo a uno); sin filtro adicional mas alla de la codificacion -- BP1_23 es b (blanco) para quien SI denuncio (BP1_20==1), caso que ya queda fuera por codigo no valido	FAC_DEL	EST_DIS	UPM_DIS	FD:catalogos/diccionario embebidos en envipe2024_csv.zip (TMod_Vic)	SELLADA (FP-370; ACTO GEN2-R-COMPLETA-MARCO)	2026-09-10
DIN-M-01	ennvih1_2002_hogar_dta	ehh02dta_all/ehh02dta_b3b/iiib_cr.dta	cr27	y=1 si cr27=='1' (Si); y=0 si=='3' (No); 7 y 8 (no sabe / no responde) fuera	19802 filas del libro 3B (seccion CR) de ENNViH-1 2002; cr27 tiene etiqueta 'TIENE AHORROS' con 2665 en '1', 17074 en '3', 60 en '7' y 3 nulos; sin filtro adicional	fac_3b (NO esta en esta tabla: vive en ehh02w_all/ehh02w_b3b.dta, JOIN por folio+ls)	NO-DECLARADO-EN-LA-FUENTE	NO-DECLARADO-EN-LA-FUENTE	verificado LEYENDO metadatos de los 137 .dta de ennvih/ehh02dta_all.zip: cr27 aparece en exactamente 2 archivos (iiib_cr.dta 19802 filas; p_cr.dta 1848), lo que coincide con las '2 fila(s) de inventario' del marco. BLOQUEO DOBLE: (a) correr-R.py solo trae csv_zip y dbf_zip, no lee .dta y el zip es 137/137 .dta; (b) el ponderador exige JOIN a otro payload y calcula_desde_tabla rechaza joins. Ademas ni iiib_cr.dta ni ehh02w_b3b.dta traen estrato ni UPM: el diseno solo existe en prosa en ennvih_diseno/ennvih-1_muestra.pdf y calculo-de-factores-de-expansion.pdf	SELLADA (FP-370; ACTO GEN2-R-COMPLETA-MARCO)	2026-09-10
FAM-M-01	enif2018_csv	tmodulo2	p9_9_4	y=1 si p9_9_4=='1' (Si); y=0 si=='2' (No); 9 (no sabe/no responde) fuera	la tabla ya es ese universo (personas seleccionadas de tmodulo2, seccion 9.9); sin filtro adicional declarado en el diccionario	fac_per	est_dis	upm_dis	FD:diccionario_datos_tmodulo2_enif_2018.csv (pregunta 9.9.4)	SELLADA (FP-370; ACTO GEN2-R-COMPLETA-MARCO)	2026-09-10
FAM-M-05	enigh2016_nc_csv	conjunto_de_datos_concentradohogar_enigh_2016_ns/conjunto_de_datos/conjunto_de_datos_concentradohogar_enigh_2016_ns.csv	remesas	y=1 si remesas > 0; y=0 si remesas == 0 -- UMBRAL NUMERICO, no conjunto de codigos: remesas es monto continuo en pesos con 1313 valores distintos en 2016	hogares -- universo completo de concentradohogar (folioviv+foliohog) de ENIGH 2016 Nueva Serie, sin filtro adicional (asi lo declara el marco v1_2); 70311 filas leidas, 0 vacios en remesas	factor	est_dis	upm	COMPUTADA por 'python3 tools/arbitra.py --produce forense/prereg-duelo-v2/espec-R-ciega-v1_2.tsv FAM-M-05 FAM-M-06 FAM-M-07 TRA-M-02' (proyeccion ciega, sha256 b2dacd8a4f66ccb29eb97e448c2d0e9cf1b70002669d0c5770a49def061beb53) en ACTO MAESTRA35-L4, sesion ciega; resultado en corridas-R/FAM-M-05.json (COMMIT-2); specs congeladas en notas-arbitra/2026-09-02-lote-fam-m-05-06-07-tra-m-02-ciego.md (COMMIT-1 e96c25e). Fila de estado = copia integra de la fila 'PROPUESTA' del 2026-09-01, que no se edita; lee_codificacion() toma la ultima fila por id, verificado con --regresion COINCIDE. Fuente original: verificado LEYENDO el CSV de datos (70311 filas): remesas PRESENTE con 1313 valores distintos (66183 en cero, 4128 positivos, 0 vacios); factor, est_dis y upm PRESENTES, upm_dis AUSENTE. BLOQUEO: la dicotomizacion es un UMBRAL (>0) y arbitra.py solo acepta conjuntos literales (_PATRON_BINARIO / _PATRON_BINARIO_SET), asi que parsea_codificacion_binaria devuelve None y la celda sale NO-EJECUTABLE en vez de dar un numero equivocado; estima() compara pertenencia a conjunto, no orden	SELLADA (FP-370; ACTO GEN2-R-COMPLETA-MARCO)	2026-09-10
FAM-M-06	enigh2018_nc_csv	conjunto_de_datos_concentradohogar_enigh_2018_ns/conjunto_de_datos/conjunto_de_datos_concentradohogar_enigh_2018_ns.csv	remesas	y=1 si remesas > 0; y=0 si remesas == 0 -- UMBRAL NUMERICO, no conjunto de codigos: remesas es monto continuo en pesos con 1424 valores distintos en 2018	hogares -- universo completo de concentradohogar (folioviv+foliohog) de ENIGH 2018 Nueva Serie, sin filtro adicional (asi lo declara el marco v1_2); 74647 filas leidas, 0 vacios en remesas	factor	est_dis	upm	COMPUTADA por 'python3 tools/arbitra.py --produce forense/prereg-duelo-v2/espec-R-ciega-v1_2.tsv FAM-M-05 FAM-M-06 FAM-M-07 TRA-M-02' (proyeccion ciega, sha256 b2dacd8a4f66ccb29eb97e448c2d0e9cf1b70002669d0c5770a49def061beb53) en ACTO MAESTRA35-L4, sesion ciega; resultado en corridas-R/FAM-M-06.json (COMMIT-2); specs congeladas en notas-arbitra/2026-09-02-lote-fam-m-05-06-07-tra-m-02-ciego.md (COMMIT-1 e96c25e). Fila de estado = copia integra de la fila 'PROPUESTA' del 2026-09-01, que no se edita; lee_codificacion() toma la ultima fila por id, verificado con --regresion COINCIDE. Fuente original: verificado LEYENDO el CSV de datos (74647 filas): remesas PRESENTE con 1424 valores distintos (70063 en cero, 4584 positivos, 0 vacios); factor, est_dis y upm PRESENTES, upm_dis AUSENTE. BLOQUEO: la dicotomizacion es un UMBRAL (>0) y arbitra.py solo acepta conjuntos literales (_PATRON_BINARIO / _PATRON_BINARIO_SET), asi que parsea_codificacion_binaria devuelve None y la celda sale NO-EJECUTABLE en vez de dar un numero equivocado; estima() compara pertenencia a conjunto, no orden	SELLADA (FP-370; ACTO GEN2-R-COMPLETA-MARCO)	2026-09-10
