task_id	fuente_canonica_normalizada	familia_logica_id	relaciones	input_ref	contrato_ref	worker_report_ref
SEMTSK-344b4adb025b410eca6b7a87	01-	SIN_ACTIVO_EXACTO:01-	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-344b4adb025b410eca6b7a87.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-344b4adb025b410eca6b7a87.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-344b4adb025b410eca6b7a87.json
SEMTSK-c906685dfd65fa9409b28d20	02-	SIN_ACTIVO_EXACTO:02-	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-c906685dfd65fa9409b28d20.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-c906685dfd65fa9409b28d20.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-c906685dfd65fa9409b28d20.json
SEMTSK-501759ad5c9a99a7cafbff34	AHORRO FINANCIERO Y FINANCIAMI	SIN_ACTIVO_EXACTO:AHORRO FINANCIERO Y FINANCIAMI	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-501759ad5c9a99a7cafbff34.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-501759ad5c9a99a7cafbff34.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-501759ad5c9a99a7cafbff34.json
SEMTSK-44673b0933470671d80cb3e6	BASE_DEL_OBSERVATORIO_DE_CONFLICTOS_POR_EL_AGUA	SIN_ACTIVO_EXACTO:BASE_DEL_OBSERVATORIO_DE_CONFLICTOS_POR_EL_AGUA	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-44673b0933470671d80cb3e6.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-44673b0933470671d80cb3e6.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-44673b0933470671d80cb3e6.json
SEMTSK-63d38d7f96b33292dccd0aeb	BASE_DE_EVENTOS_DE_PROTESTA_EN_MEXICO	SIN_ACTIVO_EXACTO:BASE_DE_EVENTOS_DE_PROTESTA_EN_MEXICO	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-63d38d7f96b33292dccd0aeb.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-63d38d7f96b33292dccd0aeb.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-63d38d7f96b33292dccd0aeb.json
SEMTSK-9b6207c4184c33ba4906af78	BDIF	SIN_ACTIVO_EXACTO:BDIF	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-9b6207c4184c33ba4906af78.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-9b6207c4184c33ba4906af78.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-9b6207c4184c33ba4906af78.json
SEMTSK-045f83e3d32334d308d0a814	BIARE	SIN_ACTIVO_EXACTO:BIARE	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-045f83e3d32334d308d0a814.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-045f83e3d32334d308d0a814.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-045f83e3d32334d308d0a814.json
SEMTSK-bbaee82dc5bf30de2b57bfc3	CCPV	SIN_ACTIVO_EXACTO:CCPV	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-bbaee82dc5bf30de2b57bfc3.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-bbaee82dc5bf30de2b57bfc3.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-bbaee82dc5bf30de2b57bfc3.json
SEMTSK-a8fab9db1b7cc9b9d65a663f	CNGMD	SIN_ACTIVO_EXACTO:CNGMD	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-a8fab9db1b7cc9b9d65a663f.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-a8fab9db1b7cc9b9d65a663f.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-a8fab9db1b7cc9b9d65a663f.json
SEMTSK-f86e4d15afa5b221da8de5ba	COMPARATIVE_STUDY_OF_ELECTORAL_SYSTEMS_MEXICO_2018	SIN_ACTIVO_EXACTO:COMPARATIVE_STUDY_OF_ELECTORAL_SYSTEMS_MEXICO_2018	1	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/inputs/SEMTSK-f86e4d15afa5b221da8de5ba.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/contratos/SEMTSK-f86e4d15afa5b221da8de5ba.json	data/curacion-registro/ejecucion-semantica/runs/SEMRUN-1d73f40d5db91bcb0da9f3d2/reportes-worker/SEMTSK-f86e4d15afa5b221da8de5ba.json
