orden	id_mapa	accion_siguiente_sin_microdatos	pregunta_de_apertura	criterio_de_promocion	decision_o_calculo_destino
1	EXT-OF-02	Abrir PDF y anexos; extraer índice, cuadros, universo y geografía	¿Las 317 unidades y las dosis/meta están desagregadas por unidad, delegación, biológico o campaña?	Promover si existe unidad×periodo/campaña o un contraste independiente explícito entre reportado y acreditado	R9.2: auditoría de disponibilidad/campaña y posible cambio de letra
2	EXT-OF-07	Abrir base, cuestionario, ficha muestral y diccionario del IFT	¿Uso, confianza/riesgo y fraude o abandono viven en la misma observación con ponderador?	Promover si hay reactivo y desenlace coobservados, texto verificable y muestra identificable	R3.4 y coeficientes de confianza/riesgo: signo y magnitud
3	EXT-OF-05	Consultar documentación/API pública de S1-S3-S6 y catálogo de proveedores	¿Hay llaves estables persona-proveedor-procedimiento-contrato-sanción y fecha de cobertura por ente?	Promover si las llaves y cobertura permiten panel/evento reproducible sin identificación sensible	R3.1/R3.2: reemplazar percepción por trazabilidad administrativa
4	EXT-OF-03	Abrir diccionario y una edición reciente del cubo sin descargar microdatos	¿Urgencias 2024-2026 conserva CLUES, fecha y motivo/diagnóstico comparables?	Promover si CLUES×periodo permite panel de unidad y ventana pre/post	R4.1/R9.1: acceso y eventos locales
5	EXT-OF-08	Identificar exportación y diccionario; documentar niveles geográficos	¿La participación local 2024 se empareja por sección/casilla con la elección federal concurrente?	Promover si existe llave común y denominador comparable	R7.1: efecto del peso/tipo de acto en participación
6	EXT-OF-01	Abrir cuadros y anexos del informe ASF 2023	¿La auditoría contiene entidades, campañas, biológicos o series 2018-2023 comparables?	Promover si distingue meta, aplicación y evidencia acreditada con geografía/periodo	R9.2: contraste independiente y tendencia
7	EXT-OF-09	Abrir base, cuestionario y diseño muestral del estudio IEPC Jalisco	¿La codificación voluntario/involuntario está a boleta/casilla y tiene pesos o probabilidades de selección?	Promover si el estimando puede generalizarse y enlazarse a contexto local	R7.1/reglas cívicas: conducta, no solo abstención
8	EXT-OF-10	Abrir un paquete de datos abiertos y su diccionario	¿Agenda, gasto y candidatura incluyen municipio/distrito, fecha y tipo de evento?	Promover si se construye intensidad campaña×lugar×tiempo enlazable a participación	Reglas cívicas: disponibilidad real de campaña y atribución
9	EXT-OF-06	Abrir informe SESNA y registrar variables/llaves, sin ejecutar cruces	¿El informe publica metodología y resultados agregados reproducibles del enlace S1-S2-S6?	Promover si define un desenlace de riesgo/corrupción no circular	R3.1/R3.2: especificación de trazabilidad
10	EXT-OF-11	Abrir diccionario de BDIF diciembre 2025 y verificar continuidad de municipios	¿Existe panel municipal consistente de canales físicos/digitales, cuentas y créditos 2009-2025?	Mantener como fuente conocida; promover solo edición/diseño si hay continuidad y cambios explotables	R3.4: exposición local a fricción/oferta; R1.3 solo como covariable
11	EXT-OF-12	Verificar si REUNE/REDECO ofrece consulta o descarga pública y sus catálogos	¿Puede observarse producto, causa y canal junto con municipio/fecha sin credenciales institucionales?	Promover si el acceso es público y el canal no es solo medio de recepción de la queja	R3.4: fricción por canal/producto
12	EXT-OF-14	Localizar payload PREP y cómputo definitivo 2024	¿La base conserva casilla/sección y lista nominal para elecciones locales?	Promover si se empareja con resultados federales definitivos y no solo preliminares	R7.1: comparación local concurrente
