clon	rama	carril	cubeta	fecha_commit	cherry_plus_sin_equivalente	cherry_minus_con_equivalente	es_ancestro_de_main	n_archivos_exclusivos	calcs_sellados_exclusivos	es_anterior_a_gen1_cutoff	worktree_sucio	existe_en_origin	asunto
Modelado-Mexicano	acto/gen2-c2-compuesto-ic-enif2024-1	acto	CONTENIDO-EN-MAIN	2026-09-19T20:53:31-06:00	0	0	True	0	[]	False	True	True	[GEN2-C2-COMPUESTO-IC-ENIF2024-1] 0-bis A.3: encargo verbatim
Modelado-Mexicano	acto/gen2-c2-compuesto-ic-envipe2025-1	acto	CONTENIDO-EN-MAIN	2026-09-19T21:12:31-06:00	0	0	True	0	[]	False	False	True	GEN2-C2-COMPUESTO-IC-ENVIPE2025-1: NO-CORRIDO / RESERVAS + CONSUMIDO (PR #907); NC-0359 cita el PR
Modelado-Mexicano	acto/gen2-e4-limpieza-c2-poda	acto	CONTENIDO-EN-MAIN	2026-09-07T18:47:42-06:00	0	0	True	2	[]	False	False	False	fix(nota): cita raices.local.yaml con ruta, no basename (T03/CI)
Modelado-Mexicano	acto/gen2-e5-0-specs-ejecutables	acto	CONTENIDO-EN-MAIN	2026-09-08T12:33:41-06:00	0	0	True	3	[]	False	False	False	Reconciliacion de contadores 408->409 que quedo fuera del commit anterior
Modelado-Mexicano	acto/gen2-e5-1-verificador-calc0003v2	acto	CONTENIDO-EN-MAIN	2026-09-08T14:49:16-06:00	0	0	True	3	[]	False	False	False	[RENUMERADO · GEN2-E5-1] ADR-411 -> ADR-412: GEN2-TRAMITE-TABLERO-1 fusiono primero (PR #633)
Modelado-Mexicano	acto/gen2-e5-calc-0001-0003	acto	CONTENIDO-EN-MAIN	2026-09-08T13:41:33-06:00	0	0	True	3	[]	False	False	False	[A.14 + CONSUMIDO · GEN2-E5] NO-CORRIDO / RESERVAS y cierre por PR #631
Modelado-Mexicano	acto/gen2-e7-readiness2-c	acto	CONTENIDO-EN-MAIN	2026-09-07T22:56:02-06:00	0	0	True	3	[]	False	False	False	## CONSUMIDO: pieza C ejecutada via PR #612
Modelado-Mexicano	acto/gen2-enaproce-instrumentos-acceso-1	acto	CONTENIDO-EN-MAIN	2026-09-16T20:01:23-06:00	0	0	False	2	[]	False	False	False	Merge remote-tracking branch 'origin/main' into acto/gen2-enaproce-instrumentos-acceso-1
Modelado-Mexicano	acto/gen2-pisos-enut2019-ejes-1	acto	CONTENIDO-EN-MAIN	2026-09-19T21:08:01-06:00	0	0	True	0	[]	False	True	True	Merge remote-tracking branch 'origin/main' into acto/gen2-pisos-enut2019-ejes-1
Modelado-Mexicano	acto/gen2-sin-candidato-rutas-1	acto	CONTENIDO-EN-MAIN	2026-09-16T17:21:41-06:00	0	0	False	2	[]	False	False	False	Merge remote-tracking branch 'origin/main' into acto/gen2-sin-candidato-rutas-1
Modelado-Mexicano	acto/gen2-sonda-caja-1-cierra-reservas-pr632	acto	CONTENIDO-EN-MAIN	2026-09-08T16:05:59-06:00	0	0	True	3	[]	False	False	False	Merge origin/main into acto/gen2-sonda-caja-1-cierra-reservas-pr632
Modelado-Mexicano	acto/gen2-specs-sucesoras	acto	CONTENIDO-EN-MAIN	2026-09-08T19:27:02-06:00	0	0	True	3	[]	False	False	False	## CONSUMIDO: GEN2-SPECS-SUCESORAS cita PR #645
Modelado-Mexicano	acto/gen2-universo-c-tandas-enafin	acto	CONTENIDO-EN-MAIN	2026-09-08T17:01:39-06:00	0	0	True	3	[]	False	False	False	Merge origin/main (PR #640 GEN2-T35-DISEÑO -- FP-360 fix, suite VERDE again)
Modelado-Mexicano	acto/maestra38-v1-corrobora-y-reconcilia	acto	CONTENIDO-EN-MAIN	2026-09-03T21:45:17-06:00	0	1	False	2	[]	True	False	False	0-bis A.3: archiva ENCARGO MAESTRA38-V1 · CORROBORA-Y-RECONCILIA verbatim
Modelado-Mexicano	adr/motor-abm-ajuste	otro	CONTENIDO-EN-MAIN	2026-07-31T11:27:52-06:00	0	133	False	3	[]	True	False	False	ADR-50: el motor es un ABM ejecutable, se calibra por AJUSTE; MILPA Fase 1 deja de estar POSPUESTA
Modelado-Mexicano	b4b-alpha	otro	CONTENIDO-EN-MAIN	2026-08-05T14:43:06-06:00	0	285	False	1	[]	True	False	False	Merge remote-tracking branch 'origin/main' into b4b-alpha
Modelado-Mexicano	claude/cal-g3-ocupacionales-mjm35q	claude	CONTENIDO-EN-MAIN	2026-07-30T21:01:29-06:00	0	114	False	3	[]	True	False	False	Contrasta el catálogo de 119 fuentes contra el plan de Hito E (append-only)
Modelado-Mexicano	claude/canon-d5-d6-verdict-e0y6n2	claude	CONTENIDO-EN-MAIN	2026-08-03T19:51:32-06:00	0	177	False	2	[]	True	False	False	Merge remote-tracking branch 'origin/main' into claude/canon-d5-d6-verdict-e0y6n2
Modelado-Mexicano	claude/encargo-maestra38-sello-3-6y5e0z	claude	CONTENIDO-EN-MAIN	2026-09-07T10:52:30-06:00	1	0	False	2	[]	False	False	False	Merge origin/main into MAESTRA38-SELLO-3
Modelado-Mexicano	claude/g3-horizonte-temporal-id-s88z1w	claude	CONTENIDO-EN-MAIN	2026-08-05T10:41:32-06:00	0	276	False	2	[]	True	False	False	Merge remote-tracking branch 'origin/main' into claude/g3-horizonte-temporal-id-s88z1w
Modelado-Mexicano	claude/hitod-perimetro-compara	claude	CONTENIDO-EN-MAIN	2026-07-30T04:30:01-06:00	0	66	False	4	[]	True	False	False	bitácora: bloque de cierre — Hito D Fase 1, Paso 4 (ampliación)
Modelado-Mexicano	claude/manifiesto-registra-verifica	claude	CONTENIDO-EN-MAIN	2026-07-30T03:38:32-06:00	0	61	False	4	[]	True	False	False	bitácora: bloque de cierre — resolución de conflictos, D-07, I-09
Modelado-Mexicano	codex/autoridad-semantica-enif	codex	CONTENIDO-EN-MAIN	2026-08-25T03:34:15-06:00	0	0	True	1	[]	True	True	False	Merge pull request #338 from Josanoforo/claude/encargo-1-sella-ago25-f-75gu88
Modelado-Mexicano	codex/autoridad-semantica-marco-cobertura-total	codex	CONTENIDO-EN-MAIN	2026-08-25T11:16:19-06:00	0	0	True	1	[]	True	True	False	Parche final: universo ENUT por variable y clase de residual honesta
Modelado-Mexicano	conf17-reconciliado	otro	CONTENIDO-EN-MAIN	2026-08-06T01:15:48-06:00	0	296	False	1	[]	True	False	False	ENCARGO CONF-17 (reconciliación): dos corridas concurrentes del mismo encargo, conservadas por separado
Modelado-Mexicano	desc1-descarga	otro	CONTENIDO-EN-MAIN	2026-08-05T19:07:38-06:00	0	295	False	1	[]	True	False	False	Merge origin/main: resuelve conflicto en manifiesto.yaml (unión por id)
Modelado-Mexicano	fix/inv-seg-filas-colapsadas	otro	CONTENIDO-EN-MAIN	2026-07-31T12:19:25-06:00	0	135	False	3	[]	True	False	False	INV-SEG: desdobla cuatro reglas de §3.7 colapsadas en dos filas
Modelado-Mexicano	infra/data-raw-externa	otro	CONTENIDO-EN-MAIN	2026-07-31T11:01:23-06:00	0	132	False	3	[]	True	False	False	forense/hallazgos.md: registra la recuperación de encig23_estructura_base_datos.pdf
Modelado-Mexicano	llave2-decreto	otro	CONTENIDO-EN-MAIN	2026-08-25T00:59:36-06:00	0	0	True	1	[]	True	True	False	Recifra la cita histórica de ADR-165 que la fusión anterior dejó stale (T15)
Modelado-Mexicano	main	otro	CONTENIDO-EN-MAIN	2026-09-07T18:52:47-06:00	0	0	True	2	[]	False	False	True	Merge pull request #604 from Josanoforo/acto/gen2-e4-limpieza-c2-poda
