job	paso	linea	citas	comentario
suite	Checkout sin marketplace (repo público — cero descargas de action)	50		
suite	Intérprete del runner (crudo, para que quede en el log)	64		
suite	Instala dependencias (requirements.txt — explícito, nunca lo que traiga el runner)	67		# PyYAML: tests/manifiesto.py y tools/corrida0.py (import directo, # nunca opcional) la usan; markdown: tools/tablero_vista.py.
suite	Suite de verificación (modo línea base — verde = no empeoraste)	72		
suite	Transporte paralelo, compuerta y semántica del baseline (bloqueante)	75		
adicionales	Checkout sin marketplace (repo público — cero descargas de action)	84		
adicionales	Intérprete del runner (crudo, para que quede en el log)	98		
adicionales	Instala dependencias (requirements.txt — explícito, nunca lo que traiga el runner)	101		
adicionales	svystat.py — validación independiente (bloqueante)	104		
adicionales	sidecars de forense/encargos y forense/notas — sello de cuerpo (bloqueante)	107	ACTO GEN2-TUBERIA-SIDECAR-CUERPO-1	# ACTO GEN2-TUBERIA-SIDECAR-CUERPO-1 (21/sep/2026), firma D-a4. # Dos pasos, no uno: el test cubre la regla por mutación sobre # fixtures, el verificador la corre sobre el árbol real. Sin él, un # `.cuerpo.sha256` roto no lo vería nadie hasta el próximo careo — # que es exactamente cómo #932 llegó a tener un sidecar que fallaba # durante un día entero. `tests/check.py` no auto-descubre # `tests/test_*.py`, así que el test va cableado a mano como los # demás. Stdlib puro: sin red, sin corpus, y e
adicionales	emite_m — resolver de ola_calibracion por conducta (bloqueante)	121	ACTO MAESTRA38-M13 · M-POR-CELDA	# ACTO MAESTRA38-M13 · M-POR-CELDA v1.3, §5 ("PRUEBA PERMANENTE # JUSTIFICADA"). El defecto que cubre es material: si # `cita_ola_calibracion` vuelve a resolver por REGLA en vez de por # conducta, F-DD cambia y puede decidir si una celda puntúa. Sin este # paso la prueba existiría pero nada la correría: `tests/check.py` # cablea su lista en `main()` y no auto-descubre `tests/test_*.py`. # No añade dependencias: el runner ya trae PyYAML por requirements.txt # y `tools/emite_m.py` ya dependía de y
adicionales	Baseline temporal — corte y compatibilidad del estimando	132		
adicionales	T-CRON — huella del cron y no-regresión de baseline (bloqueante)	135	ACTO ADQ-CRON-V2 · DISPARO-PERSISTENTE-Y-RUNNER-IDEMPOTENTE	# ACTO ADQ-CRON-V2 · DISPARO-PERSISTENTE-Y-RUNNER-IDEMPOTENTE (P1, # 7/sep/2026). Mismo motivo que la prueba de arriba: sin este paso # de CI, `prueba_senal_no_genera_delta_baseline` (la que demuestra # que T31 dejó de poder volver ROJO un PR ajeno) nunca correría en # automático. Stdlib puro, sin red ni corpus.
adicionales	adq_config.py — lector de data/adq-config.yaml (bloqueante)	143	ACTO ADQ-CRON-V2	# ACTO ADQ-CRON-V2 (P6). Fixture propia en un temporal, nunca lee # el data/adq-config.yaml real -- un id de PDN nuevo no puede # romper esta prueba.
adicionales	adq_doctor.py — clasificación de lock/crontab (bloqueante)	149	ACTO ADQ-CRON-V2	# ACTO ADQ-CRON-V2 (P4). No ejercita el reporte completo (mezcla # red y /mnt/c reales) -- cubre la lógica de clasificación que sí # puede fallar en silencio: "sin crontab" vs. "no se pudo # preguntar", y detección de lock tomado por otro proceso.
adicionales	adq_investigacion.py — proyección de demanda no se queda atrás (bloqueante)	156		# ENCARGO GEN2-DEMANDA-VIGENTE-ANTES-DESPACHO (15/sep/2026). Fixture # propia con un `origin` bare local desechable (nunca GitHub, nunca # el corpus real): cierra una NC, corre `publica_proyeccion_demanda` # y comprueba que se publica con SHA correcto, que repetirlo sin # cambios no genera un segundo commit, y que un fallo del escritor # no deja el árbol sucio.
adicionales	Fuentes financieras — unidades, faltantes y duplicados (bloqueante)	165		# Fixtures puras: no requieren corpus ni red. Las tablas reales se # reproducen en CAJA con tools/extrae_fuentes_financieras.py --verifica.
adicionales	N34 — producto, costo y daño (bloqueante)	170		# Fixtures stdlib: separan asociación/causalidad y prueban la extracción # de la tabla CFPB sin requerir los payloads externos en CI.
adicionales	motor ejecutable — procedencia→B→evaluar() sobre las celdas-D del disco (bloqueante)	175	ACTO AUTO-MOTOR-1 · RECUPERA-Y-EJERCITA; ACTO GEN2-CELDA-D-CAREO-1; ADR-91; NC-0023; PR #615	# El nombre decía «las tres celdas-D» y quedó vencido el 17/sep/2026, # cuando ACTO GEN2-CELDA-D-CAREO-1 registró la primera celda del piloto # (3 -> 4). Es el MISMO defecto que el `igual(len(semillas), 3)` que ese # acto tuvo que corregir dentro del test: un conteo literal sobre un # directorio que el contrato declara creciente. Se corrige aquí también, # porque un nombre de paso que miente en el log de CI cuesta la próxima # media hora de quien lo lea. # ACTO AUTO-MOTOR-1 · RECUPERA-Y-EJERCITA
adicionales	contrato sintético de C2 — piloto celda-D (bloqueante)	192	ACTO GEN2-CELDA-D-CAREO-1; ADR-533; PR #827	# ACTO GEN2-CELDA-D-CAREO-1 (ADR-533), correctivo pre-emisión del # 17/sep/2026, en respuesta a la devolución de revisión sobre PR #827. # Pinan el contrato que `C2` debe cumplir ANTES de emitir: rango [0,1] # por construcción, casos límite con rechazo explícito (nunca recorte), # el mismo identificador de desenlace en entradas y salida, la # incertidumbre cuando la muestra es compartida, el soporte por cotas # de Fréchet (no por el producto de márgenes) y una parada que admite # «sin ganador». 
adicionales	consumidor de celda-D — piloto 2, fila M05 derivada (bloqueante)	206	ACTO GEN2-CELDA-D-PILOTO-2; ACTO GEN2-GUARDIAS-1; NC-0331	# NC-0331 (ACTO GEN2-GUARDIAS-1, 17/sep/2026): `tests/check.py` no # auto-descubre `tests/test_*.py` y este archivo no corría en CI desde # que `ACTO GEN2-CELDA-D-PILOTO-2` lo creó -- un test que nadie corre # es decoración (regla del piloto 1, NC-0331). Stdlib puro, sin # numpy: `unittest` corre el módulo directo.
adicionales	marcador por segmento — tabla derivada y guardias (bloqueante)	214	ACTO GEN2-MARCADOR-REDISENO-1; NC-0331	# ACTO GEN2-MARCADOR-REDISENO-1 (19/sep/2026): mismo motivo que el # paso de arriba (NC-0331) -- un test nuevo que nadie cablea a CI es # decoración. `tests/test_marcador_segmento.py` corre las tres # guardias del diseño (T-RESERVA/T-EMISOR-NO-COMPARA/ # T-PISO-NO-CIRCULAR) + los dos universos derivados (97/20); # `tests/test_estimadores_segmento.py` corre P2 (motor.estimar_segmento).
adicionales	tubería de ids y union — T15 por mutación, guarda de salto de línea, gramática de FP (bloqueante)	225	ACTO GEN2-TUBERIA-SUCESOR-1; NC-0331	# ACTO GEN2-TUBERIA-SUCESOR-1 (21/sep/2026), D-21: mismo motivo que # los pasos de arriba (NC-0331) -- un test que nadie cablea es # decoración, y una guarda que no se puede disparar no es guarda. # Ejerce POR MUTACIÓN las tres aserciones de T15 (firma D-3), la # guarda T46 de salto de línea final en archivos `merge=union` # (incluida la reproducción del defecto con git de verdad en un repo # temporal) y la gramática de id `FP` de las dos épocas (firma D-2), # con un id de CADA época pinado en e
adicionales	comparabilidad por texto de crédito ENIF — forma de la tabla K1-K8 × 5 olas (bloqueante)	237	ACTO GEN2-DIN-CREDITO-COMPARABILIDAD-TEXTO-1; NC-0331	# ACTO GEN2-DIN-CREDITO-COMPARABILIDAD-TEXTO-1 (20/sep/2026): mismo # motivo que los pasos de arriba (NC-0331) -- un test que nadie cablea # es decoración. Corre PRIMERO el caso sintético (D-22) y después la # tabla real `data/credito-comparabilidad-texto-v1_0.tsv`: 40 filas, # veredictos en lista cerrada, toda fila negativa con texto buscado. # Stdlib puro, cero microdato.
adicionales	métrica rectora — celdas_validadas en la primera línea del tablero (bloqueante)	246	ACTO GEN2-SENAL-1	# ACTO GEN2-SENAL-1 (21/sep/2026) · P1. `celdas_validadas` es la métrica # rectora por firma de mesa del 20/sep/2026. El test pina los DOS # defectos que el acto encontró en el árbol: (1) las 89 filas IDENTICO # tienen M == R por EMISOR=ARBITRO -- el mismo número copiado, no una # predicción validada; (2) el CALC de DIN guarda el error en PROPORCIÓN # y el de TRA en PUNTOS PORCENTUALES, y fundirlos da un factor 100 en la # métrica rectora del programa. Se cablea aquí (D-21) para que el job # `gu
adicionales	descargador por id de manifiesto — arnés HTTP local (bloqueante)	257	ACTO GEN2-NUBE-PILOTO-1-; NC-0331; PR #930	# ACTO GEN2-NUBE-PILOTO-1-bis (21/sep/2026), perímetro de cierre # permanente (D-21): el COMMIT-1 rescatado de PR #930 congeló el # descargador y su arnés pero no llegó a cablearlo, porque el acto # paró por PARO (e) antes del cierre. Mismo motivo que los pasos de # arriba (NC-0331): `tests/check.py` no auto-descubre # `tests/test_*.py`, y un test que nadie corre es decoración. # Levanta un `http.server` de la stdlib en 127.0.0.1 y corre # `tests/manifiesto.py --descarga` por subproceso, de punt
adicionales	cargador de linaje — los tres caminos del id superado (bloqueante)	270	ACTO MOTOR-LINAJE-1; NC-0400; NC-0401	# ACTO MOTOR-LINAJE-1 (21/sep/2026) · P1/P4 + D-21. Defecto real que # atrapa (NC-0401/NC-0400): `cargar_indice_linaje_emision` colapsaba # «una vigente», «más de una vigente» y «cero vigentes» en una sola # excepción de carga, y la tercera hacía incargable el índice entero # por un `resultado_id` que ningún consumidor pin-ea (222 de 10 542 en # la vista, derivado por tools/delta_pin_superado.py). Condición de la # firma de mesa del 21/sep: el cargador NO sigue la sucesión en # silencio — nombra
guardias	Checkout sin marketplace (repo público — cero descargas de action)	299		
guardias	Intérprete del runner (crudo, para que quede en el log)	322		
guardias	Instala dependencias (requirements.txt — explícito, nunca lo que traiga el runner)	325		
guardias	Guardias huérfanas — censo + invocador correcto por archivo (bloqueante)	328		
preflight-calc	Checkout con la base (clon propio — D-23, no se toca el de otro job)	352		
preflight-calc	Intérprete del runner (crudo, para que quede en el log)	368		
preflight-calc	Instala dependencias (requirements.txt — explícito, nunca lo que traiga el runner)	371		
preflight-calc	Prueba por mutación del chequeo (bloqueante — D-21, el acto cablea su test)	374		
preflight-calc	preflight sobre los CALC sin sello que este cambio toca (bloqueante)	377		
check	Todos los grupos requeridos terminaron correctamente	391		
