result_id	calc_id	consumidor_regla	valor_gen1	fuente_gen1	valor_gen2	delta	universo_unidad_escala	verify_resultado	verify_contexto	sello	validacion_independiente	recomendacion_ejecutor
RESULT-BANXICO-2024-AUT-ATRASO-P	CALC-BANXICO-PRODUCTO-DANO-0001	milpa/tramite-ola5-propuesta-v0.yaml · dinero.credito.atraso_y_dano_por_producto_banxico	NO-DERIVADO	regla nacida GEN2: 0 menciones de la regla en milpa/tramite.yaml; valor_legacy de la vista = NO-COMPARABLE	0.04309263821900375	NO-DERIVADO	tenedores del producto (filtro=1), personas 18-70 en localidades >=50 mil, corte 2024 · unidad persona · escala proporcion [0,1]	REPRODUCE	IDENTICO	COINCIDE	PENDIENTE-POST-SELLO	ADOPTAR · replay REPRODUCE/IDENTICO, sello COINCIDE, consumidor descriptivo (rol_uso proxy_descriptivo) ya firmado por mesa 15/sep (OBJETO 8/9)
RESULT-BANXICO-2024-HIP-ATRASO-P	CALC-BANXICO-PRODUCTO-DANO-0001	milpa/tramite-ola5-propuesta-v0.yaml · dinero.credito.atraso_y_dano_por_producto_banxico	NO-DERIVADO	regla nacida GEN2: 0 menciones de la regla en milpa/tramite.yaml; valor_legacy de la vista = NO-COMPARABLE	0.18510485270103624	NO-DERIVADO	tenedores del producto (filtro=1), personas 18-70 en localidades >=50 mil, corte 2024 · unidad persona · escala proporcion [0,1]	REPRODUCE	IDENTICO	COINCIDE	PENDIENTE-POST-SELLO	ADOPTAR · replay REPRODUCE/IDENTICO, sello COINCIDE, consumidor descriptivo (rol_uso proxy_descriptivo) ya firmado por mesa 15/sep (OBJETO 8/9)
RESULT-BANXICO-2024-NOM-ATRASO-P	CALC-BANXICO-PRODUCTO-DANO-0001	milpa/tramite-ola5-propuesta-v0.yaml · dinero.credito.atraso_y_dano_por_producto_banxico	NO-DERIVADO	regla nacida GEN2: 0 menciones de la regla en milpa/tramite.yaml; valor_legacy de la vista = NO-COMPARABLE	0.1035233151033609	NO-DERIVADO	tenedores del producto (filtro=1), personas 18-70 en localidades >=50 mil, corte 2024 · unidad persona · escala proporcion [0,1]	REPRODUCE	IDENTICO	COINCIDE	PENDIENTE-POST-SELLO	ADOPTAR · replay REPRODUCE/IDENTICO, sello COINCIDE, consumidor descriptivo (rol_uso proxy_descriptivo) ya firmado por mesa 15/sep (OBJETO 8/9)
RESULT-BANXICO-2024-PER-ATRASO-P	CALC-BANXICO-PRODUCTO-DANO-0001	milpa/tramite-ola5-propuesta-v0.yaml · dinero.credito.atraso_y_dano_por_producto_banxico	NO-DERIVADO	regla nacida GEN2: 0 menciones de la regla en milpa/tramite.yaml; valor_legacy de la vista = NO-COMPARABLE	0.08031777453105593	NO-DERIVADO	tenedores del producto (filtro=1), personas 18-70 en localidades >=50 mil, corte 2024 · unidad persona · escala proporcion [0,1]	REPRODUCE	IDENTICO	COINCIDE	PENDIENTE-POST-SELLO	ADOPTAR · replay REPRODUCE/IDENTICO, sello COINCIDE, consumidor descriptivo (rol_uso proxy_descriptivo) ya firmado por mesa 15/sep (OBJETO 8/9)
RESULT-BANXICO-2024-TDC-ATRASO-P	CALC-BANXICO-PRODUCTO-DANO-0001	milpa/tramite-ola5-propuesta-v0.yaml · dinero.credito.atraso_y_dano_por_producto_banxico	NO-DERIVADO	regla nacida GEN2: 0 menciones de la regla en milpa/tramite.yaml; valor_legacy de la vista = NO-COMPARABLE	0.04235936236062071	NO-DERIVADO	tenedores del producto (filtro=1), personas 18-70 en localidades >=50 mil, corte 2024 · unidad persona · escala proporcion [0,1]	REPRODUCE	IDENTICO	COINCIDE	PENDIENTE-POST-SELLO	ADOPTAR · replay REPRODUCE/IDENTICO, sello COINCIDE, consumidor descriptivo (rol_uso proxy_descriptivo) ya firmado por mesa 15/sep (OBJETO 8/9)
RESULT-CTX-2019-P-ALTO	CALC-0002	milpa/tramite-ola5-propuesta-v0.yaml · civico.contexto_institucional_victimas.lapop	NO-DERIVADO	regla nacida GEN2: 0 menciones de la regla en milpa/tramite.yaml; valor_legacy de la vista = NO-COMPARABLE	0.7862745098039216	NO-DERIVADO	victimas de extorsion (vic1ext=1) con ponderador valido, una ola LAPOP a la vez · unidad persona · escala proporcion [0,1]	REPRODUCE	IDENTICO	COINCIDE	NO-HECHA	ADOPTAR · replay REPRODUCE/IDENTICO, sello COINCIDE, consumidor descriptivo (rol_uso proxy_descriptivo) ya firmado por mesa 15/sep (OBJETO 8/9)
RESULT-CTX-2021-P-ALTO	CALC-0002	milpa/tramite-ola5-propuesta-v0.yaml · civico.contexto_institucional_victimas.lapop	NO-DERIVADO	regla nacida GEN2: 0 menciones de la regla en milpa/tramite.yaml; valor_legacy de la vista = NO-COMPARABLE	NULO (None)	NO-DERIVADO	victimas de extorsion (vic1ext=1) con ponderador valido, una ola LAPOP a la vez · unidad persona · escala proporcion [0,1]	REPRODUCE	IDENTICO	COINCIDE	NO-HECHA	VETAR · valor nulo (NO-ESTIMABLE-INDICE-INCOMPLETO: falta aoj12 en LAPOP 2021): no hay numero que adoptar; el hueco ya queda visible en la propuesta
RESULT-CTX-2023-P-ALTO	CALC-0002	milpa/tramite-ola5-propuesta-v0.yaml · civico.contexto_institucional_victimas.lapop	NO-DERIVADO	regla nacida GEN2: 0 menciones de la regla en milpa/tramite.yaml; valor_legacy de la vista = NO-COMPARABLE	0.7341176470588235	NO-DERIVADO	victimas de extorsion (vic1ext=1) con ponderador valido, una ola LAPOP a la vez · unidad persona · escala proporcion [0,1]	REPRODUCE	IDENTICO	COINCIDE	NO-HECHA	ADOPTAR · replay REPRODUCE/IDENTICO, sello COINCIDE, consumidor descriptivo (rol_uso proxy_descriptivo) ya firmado por mesa 15/sep (OBJETO 8/9)
RESULT-EDER-A-P	CALC-EDER-0001	milpa/tramite-ola5-propuesta-v0.yaml · familia.corresidencia.adulto_familiar	0.996086	milpa/tramite-ola5-propuesta-v0.yaml:110-117 (tasa de fase 1, MISMO estimando)	0.9960856019968771	-3.98e-07	personas 20-54 EDER 2017, U_A (vivienda con tipo_adqui no blanco) · unidad persona · escala proporcion [0,1], alguna vez en la vida	REPRODUCE	IDENTICO	COINCIDE	NO-HECHA	VETAR · la regla es SELLADA-SIN-CARGA por firma D2-b (3/sep/2026): techo casi saturado (p=0.996, diseno alguna-vez-en-la-vida)
RESULT-MOTRAL15-ENOE-P17-CON-ACCESO-P	CALC-MOTRAL2015-VALORACION-SS-0001	milpa/tramite-ola5-propuesta-v0.yaml · trabajo.prestaciones.valoracion_seguridad_social_motral	NO-DERIVADO	regla nacida GEN2: 0 menciones de la regla en milpa/tramite.yaml; valor_legacy de la vista = NO-COMPARABLE	0.832233738	NO-DERIVADO	persona 18-54 con experiencia laboral, 32 ciudades, MOTRAL 2015 · unidad persona · escala proporcion [0,1]	REPRODUCE	IDENTICO	COINCIDE	PENDIENTE-POST-SELLO	ADOPTAR · replay REPRODUCE/IDENTICO, sello COINCIDE, consumidor descriptivo (rol_uso proxy_descriptivo) ya firmado por mesa 15/sep (OBJETO 8/9)
