id_lectura	archivo_fuente_linea	componente_y_limite	concepto_deduplicado	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-329d8c81-01	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L7	Rótulo «del más sólido al más débil» ordena 16 casos heterogéneos, no métrica común ni hallazgo individual	APUESTAS-METODO	NO-AFIRMACION-POSITIVA	¿Qué criterios previos de selección/tier se aplicaron a 31 candidatos y 16 conservados?	§2 nota de método del forense y fichas originales de caso por localizar	ASTRA5-MESA-DINERO	Conservar orden editorial sin convertirlo en ranking cuantitativo de evidencia.
LECTURA-329d8c81-02	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L9	Nu 13M/15M es serie de clientes; Azteca/Kueski/Aplazo tienen productos/universos distintos; utilidad sobre confianza es mecanismo no identificado por adopción agregada	FINTECH-NU-CLIENTES	MIXTA-SERIES-MECANISMO	¿Qué cohortes comparables observan fricción, confianza previa, origen bancario y adopción/repago individual?	Nu reportes 2025/2026; Banco Azteca y BNPL documentos primarios; ENIF P5_4_8 no identifica marca	ASTRA5-MESA-DINERO	Deduplicar Nu con tecnología/finanzas; separar escala empresarial de causa conductual.
LECTURA-329d8c81-03	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L10	OXXO Pay/Spin y CoDi difieren en elegibilidad, red, canal, precio y fecha; no son par contrafactual limpio; cuentas CoDi no son transacciones	CODI-USO	CORRECCION-PAR-CAUSAL	¿Qué series comparables de transacciones y usuarios por canal/segmento miden sustitución de efectivo?	Banxico CoDi series 2019-25; FEMSA Spin/OXXO Pay por producto; CNBV corresponsalías	ASTRA5-U4	Separar cuenta validada, cuenta activa y pago; no atribuir diferencia exclusivamente al efectivo.
LECTURA-329d8c81-04	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L11	Mamá Lucha como premio/campaña no mide preferencia de dignidad sobre precio; el forense aspiracional la degradó explícitamente, contradicción conservada	ASP-REGLAS-CONSUMO	CONTRADICCION-FORENSES	¿Qué panel/experimento D/E compara calidad percibida, precio y compra con regla predefinida?	Bodega Aurrera campaña/Effie; Walmex ventas por formato; Kantar/NielsenIQ panel por localizar	ASTRA5-MESA-DINERO	No heredar «ACIERTA» desde publicidad; mantener NO VALIDADA en forense aspiracional hasta dato primario.
LECTURA-329d8c81-05	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L12	Cierre/reapertura Jüsto y adopción baja CoDi no identifican que causa fuera homogeneizar México; financiación y elegibilidad compiten	CODI-USO	PENDIENTE-CAUSA-FRACASO	¿Qué documentos previos al desenlace definen segmento esperado y qué dato separa mercado, inversión y ejecución?	Jüsto declaraciones/financiación 2019-26; Banxico CoDi diseño y serie	ASTRA5-U4	Separar error de segmentación inferido de causa financiera documentada.
LECTURA-329d8c81-06	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L13	Cobertura infantil y desabasto son series distintas; ausencia de antivacunas como causa exclusiva requiere medición de negativa y disponibilidad local	APUESTAS-VACUNACION	PENDIENTE-ENSANUT-ABASTO	¿Qué ENSANUT mide cobertura, rechazo y motivo de no vacunación por periodo y qué serie logística mide desabasto?	ENSANUT Continua 2021-23, Salud Pública de México 2024; compras y entregas BCG por cotejar	ASTRA5-MESA-SALUD	Evitar causa única sin datos pareados de oferta/demanda; mantener alternativa estructural.
APUESTAS-CASO-01	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L31	Azteca 800 sucursales y caída 39% de empeño son efecto de entrada local estimado; no prueban rentabilidad ni «desconfianza racional» de clientes	APUESTAS-AZTECA	PENDIENTE-ESTUDIO	¿Qué estimando/diseño de Claudia Ruiz 2013 produce caída 39%, periodo y población?	Ruiz World Bank From Pawn Shops to Banks 2013 estudio/datos por localizar	ASTRA5-MESA-DINERO	Leer identificación causal y conservar solo desenlaces estimados.
APUESTAS-CASO-02	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L40	Nu 12→13→15M y 58% multiproducto son métricas de empresa con denominador; secuencia ahorro→crédito rural no se sigue del agregado	FINTECH-NU-CLIENTES	PENDIENTE-NU-COHORTE	¿Qué reporte Nu desglosa rural/urbano y orden temporal de productos por cliente?	Nu Holdings filings/IR 2025/2026 y Nu México declaraciones por cotejar	ASTRA5-MESA-DINERO	Fijar fecha, unidad cliente/producto y no usar base como experimento de confianza.
APUESTAS-CASO-03	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L49	Kueski 20M préstamos es flujo acumulado, Aplazo comercios y aprobación son otras unidades; pérdida baja autodeclarada, no auditada	CRED-FACIL-BNPL	PENDIENTE-BNPL-CARTERA	¿Qué dato auditado por originación/vintage y mora existe, y qué base sustenta 40% sin historial?	Kueski/Aplazo comunicados; burós y AMVO por cotejar	ASTRA5-MESA-DINERO	No convertir escala ni aprobación en pago voluntario o inclusión causal.
APUESTAS-CASO-04	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md:L58	43% corresponsalías OXXO 2019 y 12M usuarios Spin no miden pagos OXXO Pay ni sustitución de efectivo	CONFIANZA-NU-OXXO	PENDIENTE-OXXO-PAGOS	¿Qué transacciones OXXO Pay en efectivo y usuarios activos Spin por periodo/origen financiero se publican?	CNBV corresponsalías 2019; FEMSA Spin/OXXO Pay reportes por cotejar	ASTRA5-U4	Separar red física, billetera y pago en efectivo.
