id_mapa	resultado_id	tipo_necesidad	consumidor	llave_theta	ruta_yaml	regla_generador	mecanismo_y_limite	tier_estado	fuentes_decisivas	poblacion_unidad	desenlace	exposicion	escala_enlace_vigente	magnitud_faltante	variacion_candidata	diseno_y_fuente_asignacion	datos_id_ola_geografia_llave	reserva_disponibilidad	supuesto_critico	amenaza_principal	falsador	viabilidad	proximo_paso
AT-01	RES-0067	coeficiente_ejecutable	milpa/procedencia.yaml:coeficientes_generador_sellados:G1.confianza_institucional	G1.confianza_institucional	coeficientes_generador_sellados[0]	generador:G1	G1 utiliza confianza_institucional; signo asignado=-0.6. El corpus fundamenta mecanismo/dirección, no la magnitud causal.	ASOCIACION-MEDIDA·MARGINAL	canon/integrador-psicologia-mexicano.md | canon/modelo-decision-v4_0.md | milpa/procedencia.yaml | corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md | forense/estado-motor-v1_0.md | milpa/procedencia.yaml:asignados_coeficiente.detalle[0].coefs.confianza_institucional | data/corrida0/relevo-usos-v1_0.tsv:RES-0067	Por fijar según instrumento; evitar transporte fuera de su marco	Conducta nombrada por el consumidor; definición exacta pendiente	G1.confianza_institucional	proporción ponderada [0,1], enlace identidad (ADR-220)	Efecto causal de confianza_institucional sobre salida de G1, no el β̂ asociativo existente	SIN-VARIACIÓN-CONOCIDA-EN-UNIVERSO-REVISADO	No preregistrable sin fuente primaria de asignación	coeficientes_generador_medidos.G1_confianza_institucional, 4/ago/2026	Medición previa abierta según procedencia; verificar ola antes de nueva lectura	Asignación independiente de desenlaces potenciales, condicionada según diseño	Confusión estructural y selección	Contraste pretratamiento/placebo adecuado a una asignación todavía no localizada	SIN-DISEÑO-IDENTIFICADO	Buscar fuente primaria de variación y cotejar reactivo/geografía antes de spec
AT-02	RES-0068	coeficiente_ejecutable	milpa/procedencia.yaml:coeficientes_generador_sellados:G1.radio_confianza	G1.radio_confianza	coeficientes_generador_sellados[1]	generador:G1	G1 utiliza radio_confianza; signo asignado=-0.35. El corpus fundamenta mecanismo/dirección, no la magnitud causal.	ASOCIACION-MEDIDA·COMPUESTO·MARGINAL	canon/integrador-psicologia-mexicano.md | canon/modelo-decision-v4_0.md | milpa/procedencia.yaml | corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md | forense/estado-motor-v1_0.md | milpa/procedencia.yaml:asignados_coeficiente.detalle[0].coefs.radio_confianza | data/corrida0/relevo-usos-v1_0.tsv:RES-0068	Por fijar según instrumento; evitar transporte fuera de su marco	Conducta nombrada por el consumidor; definición exacta pendiente	G1.radio_confianza	proporción ponderada [0,1], enlace identidad (ADR-220)	Efecto causal de radio_confianza sobre salida de G1, no el β̂ asociativo existente	SIN-VARIACIÓN-CONOCIDA-EN-UNIVERSO-REVISADO	No preregistrable sin fuente primaria de asignación	coeficientes_generador_medidos.G1_radio_confianza, 4/ago/2026	Medición previa abierta según procedencia; verificar ola antes de nueva lectura	Asignación independiente de desenlaces potenciales, condicionada según diseño	Confusión estructural y selección	Contraste pretratamiento/placebo adecuado a una asignación todavía no localizada	SIN-DISEÑO-IDENTIFICADO	Buscar fuente primaria de variación y cotejar reactivo/geografía antes de spec
AT-03	RES-0075	coeficiente_asignado	milpa/procedencia.yaml:asignados_coeficiente:G2.sens_estatus	G2.sens_estatus	asignados_coeficiente.detalle[1].coefs.sens_estatus	generador:G2	G2 utiliza sens_estatus; signo asignado=0.55. El corpus fundamenta mecanismo/dirección, no la magnitud causal.	ASOCIACION/ASIGNADO según procedencia; ARGUMENTO_EXPLICITO=0 en E1	canon/integrador-psicologia-mexicano.md | canon/modelo-decision-v4_0.md | milpa/procedencia.yaml | corpus/reports/El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md | forense/estado-motor-v1_0.md | data/corrida0/relevo-usos-v1_0.tsv:RES-0075	Por fijar según instrumento; evitar transporte fuera de su marco	Conducta nombrada por el consumidor; definición exacta pendiente	G2.sens_estatus	NO-DECLARADO para efecto causal; verificar esquema E1/ADR-220	Efecto causal de sens_estatus sobre salida de G2, no el β̂ asociativo existente	SIN-VARIACIÓN-CONOCIDA-EN-UNIVERSO-REVISADO	No preregistrable sin fuente primaria de asignación	Revisados catálogo de fuentes, procedencia y registro de llaves; sin enlace causal acreditado	No abrir reserva:*; disponibilidad de microdato por confirmar	Asignación independiente de desenlaces potenciales, condicionada según diseño	Confusión estructural y selección	Contraste pretratamiento/placebo adecuado a una asignación todavía no localizada	FALTA-MEDICION/ESCALA	Validar reactivo del constructo en población mexicana y enlace de escala antes de buscar asignación
AT-04	RES-0074	coeficiente_asignado	milpa/procedencia.yaml:asignados_coeficiente:G2.aversion_riesgo	G2.aversion_riesgo	asignados_coeficiente.detalle[1].coefs.aversion_riesgo	generador:G2	G2 utiliza aversion_riesgo; signo asignado=0.2. El corpus fundamenta mecanismo/dirección, no la magnitud causal.	ASOCIACION/ASIGNADO según procedencia; ARGUMENTO_EXPLICITO=0 en E1	canon/integrador-psicologia-mexicano.md | canon/modelo-decision-v4_0.md | milpa/procedencia.yaml | corpus/reports/El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md | forense/estado-motor-v1_0.md | data/corrida0/relevo-usos-v1_0.tsv:RES-0074	Por fijar según instrumento; evitar transporte fuera de su marco	Conducta nombrada por el consumidor; definición exacta pendiente	G2.aversion_riesgo	NO-DECLARADO para efecto causal; verificar esquema E1/ADR-220	Efecto causal de aversion_riesgo sobre salida de G2, no el β̂ asociativo existente	SIN-VARIACIÓN-CONOCIDA-EN-UNIVERSO-REVISADO	No preregistrable sin fuente primaria de asignación	Revisados catálogo de fuentes, procedencia y registro de llaves; sin enlace causal acreditado	No abrir reserva:*; disponibilidad de microdato por confirmar	Asignación independiente de desenlaces potenciales, condicionada según diseño	Confusión estructural y selección	Contraste pretratamiento/placebo adecuado a una asignación todavía no localizada	FALTA-MEDICION/ESCALA	Validar reactivo del constructo en población mexicana y enlace de escala antes de buscar asignación
AT-05	RES-0072	coeficiente_ejecutable	milpa/procedencia.yaml:coeficientes_generador_sellados:G3.horizonte_temporal	G3.horizonte_temporal	coeficientes_generador_sellados[5]	generador:G3	G3 utiliza horizonte_temporal; signo asignado=-0.6. El corpus fundamenta mecanismo/dirección, no la magnitud causal.	ASOCIACION-MEDIDA·CAL·INTRA-PERSONA·SIGNO-OPUESTO-AL-ASIGNADO	canon/integrador-psicologia-mexicano.md | canon/modelo-decision-v4_0.md | milpa/procedencia.yaml | corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md | forense/estado-motor-v1_0.md | milpa/procedencia.yaml:asignados_coeficiente.detalle[2].coefs.horizonte_temporal | data/corrida0/relevo-usos-v1_0.tsv:RES-0072	Por fijar según instrumento; evitar transporte fuera de su marco	Conducta nombrada por el consumidor; definición exacta pendiente	G3.horizonte_temporal	θ pr02 ordinal 1-7 reescalada linealmente a [0,1]; salida en proporción de cr27; enlace identidad extendido por firma b1 + enlace lineal de dirección (ADR-225)	Efecto causal de horizonte_temporal sobre salida de G3, no el β̂ asociativo existente	CAL-G3: variación intra-persona ENNViH, no asignación exógena	Primeras diferencias ya corridas; fuente de shock exógeno al horizonte no localizada	ENNViH olas 2-3; CAL-G3, forense/registro-llaves-identificacion-v1_0.md	Medición previa abierta según procedencia; verificar ola antes de nueva lectura	Asignación independiente de desenlaces potenciales, condicionada según diseño	Confusión temporal intra-persona aun con primeras diferencias	Contraste pretratamiento/placebo adecuado a una asignación todavía no localizada	PANEL-DISPONIBLE-SIN-IDENTIFICACION-CAUSAL	Buscar fuente primaria de variación y cotejar reactivo/geografía antes de spec
AT-06	RES-0076	coeficiente_asignado	milpa/procedencia.yaml:asignados_coeficiente:G3.aversion_riesgo	G3.aversion_riesgo	asignados_coeficiente.detalle[2].coefs.aversion_riesgo	generador:G3	G3 utiliza aversion_riesgo; signo asignado=0.4. El corpus fundamenta mecanismo/dirección, no la magnitud causal.	ASOCIACION/ASIGNADO según procedencia; ARGUMENTO_EXPLICITO=0 en E1	canon/integrador-psicologia-mexicano.md | canon/modelo-decision-v4_0.md | milpa/procedencia.yaml | corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md | forense/estado-motor-v1_0.md | data/corrida0/relevo-usos-v1_0.tsv:RES-0076	Por fijar según instrumento; evitar transporte fuera de su marco	Conducta nombrada por el consumidor; definición exacta pendiente	G3.aversion_riesgo	NO-DECLARADO para efecto causal; verificar esquema E1/ADR-220	Efecto causal de aversion_riesgo sobre salida de G3, no el β̂ asociativo existente	SIN-VARIACIÓN-CONOCIDA-EN-UNIVERSO-REVISADO	No preregistrable sin fuente primaria de asignación	Revisados catálogo de fuentes, procedencia y registro de llaves; sin enlace causal acreditado	No abrir reserva:*; disponibilidad de microdato por confirmar	Asignación independiente de desenlaces potenciales, condicionada según diseño	Confusión estructural y selección	Contraste pretratamiento/placebo adecuado a una asignación todavía no localizada	FALTA-MEDICION/ESCALA	Validar reactivo del constructo en población mexicana y enlace de escala antes de buscar asignación
AT-07	RES-0069	coeficiente_ejecutable	milpa/procedencia.yaml:coeficientes_generador_sellados:G3.familismo_apoyo	G3.familismo_apoyo	coeficientes_generador_sellados[2]	generador:G3	G3 utiliza familismo_apoyo; signo asignado=0.2. El corpus fundamenta mecanismo/dirección, no la magnitud causal.	ASOCIACION-MEDIDA·MARGINAL	canon/integrador-psicologia-mexicano.md | canon/modelo-decision-v4_0.md | milpa/procedencia.yaml | corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md | forense/estado-motor-v1_0.md | milpa/procedencia.yaml:asignados_coeficiente.detalle[2].coefs.familismo_apoyo | data/corrida0/relevo-usos-v1_0.tsv:RES-0069	Por fijar según instrumento; evitar transporte fuera de su marco	Conducta nombrada por el consumidor; definición exacta pendiente	G3.familismo_apoyo	proporción ponderada [0,1], enlace identidad (ADR-220)	Efecto causal de familismo_apoyo sobre salida de G3, no el β̂ asociativo existente	SIN-VARIACIÓN-CONOCIDA-EN-UNIVERSO-REVISADO	No preregistrable sin fuente primaria de asignación	coeficientes_generador_medidos.G3_familismo_apoyo, 4/ago/2026	Medición previa abierta según procedencia; verificar ola antes de nueva lectura	Asignación independiente de desenlaces potenciales, condicionada según diseño	Confusión estructural y selección	Contraste pretratamiento/placebo adecuado a una asignación todavía no localizada	SIN-DISEÑO-IDENTIFICADO	Buscar fuente primaria de variación y cotejar reactivo/geografía antes de spec
AT-08	RES-0070	coeficiente_ejecutable	milpa/procedencia.yaml:coeficientes_generador_sellados:G4.exposicion_violencia	G4.exposicion_violencia	coeficientes_generador_sellados[3]	generador:G4	G4 utiliza exposicion_violencia; signo asignado=0.7. El corpus fundamenta mecanismo/dirección, no la magnitud causal.	ASOCIACION-MEDIDA·CONDICIONAL	canon/integrador-psicologia-mexicano.md | canon/modelo-decision-v4_0.md | milpa/procedencia.yaml | corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md | forense/estado-motor-v1_0.md | milpa/procedencia.yaml:asignados_coeficiente.detalle[3].coefs.exposicion_violencia | data/corrida0/relevo-usos-v1_0.tsv:RES-0070	Por fijar según instrumento; evitar transporte fuera de su marco	Conducta nombrada por el consumidor; definición exacta pendiente	G4.exposicion_violencia	proporción ponderada [0,1], enlace identidad (ADR-220)	Efecto causal de exposicion_violencia sobre salida de G4, no el β̂ asociativo existente	SIN-VARIACIÓN-CONOCIDA-EN-UNIVERSO-REVISADO	No preregistrable sin fuente primaria de asignación	coeficientes_generador_medidos.G4_exposicion_violencia, 4/ago/2026	Medición previa abierta según procedencia; verificar ola antes de nueva lectura	Asignación independiente de desenlaces potenciales, condicionada según diseño	Confusión estructural y selección	Contraste pretratamiento/placebo adecuado a una asignación todavía no localizada	SIN-DISEÑO-IDENTIFICADO	Buscar fuente primaria de variación y cotejar reactivo/geografía antes de spec
AT-09	RES-0071	coeficiente_ejecutable	milpa/procedencia.yaml:coeficientes_generador_sellados:G4.confianza_institucional	G4.confianza_institucional	coeficientes_generador_sellados[4]	generador:G4	G4 utiliza confianza_institucional; signo asignado=-0.4. El corpus fundamenta mecanismo/dirección, no la magnitud causal.	ASOCIACION-MEDIDA·COMPUESTO·MARGINAL	canon/integrador-psicologia-mexicano.md | canon/modelo-decision-v4_0.md | milpa/procedencia.yaml | corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md | forense/estado-motor-v1_0.md | milpa/procedencia.yaml:asignados_coeficiente.detalle[3].coefs.confianza_institucional | data/corrida0/relevo-usos-v1_0.tsv:RES-0071	Por fijar según instrumento; evitar transporte fuera de su marco	Conducta nombrada por el consumidor; definición exacta pendiente	G4.confianza_institucional	proporción ponderada [0,1], enlace identidad (ADR-220)	Efecto causal de confianza_institucional sobre salida de G4, no el β̂ asociativo existente	SIN-VARIACIÓN-CONOCIDA-EN-UNIVERSO-REVISADO	No preregistrable sin fuente primaria de asignación	coeficientes_generador_medidos.G4_confianza_institucional_justicia, 4/ago/2026	Medición previa abierta según procedencia; verificar ola antes de nueva lectura	Asignación independiente de desenlaces potenciales, condicionada según diseño	Confusión estructural y selección	Contraste pretratamiento/placebo adecuado a una asignación todavía no localizada	SIN-DISEÑO-IDENTIFICADO	Buscar fuente primaria de variación y cotejar reactivo/geografía antes de spec
AT-10	RES-0077	coeficiente_asignado	milpa/procedencia.yaml:asignados_coeficiente:G4.horizonte_temporal	G4.horizonte_temporal	asignados_coeficiente.detalle[3].coefs.horizonte_temporal	generador:G4	G4 utiliza horizonte_temporal; signo asignado=-0.2. El corpus fundamenta mecanismo/dirección, no la magnitud causal.	ASOCIACION/ASIGNADO según procedencia; ARGUMENTO_EXPLICITO=0 en E1	canon/integrador-psicologia-mexicano.md | canon/modelo-decision-v4_0.md | milpa/procedencia.yaml | corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md | forense/estado-motor-v1_0.md | data/corrida0/relevo-usos-v1_0.tsv:RES-0077	Por fijar según instrumento; evitar transporte fuera de su marco	Conducta nombrada por el consumidor; definición exacta pendiente	G4.horizonte_temporal	NO-DECLARADO para efecto causal; verificar esquema E1/ADR-220	Efecto causal de horizonte_temporal sobre salida de G4, no el β̂ asociativo existente	SIN-VARIACIÓN-CONOCIDA-EN-UNIVERSO-REVISADO	No preregistrable sin fuente primaria de asignación	Revisados catálogo de fuentes, procedencia y registro de llaves; sin enlace causal acreditado	No abrir reserva:*; disponibilidad de microdato por confirmar	Asignación independiente de desenlaces potenciales, condicionada según diseño	Confusión estructural y selección	Contraste pretratamiento/placebo adecuado a una asignación todavía no localizada	SIN-DISEÑO-IDENTIFICADO	Buscar fuente primaria de variación y cotejar reactivo/geografía antes de spec
