worker_id	necesidad_id	fuente_canonica	objeto_evidencia_id	estado_anterior	estado_propuesto	tipo_resultado	evidencia_ref	evidencia_localizador	evidencia_explicita	razon	reserva_incertidumbre	requiere_decision_humana	siguiente_accion
worker-2	N3	ENFIH	OE-7419790292a051ce7ebbb5fe	CANDIDATA	CANDIDATA	CANDIDATA_CON_CARENCIA	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	Revisión dirigida de MAIN:data/abrir4-variables-2026-08-08.tsv:L9-L14: La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido. No alcanza el estándar de CONFIRMADA ni de NEGATIVA delimitada.	No se observó una pareja verificable de constructo y desenlace para esta clave; ausencia no demostrada.	NO	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
worker-2	N3	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	OE-02ca9729c199ce7586579636	CANDIDATA	CANDIDATA	CANDIDATA_CON_CARENCIA	MAIN:data/mapa-ext-academico-2026-08-06.tsv	L15	El mapa clasifica documentalmente el estudio, pero no contiene instrumento, variable ni resultado que conecte esta clave con la necesidad.	Revisión dirigida de MAIN:data/mapa-ext-academico-2026-08-06.tsv:L15: El mapa clasifica documentalmente el estudio, pero no contiene instrumento, variable ni resultado que conecte esta clave con la necesidad. No alcanza el estándar de CONFIRMADA ni de NEGATIVA delimitada.	No se observó una pareja verificable de constructo y desenlace para esta clave; ausencia no demostrada.	NO	Abrir materiales suplementarios del estudio y localizar variable, tratamiento, resultado y muestra mexicanos pertinentes.
worker-2	N3	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	OE-e8196751ae92cecdc38e72c1	CANDIDATA	CANDIDATA	CANDIDATA_CON_CARENCIA	MAIN:data/mapa-ext-academico-2026-08-06.tsv	L15	El mapa clasifica documentalmente el estudio, pero no contiene instrumento, variable ni resultado que conecte esta clave con la necesidad.	Revisión dirigida de MAIN:data/mapa-ext-academico-2026-08-06.tsv:L15: El mapa clasifica documentalmente el estudio, pero no contiene instrumento, variable ni resultado que conecte esta clave con la necesidad. No alcanza el estándar de CONFIRMADA ni de NEGATIVA delimitada.	No se observó una pareja verificable de constructo y desenlace para esta clave; ausencia no demostrada.	NO	Abrir materiales suplementarios del estudio y localizar variable, tratamiento, resultado y muestra mexicanos pertinentes.
worker-2	N4	ENFIH	OE-64909cd43474fe401f3cf196	CANDIDATA	CANDIDATA	CANDIDATA_CON_CARENCIA	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	Revisión dirigida de MAIN:data/abrir4-variables-2026-08-08.tsv:L9-L14: La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido. No alcanza el estándar de CONFIRMADA ni de NEGATIVA delimitada.	No se observó una pareja verificable de constructo y desenlace para esta clave; ausencia no demostrada.	NO	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
worker-2	N5	ENFIH	OE-ee2008967035d534126bbcb0	CANDIDATA	CANDIDATA	CANDIDATA_CON_CARENCIA	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	Revisión dirigida de MAIN:data/abrir4-variables-2026-08-08.tsv:L9-L14: La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido. No alcanza el estándar de CONFIRMADA ni de NEGATIVA delimitada.	No se observó una pareja verificable de constructo y desenlace para esta clave; ausencia no demostrada.	NO	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
worker-2	N5	ENNVIH	OE-2914da93c77f7bde435ccf41	CANDIDATA	CANDIDATA	CANDIDATA_CON_CARENCIA	MAIN:forense/matriz-impacto-universal-2026-08-06.md	L81	La matriz reconoce ENNViH/MxFLS como ruta longitudinal para horizonte temporal, pero la fase descriptiva y la llave panel siguen pendientes.	Revisión dirigida de MAIN:forense/matriz-impacto-universal-2026-08-06.md:L81: La matriz reconoce ENNViH/MxFLS como ruta longitudinal para horizonte temporal, pero la fase descriptiva y la llave panel siguen pendientes. No alcanza el estándar de CONFIRMADA ni de NEGATIVA delimitada.	No se observó una pareja verificable de constructo y desenlace para esta clave; ausencia no demostrada.	NO	Abrir codebooks por ola y localizar indicador temporal, conducta financiera y llave individual longitudinal.
worker-2	N5	LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	OE-0139b3dc528f6df3fe1811a0	CANDIDATA	CANDIDATA	CANDIDATA_CON_CARENCIA	MAIN:data/mapa-ext-academico-2026-08-06.tsv	L5	El estudio está indexado pero no descargado; no hay instrumento o resultado local verificable para adjudicar.	Revisión dirigida de MAIN:data/mapa-ext-academico-2026-08-06.tsv:L5: El estudio está indexado pero no descargado; no hay instrumento o resultado local verificable para adjudicar. No alcanza el estándar de CONFIRMADA ni de NEGATIVA delimitada.	No se observó una pareja verificable de constructo y desenlace para esta clave; ausencia no demostrada.	NO	Recuperar el paquete canónico del estudio y revisar instrumento, diseño, outcomes y tablas de impacto.
worker-2	N6	ENFIH	OE-bbf838f18125cdb07027ae39	CANDIDATA	CANDIDATA	CANDIDATA_CON_CARENCIA	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	Revisión dirigida de MAIN:data/abrir4-variables-2026-08-08.tsv:L9-L14: La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido. No alcanza el estándar de CONFIRMADA ni de NEGATIVA delimitada.	No se observó una pareja verificable de constructo y desenlace para esta clave; ausencia no demostrada.	NO	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
worker-2	N7	ENIF	OE-c168b43614acb9a4b5abf786	CANDIDATA	CANDIDATA	CANDIDATA_CON_CARENCIA	MAIN:forense/hitoE-campana-medicion-v2_0.md	L999-L1116	ENIF tiene reactivos financieros identificados (P9_9_1..6, P4_10 y sección 11), pero la evidencia local no verifica el cruce específico solicitado por esta clave.	Revisión dirigida de MAIN:forense/hitoE-campana-medicion-v2_0.md:L999-L1116: ENIF tiene reactivos financieros identificados (P9_9_1..6, P4_10 y sección 11), pero la evidencia local no verifica el cruce específico solicitado por esta clave. No alcanza el estándar de CONFIRMADA ni de NEGATIVA delimitada.	No se observó una pareja verificable de constructo y desenlace para esta clave; ausencia no demostrada.	NO	Mapear en el cuestionario y microdato ENIF los reactivos de la necesidad y el desenlace, y comprobar que comparten unidad de observación.
worker-2	N8	VOTAR_ENTRE_BALAS	OE-b2462eff969c4d5cf7746ad9	CANDIDATA	CANDIDATA	CANDIDATA_CON_CARENCIA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv	L14	La base de violencia político-criminal está identificada, pero no hay variables abiertas que prueben respuesta individual o el mecanismo requerido.	Revisión dirigida de MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L14: La base de violencia político-criminal está identificada, pero no hay variables abiertas que prueben respuesta individual o el mecanismo requerido. No alcanza el estándar de CONFIRMADA ni de NEGATIVA delimitada.	No se observó una pareja verificable de constructo y desenlace para esta clave; ausencia no demostrada.	NO	Abrir diccionario/descarga y mapear tipo de evento, actor, municipio, fecha y outcome electoral; declarar límite ecológico.
worker-2	N10	ENFIH	OE-9b56ce01d359ba88ae40d6b7	CANDIDATA	CANDIDATA	CANDIDATA_CON_CARENCIA	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	Revisión dirigida de MAIN:data/abrir4-variables-2026-08-08.tsv:L9-L14: La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido. No alcanza el estándar de CONFIRMADA ni de NEGATIVA delimitada.	No se observó una pareja verificable de constructo y desenlace para esta clave; ausencia no demostrada.	NO	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
worker-2	N11	ENFIH	OE-c90c4a61a41208f3f31b9b3c	CANDIDATA	CANDIDATA	CANDIDATA_CON_CARENCIA	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	Revisión dirigida de MAIN:data/abrir4-variables-2026-08-08.tsv:L9-L14: La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido. No alcanza el estándar de CONFIRMADA ni de NEGATIVA delimitada.	No se observó una pareja verificable de constructo y desenlace para esta clave; ausencia no demostrada.	NO	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
worker-2	N12	ENBIARE2021	OE-7f44fa3fa8c7613438913dd6	CANDIDATA	CANDIDATA	CANDIDATA_CON_CARENCIA	MAIN:forense/matriz-impacto-universal-2026-08-06.md	L81-L86	La matriz local registra orientación futura y redes en ENBIARE, pero advierte que no sustituyen automáticamente el diseño ni prueban el desenlace coobservado de esta relación.	Revisión dirigida de MAIN:forense/matriz-impacto-universal-2026-08-06.md:L81-L86: La matriz local registra orientación futura y redes en ENBIARE, pero advierte que no sustituyen automáticamente el diseño ni prueban el desenlace coobservado de esta relación. No alcanza el estándar de CONFIRMADA ni de NEGATIVA delimitada.	No se observó una pareja verificable de constructo y desenlace para esta clave; ausencia no demostrada.	NO	Abrir cuestionario/diccionario ENBIARE y localizar texto, codificación y llave del reactivo junto con el desenlace requerido.
worker-2	N12	ENFIH	OE-feb025d87b3cf3747adeb5d3	CANDIDATA	CANDIDATA	CANDIDATA_CON_CARENCIA	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	Revisión dirigida de MAIN:data/abrir4-variables-2026-08-08.tsv:L9-L14: La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido. No alcanza el estándar de CONFIRMADA ni de NEGATIVA delimitada.	No se observó una pareja verificable de constructo y desenlace para esta clave; ausencia no demostrada.	NO	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
worker-2	N13	ENFIH	OE-3ac182b073f5f5ffdaae010c	CANDIDATA	CANDIDATA	CANDIDATA_CON_CARENCIA	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	Revisión dirigida de MAIN:data/abrir4-variables-2026-08-08.tsv:L9-L14: La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido. No alcanza el estándar de CONFIRMADA ni de NEGATIVA delimitada.	No se observó una pareja verificable de constructo y desenlace para esta clave; ausencia no demostrada.	NO	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
worker-2	N14	ENBIARE2021	OE-13d0bcd20755243644c9b7bd	CANDIDATA	CANDIDATA	CANDIDATA_CON_CARENCIA	MAIN:forense/matriz-impacto-universal-2026-08-06.md	L81-L86	La matriz local registra orientación futura y redes en ENBIARE, pero advierte que no sustituyen automáticamente el diseño ni prueban el desenlace coobservado de esta relación.	Revisión dirigida de MAIN:forense/matriz-impacto-universal-2026-08-06.md:L81-L86: La matriz local registra orientación futura y redes en ENBIARE, pero advierte que no sustituyen automáticamente el diseño ni prueban el desenlace coobservado de esta relación. No alcanza el estándar de CONFIRMADA ni de NEGATIVA delimitada.	No se observó una pareja verificable de constructo y desenlace para esta clave; ausencia no demostrada.	NO	Abrir cuestionario/diccionario ENBIARE y localizar texto, codificación y llave del reactivo junto con el desenlace requerido.
worker-2	N14	ENFIH	OE-e5b64d206242e1e5d68b33ad	CANDIDATA	CANDIDATA	CANDIDATA_CON_CARENCIA	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	Revisión dirigida de MAIN:data/abrir4-variables-2026-08-08.tsv:L9-L14: La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido. No alcanza el estándar de CONFIRMADA ni de NEGATIVA delimitada.	No se observó una pareja verificable de constructo y desenlace para esta clave; ausencia no demostrada.	NO	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
