worker_id	necesidad_id	fuente_canonica	objeto_evidencia_id	estado_anterior	estado_propuesto	tipo_resultado	evidencia_ref	evidencia_localizador	evidencia_explicita	razon	reserva_incertidumbre	requiere_decision_humana	siguiente_accion
worker-1	N10	ENSAFI2023_BD_CSV_ZIP	OE-89a3ea1f1f57946d79377e63	CANDIDATA	NEGATIVA	EXISTE-NO-SATISFACE	MAIN:data/abrir4-variables-2026-08-08.tsv:L4	ORIEN_FUT	ORIEN_FUT existe como columna derivada binaria en TMODULO, sin texto; ENSAFI no contiene batería de victimización o justicia.	Aunque el nombre sugiera orientación futura, falta el desenlace G4 coobservado exigido.	Dirección 1/2 desconocida.	NO	Conservar el descarte; solo revisar si aparece documentación y un módulo G4 no inventariado.
worker-1	N14	ENCUCI	OE-7bcdf8692160761ace39557f	CANDIDATA	NEGATIVA	EXISTE-NO-SATISFACE	MAIN:forense/matriz-impacto-universal-2026-08-06.md:L94	ENCUCI	ENCUCI mide AP5_1_1/2/3 de confianza, mientras la matriz documenta que el desenlace financiero vive en otra fuente.	El reactivo existe, pero N14 exige confianza y desenlace financiero en la misma muestra.	La magnitud es dependiente del reactivo y no debe colapsarse.	NO	Usar ENCUCI solo para medir confianza; buscar un instrumento financiero con reactivo equivalente para el puente.
worker-1	N20	ENVIPE	OE-ec4ae2e4df0decfd79367f30	CANDIDATA	NEGATIVA	EXISTE-NO-SATISFACE	MAIN:forense/hitoD-preregistro-v2_0.md:L693	BP2_1	BP2_1 mide vehículo robado asegurado solo para BPCOD=01; 1028 de 40280 filas válidas y todas corresponden a robo total de vehículo.	La cobertura no varía entre clases de delito, por lo que ENVIPE no construye denuncia coobservada con seguro en el universo requerido.	Puede estimarse dentro de robo de vehículo, no generalizarse a delitos.	NO	Usar BP2_1 solo para el subdominio robo de vehículo; buscar otra fuente para seguro×denuncia general.
worker-3	N12	ENFIH2019_FD_XLSX	OE-826b60a87b39ab2aec89c752	CANDIDATA	NEGATIVA	EXISTE-NO-SATISFACE	MAIN:data/abrir4-variables-2026-08-08.tsv:L12	P11_1_5	11.1 Si hoy tuviera una urgencia economica igual a lo que gana o recibe en un mes, ¿usted podria pagarla con un prestamo de amigos o familiares?	El reactivo mide capacidad percibida de afrontar una urgencia puntual mediante préstamo familiar; no mide una disposición general de apoyo/familismo.	La conclusión se limita a la evidencia local abierta; no se infiere contenido ausente.	NO	Conservar como negativa fuente-específica; buscar un reactivo disposicional solo en una futura fuente ya identificada.
worker-4	N15	ESTUDIOS_DE_RECHAZOS_Y_CORPUS_PRAGMATICO_DE_FELIX_BRASDEFER	OE-cdf2629bb15a3bcdec46740a	CANDIDATA	NEGATIVA	EXISTE-NO-SATISFACE	MAIN:data/mapa-ext-general-2026-08-06.tsv:L18	no en un microdato público normalizado	El estudio documenta estrategias de rechazo en muestra puntual, pero no un instrumento con diseño muestral publicado y desenlace G6 coobservable.	El estudio documenta estrategias de rechazo en muestra puntual, pero no un instrumento con diseño muestral publicado y desenlace G6 coobservable.	Ausencia delimitada al documento/archivo descrito; no afirma inexistencia en otras fuentes o versiones.	NO	Conservar como negativa fuente-específica; reabrir solo ante un payload distinto que contenga la variable faltante.
worker-4	N22	SE	OE-ba89df5b01f12044531c3a48	CANDIDATA	NEGATIVA	EXISTE-NO-SATISFACE	MAIN:forense/notas/2026-08-08-verif3.md:L250	Cero variables de frecuencia conductual	Se abrió el reporte ECCO completo: no contiene tasa conductual de disenso/reporte de errores, canal pareado ni tipología organizacional requerida.	Se abrió el reporte ECCO completo: no contiene tasa conductual de disenso/reporte de errores, canal pareado ni tipología organizacional requerida.	Ausencia delimitada al documento/archivo descrito; no afirma inexistencia en otras fuentes o versiones.	NO	Conservar como negativa fuente-específica; reabrir solo ante un payload distinto que contenga la variable faltante.
worker-4	N27	ACLED	OE-e33de56e4b7fd1b0c81357a2	CANDIDATA	NEGATIVA	EXISTE-NO-SATISFACE	MAIN:forense/notas/2026-08-08-verif3.md:L105	Variables reales	El archivo completo solo tiene Country, Month, Year y Events; está agregado mes×año y carece de evento, actor, agravio, respuesta y entorno urbano/rural.	El archivo completo solo tiene Country, Month, Year y Events; está agregado mes×año y carece de evento, actor, agravio, respuesta y entorno urbano/rural.	Ausencia delimitada al documento/archivo descrito; no afirma inexistencia en otras fuentes o versiones.	NO	Conservar como negativa fuente-específica; reabrir solo ante un payload distinto que contenga la variable faltante.
worker-4	N28	SICS	OE-8956933de168361a2512c945	CANDIDATA	NEGATIVA	EXISTE-NO-SATISFACE	MAIN:forense/notas/2026-08-08-verif3.md:L195	variable de sanción o monitoreo a nivel comité	El CSV completo está agregado nacional×año; no tiene identificador de comité ni variable de sanción/monitoreo, por lo que no permite comparar contribución sostenida.	El CSV completo está agregado nacional×año; no tiene identificador de comité ni variable de sanción/monitoreo, por lo que no permite comparar contribución sostenida.	Ausencia delimitada al documento/archivo descrito; no afirma inexistencia en otras fuentes o versiones.	NO	Conservar como negativa fuente-específica; reabrir solo ante un payload distinto que contenga la variable faltante.
worker-4	N31	ESTUDIOS_DE_RECHAZOS_Y_CORPUS_PRAGMATICO_DE_FELIX_BRASDEFER	OE-04360854956741a50504a5b4	CANDIDATA	NEGATIVA	EXISTE-NO-SATISFACE	MAIN:data/mapa-ext-general-2026-08-06.tsv:L18	20 hablantes mexicanos varones universitarios	La evidencia ancla es una muestra universitaria/local; N31 exige replicación fuera de esa muestra y el corpus abierto no aporta el pareo superior/inferior requerido.	La evidencia ancla es una muestra universitaria/local; N31 exige replicación fuera de esa muestra y el corpus abierto no aporta el pareo superior/inferior requerido.	Ausencia delimitada al documento/archivo descrito; no afirma inexistencia en otras fuentes o versiones.	NO	Conservar como negativa fuente-específica; reabrir solo ante un payload distinto que contenga la variable faltante.
worker-4	N32	SE	OE-d8746552888bcd683139d5bd	CANDIDATA	NEGATIVA	EXISTE-NO-SATISFACE	MAIN:forense/notas/2026-08-08-verif3.md:L250	Cero variables de frecuencia conductual	El reporte ECCO completo contiene promedios perceptuales, no panel organizacional con rotación y desempeño auditado.	El reporte ECCO completo contiene promedios perceptuales, no panel organizacional con rotación y desempeño auditado.	Ausencia delimitada al documento/archivo descrito; no afirma inexistencia en otras fuentes o versiones.	NO	Conservar como negativa fuente-específica; reabrir solo ante un payload distinto que contenga la variable faltante.
