prioridad	fuente	institucion	carriles_origen	objetos_proyecto	constructo	reactivo_o_exposicion	desenlace	misma_muestra	unidad_observacion	periodo	granularidad	diseno	acceso	estado	condicion_que_satisface	condicion_faltante	impacto	probabilidad	costo	recomendacion	accion_minima	evidencia
1	Auditoría 165-DS Servicios de vacunación ISSSTE 2024	ASF	oficial	R9.2	disponibilidad de vacunas	dosis, metas y registros acreditantes	disponibilidad/campaña	POR-CONFIRMAR	unidad/delegación ISSSTE	2024	por verificar	auditoría independiente	PDF abierto	CANDIDATA	contraste reportado-acreditado	geografía, biológico y campaña	ALTO	ALTO	BAJO	A	abrir PDF y anexos	Mapa oficial EXT-OF-02
2	Encuesta Anual de Competencias Financieras 2019-2024	Banco de México	general; academico	R1.5-R1.7; R8.2	crédito, daño, tandas	CRED1/CRED3, crédito por aplicación, A2a	conducta y estrés financiero	SI	persona/hogar	2019-2024	nacional; desglose por confirmar	cortes repetidos	manuales abiertos	ABIERTO-SIN-MAPEO	modalidades y outcomes coobservados	comparabilidad y modalidad BNPL	ALTO	ALTO	BAJO	A	abrir manual 2024	MAPA-EXT-001; BANXICO_COMPETENCIAS_FINANCIERAS
3	Reporte sobre uso y confianza de Servicios Financieros Digitales	IFT	oficial	R3.4	confianza/riesgo digital	uso, confianza, fraude o abandono	uso/abandono	POR-CONFIRMAR	persona	edición indexada	nacional por confirmar	encuesta	base indexada	INDEXADO-NO-DESCARGADO	posible exposición y desenlace coobservados	texto, ponderador y muestra	ALTO	ALTO	BAJO	A	abrir cuestionario	Mapa oficial EXT-OF-07
4	Datos abiertos de reportes de desabasto	Cero Desabasto / Práctica / Nosotrxs	civil	R9.2	desabasto	insumo, institución, entidad, fecha	reporte de no surtimiento	SI	reporte ciudadano	2019-actualidad	entidad; unidad por confirmar	observacional civil	consulta pública	INDEXADO-NO-DESCARGADO	auditor externo y clase vacuna	esquema, denominador, cobertura, campaña, granularidad y sesgo; no permite aún una tasa válida	ALTO	ALTO	BAJO	A	confirmar exportación	Mapa civil, fila Cero Desabasto; distinta de ASF
5	Does Corruption Information Inspire the Fight or Quash the Hope?	J-PAL/IPA; autores	academico	R7.1; R7.6-R7.9	información de corrupción	volante aleatorizado	participación y voto	SI	sección; persona	2009	12 municipios	experimento por sección	paquete enlazado	SATISFACE-UMBRAL-DOCUMENTAL	tratamiento y resultado electoral	llave sección-encuesta	ALTO	ALTO	BAJO	A	abrir codebook	Mapa académico CORRUPCION_INFO_ELECTORAL_2009
6	Mexico Enterprise Surveys, componente panel candidato 2006-2010	Banco Mundial Enterprise Surveys	academico	R2.1; R2.2; R10.2	finanzas y desempeño empresarial	pagos informales, finanzas, obstáculos	ventas, empleo, costos e innovación	POR-CONFIRMAR	empresa	2006; 2010	nacional; archivo panel con 293 registros documentados	longitudinal por confirmar	registro gratuito	SATISFACE-UMBRAL-DOCUMENTAL	archivo denominado panel e identificador candidato documentados	continuidad de empresas, llave longitudinal, comparabilidad y dos observaciones por id	ALTO	ALTO	MEDIO	A	verificar llave longitudinal	No afirmar panel efectivo ni extrapolar a cortes completos antes de verificar continuidad y llave; mapa académico WBES
7	Microcredit Impacts: Compartamos RCT	OpenICPSR; Compartamos; autores	academico	crédito; bienestar; sens_estatus	microcrédito y estatus	oferta/uso; reactivo de estatus no documentado	finanzas, actividad y bienestar	SI	mujer/hogar	2008-2012	250 vecindarios	RCT por conglomerados	licencia por verificar	INDEXADO-NO-DESCARGADO	tratamiento y outcomes coobservados	reactivo explícito de estatus	ALTO	MEDIO	BAJO	A	comprobar texto literal del reactivo	No es medición directa de sens_estatus sin reactivo; mapa académico
8	Large-Scale Financial Education Program Impact Evaluation	Banco Mundial; autores	academico	horizonte; adopción	intervención de educación financiera	programa educativo	conducta financiera	SI	persona	2011-2012	México por documentación	evaluación de impacto	indexado	INDEXADO-NO-DESCARGADO	intervención y desenlace financiero	items exactos y seguimiento	ALTO	MEDIO	BAJO	A	abrir codebook	Mapa académico LFEPIE
9	ISSP Social Networks and Social Resources 2017 México	ISSP/GESIS	general; academico	G5; R8.3	redes, deber y apoyo	apoyo, confianza, participación	conducta/redes	SI	persona	2017	muestra México	transversal	registro documental	INDEXADO-NO-DESCARGADO	constructo poblacional de redes	texto y coobservación exacta	ALTO	ALTO	BAJO	A	abrir cuestionario	MAPA-EXT-004; ISSP_SOCIAL_NETWORKS
10	ISSP Family and Changing Gender Roles 2012 México	ISSP/GESIS	general; academico	G5; R5.2	familismo/obligación	roles, cuidado y deber	conducta familiar	POR-CONFIRMAR	persona	2012	muestra México	transversal	registro documental	INDEXADO-NO-DESCARGADO	actitud familiar en población general	conducta/cuidado propio coobservado	ALTO	ALTO	BAJO	A	abrir cuestionario	MAPA-EXT-005; ISSP_FAMILY
11	CSES Module 5 México 2018	CSES; equipo México	general; academico	R7.1; R7.3; R7.6-R7.9	actitudes y conducta electoral	reactivos postelectorales	voto/participación	SI	persona	2018	nacional electoral	encuesta electoral	archivos documentales	INDEXADO-NO-DESCARGADO	diseño electoral individual	texto y codificación	ALTO	ALTO	BAJO	A	abrir codebook	MAPA-EXT-006; CSES_MEXICO_2018
