id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-2f7b4f03-01	corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md:L9	PDI 81 Hofstede, prácticas/deseos GLOBE y conclusión psicológica son tres objetos; PDI nacional sigue degradado por muestra corporativa IBM.		PENDIENTE-GLOBE-PDI	¿Qué ola GLOBE México, muestra de gerentes, ítems y escalas dan brecha prácticas/valores? ¿Cuál es fuente, fecha y población del PDI 81?	GLOBE estudio México cuestionario/tablas de prácticas y valores por localizar; Hofstede IBM ficha de muestra; correcciones-vigentes-v1_0.tsv	ASTRA5-U3	Leer tabla GLOBE por constructo y muestra; mantener Hofstede como descriptivo de IBM, sin inferir psicología nacional.
LECTURA-2f7b4f03-02	corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md:L11; §3 evidencia fuerte; §4 respeto	WVS México 2018 Q17 registra mención de obediencia entre hasta cinco cualidades infantiles: codebook v3.0 57.1%. No mide sumisión interna, respeto performativo ni obediencia a jefes. EE.UU. 28% y Japón 3% requieren olas propias.	ASTRA5-U0-AUTOR-004	CONTRATO-CERRADO-TABULADO-PUBLICADO	¿Qué olas/ponderadores de EE.UU. y Japón hacen comparables 28/3, y reproduce el ZIP México v5.1 el 57.1% publicado en v3.0?	WVS cuestionario México 2018 tarjeta 2 Q17; diseño; codebook v3.0 p.14; ZIP v5.1 sin apertura; cuestionarios/codebooks EE.UU./Japón por localizar	ASTRA5-U3	Conservar 57.1% como tabulado publicado; no atribuir RESULT v5.1, ni derivar mecanismo psicológico de una elección declarada.
LECTURA-2f7b4f03-03	corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md:L13	Personalismo, influencia del compadre y legitimidad del jefe son mecanismos distintos; no hay variable de capacidad efectiva ni comparación jefe/compadre.		PENDIENTE-MECANISMO	¿Qué estudio mexicano observa influencia efectiva, posición formal y vínculo personal en las mismas decisiones?	Arellano-Gault/Trejo-Alonso CIDE sobre palanca y estudio organizacional Martínez 2003 por localizar	ASTRA5-U3	Separar definición etnográfica de efecto causal; exigir diseño comparativo y unidad organización/persona.
LECTURA-2f7b4f03-04	corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md:L15; §8 Política; §10 Contradicciones	ENCUCI P4.9 separa acuerdo con líder fuerte AP4_9_1 y participación de todos AP4_9_4; los marginales 77.5%/88.7% no prueban simultaneidad individual, mucho menos caudillismo o doble discurso conductual.	ASTRA5-U0-AUTOR-001;ASTRA5-U0-AUTOR-002	CONTRATOS-CERRADOS-RESULT-PENDIENTE	¿Un RESULT ENCUCI 2020 con respuesta 1/2, válidos, FAC_SEL y diseño reproduce cada porcentaje y el cruce en las mismas personas?	encuci2020_fd_pdf pp.19-20 P4.9; encuci2020_bd_dbf en main; RESULT AP4_9_1/AP4_9_4 no localizado	ASTRA5-U3	Cotejar dos marginales y cruce; dejar tesis histórica «ley se acata» como mecanismo sin medición de estos reactivos.
LECTURA-2f7b4f03-05	corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md:L17	Palancas/compadrazgo como gobernanza paralela y frase sobre familia que dobla reglas son tesis, no tasa; procedencia de cita y ámbito pendientes.		PENDIENTE-FUENTE-MECANISMO	¿Cuál fuente primaria, página, población y contexto de la cita? ¿Qué conducta observada acredita sustitución de gobernanza formal?	Arellano-Gault/Trejo-Alonso y fuente de cita textual por localizar	ASTRA5-U3	Localizar cita exacta y distinguir reciprocidad, favoritismo y resultado institucional.
LECTURA-2f7b4f03-06	corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md:L19; §3 evidencia fuerte; §módulo Desconfianza	62.1% conocidos repite ENCUCI AP5_1_2 de CAPSOC-003; 13.8% servidores públicos requiere AP5_1_4 con mismo umbral. Contraste entre referentes descriptivo, no prueba que redes personales causen gobernanza paralela o rebeldía.	ASTRA5-U0-CAPSOC-003;ASTRA5-U0-AUTOR-003	DEDUP-CERRADO-RESULT-13_8-PENDIENTE	¿AP5_1_4 ≥8/10 reproduce 13.8% entre personas 15+ válidas y con diseño? ¿El report usó mismo umbral que AP5_1_2?	encuci2020_fd_pdf p.22 P5.1; C-06b AP5_1_2 en main; RESULT AP5_1_4 no localizado	ASTRA5-U3	Cotejar AP5_1_4 y no sumar 62.1% como evidencia nueva; reservar mecanismo causal.
LECTURA-2f7b4f03-07	corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md:L21	GLOBE 5.99 carismático, 5.96 equipo, 5.42 participativo: dimensiones distintas de gerentes; «autócrata benevolente» es interpretación adicional.		PENDIENTE-GLOBE-LIDERAZGO	¿Qué tabla GLOBE de México, N, escala 1-7 e intervalos dan los tres puntajes? ¿Se preguntó preferencia individual o atributo del liderazgo efectivo?	GLOBE México módulo liderazgo, ficha muestral de ~260 gerentes y tablas por localizar	ASTRA5-U3	Contratar cada dimensión/escala y no extrapolar gerente a toda la población ni a autoritarismo.
LECTURA-2f7b4f03-08	corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md:L23	Comunicación indirecta «sí/quizás/no», evitación de conflicto y costo operativo son afirmaciones diferentes; anécdotas y estudios sectoriales no estiman prevalencia nacional.		PENDIENTE-COMUNICACION	¿Qué instrumento observa respuestas indirectas y costo operativo en trabajadores mexicanos con comparador explícito?	Madlock 2012; Posthuma et al. 2006; Dávila/Elvira estudios organizacionales por localizar	ASTRA5-U3	Distinguir constructo, muestra laboral y resultado; no elevar consejo intercultural a rasgo poblacional.
LECTURA-2f7b4f03-09	corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md:L25	Razón 3.5 de movilidad ocupacional y brecha de ingreso >100% por tono de piel son medidas distintas; no prueban que clase module respuesta a autoridad.		PENDIENTE-MOVILIDAD-COLOR	¿Qué encuesta/tabla fija 3.5, generaciones, categorías ocupacionales y controles? ¿Qué fuente y modelo da >100% ingreso por tono?	ESRU-EMOVI/CEEY ficha y tablas; MMSI/ENADIS/estudio color-ingreso por localizar	ASTRA5-MESA-MOVILIDAD	Armonizar categorías y unidad; deduplicar con mérito/movilidad y reservar interacción con autoridad.
LECTURA-2f7b4f03-10	corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md:L27	55% de fuerza laboral menor de 25 años carece de fuente/denominador y ya está cuestionado en lectura-trabajo; preferencia generacional y resultado Berkeley son otros estudios.		PENDIENTE-EDAD-JERARQUIA	¿Cuál tabla ENOE por edad/ocupación y ola soportaría 55%? ¿Qué paper Berkeley 2024, muestra y escala de jerarquía sustentan ausencia de diferencia?	ENOE comunicado/tabulado edad ocupada por ola, sin abrir ola reservada; Berkeley 2024 publicación por localizar; lectura-trabajo-v1_0.tsv	ASTRA5-U1	Corregir o retirar 55% tras cotejo de denominador; separar cohorte de periodo y jerarquía de demanda de justificación.
