prioridad	organizacion	producto	estado_actual	accion_minima	salida_esperada	decision_que_habilita	costo
1	Cero Desabasto	Datos abiertos	INDEXADO-NO-DESCARGADO	Abrir la aplicación en navegador humano y exportar solo diccionario/esquema o una tabla agregada; no microdato	Campos, granularidad, filtros, campaña y denominador documentados	Si R9.2 admite entidad×periodo independiente o se descarta por falta de campaña/denominador	BAJO
2	LAOMS	Base de eventos de protesta	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	Localizar enlace institucional al XLSX/codebook o pedir ficha técnica y condiciones de acceso	Cobertura, n, geografía, respuesta, ruralidad y descarga	Si reemplaza la ruta ACLED restringida para R7.4/R7.5	MEDIO
3	Data Cívica	Votar entre Balas	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	Descargar únicamente diccionario/metodología o inspeccionar encabezados de la descarga pública en acto autorizado	Unidad, años, actor, municipio y reglas de codificación	Diseño municipio×elección para violencia político-criminal	BAJO
4	OMCA	Base de conflictos por el agua	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	Verificar si el consultor ofrece exportación y abrir su diccionario	Campos de actor, acción, ubicación, respuesta y fechas	Piloto subdominio de agravio→acción/respuesta para R7.4/R7.5	BAJO
5	Tanda+	Registro de tandas digitales	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	Decisión de mesa sobre contacto no vinculante para pedir ficha agregada anonimizada, n y definición de mora	Conteos de tandas, pagos esperados/realizados, relación del grupo, mora y exclusión	Si R8.2 puede medirse con datos operativos reales	ALTO
6	Kantar Worldpanel by Numerator	Panel de compra México	NO-ACCESIBLE	Mesa decide si solicitar cotización/tabulación mínima: D/E, marca vs sustituto, precio/unidad y recompra	Factibilidad y costo sin adquirir datos	Si R1.4 merece presupuesto comercial	ALTO
7	NielsenIQ	Homescan México	NO-ACCESIBLE	Pedir únicamente ficha de cobertura México y tabulación posible; no contratar	Confirmación México, D/E, UPC, marca, precio y panel	Comparar con Kantar y elegir una sola ruta comercial para R1.4	ALTO
8	Kellogg/autores	FinTech Lending to Borrowers with No Credit History	NO-ACCESIBLE	Solicitar paper/preprint, codebook no confidencial y política de acceso; no pedir datos individuales	Definición de solicitud, rechazo, no historial y default	Calibrar scoring alternativo o descartar por selección propietaria	MEDIO-ALTO
9	Mercer / GPTW	Clima y desempeño	NO-ACCESIBLE	Pedir ficha técnica de variables y si existe benchmark anonimizado organización×ola con rotación/productividad	Existencia o ausencia de desenlace auditado enlazable	Cerrar o presupuestar R2.2/R10.2 sin comprar	ALTO
10	Observatorio de Cuidados	Indicadores territoriales	INDEXADO-NO-DESCARGADO	Abrir catálogo y exportación de metadatos, no datos individuales	Indicadores municipio×oferta y fuentes derivadas	Contextualizar cuidado familiar con disponibilidad formal sin confundir niveles	BAJO
