id_afirmacion	fila_local	unidades	localizador	texto_vigente	tier_report	clase	procedencia_evidencia	componente_contrastable	limite_inferencial	conducta_unidad_universo	instrumento_ola	documento_id_hash_pagina	pregunta_textual_codigo_respuestas	dictamen	dictamen_razon	datos_id_estado	reserva	gen2_existente	propietario_propuesto	siguiente_operacion	dedup_concepto	contrato_existente	busqueda_a13	dominio	falsador
ENLACE	autoridad-001	LECTURA-2f7b4f03-04	L15, hallazgo 4; §8; §10	El 77.5% quiere un líder político fuerte... (ENCUCI 2020).	FUERTE (rige encabezado L67)	ENLACE	primaria México	Proporción ponderada muy/algo de acuerdo con gobierno encabezado por líder político fuerte: AP4_9_1=1/2 entre válidos, ENCUCI 2020.	VER-CONTRATO	persona 15+; nacional urbano/rural ENCUCI 2020	encuci2020	encuci2020_fd_pdf|6cd6f7475a0b5db27a84cf0e047db5b7ed98f73c3480a9e64ea084bc7d475638|p.24	4.9 códigos por extraer de encuci2020_fd_pdf p.24 (AP4_9_1)	MEDIBLE-EN-CORPUS	Componente ya cerrado por contrato ASTRA5-U0-AUTOR-001; ver contrato para evidencia completa.	VER-CONTRATO		ninguna corrida con encuci2020_bd_dbf que emita AP4_9_1 aislado (u0mf --calc: 10 corridas totales con este payload, ninguna dedicada a AP4_9_1; ver CALC-ARBITRO-MARGINALES-2-ENCUCI2020-0001 para batería relacionada)	ASTRA5-U3	Ninguna adicional; enlace de cobertura.	CONC-ENCUCI2020-AP4_9_1	ASTRA5-U0-AUTOR-001	u0busca -q ap4_9_1 --encuesta encuci (ejecutor previo, ver contrato); confirmado en paquete.	AUTORIDAD	Cambiaría si un RESULT ENCUCI 2020 sobre AP4_9_1 con diseño no reproduce ~77.5% entre válidos.
ENLACE	autoridad-002	LECTURA-2f7b4f03-04	L15, hallazgo 4; §8; §10	...y simultáneamente el 88.7% dice que gobernar requiere participación de todos (ENCUCI 2020).	NO-EXPLÍCITO	ENLACE	primaria México	Proporción ponderada muy/algo de acuerdo con gobierno donde todos participen: AP4_9_4=1/2 entre válidos, ENCUCI 2020.	VER-CONTRATO	persona 15+; nacional urbano/rural ENCUCI 2020	encuci2020	encuci2020_fd_pdf|6cd6f7475a0b5db27a84cf0e047db5b7ed98f73c3480a9e64ea084bc7d475638|p.24	4.9 códigos por extraer de encuci2020_fd_pdf p.24 (AP4_9_4)	MEDIBLE-EN-CORPUS	Componente ya cerrado por contrato ASTRA5-U0-AUTOR-002; ver contrato para evidencia completa.	VER-CONTRATO		ninguna corrida con encuci2020_bd_dbf que emita AP4_9_4 aislado (u0mf --calc: 10 corridas totales con este payload)	ASTRA5-U3	Ninguna adicional; enlace de cobertura.	CONC-ENCUCI2020-AP4_9_4	ASTRA5-U0-AUTOR-002	u0busca -q ap4_9_4 --encuesta encuci (ejecutor previo, ver contrato); confirmado en paquete.	AUTORIDAD	Cambiaría si un RESULT ENCUCI 2020 sobre AP4_9_4 con diseño no reproduce ~88.7% entre válidos.
ENLACE	autoridad-003	LECTURA-2f7b4f03-06	L19, hallazgo 6; §3; módulo Desconfianza	...solo el 13.8% confía en servidores públicos (ENCUCI 2020).	FUERTE (rige encabezado L67)	ENLACE	primaria México	AP5_1_4 confianza en servidores públicos/empleados de gobierno, escala 00-10; proporción alta 08-10 entre válidos, mismo umbral que AP5_1_2.	VER-CONTRATO	persona 15+; nacional urbano/rural ENCUCI 2020	encuci2020	encuci2020_fd_pdf|6cd6f7475a0b5db27a84cf0e047db5b7ed98f73c3480a9e64ea084bc7d475638|p.22	5.1 códigos por extraer de encuci2020_fd_pdf p.22 (AP5_1_4)	MEDIBLE-EN-CORPUS	Componente ya cerrado por contrato ASTRA5-U0-AUTOR-003; RESULT de AP5_1_4 aún no localizado (residual del contrato, no de este lote).	VER-CONTRATO		ninguna corrida con encuci2020_bd_dbf que emita AP5_1_4 aislado (u0mf --calc: 10 corridas totales con este payload)	ASTRA5-U3	Ninguna adicional; enlace de cobertura.	CONC-ENCUCI2020-AP5_1_4	ASTRA5-U0-AUTOR-003	u0busca -q ap5_1_4 --encuesta encuci (ejecutor previo, ver contrato); confirmado en paquete.	AUTORIDAD	Cambiaría si un RESULT ENCUCI 2020 sobre AP5_1_4 con diseño no reproduce una minoría ~13.8% en 08-10.
ENLACE	autoridad-004	LECTURA-2f7b4f03-02	L11, hallazgo 2; §3; §4 respeto	La Encuesta Mundial de Valores registra que el 57% de los mexicanos valoran la obediencia como cualidad infantil deseable.	FUERTE (rige encabezado L67)	ENLACE	primaria México	WVS México 2018 Q17: selección de 'obediencia' entre hasta cinco cualidades infantiles importantes.	VER-CONTRATO	persona 18+; WVS ola 7 México 2018, n=1741	wvs_ola7_mexico2018	f00011928_world_values_survey_wave_7_2017_2020_mexico_v3_0|faee54eeaff1ca170bc86b3f26c0593df99b576d035d44055f08470f97b03005|p.15	Q17 lista de cualidades infantiles; 'Obedience' Important=57.1% (codebook v3.0 p.15)	MEDIBLE-EN-CORPUS	Componente ya cerrado por contrato ASTRA5-U0-AUTOR-004; codebook v3.0 publica 57.1%.	f00013032_wvs_wave_7_mexico_spss_v5_1|4b5f387199ded46d22c760ef1aa65ce82f38d77efc1c75db5fc174856bdc364d|raíz descargas_mx; U0 no abrió microdato		ninguna corrida con payload WVS México en data/corrida0/corridas.tsv (u0mf --calc: 0)	ASTRA5-U3	Ninguna adicional; enlace de cobertura.	CONC-WVSW7-Q17-OBEDIENCIA	ASTRA5-U0-AUTOR-004	u0pdf --id f00011928... -q leyes injustas|obedecer|autoritario|ejercito|lider fuerte|obedience → 2 coincidencias (ejecutor previo, confirmado en paquete).	AUTORIDAD	Cambiaría si el ZIP v5.1 México no reproduce 57.1% en la misma pregunta Q17 al abrirse.
ENLACE	autoridad-005	LECTURA-2f7b4f03-14	L35, hallazgo 14	México obtuvo 27/100 en el Índice de Percepción de Corrupción (2025), posición 141 de 182 países.	NO-EXPLÍCITO	ENLACE	marco importado (c)	Puntuación IPC 2025 de Transparencia Internacional para México y su posición en el ranking de 182 países.	VER-CONTRATO	país (México); índice compuesto de percepción experta/empresarial, no encuesta poblacional	ti_ipc2025	ficha TI México 2025 captura, sha 988f7f990613934e5344a1468544cfa6f8af21ffe2d1a16aca66ac6864434977, SIN-ID-MANIFIESTO	N/A (índice compuesto, no reactivo de encuesta)	MEDIBLE-CON-ADQUISICIÓN	Componente ya cerrado por contrato ASTRA5-U0-MER-008 (dedup CPI2025-MEXICO-27); faltante: registrar la ficha/captura TI 2025 en el manifiesto (sha ya identificado, sin id).	VER-CONTRATO		ninguna corrida con este documento (u0mf --calc: 0; no es un payload de encuesta)	ASTRA5-U3	Ninguna adicional en este lote; ver contrato MER-008 para registro pendiente.	CPI2025-MEXICO-27	ASTRA5-U0-MER-008	u0mf --busca 988f7f99 → 0 entradas; --busca transparency → 0 entradas (ejecutor previo, confirmado aquí).	AUTORIDAD	Cambiaría si una edición posterior del IPC revisa la puntuación 27/100 o el rango 141/182 para México.
ASTRA5-U0-AUTOR-005	autoridad-006	LECTURA-2f7b4f03-01	L9, hallazgo 1; §3 fuerte L67	México puntúa 81 en PDI (Hofstede)... comparable a China (80) y Arabia Saudita (80).	FUERTE (rige encabezado L67)	NORMA-O-ACTO-DOCUMENTAL	marco importado (c)	Puntuación PDI publicada por Hofstede Insights para México, calculada sobre muestra corporativa IBM (no muestra poblacional mexicana).	El PDI 81 describe una muestra de empleados IBM histórica, no a la población mexicana; no se puede usar como estimador poblacional directo.	empleados de una corporación multinacional (IBM), no población general; índice compuesto, no encuesta con universo declarado por INEGI	hofstede_pdi_mexico	Hofstede Insights, Country Comparison Tool, México, https://www.hofstede-insights.com/country-comparison-tool?countries=mexico (consultado 2026-09-24; fetch directo falló, existencia corroborada por fuentes secundarias académicas)	N/A (índice compuesto derivado de la encuesta corporativa original de Hofstede en IBM, no un reactivo público)	MEDIBLE-CON-ADQUISICIÓN	Documento identificado (Hofstede Insights, país México, PDI=81, corroborado por múltiples fuentes secundarias académicas); faltante: registrar en el manifiesto la ficha/página primaria de Hofstede Insights con fecha de captura y sha256, más el paper original 1980/2010 con ficha de muestra IBM México.	SIN-ID-MANIFIESTO; U0 no abrió microdato		ninguna corrida con este documento (u0mf --busca hofstede: 0 entradas)	ASTRA5-U3	Adquirir/registrar la página de Hofstede Insights (o el libro Hofstede et al. 2010) con sha256 y fecha de captura; cotejar la cifra 81 contra ella.	AUTOR-PDI-81		u0mf --busca hofstede → 0 entradas (ejecutor previo); WebSearch 'Hofstede Insights Mexico power distance index 81' 2026-09-24 → confirma 81 en múltiples fuentes secundarias (Penn State sites.psu.edu, clearlycultural.com); WebFetch directo a hofstede-insights.com falló 2x ('Socket is closed').	AUTORIDAD	Cambiaría si una revisión o remuestreo post-IBM de Hofstede recalculara el PDI de México por debajo de, p. ej., el rango 70-90, o si el documento primario no reprodujera 81.
ASTRA5-U0-AUTOR-006	autoridad-007	LECTURA-2f7b4f03-01	L9, hallazgo 1; §3 fuerte L67	El estudio GLOBE muestra que los mexicanos desean niveles significativamente menores de distancia de poder —entre los más bajos de todos los clústeres culturales globales.	FUERTE (rige encabezado L67)	NORMA-O-ACTO-DOCUMENTAL	marco importado (c)	Puntuaciones GLOBE de práctica ('As Is') y valor deseado ('Should Be') de distancia de poder para el clúster/país México, reportadas por gerentes de nivel medio (House et al. 2004).	La muestra GLOBE es de gerentes de nivel medio en organizaciones, no población general; 'los mexicanos desean' generaliza de una muestra ocupacional específica a toda la población.	gerentes de nivel medio, ~260 en México (GLOBE); no población general	globe_2004_mexico	GLOBE Project / House et al. 2004, tablas país-clúster, globeproject.com (consultado vía WebSearch 2026-09-24; tabla numérica exacta no cotejada)	N/A (escalas de distancia de poder práctica/valor de GLOBE, ítems no reproducidos en este lote)	MEDIBLE-CON-ADQUISICIÓN	Documento/estudio identificado (GLOBE, House et al. 2004, publicaciones en globeproject.com); faltante: registrar en el manifiesto las tablas país México de práctica/valor de distancia de poder con ficha muestral de gerentes.	SIN-ID-MANIFIESTO; U0 no abrió microdato		ninguna corrida con este documento (u0mf --busca globe: 0 entradas)	ASTRA5-U3	Adquirir/registrar las tablas GLOBE México (practices/values) y ficha muestral de gerentes; cotejar la brecha práctica-valor.	CONC-DOC-GLOBE-MEXICO-PDI		u0mf --busca globe → 0 entradas (ejecutor previo); WebSearch 'GLOBE study Mexico power distance practices values scores House 2004 table' 2026-09-24 → confirma existencia del marco y la brecha práctica/valor por clúster, sin tabla numérica exacta.	AUTORIDAD	Cambiaría si la tabla GLOBE México mostrara valor deseado de distancia de poder igual o mayor a la práctica reportada (sin brecha).
ASTRA5-U0-AUTOR-007	autoridad-008	LECTURA-2f7b4f03-02	L11, hallazgo 2; §4 respeto ritual	El respeto es performativo antes que sumiso... código de comportamiento público más que internalización genuina de subordinación.	NO-EXPLÍCITO	INTERPRETACION-DEL-REPORT	mixta	Distinción psicológica entre 'respeto performativo' (código público) y 'sumisión internalizada' como disposiciones distintas.	Ningún instrumento del corpus revisado mide directamente 'performatividad' vs. 'internalización' del respeto; la elección de 'obediencia' como cualidad infantil deseable (WVS Q17, ya en autoridad-004) es una preferencia declarada de valor, no una medida de si esa obediencia se ejerce de forma ritual o internalizada.	N/A (constructo psicológico sin operacionalización identificada)				NO-MEDIBLE-POR-DISEÑO	Límite de diseño: ningún instrumento recorrido en el corpus (ENCUCI, WVS, ENNVIH, ENASEM, LAPOP) distingue psicométricamente 'respeto performativo' de 'sumisión internalizada'; el propio report (§3, L71) reconoce que esta distinción 'carece de instrumentos psicométricos que la midan directamente'. Búsqueda: u0busca -q religion/obediencia ya cubierta en autoridad-004; no se identificó escala de performatividad ritual. No equivale a imposibilidad universal.	NO-APLICA (no hay dato que abrir: límite de diseño)			ASTRA5-U3	Ninguna en este corpus; requeriría una escala psicométrica validada de respeto ritual vs. internalizado, no identificada.	CONC-DOC-AUTORIDAD-RESPETO-PERFORMATIVO		Sin búsqueda adicional (constructo interpretativo); ver autoridad-004 para el reactivo base WVS Q17.	AUTORIDAD	Un diseño con medición repetida (declarado vs. observado en interacción real con autoridad) que distinga discurso público de conducta privada permitiría contrastarlo.
ASTRA5-U0-AUTOR-008	autoridad-009	LECTURA-2f7b4f03-02	L11, hallazgo 2	(vs. 28% en EE.UU., 3% en Japón)	FUERTE (rige encabezado L67, vía convergencia WVS)	CIFRA-PUBLICADA	marco importado (c)	Proporción de personas que seleccionan 'obediencia' entre cualidades infantiles deseables, WVS ola 7, Estados Unidos y Japón (mismo ítem Q17 que México).	Requiere ola/ponderador propios de EE.UU. y Japón; no comparables sin verificar diseño muestral y fecha de campo de cada país.	persona 18+; WVS ola 7, Estados Unidos y Japón	wvs_ola7_eeuu_japon		Q17 (mismo ítem que México, códigos por extraer de los codebooks EE.UU./Japón)	MEDIBLE-CON-ADQUISICIÓN	Instrumento identificado (WVS ola 7, mismo portal worldvaluessurvey.org que ya sirve el archivo México en el manifiesto, DOID por determinar para EE.UU./Japón); faltante: codebooks/datos WVS ola 7 Estados Unidos y Japón.	SIN-ID-MANIFIESTO; U0 no abrió microdato			ASTRA5-U3	Adquirir codebooks WVS ola 7 EE.UU. y Japón desde worldvaluessurvey.org (mismo portal que México, ya en el manifiesto) y cotejar 28%/3%.	CONC-WVSW7-OBEDIENCIA-USJP		u0mf --busca wvs → 11 entradas, todas México (ejecutor previo); ningún archivo EE.UU./Japón en el manifiesto.	AUTORIDAD	Cambiaría si los codebooks WVS ola 7 EE.UU./Japón no reproducen 28%/3% en el mismo ítem Q17.
ASTRA5-U0-AUTOR-009	autoridad-010	LECTURA-2f7b4f03-03	L13, hallazgo 3	Un jefe sin relación personal es una figura formal vacía; un compadre sin cargo formal puede tener más influencia real.	NO-EXPLÍCITO	INTERPRETACION-DEL-REPORT	mixta	Comparación de influencia efectiva percibida entre autoridad formal sin vínculo personal y autoridad informal (compadre) sin cargo, en las mismas decisiones.	Ningún instrumento del corpus compara directamente influencia de jefe formal vs. compadre informal en la misma decisión/persona; el ítem más cercano (LAPOP DC13) mide percepción de un acto de nepotismo hipotético (correcto/incorrecto), no la magnitud comparada de influencia.	N/A (mecanismo comparativo sin operacionalización directa)				NO-MEDIBLE-POR-DISEÑO	Límite de diseño: ningún instrumento del corpus recorrido observa, en la misma decisión, la influencia de un cargo formal sin vínculo personal frente a un vínculo personal (compadre) sin cargo. Búsqueda: u0busca -q 'compadre|compadrazgo|palanca' → 2 aciertos, ambos LAPOP DC13 (percepción de nepotismo en escenario hipotético, no comparación de influencia). No se identificó instrumento tras este recorrido; no equivale a imposibilidad universal.	NO-APLICA (no hay dato que abrir: límite de diseño)			ASTRA5-U3	Buscar estudios organizacionales primarios (p. ej. Arellano-Gault y Trejo-Alonso, CIDE) como documento identificado; no localizado con sha/URL verificable en este lote.	CONC-DOC-AUTORIDAD-PERSONALISMO-COMPADRE		u0busca -q 'compadre|compadrazgo|palanca' --limite 15 → 2 aciertos (LAPOP 2004/2006 DC13, ver busquedas.log P5).	AUTORIDAD	Un diseño observacional o experimental que mida decisiones idénticas resueltas por autoridad formal pura vs. autoridad informal pura permitiría contrastarlo.
