consumidor_bucket	slot	consumidor	generacion	result	via	estado	razon	sucesor
motor	RES-0001	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida	LEGACY-GEN1		—	NC-AJENA	NC del acto RELEVO-MOTOR-34-1 (a157); B1 conserva con rótulo o sin RESULT GEN2	ver forense/no-corrido.tsv (a157)
motor	RES-0002	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal	LEGACY-GEN1		—	NC-AJENA	NC del acto RELEVO-MOTOR-34-1 (a157); B1 conserva con rótulo o sin RESULT GEN2	ver forense/no-corrido.tsv (a157)
motor	RES-0003	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida_encig2025	GEN2	RESULT-ENCIG-MOR-A-P-SOL1	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0004	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal_encig2025	GEN2	RESULT-ENCIGDER-A-Q	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0005	milpa/tramite.yaml:tramite.mordida.discrecional:solicitud_o_entrega_mordida_encuci2020	GEN2	RESULT-ENCUCI-A-P-CUALQUIERA	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0006	milpa/tramite.yaml:tramite.mordida.discrecional:sin_solicitud_y_sin_entrega_encuci2020	GEN2	RESULT-ENCUCIDER-A-Q	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
motor	RES-0007	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal	LEGACY-GEN1		—	NC-AJENA	NC del acto RELEVO-MOTOR-34-1 (a157); B1 conserva con rótulo o sin RESULT GEN2	ver forense/no-corrido.tsv (a157)
motor	RES-0008	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida	LEGACY-GEN1		—	NC-AJENA	NC del acto RELEVO-MOTOR-34-1 (a157); B1 conserva con rótulo o sin RESULT GEN2	ver forense/no-corrido.tsv (a157)
motor	RES-0009	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_presencial	LEGACY-GEN1		escritor V5	RETIRADA-B2	rol_uso: historico (FIRMAS-16 B2); sale del consumo vivo	—
motor	RES-0010	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial	LEGACY-GEN1		escritor V5	RETIRADA-B2	rol_uso: historico (FIRMAS-16 B2); sale del consumo vivo	—
motor	RES-0011	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_digital	LEGACY-GEN1		escritor V5	RETIRADA-B2	rol_uso: historico (FIRMAS-16 B2); sale del consumo vivo	—
motor	RES-0012	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_digital	LEGACY-GEN1		escritor V5	RETIRADA-B2	rol_uso: historico (FIRMAS-16 B2); sale del consumo vivo	—
motor	RES-0013	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_presencial_r2	GEN2	RESULT-ENCIG-MOR-B-P-PRE-SD	escritor V1-V3 / pin	RELEVADA-PREVIA	relevada por un acto anterior	—
