id_afirmacion	fila_local	unidades	localizador	texto_vigente	tier_report	clase	procedencia_evidencia	componente_contrastable	limite_inferencial	conducta_unidad_universo	instrumento_ola	documento_id_hash_pagina	pregunta_textual_codigo_respuestas	dictamen	dictamen_razon	datos_id_estado	reserva	gen2_existente	propietario_propuesto	siguiente_operacion	dedup_concepto	contrato_existente	busqueda_a13	dominio	falsador
ASTRA5-U0-CLIENT-001	clientelismo-001	LECTURA-baa568e2-01	L7 (1) RESUMEN EJECUTIVO	«La apuesta de que "los regalos, despensas y transferencias compran el voto" resultó, en su versión fuerte, EQUIVOCADA... el votante mexicano típicamente toma el beneficio y conserva autonomía de voto... El clientelismo mueve votos solo en márgenes locales y bajo condiciones específicas.»	NO-EXPLÍCITO	CONCLUSION-DE-ESTUDIO	mixta	Si las transferencias/dádivas electorales en México (2000-2024) cambian la preferencia de voto (persuasión monitoreada) vs. solo mueven turnout o premian retrospectivamente/por identidad, a escala de desenlace electoral nacional	Síntesis que recombina 8 casos/estudios ya dictaminados en filas propias (clientelismo-002,003,005,006,007,008,009,011) y 4 reglas (018-021); no aporta diseño ni contrafactual distinto de esas filas	persona-votante; elecciones federales México 2000-2024				NO-MEDIBLE-POR-DISEÑO	Veredicto/síntesis que recombina filas ya dictaminadas (A1,A2,A3,A4,B1,B2,B3,C1 en clientelismo-002,003,005,006,007,008,009,011); su parte empírica vive en esas filas; sin contrafactual propio a escala nacional para el enunciado agregado. Ver REGLA-01 (clientelismo-018), que formaliza la misma tesis con umbral falsable.	NO-APLICA (síntesis, sin dato propio)		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: 0; síntesis sin payload propio)	ASTRA5-U3	Ninguna adicional propia: el dictamen agregado sigue al de las filas componentes 002/003/005/006/007/008/009/011	CONC-DOC-CLIENTELISMO-BLUF		Lectura íntegra del report (163 líneas); búsquedas detalladas por caso en filas componentes (ver busquedas.log)	POLITICA	Cambiaría si un diseño causal mostrara efectos de compra ≥5-10 puntos, persistentes y a escala nacional, con mecanismo de monitoreo/sanción documentado (cláusula L145 del report)
ASTRA5-U0-CLIENT-002	clientelismo-002	CAND-baa568e2-L28	L28-L35 CASO A1	«Imai, King y Velasco Rivera (2020, Journal of Politics 82(2):714–730)... reanalizan con datos corregidos y concluyen efecto NULO tanto en participación como en voto al incumbente, para Progresa y para el Seguro Popular de Salud (SPS): "los 12 intervalos de confianza incluyen el cero como efecto causal". De La O (2013, AJPS) halló aumento de participación y de voto al incumbente, atribuido a movilización, no persuasión»	FUERTE	CIFRA-PUBLICADA	(a) primaria México	Efecto causal de Progresa/Oportunidades (transferencia condicionada, aleatorización 21 vs 6 meses antes de la elección) sobre voto al PRI y sobre participación, elección presidencial 2000, 417 secciones rurales	Estudio disputado: De La O (2013) halla efecto de movilización; Imai-King-Velasco (2020) lo corrige a nulo con 12 IC que incluyen cero; no hay lectura consensuada, el reanálisis con datos corregidos es el que el propio report prioriza	persona-votante y sección electoral; localidades rurales tratadas/control, elección presidencial 2000	Progresa/Oportunidades (evaluación experimental 1997-2000); no es instrumento del corpus manifiesto (evaluación académica externa)	Imai/King/Velasco Rivera (2020) Journal of Politics 82(2):714-730, DOI 10.1086/707059 (existencia confirmada gking.harvard.edu, 2026-09-24); De La O (2013) AJPS (citada por el report, no verificada aparte en este lote)		MEDIBLE-CON-ADQUISICIÓN	Documento primario IDENTIFICADO y su existencia COMPROBADA vía búsqueda web (título, journal, volumen, páginas, DOI, sitio institucional del autor gking.harvard.edu) 2026-09-24; faltante: artículo Imai, King y Velasco Rivera (2020) Journal of Politics 82(2):714-730 DOI 10.1086/707059 y sus datos de réplica (Harvard Dataverse doi:10.7910/DVN/70SNIS), para leer los 12 IC citados. De La O (2013) AJPS citada por el report pero no verificada aparte en este lote (presupuesto web de 12 consultas agotado en casos FUERTE): EXISTENCIA-NO-COMPROBADA-EN-ESTE-LOTE.	SIN-ID-MANIFIESTO (ni Imai-King-Velasco 2020 ni De La O 2013 tienen entrada en data/manifiesto.yaml)		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: 0)	ASTRA5-U3	Adquirir PDF y datos de réplica de Imai-King-Velasco (2020) y cotejar los 12 IC citados; localizar y verificar De La O (2013) para contrastar la disputa	CONC-DOC-CLIENTELISMO-A1-PROGRESA		u0busca -q "clien1|clientel": 2; u0busca -q "pension del bienestar|pension para adultos mayores": 5; u0mf --busca progresa --busca imai: 0; WebSearch "Imai King Velasco Rivera 2020 Journal of Politics Progresa Seguro Popular" 2026-09-24 → gking.harvard.edu, dx.doi.org/10.1086/707059	POLITICA	Cambiaría si una re-réplica con datos administrativos nuevos mostrara efecto persistente >0 en voto al incumbente fuera de los 12 IC ya reportados como nulos
ASTRA5-U0-CLIENT-003	clientelismo-003	CAND-baa568e2-L37	L37-L44 CASO A2	«52.9 per cent of panel respondents were offered a benefit... 42.4% son "ciudadanos objetivo". La coalición del PRI hizo ofertas al 88.9% de los objetivo; la de Morena a solo 15.5%... 42.7% rechazó lo ofrecido.» (Greene-Simpser, Política y Gobierno 27(2), 2020; panel EQD, N=1310 pre/583 post)	FUERTE	CIFRA-PUBLICADA	(a) primaria México	Proporción del electorado mexicano al que se le ofreció un beneficio a cambio de voto/apoyo en la campaña de 2018, por coalición emisora, y tasa de rechazo/cumplimiento declarado	Panel con attrition 1310→583 (44.5% de pérdida); no se recupera aislabilidad causal del efecto sobre voto, solo intento/oferta y cumplimiento declarado	persona-votante 18+; nacional, sesgo hacia bajos ingresos; campaña electoral 2018	Panel EQD 2018 (Greene-Simpser); no es instrumento del corpus manifiesto (encuesta académica externa)	Greene & Simpser (2020) «Dádivas durante las elecciones mexicanas de 2018», Política y Gobierno 27(2), CIDE (existencia confirmada politicaygobierno.cide.edu/index.php/pyg/article/view/1309, 2026-09-24)		MEDIBLE-CON-ADQUISICIÓN	Documento primario IDENTIFICADO y existencia COMPROBADA (sitio oficial de la revista, CIDE) 2026-09-24; faltante: artículo completo y panel EQD 2018 (Greene-Simpser) con las cifras 52.9%/42.4%/88.9%/15.5%/42.7% para cotejo línea por línea. Complemento nacional propio en clientelismo-004 (ENCUCI2020).	SIN-ID-MANIFIESTO (panel EQD 2018 no está en data/manifiesto.yaml)		RESULT de otro instrumento: RESULT-LAPOP-PISOS-2019-TABLA (CALC-LAPOP-PISOS-2019-0001, #1084 en main) mide clien1na, oferta de beneficio a la persona 17.2% en LAPOP México 2018-19 — otra encuesta, ventana y universo que el panel 2018 citado; sin contraste directo (cotejo-result-politica-v1_0.tsv: MEDIBLE-SOLO-OFERTA)	ASTRA5-U3	Adquirir artículo/datos del panel EQD 2018 (Greene-Simpser) para verificar las cifras citadas por el report	CONC-DOC-CLIENTELISMO-A2-DADIVAS2018		u0busca -q "dadiva|dadivas": 2; u0busca -q "compra de voto|comprar el voto": 1; WebSearch "Greene Simpser 2020 Política y Gobierno compra de votos panel México" 2026-09-24 → politicaygobierno.cide.edu/index.php/pyg/article/view/1309	POLITICA	Cambiaría si un panel con menor attrition mostrara que el compliance declarado (77.9% sin problema en no votar como se pidió) fuera sustancialmente menor, indicando monitoreo/sanción efectivos
ASTRA5-U0-CLIENT-004	clientelismo-004	CAND-baa568e2-L37	L37-L43 CASO A2 (complemento corpus)	«despensas, efectivo (oferta modal ~500 pesos), tarjetas, materiales de construcción durante la campaña de 2018»	FUERTE (rige encabezado L37)	CIFRA-PUBLICADA	(a) primaria México	Si el votante mexicano conoce personalmente a alguien que recibió dinero o regalos a cambio de su voto en la elección de 2018, quién lo otorgó y de qué tipo fue el regalo	Mide conocimiento de TERCEROS y percepción, no recepción ni compra propia ni cambio de voto; universo 18+ nacional, retrospectivo sobre 2018; U0 no computó frecuencias (cero microdato)	persona 18+; nacional; elección federal 2018 (retrospectivo, ola 2020)	ENCUCI 2020 (Encuesta Nacional de Cultura Cívica, INEGI)	encuci2020_fd_pdf|6cd6f7475a0b5db27a84cf0e047db5b7ed98f73c3480a9e64ea084bc7d475638|páginas 49-52	«8.1 ¿Usted conoce personalmente a alguien que haya recibido… 1. dinero para votar por algún partido político? 2. regalos para votar por un partido político?» (AP8_1_1/AP8_1_2); «8.1a ¿Quién le otorgó el dinero o regalo? 1. Servidor público o autoridad 2. Partido político» (AP8_1A_1/AP8_1A_2); «8.2 ¿Qué tipo de regalo recibió esa persona? Objetos utilitarios…Entrar o permanecer en programas sociales…Materiales de construcción…Subsidio alimenticio o atención médica (despensa)…» (AP8_2_1..9); códigos por extraer de encuci2020_fd_pdf p.49-52	MEDIBLE-EN-CORPUS	Instrumento mexicano oficial (ENCUCI 2020, INEGI) con dato en manifiesto (encuci2020_bd_dbf); texto literal citado de u0busca sobre AP8_1/AP8_1A/AP8_2; complementa a Greene-Simpser 2020 (clientelismo-003) con instrumento nacional oficial, retrospectivo sobre 2018; U0 no abrió microdato (cero microdato).	encuci2020_bd_dbf|0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283|raíz data_raw; U0 no abrió microdato		ninguna corrida con encuci2020_bd_dbf (u0mf --calc: 0)	ASTRA5-U3	Extraer frecuencias AP8_1/AP8_1A/AP8_2 (2018) con ponderador ENCUCI2020 y cotejar contra 52.9%/42.4% de Greene-Simpser (clientelismo-003); no mezclar universo (conocimiento de terceros vs. autorreporte)	CONC-ENCUCI2020-AP8_1		u0busca -q "AP7_" -q "AP8_" --encuesta encuci2020: 67 y 26 aciertos respectivamente (ver busquedas.log)	POLITICA	Cambiaría si la frecuencia ENCUCI2020 de «conoce a alguien que recibió dinero/regalo por su voto» resultara muy distante (p.ej. <10% o >70%) de los rangos citados por Greene-Simpser 2018 (42-53%), sugiriendo que el instrumento mide un fenómeno distinto
ASTRA5-U0-CLIENT-005	clientelismo-005	CAND-baa568e2-L46	L46-L51 CASO A3	«muchos receptores reaccionan negativamente; la identificación partidista lleva a votantes a descartar la dádiva e incluso verla como ilegítima» (Greene 2024, AJPS, «Money Can't Buy You Love»)	MEDIA-FUERTE	CIFRA-PUBLICADA	(a) primaria México	Respuesta partidista (positiva/negativa) a una oferta experimental de compra de voto, según identificación previa del receptor con el partido oferente	Experimento con conjoint survey en México; efecto local del diseño experimental, no se traslada sin más a la frecuencia poblacional de rechazo	persona-votante; experimento de encuesta (conjoint), México	Experimento de encuesta (Greene 2024); no es instrumento del corpus manifiesto	Greene (2024) «Money Can't Buy You Love: Partisan Responses to Vote-Buying Offers», American Journal of Political Science 68(2):644-660, DOI 10.1111/ajps.12738 (existencia confirmada onlinelibrary.wiley.com, 2026-09-24)		MEDIBLE-CON-ADQUISICIÓN	Documento primario IDENTIFICADO y existencia COMPROBADA (Wiley, sitio oficial de AJPS) 2026-09-24, con cifras del abstract (simpatizantes +14.5pp, opositores -8.5pp) ya visibles en el resumen público; faltante: artículo íntegro/suplemento para cotejar la tabla completa de resultados.	SIN-ID-MANIFIESTO (Greene 2024 no está en data/manifiesto.yaml)		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: 0)	ASTRA5-U3	Adquirir artículo Greene (2024) AJPS 68(2):644-660 y su material suplementario para verificar la tabla completa	CONC-DOC-CLIENTELISMO-A3-BACKLASH		WebSearch "Greene 2024 Money Can't Buy You Love American Journal of Political Science vote buying backlash" 2026-09-24 → onlinelibrary.wiley.com/doi/10.1111/ajps.12738	POLITICA	Cambiaría si una réplica no encontrara reacción negativa entre opositores partidistas, o si el efecto positivo entre simpatizantes desapareciera al controlar por otros factores
ASTRA5-U0-CLIENT-006	clientelismo-006	TIER-baa568e2-L53	L53-L56 CASO A4	«Cornelius: 5%–25% recibió "beneficio material individualizado", mayormente ineficaz. Schedler: habitantes de áreas marginadas rechazan el clientelismo en nombre de la autonomía individual.»	ILUSTRATIVO/MEDIA	CIFRA-PUBLICADA	(a) primaria México	Proporción de electores rurales que recibieron beneficio material individualizado en la movilización clientelar de 2000, y actitud normativa de rechazo en áreas marginadas	Revisión de sondeos y entrevistas cualitativas rurales, sin diseño causal ni panel; evidencia histórica de 2000-2004	persona-votante rural; movilización clientelar PRI/oposición, elección 2000	Cornelius (2002); Schedler (2004); no son instrumentos del corpus manifiesto	Cornelius (2002) y Schedler (2004), citados en el report; NO verificados en este lote		PENDIENTE-VERIFICACION-DOCUMENTAL	Presupuesto web del lote (12 consultas) se agotó priorizando los 6 casos FUERTE con cita bibliográfica completa (journal/volumen/DOI); Cornelius (2002) y Schedler (2004) no fueron buscados en este lote. EXISTENCIA-NO-COMPROBADA tras 0 consultas en este lote.	SIN-ID-MANIFIESTO		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: 0)	ASTRA5-U3	Segunda pasada: buscar Cornelius (2002) «Enfrentando la agencia» / obra citada, y Schedler (2004) sobre clientelismo y economía moral, en sitio del editor/DOI	CONC-DOC-CLIENTELISMO-A4-CORNELIUS-SCHEDLER		No se realizó búsqueda web para este caso en este lote (presupuesto de 12 consultas agotado en A1/A2/A3/B1/B2/B3/C2/ENEM/INE/AMLO); u0busca/u0pdf no aplican (no es instrumento de encuesta)	POLITICA	Cambiaría si el documento primario no existiera o reportara cifras y conclusión distintas a las citadas por el report
ASTRA5-U0-CLIENT-007	clientelismo-007	CAND-baa568e2-L60	L60-L67 CASO B1	«efecto persuasivo real, cuya magnitud crece con la proximidad de la sección a la tienda; efecto de alcance local, focalizado en un grupo definido de votantes» (Cantú 2019, tarjetas Soriana 2012)	FUERTE	CIFRA-PUBLICADA	(a) primaria México	Efecto persuasivo de la distribución de tarjetas Soriana (PRI/Peña Nieto) sobre el voto, en función de la proximidad geográfica de la sección electoral a la tienda, elección presidencial 2012	Aislable por variación en proximidad (diseño cuasi-experimental); efecto local, no se extrapola al resultado presidencial nacional (Peña Nieto ganó por ~6.6 puntos)	sección electoral / persona-votante; proximidad geográfica a tiendas Soriana, elección presidencial 2012	Cantú (2019); no es instrumento del corpus manifiesto	Cantú (2019) «Groceries for Votes: The Electoral Returns of Vote Buying», Journal of Politics 81(3):790-804 (report cita el mismo volumen/número/páginas), DOI 10.1086/702945 (existencia confirmada journals.uchicago.edu, 2026-09-24)		MEDIBLE-CON-ADQUISICIÓN	Documento primario IDENTIFICADO y existencia COMPROBADA (sitio oficial de la revista, University of Chicago Press) 2026-09-24; título hallado en búsqueda («Groceries for Votes») coincide en journal/volumen/páginas con la cita del report; faltante: el artículo íntegro y apéndice/datos para cotejar la magnitud del efecto por proximidad.	SIN-ID-MANIFIESTO (Cantú 2019 no está en data/manifiesto.yaml)		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: 0)	ASTRA5-U3	Adquirir artículo Cantú (2019) JOP 81(3):790-804 DOI 10.1086/702945 y su apéndice/datos para verificar el supuesto de proximidad exógena	CONC-DOC-CLIENTELISMO-B1-SORIANA		WebSearch "Cantú 2019 Journal of Politics tarjetas Soriana clientelism vote buying Mexico" 2026-09-24 → journals.uchicago.edu/doi/10.1086/702945 "Groceries for Votes"	POLITICA	Cambiaría si el efecto de proximidad no replicara en otra elección/producto, o si un placebo geográfico mostrara el mismo patrón sin la tarjeta
ASTRA5-U0-CLIENT-008	clientelismo-008	CAND-baa568e2-L69	L69-L73 CASO B2	«explotando variación exógena en número de casillas por sección, mayor capacidad de monitoreo del broker → mayor participación y más votos para PRI y PAN» (Larreguy, Marshall, Querubín 2016)	FUERTE	CIFRA-PUBLICADA	(a) primaria México	Efecto de la capacidad de monitoreo del broker (vía número de casillas por sección) sobre turnout y voto PRI/PAN, y separadamente el rol del apego partidista de maestros del SNTE como maquinaria	Cuasi-experimental (aislable por variación exógena en casillas); mide compra de PARTICIPACIÓN (turnout buying), no de preferencia de voto (vote-choice buying)	sección electoral / broker; elecciones con maquinaria PRI/PAN	Larreguy, Marshall, Querubín (2016); Larreguy, Montiel Olea, Querubín (2017, SNTE); no son instrumentos del corpus manifiesto	Larreguy, Marshall & Querubín (2016) «Parties, Brokers, and Voter Mobilization», American Political Science Review 110(1):160-179 (existencia confirmada cambridge.org/core, 2026-09-24); Larreguy, Montiel Olea & Querubín (2017) AJPS sobre SNTE, citado por el report, no verificado aparte		MEDIBLE-CON-ADQUISICIÓN	Documento primario IDENTIFICADO y existencia COMPROBADA (Cambridge Core, sitio oficial de APSR) 2026-09-24; faltante: el artículo íntegro y apéndice para cotejar la magnitud del efecto. El complemento sobre SNTE (Larreguy, Montiel Olea, Querubín 2017, AJPS) citado en el mismo párrafo del report no se verificó aparte en este lote (presupuesto agotado).	SIN-ID-MANIFIESTO		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: 0)	ASTRA5-U3	Adquirir artículo Larreguy, Marshall & Querubín (2016) APSR 110(1):160-179 y apéndice/replicación; verificar aparte Larreguy, Montiel Olea & Querubín (2017) AJPS	CONC-DOC-CLIENTELISMO-B2-TURNOUTBUYING		WebSearch "Larreguy Marshall Querubín 2016 American Political Science Review broker monitoring vote buying Mexico" 2026-09-24 → cambridge.org/core/journals/american-political-science-review	POLITICA	Cambiaría si la variación en número de casillas no correlacionara con turnout/voto PRI-PAN en una réplica con datos más recientes
ASTRA5-U0-CLIENT-009	clientelismo-009	TIER-baa568e2-L75	L75-L79 CASO B3	«receiving the private transfer increases the likelihood that the voter votes for the clientelistic candidate from 0.06 to 0.63» (Ascencio & Chang 2025, experimento de laboratorio); «en encuesta nacional del INE de 2020, 79% de mexicanos cree que la compra de voto es práctica común»	FUERTE, mecanismo	CIFRA-PUBLICADA	(a) primaria México	Efecto de recibir una dádiva sobre la confianza del votante en el secreto de su voto, y de esa creencia sobre la probabilidad de votar por el candidato clientelista (experimento de encuesta N=1043 + laboratorio, México)	Experimento de encuesta + laboratorio; el 0.06→0.63 es hallazgo de LABORATORIO (alcance externo limitado), no se traslada sin más a la población mexicana general; el 79% del INE 2020 es otra encuesta (no verificada en este lote, sin id en manifiesto)	persona-votante 18+; experimento de encuesta y laboratorio, México, ~2023-2025	Ascencio & Chang (2025); Encuesta Nacional INE 2020 (citada, no verificada); no son instrumentos del corpus manifiesto	Ascencio & Chang (2025) «Does Vote Buying Undermine Confidence in Ballot Secrecy? Theory and Experimental Evidence», Political Science Research and Methods 13(4):903-922, DOI 10.1017/psrm.2024.54 (existencia confirmada cambridge.org/core y repository.essex.ac.uk, 2026-09-24)		MEDIBLE-CON-ADQUISICIÓN	Documento primario IDENTIFICADO y existencia COMPROBADA (Cambridge Core, PSRM oficial; repositorio institucional University of Essex) 2026-09-24, con DOI idéntico al citado por el report; faltante: el artículo íntegro/suplemento para cotejar 0.06→0.63 y el N=1043. La cifra INE 2020 (79%) del mismo párrafo NO se verificó en este lote (otra fuente, sin id en manifiesto): ver componente relacionado en clientelismo-010 (ENCUCI2020, instrumento distinto pero constructo afín: percepción de secreto/frecuencia de compra de voto).	SIN-ID-MANIFIESTO		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: 0)	ASTRA5-U3	Adquirir artículo Ascencio & Chang (2025) PSRM 13(4):903-922 DOI 10.1017/psrm.2024.54 y suplemento; localizar la encuesta nacional INE 2020 citada (79%) para verificar aparte	CONC-DOC-CLIENTELISMO-B3-SECRETOVOTO		WebSearch "Ascencio Chang 2025 Political Science Research and Methods secret ballot vote buying Mexico DOI 10.1017/psrm.2024.54" 2026-09-24 → cambridge.org/core, repository.essex.ac.uk/38289	POLITICA	Cambiaría si una réplica del experimento de laboratorio no mostrara el salto en probabilidad de voto clientelista al variar la creencia de monitoreo
ASTRA5-U0-CLIENT-010	clientelismo-010	TIER-baa568e2-L75	L75-L79 CASO B3 (complemento corpus)	«recibir una dádiva erosiona la confianza del votante en el secreto de su voto, y esa creencia (no el regalo per se) es la que induce cumplimiento»	FUERTE, mecanismo (rige encabezado L75)	CIFRA-PUBLICADA	(a) primaria México	Percepción del votante mexicano sobre si su voto es secreto o se puede descubrir, y percepción de la frecuencia con que ocurre compra de votos en las elecciones de México	Mide percepción/creencia agregada, no el mecanismo causal dádiva→creencia→voto que sí identifica Ascencio-Chang (clientelismo-009); universo 18+ nacional, ola 2020; U0 no computó frecuencias (cero microdato)	persona 18+; nacional; percepción sobre elecciones en general, ola 2020	ENCUCI 2020 (Encuesta Nacional de Cultura Cívica, INEGI)	encuci2020_fd_pdf|6cd6f7475a0b5db27a84cf0e047db5b7ed98f73c3480a9e64ea084bc7d475638|páginas 48-49	«7.15 ¿Usted cree que su voto es secreto o se puede descubrir por quién ha votado?» (AP7_15); «7.16 En su opinión, ¿con qué frecuencia ocurren en las elecciones en México las siguientes situaciones? 3. Hay compra de votos» (AP7_16_3); códigos por extraer de encuci2020_fd_pdf p.48-49	MEDIBLE-EN-CORPUS	Instrumento mexicano oficial (ENCUCI 2020, INEGI) con dato en manifiesto (encuci2020_bd_dbf); texto literal citado de u0busca sobre AP7_15/AP7_16_3; constructo afín (no idéntico) al 79% del INE 2020 citado por el report en el mismo párrafo de CASO B3; U0 no abrió microdato (cero microdato).	encuci2020_bd_dbf|0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283|raíz data_raw; U0 no abrió microdato		ninguna corrida con encuci2020_bd_dbf (u0mf --calc: 0)	ASTRA5-U3	Extraer frecuencia AP7_16_3 (percepción de compra de votos) y AP7_15 (percepción de secreto) con ponderador ENCUCI2020; no equiparar con el 79% del INE 2020 sin verificar ambas fuentes	CONC-ENCUCI2020-AP7_15-AP7_16_3		u0busca -q "AP7_" --encuesta encuci2020: 67 aciertos, incluye AP7_15 (contexto:22893) y AP7_16_3 (contexto:22896)	POLITICA	Cambiaría si la percepción de secreto del voto (AP7_15) no correlacionara con la percepción de frecuencia de compra de votos (AP7_16_3) al cruzarlas, contradiciendo el mecanismo de Ascencio-Chang
