coef_id	payload_id	fuente	co_observacion	eje_condicionamiento_disponible	llave_aplicable	veredicto_a4	universo_declarado	comando
N13/G5.familismo_obligacion	enut2024_bd_csv	ENUT 2024	N	sexo; PAREN/PARENC; EDAD; proxies de formalidad P5_6_7/P5_10; EST_DIS/UPM_DIS/FAC_PER	NINGUNA	EXISTE-NO-SATISFACE	tmodulo.csv (694 col) + tsdem.csv (33) + thogar.csv (60) de enut2024_bd_csv.zip; bateria P6_11_01..14 y P6_11A_XX_1..4 localizada. Frontera: mide CONDUCTA observada (dio de comer, banio, acompanio), el theta del glosario es ACTITUD (creencia internalizada de deber sacrificarse, escalas Zeiders/Fuligni/Calzada). Seccion VI completa (6.1-6.23) es tiempo dedicado, sin item actitudinal. Universo restringido por FILTRO_S6_11 a 8943 de 74053 (12.08 pct). Inspeccion previa existe: forense/notas/2026-08-04-enut-paso1-familismo-obligacion.md, 4/ago	python3 -c "import zipfile,io; z=zipfile.ZipFile('data/raw/enut2024_bd_csv.zip'); print([c for c in io.TextIOWrapper(z.open('tmodulo.csv'),encoding='latin-1').readline().split(',') if 'P6_11' in c])"
N12/G5.familismo_apoyo	za6980_v2_0_0_sav	ISSP Social Networks and Social Resources 2017 Mexico	N	NO-DETERMINADO	NINGUNA	EXISTE-SATISFACE	Fila del cableado, relacion_id REL-9dfab617c356df5594575a3c, con texto_reactivo_recortado en [REDACTADO-PRIVACIDAD]. RESUELTO EN ESTE ACTO contra celdas reales del gemelo .dta: v22 = 'Q7b Whom to ask for help: in household when ill?', Mexico n=1002 -- familiar cercano 764, familiar lejano 81, amigo cercano 91, vecino 30, companiero de trabajo 9, otro 17, nadie 7. Separa exactamente el circulo que canon/gobernanza-v1_15.md describe. co_observacion=N: el reactivo esta, el desenlace de G5 no vive en el mismo instrumento. En relaciones.tsv sigue CANDIDATA, no CONFIRMADA, de modo que la regla del censo no dispara sobre ella	awk -F'\t' 'NR>1 && $12=="EXISTE-SATISFACE" && $7=="N12"' data/cableado-universo-v1_0.tsv
N13/G5.familismo_obligacion	za5900_v4_0_0_sav	ISSP 2012 Mexico (ZA5900)	POR-ABRIR	NO-DETERMINADO	NINGUNA	EXISTE-SATISFACE	Fila del cableado, relacion_id REL-d630dc1ea394364e53631401, texto VARIABLE-SAV objetos=318. En relaciones.tsv es CANDIDATA, no CONFIRMADA. Apertura a nivel variable ya existe parcialmente en data/apertura-issp-variables-2026-08-13.tsv (ACTO APERTURA-ISSP)	awk -F'\t' 'NR>1 && $12=="EXISTE-SATISFACE" && $7=="N13"' data/cableado-universo-v1_0.tsv
N5/G3.horizonte_temporal	mex_2011_lfepie_v01_m_spss	Large-Scale Financial Education Program Impact Evaluation 2011-2012	POR-ABRIR	NO-DETERMINADO	DISENO-EXPERIMENTAL-TERCEROS	EXISTE-SATISFACE	Fila del cableado, relacion_id REL-2230c5027c1ce5589c32d9b0, texto VARIABLE-SAV objetos=174. Es una evaluacion de impacto de terceros: tiene la forma de la llave (iii) de ADR-57(c). En relaciones.tsv es CANDIDATA, no CONFIRMADA. N5 ya es RUTA-I por CAL-G3, de modo que promoverla no mueve el reparto	awk -F'\t' 'NR>1 && $12=="EXISTE-SATISFACE" && $7=="N5"' data/cableado-universo-v1_0.tsv
N12/G5.familismo_apoyo	enbiare2021_fd_pdf	ENBIARE 2021	POR-ABRIR	NO-DETERMINADO	NINGUNA	EXISTE-SATISFACE	Fila del cableado, relacion_id REL-a750d90d3d9e1e19938fa8c4, texto SECCION-PDF objetos=468. Es el descriptor (fd), no el microdato: enbiare2021_bd_csv_zip es payload distinto y esta SIN-DEMANDA con nota previa forense/notas/2026-08-04-barrido-alcanzabilidad-27fuentes.md	awk -F'\t' 'NR>1 && $1=="enbiare2021_fd_pdf"' data/cableado-universo-v1_0.tsv
N12/G5.familismo_apoyo	engasto2012_hogar_dbf	ENGASTO 2012, tabla HOGAR	S	est_socio y tam_loc por join VIVIENDA; conex_inte y tot_integ directas; edad y sexo por join PERSONA	NINGUNA	EXISTE-SATISFACE	hogar.dbf real, 161 campos parseados del header binario, 58951 registros: bateria cuid_may1..7 (items 93-99), quien se encarga del cuidado del adulto mayor, 7 categorias de institucion publica/privada/enfermera a familiar-en-el-hogar/no-familiar/familiar-en-otro-hogar. ROMPE la circularidad C3 que inhabilita ENIF P9_9 para G5 (procedencia.yaml:265-270): instrumento distinto y operacionalizacion distinta. Universo restringido declarado: integ_may=1, 17312/58951 = 29.4 pct. usado_para = sin uso asignado en los 46 payloads de ENGASTO: material virgen. NO ADJUDICADO	python3 -c "import zipfile,struct; z=zipfile.ZipFile('data/raw/engasto2012/hogar_dbf.zip')" ; ver universo_declarado
N3/G2.sens_estatus	engasto2012_engasto12_fd	ENGASTO 2012, descriptor de base de datos	N	est_socio; tam_loc; conex_inte; est_dis; upm	NINGUNA	NO-ENCONTRADO-EN-UNIVERSO-INSPECCIONADO	engasto12_fd.pdf integro (8411 lineas via pdftotext -layout): 7 tablas enumeradas (VIVIENDA 69var, HOGAR 161var, PERSONA 42var, GASTO 19var, LUGAR_COMPRA 81var, GASTO_MUJERES 12var, Anexo B). Terminos: estatus, prestigi, aparent, ostenta, marca, clase social, nivel de vida, lujo, moda, impresionar sobre ~391 etiquetas: 0 coincidencias. Mismo resultado para N4/N6/N11 sobre este payload. Ya cubierto por REAPERTURA-52A-54 fila 37 de 94 (13/ago); esta sesion re-verifica de forma independiente sobre el documento completo	pdftotext -layout data/raw/engasto2012/engasto12_fd.pdf - | grep -nci "estatus|prestigi|aparent|ostenta|clase social|nivel de vida"
N10/G4.horizonte_temporal	banxico_encuesta_competencias_financieras_2024	Banxico, Encuesta de Competencias Financieras 2024	N	NSE; SEXO; EDAD; ESTADO/MPO/REGION. SIN EST_DIS ni UPM_DIS: solo PESO/PESO1/PESO2	NINGUNA	EXISTE-SATISFACE	xlsx real, 145 columnas, 2070 registros, sha256 coincide con manifiesto. COND2: eleccion intertemporal 1000 pesos en 13 meses contra 1100 en 14 meses, con variacion real (1:1179, 2:800, 98:91). LIMITE DECLARADO: el wording viene del codebook publico 2019, aplicado por coincidencia de nombre de columna; su item hermano COND1 esta en ese codebook y NO aparece en el header real 2024. N10 pasa de sin-candidato a candidato-no-adjudicado. Sin desenlace de G4 co-observado en el mismo instrumento	python3 -c "openpyxl sobre banxico_encuesta_competencias_financieras_2024.xlsx, Counter sobre COND2"
N7/G3.familismo_apoyo	enif2021_fd_zip	ENIF 2021, descriptor	S	no verificado en esta sesion	NINGUNA	EXISTE-NO-SATISFACE	Deriva de codigo entre olas, verificada abriendo las 5 fichas: la bateria de vejez es P9_9_1..6 solo en 2024 (la edicion sellada); en 2021 es P9_8_1..6 porque la edicion inserta 9.6 y 9.7 y corre la numeracion; en 2018 es P9_9_1..5 (cinco categorias, sin seguir trabajando) y P4_10 no existe en esa edicion; 2012 y 2015 no traen ninguna de las dos piezas, solo un checkbox suelto de proposito de ahorro (P5_2_7 y P5_17_8). Citar P9_9_1..6 como si fuera estable entre olas es incorrecto	python3 -c "openpyxl sobre las 5 fichas ENIF, buscar P9_9 y P9_8 en TModulo"
N13/G5.familismo_obligacion	enasem2021_fd_xlsx	ENASEM/MHAS 2018-2021-2024, hoja de variables construidas	N	edad; sexo	PANEL	EXISTE-NO-SATISFACE	CUIDA_ADULTO_{18,21,24}, CUIDA_MENOR_{18,21,24} y CUIDA_FAM_21/CUIDA_FAM_24 (se hizo cargo de cuidar algun familiar enfermo entre 2018-2021 y 2021-2024): transicion de panel explicita, no corte transversal. UNHHIDNP persiste en las 3 olas, verificado en columnas reales de los tres archivos maestros de seguimiento. FRONTERA, la misma que descalifico a ENUT y que se aplica aqui por consistencia: mide CONDUCTA de cuidado; la theta de este coeficiente es ACTITUD, y ADR-67(b) ya fijo P7_12_7 de ENASIC como la theta real, dejando la capa conductual fuera de theta. Sirve a la celda-D de conducta, no al coeficiente. Su valor propio es ser PANEL, que ENUT no es. Hallazgo que CENSO-v1.1 no vio por buscar obligacion y deber en vez de cuida	python3 -c "openpyxl read_only sobre data/raw/enasem2021/enasem_2021_fd.xlsx, hoja MHAS_ENASEM_2021_CONSTRUCTED_VA, filas con CUID"
