id_afirmacion	fila_local	unidades	localizador	texto_vigente	tier_report	clase	procedencia_evidencia	componente_contrastable	limite_inferencial	conducta_unidad_universo	instrumento_ola	documento_id_hash_pagina	pregunta_textual_codigo_respuestas	dictamen	dictamen_razon	datos_id_estado	reserva	gen2_existente	propietario_propuesto	siguiente_operacion	dedup_concepto	contrato_existente	busqueda_a13	dominio	falsador
ASTRA5-U0-SANC-001	sancion-horizontal-001	LECTURA-916eb783-01;SANCION-INTERNO-01	L15 Resumen ejecutivo, hallazgo 1	El ancla teorica de Foster ("Image of Limited Good", Tzintzuntzan, Michoacan, 1965): los bienes buenos (tierra, dinero, salud, amor, honor) se perciben como finitos y no expandibles; si alguien obtiene mas, otro pierde. La sancion al que sobresale es la consecuencia logica de esa premisa de suma cero.	SOLIDO	MARCO-TEORICO	primaria Mexico (etnografia de campo, comunidad mestiza, 1945-1970; el propio Foster aclara que no es representativa de comunidades indigenas)	Existe entre la poblacion mexicana actual una premisa cognitiva de bien limitado (recursos percibidos como fijos) que motive sancion a quien acumula. Unidad: persona/creencia; universo: poblacion adulta Mexico.	Foster describe UNA comunidad mestiza (Tzintzuntzan, 1945-1970), no indigena por su propia aclaracion; ningun informante lo enuncia explicitamente (premisa tacita inferida por el etnografo); el propio Foster documento su erosion en la edicion revisada. Ningun instrumento del corpus mide la premisa de suma cero como creencia individual hoy.	creencia individual (persona); etnografia de Tzintzuntzan 1945-1970 (historico, no universo nacional actual)	ninguno identificado en el corpus (ninguna encuesta mexicana pregunta por creencia de bien limitado/suma cero)	Foster 1965 Peasant Society and the Image of Limited Good, American Anthropologist 67(2):293-315, DOI 10.1525/aa.1965.67.2.02a00010 -- NO registrado en manifiesto	no aplica (modelo etnografico, no reactivo de encuesta)	MEDIBLE-CON-ADQUISICIÓN	El documento primario (Foster 1965, American Anthropologist 67(2):293-315) existe e identificado (autor, revista, volumen, paginas, DOI), verificado por busqueda web 24/sep/2026; no esta en el corpus (u0mf --busca foster: 0/1680; --busca tzintzuntzan: 0/1680). El cotejo del pasaje citado contra el articulo original queda como residual. El componente de premisa vigente hoy en Mexico no tiene instrumento (u0busca envidia: 0/113780; mal de ojo: 0/113780).	faltante: ninguno identificado en el corpus (ninguna encuesta mexicana pregunta por creencia de bien limitado/suma cero) (10.1525/aa.1965.67.2.02a00010); SIN-ID-MANIFIESTO (Foster 1965 no registrado); u0mf --busca foster/tzintzuntzan: 0/1680		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-ESTATUS	registrar Foster 1965 (DOI 10.1525/aa.1965.67.2.02a00010) en el manifiesto si se decide cotejar el pasaje citado; no construir medicion nacional a partir de una etnografia de 1965.	CONC-DOC-FOSTER1965-IMAGENLIMITEDGOOD		u0mf --busca foster -> 0/1680; u0mf --busca tzintzuntzan -> 0/1680; u0busca -q envidia -> 0/113780 con texto; u0busca -q "mal de ojo" -> 0/113780; WebSearch Foster 1965 Peasant Society Image of Limited Good, 24/sep/2026, AmAnthropologist 67(2):293-315 DOI confirmado.	SANCION_SOCIAL	Cambiaria si una encuesta mexicana con reactivo de percepcion de recursos fijos/suma cero mostrara prevalencia baja o sin asociacion con sancion al que sobresale, o si estudios etnograficos posteriores en Tzintzuntzan/comunidades comparables no reprodujeran la premisa tras el crecimiento economico que el propio Foster ya documento.
ASTRA5-U0-SANC-002	sancion-horizontal-002	LECTURA-916eb783-02;CAND-916eb783-L6;SANCION-INTERNO-01	L17 Resumen ejecutivo, hallazgo 2	La envidia funciona en dos registros: como emocion y como sistema de control social (institutionalized envy, Eric Wolf 1955, desarrollado por Foster 1972). Como sistema, se articula en practicas -chisme, brujeria, mal de ojo, presion a compartir- que vigilan y sancionan la acumulacion visible.	SOLIDO	MARCO-TEORICO	marco importado/extranjera (concepto antropologico general aplicado por el report a Mexico sin dato propio)	Existe en Mexico un sistema observable (chisme+brujeria+mal de ojo+presion a compartir) que vigile y sancione la acumulacion visible. Unidad: persona/comunidad.	Constructo teorico compuesto de cuatro practicas tratadas como un sistema unico; ninguna encuesta del corpus pregunta por brujeria, mal de ojo, chisme o presion a compartir, asi que no hay forma de medir el sistema ni sus componentes por separado en Mexico actual.	no aplica (constructo teorico, sin universo poblacional definido por el report)	ninguno identificado	Wolf 1955 Types of Latin American Peasantry, American Anthropologist 57(3):452-471; Foster 1972 The Anatomy of Envy, Current Anthropology 13(2):165-202, DOI 10.1086/201267 -- ninguno registrado en manifiesto	no aplica	NO-MEDIBLE-POR-DISEÑO	El sistema de envidia institucionalizada sintetiza cuatro practicas (chisme, brujeria, mal de ojo, presion a compartir); ninguna tiene reactivo en el corpus (u0busca chisme->0/113780, mal de ojo->0/113780, envidia->0/113780 de 314256 identidades revisadas); no se identifico instrumento tras este recorrido; no equivale a imposibilidad universal. Los documentos fuente (Wolf 1955, Foster 1972) existen e identificados (verificado por web 24/sep/2026) pero eso no resuelve la medibilidad del sistema en Mexico hoy.	SIN-ID-MANIFIESTO		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-ESTATUS	si se quiere medir, definir componentes por separado (creencia en mal de ojo; frecuencia de chisme; presion social a compartir) con modulo cualitativo ad hoc; fuera del alcance de los instrumentos cuantitativos del corpus.	CONC-DOC-WOLF1955FOSTER1972-ENVIDIAINSTITUCIONALIZADA		u0busca -q envidia -> 0/113780; -q chisme -> 0/113780; -q "mal de ojo" -> 0/113780; u0mf --busca wolf -> 0/1680; --busca foster -> 0/1680; WebSearch Wolf 1955 AmAnthropologist 57(3):452-471 y Foster 1972 CurrAnthropology 13(2):165-202 confirmados 24/sep/2026.	SANCION_SOCIAL	Cambiaria si una encuesta o modulo cualitativo mexicano preguntara directamente por creencias de brujeria/mal de ojo/presion a compartir y mostrara prevalencia y patron de sancion a la acumulacion visible; o si estudios de campo posteriores no encontraran las cuatro practicas articuladas como sistema.
ASTRA5-U0-SANC-003	sancion-horizontal-003	LECTURA-916eb783-03;SANCION-INTERNO-01	L19 Resumen ejecutivo, hallazgo 3	Boris Gershman (JEBO 110:119-144, 2015) demuestra que hay una asociacion positiva robusta entre la incidencia de la creencia en el mal de ojo y las medidas de desigualdad de riqueza, controlando por difusion espacial e intercultural, y que el efecto es mayor en sociedades sin instituciones formales.	SOLIDO	CONCLUSION-DE-ESTUDIO	marco importado/extranjera (muestra intercultural SCCS, sociedades preindustriales; no Mexico especificamente)	Correlacion entre creencia en mal de ojo y desigualdad de riqueza en una muestra intercultural (SCCS); no es una medicion sobre Mexico.	El estudio es comparativo mundial (Standard Cross-Cultural Sample, sociedades preindustriales); no aisla Mexico; ningun instrumento del corpus mide creencia en mal de ojo en Mexico para replicar o contrastar el hallazgo localmente.	sociedad/creencia colectiva; universo muestra intercultural SCCS (no Mexico)	ninguno mexicano en el corpus	Gershman 2015 The Economic Origins of the Evil Eye Belief, Journal of Economic Behavior & Organization 110:119-144; SSRN DOI 10.2139/ssrn.2308137 -- no registrado en manifiesto	no aplica	MEDIBLE-CON-ADQUISICIÓN	El documento primario existe e identificado (autor, revista JEBO, vol 110, pp 119-144, 2015; DOI SSRN 2308137), confirmado por busqueda web 24/sep/2026 (ideas.repec.org, researchgate.net, borisgershman.com). No registrado en el manifiesto (u0mf --busca gershman: 0/1680). El cotejo de la cita textual y de la muestra exacta contra el PDF original queda como residual; sin componente mexicano medible con el corpus (0 aciertos mal de ojo).	faltante: ninguno mexicano en el corpus (10.2139/ssrn.2308137); SIN-ID-MANIFIESTO; u0mf --busca gershman -> 0/1680		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-RURAL	registrar el PDF (borisgershman.com/research/eye/eye.pdf) en el manifiesto para cotejo de cita textual; no usar como evidencia mexicana directa.	CONC-DOC-GERSHMAN2015-EVILEYE		u0mf --busca gershman -> 0/1680; u0busca -q "mal de ojo" -> 0/113780; WebSearch Gershman Economic Origins Evil Eye Belief JEBO 2015 DOI, 24/sep/2026 -> JEBO 110:119-144, SSRN 2308137 confirmado.	SANCION_SOCIAL	Cambiaria si, al leer el articulo completo, la asociacion no controlara adecuadamente por difusion espacial/cultural, o si una replica con datos mexicanos de creencia en mal de ojo y desigualdad municipal/estatal no mostrara la misma asociacion.
ASTRA5-U0-SANC-004	sancion-horizontal-004	LECTURA-916eb783-04;SANCION-INTERNO-01	L21 Resumen ejecutivo, hallazgo 4	El chisme tiene doble cara: es dano (destruccion de reputacion, bullying, exclusion) y a la vez cohesion y vigilancia comunitaria (Dunbar: el chisme como grooming social que sostiene la cooperacion y controla a los free-riders). No es un defecto: es un mecanismo de regulacion reputacional de bajo costo.	SOLIDO	MARCO-TEORICO	marco importado/extranjera (muestra de conversaciones observadas, sin identificar pais mexicano)	El chisme cumple funcion de cohesion/control de free-riders y a la vez de dano reputacional en Mexico. Unidad: persona/interaccion social.	Dunbar, Duncan y Marriott (1997) muestrean 45 conversaciones en espacios publicos (no se identifica poblacion mexicana en el hallazgo); ningun instrumento del corpus registra frecuencia o contenido de chisme en Mexico.	interaccion conversacional; universo del estudio original no mexicano	ninguno identificado en el corpus	Dunbar, Duncan y Marriott 1997 Human Conversational Behavior, Human Nature 8:231-246 -- no registrado en manifiesto	no aplica	MEDIBLE-CON-ADQUISICIÓN	Documento primario existe e identificado (Human Nature 8:231-246, 1997), confirmado por busqueda web 24/sep/2026. No registrado en el manifiesto (u0mf --busca dunbar: 0/1680); sin componente mexicano medible con el corpus (u0busca chisme -> 0/113780).	faltante: ninguno identificado en el corpus; SIN-ID-MANIFIESTO; u0mf --busca dunbar -> 0/1680		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-INTERACCION	registrar el articulo para cotejo; buscar estudio mexicano de chisme (Hagene 2010, Universidad Autonoma Chapingo) senalado como pieza pendiente en el propio report.	CONC-DOC-DUNBAR1997-CHISMEGROOMING		u0mf --busca dunbar -> 0/1680; u0busca -q chisme -> 0/113780; WebSearch Dunbar Duncan Marriott 1997 Human Conversational Behavior Human Nature, 24/sep/2026 confirmado.	INTERACCION	Cambiaria si un estudio mexicano de redes de chisme no mostrara la funcion dual (cohesion y dano) o si la proporcion de chisme malicioso documentada localmente excediera ampliamente el menor a 5% hallado por Dunbar et al.
ASTRA5-U0-SANC-005	sancion-horizontal-005	LECTURA-916eb783-05;SANCION-INTERNO-01	L23 Resumen ejecutivo, hallazgo 5	Segun el Latinobarometro (informe de Marta Lagos), la confianza interpersonal regional se situa en 15% en 2024 (desde 1995 el maximo fue 24% en 1997); Mexico encabeza la region con 26%. La sancion horizontal florece donde no hay confianza generalizada ni instituciones fiables.	SOLIDO	CIFRA-PUBLICADA	primaria Mexico (Latinobarometro 2024, muestra mexicana); la cifra regional/historica es agregado latinoamericano	Proporcion de poblacion que declara confiar en la mayoria de las personas (confianza interpersonal generalizada). Unidad: persona; universo: adultos entrevistados Latinobarometro 2024 Mexico.	El reactivo (P10STGBS) esta en el cuestionario registrado, pero el porcentaje especifico citado (26% Mexico, 15% regional, maximo historico 24% en 1997) proviene del informe (Marta Lagos) no registrado en el manifiesto; el corpus solo tiene cuestionario+fichas tecnicas+microdato Stata (U0 no abrio microdato). Cruzado en TRANS-CONS-WVS-Q57 con WVS2012 (12%) y WVS2018 Q57 (10.5%): olas/preguntas distintas, no deben fusionarse.	persona adulta; universo Latinobarometro 2024 Mexico (muestra probabilistica nacional)	Latinobarometro 2024	latinobarometro2024_cuestionario_esp|f1fe995d24081906d91ff7646aa4afa7ecdf0e1728c3192d1dd264b89172fb7b|p.1 (reactivo P10STGBS)	P10STGBS. Hablando en general, diria Ud. que se puede confiar en la mayoria de las personas o que uno nunca es lo suficientemente cuidadoso en el trato con los demas? -- codigos por extraer de latinobarometro2024_cuestionario_esp p.1	MEDIBLE-CON-ADQUISICIÓN	El reactivo P10STGBS esta EN-CORPUS con payload de datos (latinobarometro2024_bd_stata) y cuestionario citado literalmente (p.1); pero el porcentaje publicado exacto (26%/15%/serie 1995-2024) proviene del informe 2024 de Latinobarometro (Marta Lagos), no registrado en el manifiesto (u0mf --busca latinobarometro: 9 entradas, ninguna es el informe). U0 no abrio microdato (CERO MICRODATO), no puede recalcular el 26%/15% por su cuenta.	faltante: Latinobarometro 2024; latinobarometro2024_bd_stata|469a94c55395b36c4d1f013851a7e79d0619620640a64653eca79afce21f5e97|raiz data_raw; U0 no abrio microdato		ninguna corrida con latinobarometro2024_bd_stata (u0mf --calc: 0)	ASTRA5-U3	registrar/adquirir el informe Latinobarometro 2024 (Marta Lagos) con la cifra 26%/15%, o recalcular P10STGBS desde el microdato Stata registrado, en un acto con acceso a caja.	CONC-LATINOBAROMETRO2024-P10STGBS		u0mf --busca latinobarometro -> 9/1680; u0pdf -q "confiar en la mayoria" -> 6 coincidencias (incluye latinobarometro2024_cuestionario_esp p.1); cruce deduplicacion TRANS-CONS-WVS-Q57 (WVS2012=12%, WVS2018 Q57=10.5%, Latinobarometro2024=26%/15% son olas distintas) consultado en el paquete.	CONFIANZA	Cambiaria si el microdato Latinobarometro 2024 recalculado no reprodujera 26%/15%, o si el informe de Marta Lagos reportara una cifra distinta para Mexico/region.
ASTRA5-U0-SANC-006	sancion-horizontal-006a	LECTURA-916eb783-06;CAND-916eb783-L7	L25 Resumen ejecutivo, hallazgo 6 (mecanismo)	El no destaques puede ser gestion racional de riesgo, no rasgo cultural. Gershman formaliza esto como fear equilibrium: con alta desigualdad, derechos de propiedad debiles y comparaciones sociales fuertes, los mejor dotados subinvierten y ocultan para evitar la retaliacion envidiosa.	SOLIDO (muy malinterpretado)	INTERPRETACION-DEL-REPORT	marco importado/extranjera (modelo formal de Gershman aplicado a Mexico por interpretacion, sin dato mexicano propio de ocultamiento por miedo a la envidia)	La poblacion mexicana mejor dotada oculta/subinvierte para evitar retaliacion envidiosa (mecanismo fear equilibrium). Unidad: persona/inversion; universo no definido por el report para Mexico.	Es un modelo formal (Gershman 2014), no una medicion; el report lo aplica a Mexico por analogia, sin instrumento que pregunte por ocultamiento de riqueza por miedo a la envidia. La cifra ENSU 47.4% que el report adjunta (fila 006b) mide otra cosa (miedo al delito, no miedo a la envidia).	no aplica (modelo teorico, sin universo mexicano medido)	ninguno identificado que mida ocultamiento por miedo a la envidia en Mexico	Gershman 2014 The Two Sides of Envy, Journal of Economic Growth 19(4):407-438 -- no registrado en manifiesto	no aplica	NO-MEDIBLE-POR-DISEÑO	El fear equilibrium es un modelo formal de equilibrio economico (Gershman 2014, existencia confirmada por busqueda web 24/sep/2026), no una variable observable; ningun instrumento del corpus pregunta por ocultamiento deliberado de riqueza por miedo a la envidia (u0busca envidia->0/113780; ostentar/presumir/destacar->0/113780). No se identifico instrumento tras este recorrido; no equivale a imposibilidad universal. La unica cifra dura que el report adjunta a esta idea (ENSU 47.4%) mide un mecanismo distinto (miedo al delito), tratado en fila separada 006b.	SIN-ID-MANIFIESTO		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-ESTATUS	si se quiere medir el mecanismo, disenar reactivo directo sobre ocultamiento de bienes por miedo a la envidia (distinto del item de miedo al delito de ENSU); no hay ninguno en el corpus actual.	CONC-DOC-GERSHMAN2014-FEAREQUILIBRIUM		u0busca -q envidia -> 0/113780; -q "ostentar|ostentacion" -> 0/113780; -q presumir -> 0/113780; -q destacar -> 0/113780; WebSearch confirmo Gershman 2014 J Econ Growth 19(4):407-438 (hallado en resultados de busqueda de Wolf 1955, 24/sep/2026).	DINERO	Cambiaria si un reactivo mexicano de ocultamiento deliberado de riqueza (distinto de miedo al delito) mostrara asociacion con desigualdad local y derechos de propiedad debiles, replicando el mecanismo.
ASTRA5-U0-SANC-007	sancion-horizontal-006b	LECTURA-916eb783-06	L25 Resumen ejecutivo, hallazgo 6 (cifra ENSU)	En Mexico, segun la ENSU del primer trimestre de 2024 (INEGI), 47.4% de la poblacion de 18 anos y mas manifesto evitar llevar cosas de valor -joyas, dinero o tarjetas de credito- por temor a sufrir algun delito.	SOLIDO	CIFRA-PUBLICADA	primaria Mexico (INEGI ENSU)	Proporcion de poblacion 18+ que evita portar objetos de valor por temor al delito (conducta defensiva ante el delito). Unidad: persona; universo: poblacion urbana 18+ ENSU 1T2024.	ENSU mide conducta defensiva contra el DELITO (miedo a ser victima), NO mide ocultamiento de riqueza por miedo a la ENVIDIA (fear equilibrium de Gershman); el report funde ambos mecanismos en el mismo hallazgo pero son conceptualmente distintos y el corpus no permite separarlos con este reactivo. Ademas ENSU 2024T1 no esta registrado en el manifiesto (solo ENSU 2025 lo esta).	persona 18+; universo urbano/ciudades autorrepresentadas cubiertas por ENSU (no nacional total)	ENSU 2024 (1er trimestre) -- distinto de ENSU 2025 (unica ola registrada)	no localizado en el manifiesto para la ola 2024T1	reactivo por extraer del cuestionario ENSU 2024T1 (no registrado en el corpus; solo se confirma via el texto del report)	MEDIBLE-CON-ADQUISICIÓN	ENSU 2024T1 (la ola que cita el report) NO esta registrada en el manifiesto: u0mf --busca ensu solo devuelve ensu2025_bd_csv_zip y documentos ENSU2025/ENCO/RNM; no hay microdato, cuestionario ni tabulado de ENSU 2024T1 en el corpus. El instrumento (ENSU, INEGI, trimestral) esta identificado y es publico, pero falta adquirir/registrar la ola especifica.	faltante: ENSU 2024 (1er trimestre) -- distinto de ENSU 2025 (unica ola registrada); SIN-ID-MANIFIESTO para ENSU 2024T1 (solo ensu2025_bd_csv_zip|317ed14f2f2f43c9f8280e491f7592d0cf95a0392aaa641b66822569444b121c registrado, ola distinta)		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-U3	registrar en el manifiesto el cuestionario/tabulado/microdato de ENSU 2024 1er trimestre (INEGI) para cotejar el 47.4% y extraer el reactivo exacto y sus codigos.	CONC-ENSU2024T1-OBJETOSVALOR		u0mf --busca ensu -> 7/1680 (solo ENSU2025 y ENCO/RNM, ninguno ENSU2024); u0mf --busca ensu --busca 2024 -> 0/1680; u0busca -q "objetos de valor" -> 0/113780; -q "llevar consigo" -> 0/113780.	SANCION_SOCIAL	Cambiaria si, al registrar ENSU 2024T1 y leer el cuestionario, el reactivo resultara ser sobre otro objeto/motivo distinto al citado, o si el porcentaje publicado no coincidiera con 47.4% al cotejar contra el tabulado oficial.
ASTRA5-U0-SANC-008	sancion-horizontal-007	LECTURA-916eb783-07;SANCION-INTERNO-01	L27 Resumen ejecutivo, hallazgo 7	En 18 de las 32 entidades federativas el delito mas frecuente contra las unidades economicas fue la extorsion, con una tasa de 1,562 extorsiones por cada 10,000 unidades economicas y una cifra negra nacional de 90.3% (96.7% especifica de extorsion). ENVE 2024, delitos de 2023.	SOLIDO	CIFRA-PUBLICADA	primaria Mexico (INEGI ENVE)	Incidencia y cifra negra de extorsion/cobro de piso reportada por establecimientos. Unidad: empresa/establecimiento; universo: unidades economicas privadas, ENVE 2024 (delitos de 2023).	ENVE mide incidencia de extorsion/cobro de piso a establecimientos; NO identifica por que un establecimiento fue seleccionado (visibilidad/ostentacion de prosperidad no es reactivo del cuestionario); no debe leerse como evidencia de seleccion por ostentacion. El reactivo crudo esta en el cuestionario registrado (p.8), pero la tasa agregada (1,562/10,000) y la cifra negra (90.3%/96.7%) son estadisticas ya calculadas por INEGI que requieren el boletin/tabulados oficiales, no registrados en el corpus.	establecimiento/empresa; universo ENVE 2024 (unidades economicas privadas, delitos de 2023)	ENVE 2024	cuestionario_principal_enve2024|aac4e9d4cc23773727dbb43c7af1306830a794ff657ca8c789b9e6deaef7eb6f|p.8	...por medio al (los) dueno(s) o personal del establecimiento para exigir dinero o bienes o para que hiciera(n) algo o dejara(n) de hacer algo como establecimiento (extorsion o cobro de piso) -- item de tipo de delito, cuestionario_principal_enve2024 p.8; codigos por extraer de la misma fuente.	MEDIBLE-CON-ADQUISICIÓN	El instrumento (ENVE 2024, microdato+cuestionario) esta EN-CORPUS con el item extorsion o cobro de piso citado literalmente (cuestionario p.8); pero la cifra agregada publicada (tasa 1,562/10,000, ranking en 18/32 entidades, cifra negra 90.3%/96.7%) es un indicador ya calculado por INEGI (tabulados/comunicado de prensa ENVE 2024) que no esta registrado en el manifiesto (u0mf --busca enve: solo microdato+cuestionario+modulo de delitos, sin boletin/tabulados). U0 no abrio microdato.	faltante: ENVE 2024; conjunto_de_datos_enve_2024_csv|5b2c5efccd0dfc2e196c37c5004976a67b62248a0d159ca2384dbfb0f1b0cf33|raiz descargas_mx; U0 no abrio microdato		ninguna corrida con conjunto_de_datos_enve_2024_csv (u0mf --calc: 0)	ASTRA5-U3	registrar el boletin/tabulados oficiales ENVE 2024 (comunicado de prensa INEGI) con la tasa por unidad economica y la cifra negra, para cotejar 1,562/10,000 y 90.3%/96.7%; el cotejo de la cifra exacta es residual.	CONC-ENVE2024-EXTORSIONCOBRODEPISO		u0mf --busca enve -> 3/1680 (datos+2 cuestionarios, sin boletin); u0pdf -q "extorsion" --idsub enve -> 20 coincidencias (incluye p.8 citado); u0pdf -q "cifra negra" --idsub enve -> 0/2 PDF; u0pdf -q "delito mas frecuente" -> 0/349.	SANCION_SOCIAL	Cambiaria si, al registrar el boletin/tabulados ENVE 2024, la tasa publicada no fuera 1,562/10,000 o la cifra negra no fuera 90.3%/96.7%, o si el reactivo del cuestionario no correspondiera a extorsion/cobro de piso en las categorias citadas.
ASTRA5-U0-SANC-009	sancion-horizontal-008	LECTURA-916eb783-08;SANCION-INTERNO-02	L29 Resumen ejecutivo, hallazgo 8	La funada / cultura de la cancelacion es la version digital y urbana de la sancion social horizontal: escarnio publico descentralizado que amplifica el alcance, reduce el costo de sancionar y difumina la frontera entre rendicion de cuentas legitima y linchamiento.	MEDIO	INTERPRETACION-DEL-REPORT	mixta (literatura chilena/latinoamericana citada + analisis mexicanos de prensa/UNAM)	Prevalencia/experiencia de escarnio publico coordinado en redes contra quien sobresale o transgrede una norma percibida. Unidad: persona/incidente; universo: usuarios de redes en Mexico.	Ningun instrumento del corpus pregunta por funa/cancelacion como sancion coordinada a quien sobresale. El corpus tiene un proxy parcial: MOCIBA 2015 (Modulo sobre Ciberacoso) item P2_3 publicar informacion vergonzosa, falsa o intima que dane la reputacion -- mide ciberacoso general, no distingue motivo (envidia/transgresion percibida) ni si el blanco sobresalia economica o socialmente; no equivale a funa como mecanismo de nivelacion.	persona/incidente digital; universo no definido por el report para Mexico	MOCIBA 2015 (proxy parcial, no equivalente)	mociba_2015_mociba2015_fd|d22b978b21b40464727e4218fcb42b2a7d255f7e418451e9144883962e6743d2 (P2_3, hoja TCiberacoso, fila 37)	3. Publicar informacion vergonzosa, falsa o intima que dane la reputacion o las amistades (mensajes, imagenes o videos) -- P2_3, MOCIBA 2015, tciberacoso.dbf; codigos por extraer de mociba2015_fd.xlsx hoja TCiberacoso fila 37.	NO-MEDIBLE-POR-DISEÑO	Se busco explicitamente funa (0/113780) y cancelacion (0/113780); el unico hallazgo relacionado (MOCIBA 2015 P2_3, ciberacoso) mide dano reputacional general por difusion de informacion, sin motivo ni si el blanco sobresalia economicamente -- no es la funa como mecanismo de nivelacion horizontal que describe el report. No se identifico instrumento que mida la afirmacion especifica tras este recorrido; no equivale a imposibilidad universal.	SIN-ID-MANIFIESTO para funa especificamente; MOCIBA 2015 existe pero mide otro componente (mociba_2015_mociba2015_bd_dbf|2e55f731d7e164337e6be15651b7e8e3848084502c5d3169e69a2fe4211e7faa)		ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-DIGITAL	si se quiere medir funa especificamente, se requiere corpus de incidentes (UNAM/Corriente Alterna, plataformas) que el propio report senala como pendiente (LECTURA-916eb783-08); MOCIBA queda como proxy parcial para ciberacoso general.	CONC-FUNA-CANCELACIONDIGITAL		u0busca -q funa -> 0/113780; -q cancelacion -> 0/113780; -q reputacion -> 5/113780 (incluye MOCIBA P2_3, citado).	SANCION_SOCIAL	Cambiaria si un modulo mexicano con reactivo directo sobre escarnio publico coordinado (motivo, blanco, alcance) mostrara prevalencia y patron de nivelacion hacia quien sobresale.
ASTRA5-U0-SANC-010	sancion-horizontal-009	LECTURA-916eb783-09;SANCION-INTERNO-02	L31 Resumen ejecutivo, hallazgo 9	El migrante de retorno que regresa con dinero es un caso paradigmatico: su prosperidad lo convierte en blanco tanto de envidia comunitaria como de victimizacion criminal (secuestro por remesas, extorsion), lo que racionaliza el ocultamiento.	MEDIO	INTERPRETACION-DEL-REPORT	mixta (casos/prensa + estructura de datos ENADID+ENVIPE)	(a) identificacion de migrantes de retorno (medible); (b) su victimizacion criminal diferencial (parcialmente construible cruzando encuestas distintas); (c) ocultamiento intencional de riqueza por miedo a la envidia (no medible, sin reactivo).	ENADID 2023 identifica condicion de retorno a Mexico (variable cond_resid) pero es una encuesta demografica distinta de ENVIPE (victimizacion); no hay instrumento unico que cruce retorno+victimizacion+ocultamiento en la misma persona. El componente (c) -ocultamiento deliberado por miedo a la envidia- no tiene reactivo en ningun instrumento del corpus.	persona migrante de retorno; universo ENADID 2023 (identificacion) vs ENVIPE (victimizacion), instrumentos distintos	ENADID 2023 (identificacion de retorno); ningun instrumento cruza retorno+victimizacion+ocultamiento	enadid2023_fd_xlsx|d56582b7ace04e2c13a1b9ea22aeea458d7b9cc02a21241e5fda29fe12b4f34c (hoja TMIGRANTE, fila 240, variable cond_resid)	Condicion de retorno a Mexico -- variable cond_resid, ENADID 2023, TMIGRANTE; codigos por extraer de enadid2023_fd_xlsx hoja TMIGRANTE fila 240.	MEDIBLE-CON-ADQUISICIÓN	El componente (a) identificacion de migrantes de retorno SI esta EN-CORPUS (ENADID 2023, variable cond_resid citada literalmente); pero (b) su victimizacion criminal diferencial requeriria cruzar con ENVIPE u otra fuente (no hay instrumento unico que combine ambas variables en la misma persona) y (c) el ocultamiento intencional de riqueza por miedo a la envidia no tiene reactivo en ningun instrumento revisado (u0busca migrante de retorno -> 20 aciertos, ninguno sobre ocultamiento; envidia -> 0). Se marca CON-ADQUISICION por (a)+(b) con faltante de diseno de cruce; (c) queda declarado no medible en esta misma fila.	enadid2023_base_datos_csv|995d448ab298251d441e437fc4a368f84879a8b74fa7bc103dc189434cbfaa18|raiz data_raw; U0 no abrio microdato		ninguna corrida con enadid2023_base_datos_csv (u0mf --calc: 0)	ASTRA5-MESA-MIGRACION	disenar cruce ENADID (retorno) + ENVIPE (victimizacion) por entidad/ano como aproximacion ecologica (no a nivel de persona, encuestas distintas); el componente de ocultamiento intencional carece de instrumento y requeriria encuesta ad hoc.	CONC-ENADID2023-MIGRANTERETORNO		u0busca -q "migrante de retorno|migrantes de retorno|retorno" -> 20/113780 (incluye ENADID2023 cond_resid citado); -q envidia -> 0/113780.	MIGRACION	Cambiaria si un cruce ENADID-ENVIPE por entidad mostrara mayor victimizacion entre municipios de alta migracion de retorno, o si una encuesta directa a retornados no mostrara ocultamiento intencional de bienes.
