id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-112051b2-01	corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md:L13	Meta económica de largo plazo observable; efecto causal de estabilidad de ingreso y comparación por nacionalidad sin identificar	ASTRA5-U0-TIME-001	MIXTA-CIFRA-CONTRATADA-MECANISMO-PENDIENTE	¿P4_6_4 cambia con estabilidad real de ingreso, manteniendo segmento y temporalidad? P4_3 solo pregunta suficiencia mensual.	enif2024_cuestionario_pdf;enif2024_fd_xlsx;falta serie/panel de volatilidad de ingreso y comparación multinacional verificable	ASTRA5-U1	Conservar P4_6_4 como descriptiva; localizar medidor longitudinal de volatilidad y no atribuirle causalidad a P4_3.
LECTURA-112051b2-02	corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md:L14	Informalidad 2024 T3 contratada; 55.2% de 2026 y TIL1 urbana 42.9% son estimandos/olas distintos; irracionalidad de planear no observada	ASTRA5-U0-ENOE-001	MIXTA-OLA-RESERVADA	¿Qué variables y denominador oficiales producen TIL1 urbano y la tasa de la ola 2026 citada?	enoe_2024_3t_csv;enoe_cuestionario_basico_v7_pdf;boletines ENOE 367/26 y 198/25; microdato ola ENOE reciente reservado	ASTRA5-U1	Verificar boletín/definición TIL1 sin abrir ola reservada; no transferir RESULT 2024 T3 a anual 2024 ni 2026.
LECTURA-112051b2-03	corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md:L15	Puntualidad laboral frente a social en la misma persona; sanción como causa		PENDIENTE-FUENTE-PRIMARIA	¿Cuál fue el texto de las preguntas y el marco de selección del sondeo OCCMundial de >3200 profesionistas que reporta 72%/80%/38%?	sondeo OCCMundial julio-agosto, difundido circa 2016; boletín/cuestionario originales no localizados; el report lo cita en L68,L96	ASTRA5-U1	Solicitar instrumento/tablas al autor OCCMundial y comprobar si las comparaciones corresponden a las mismas personas; no usar representatividad nacional ni atribuir causalidad a sanción.
LECTURA-112051b2-04	corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md:L16	Uso lingüístico de «ahorita» y obligación contextual		PENDIENTE-DISEÑO	¿Qué corpus o experimento mexicano codifica el uso de «ahorita», situación y cumplimiento posterior?	Diccionario del español de México citado en report:§4 Patrón A; corpus/experimento conductual por identificar	ASTRA5-U1	Separar descripción lexicográfica de predicción conductual; localizar corpus de uso con universo y codificación antes de dictamen.
LECTURA-112051b2-05	corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md:L17	Expectativas ENIF 68.2/67.3, afore 42.2 y aportación 7.9 contratadas; ausencia de vehículos confiables no se sigue de ellas	ASTRA5-U0-FIN-004;ASTRA5-U0-FIN-006	MIXTA-CIFRAS-CONTRATADAS-MECANISMO-PENDIENTE	¿Qué reactivo mide confiabilidad percibida de vehículos de retiro y vincula esa percepción con no aportación?	enif2024_cuestionario_pdf §9 P9_1/P9_3/P9_9; posible módulo de confianza ENIF por cotejar con FD	ASTRA5-MESA-DINERO	Cotejar motivo/confianza de retiro en cuestionario completo; no deducirlo de tenencia o expectativa.
LECTURA-112051b2-06	corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md:L18	Teoría de escasez como mecanismo psicológico para México		PENDIENTE-TRANSPORTE	¿Qué estudio mexicano observa escasez, atención/tunelización y decisión temporal en la misma unidad?	Mullainathan y Shafir 2013 citado en report:§2; estudio mexicano de mecanismo por identificar	ASTRA5-U1	Registrar como marco importado; localizar estudio mexicano o diseñar prueba específica antes de transportarlo como hallazgo nacional.
LECTURA-112051b2-07	corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md:L19	Percepción de inseguridad urbana y desplazamiento son contextos; acortamiento de horizonte e hipervigilancia son hipótesis		PENDIENTE-SEPARAR-FUENTES	¿Qué pregunta ENSU 4T-2025 mide percepción de inseguridad y qué fuente primaria define los 28,900 desplazados de 2024? ¿Existe medidor del horizonte bajo amenaza?	ENSU 4T-2025 cuestionario/FD/dato por cotejar en manifiesto; informe «Travesías forzadas» Ibero/ACNUR citado en report; instrumento de horizonte por identificar	ASTRA5-U1	Separar dos cifras de contexto y una hipótesis; verificar universo urbano y metodología del informe; no presentar causa psicológica como observada.
LECTURA-112051b2-08	corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md:L20	39.7/18.2 horas y brecha 21.5 con localidad; inferencia sobre planeación separada	ASTRA5-U0-TIME-002	MIXTA-HORAS-CONTRATADAS-MECANISMO-PENDIENTE	¿TRAB_NO_REM_VOL reproduce el agregado publicado con denominador/ceros oficiales y qué medición vincula horas con capacidad de planear?	enut2024_cuestionario_pdf;enut2024_diseno_muestral_pdf en #1090;enut2024_fd_xlsx TVAR_CREA filas 35/181	ASTRA5-U1	Integrar #1090, fijar fórmula/universo en CAJA y buscar medidor distinto para planeación; no usar horas como sustituto.
LECTURA-112051b2-09	corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md:L21	Validez y transporte de Hall/Hofstede; puntajes nacionales no son conducta individual		PENDIENTE-FUENTE-MARCO	¿Qué diseño, muestra, año y pregunta originaron 97 de Indulgencia y 24 de Orientación a Largo Plazo para México?	Hall 1959/1983; Hofstede fuentes originales; correcciones-vigentes-v1_0.tsv	ASTRA5-U1	Conservar degradación vigente de Hofstede; documentar fuente y universo originales sin presentarlos como medición mexicana actual.
LECTURA-112051b2-10	corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md:L22	Narrativa «el mexicano no sabe planear» rechazada por el report		NO-AFIRMACION-POSITIVA	¿Qué falsador correspondería a una afirmación positiva de incapacidad nacional? El report no la sostiene.	report L22 y §3 Narrativa popular	ASTRA5-U1	Conservar como corrección de mito; no crear contrato de medición afirmativa ni contarla como hallazgo favorable.
