id_afirmacion	fila_local	unidades	localizador	texto_vigente	tier_report	clase	procedencia_evidencia	componente_contrastable	limite_inferencial	conducta_unidad_universo	instrumento_ola	documento_id_hash_pagina	pregunta_textual_codigo_respuestas	dictamen	dictamen_razon	datos_id_estado	reserva	gen2_existente	propietario_propuesto	siguiente_operacion	dedup_concepto	contrato_existente	busqueda_a13	dominio	falsador
ASTRA5-U0-ASPIR-001	aspiracional-001	LECTURA-76a7b8ac-01	L15	IMPORTANTE — PASO 0 no completado por ausencia de fuentes. Los documentos del proyecto citados NO se encontraron en el Google Drive accesible; las definiciones verbatim de «perfiles 2 y 3», «generador G2» y las reglas SI-ENTONCES no pudieron extraerse; se reconstruyen mínimamente a partir del propio encargo.	NO-EXPLÍCITO	MARCO-TEORICO	(c) marco importado/extranjera (constructo psicológico sin fuente primaria mexicana operacionalizada)	Existencia de una definición operacional verbatim de «perfiles 2/3» y «generador G2» en los documentos del proyecto o en algún instrumento de medición mexicano	Sin definición operacional no hay variable observable que contrastar; la reconstrucción que hace el propio forense no es el texto canónico del modelo	No aplica: afirmación sobre el estado de la documentación del proyecto, no sobre conducta de personas o empresas	Ninguno; se buscó en corpus/reports/ (los tres reports que el encargo cita, ya presentes en el repo) y en todo el repo (glosario-corregido-v2)	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md (L64,L384 «consumo compensatorio»); corpus/reports/Behavioral_Finance_Mexicano__...md (L67,L92,L152); corpus/reports/El_Clasemediero_Mexicano__...md (0 aciertos)	No aplica: no es pregunta de instrumento, es definición teórica interna del modelo de decisión	NO-MEDIBLE-POR-DISEÑO	Constructo (perfiles 2/3, generador G2) sin definición operacional verbatim en ningún instrumento recorrido. Esta sesión leyó los tres reports locales citados por el encargo (corrección vigente L15,L129: ya existen en corpus/reports/) y no contienen definición operacional de G2/perfiles, solo menciones de «consumo compensatorio» citando Velandia-Morales 2022 (muestra española, marco importado). glosario-corregido-v2 no localizado en el repo. No se identificó instrumento tras este recorrido; no equivale a imposibilidad universal.	SIN-ID-MANIFIESTO (no es dato de encuesta; es documentación de proyecto ausente del corpus y del Drive)	ninguna	ninguna corrida con <payload_id> (u0mf --calc: no aplica, sin payload_id)	ASTRA5-MESA-CONSUMO	Releer completos (no solo grep) los tres reports ya localizados en corpus/reports/ por si contienen definición operacional en prosa no capturada por el patrón de búsqueda; localizar glosario-corregido-v2 fuera del repo (Drive del proyecto)	CONC-DOC-GLOSARIOCORREGIDOV2		command grep -n --binary-files=text -iE 'G2|perfil 2|perfil 3|generador|consumo compensatorio|señalizaci[oó]n de estatus' sobre los 3 reports locales -> 2 aciertos (consumo compensatorio, sin definición operacional de G2/perfiles); command grep -rli --binary-files=text 'glosario-corregido' . -> 17 aciertos, todos en tracking del propio forense/rescate, ninguno es el glosario	CONSUMO	Cambiaría si el glosario-corregido-v2 o una lectura completa de los tres reports contuviera una definición operacional explícita de G2/perfiles 2/3 con criterios de clasificación por persona.
ASTRA5-U0-ASPIR-002	aspiracional-002	CAND-76a7b8ac-L5	L5	En la mayoría de los casos con métricas de venta duras, la variable estructural (precio, ubicación, crédito, escala, ejecución omnicanal, timing, falta de competencia) resultó tan o más decisiva que la variable psicológica (aspiración/estatus/dignidad). El estatus como driver decisivo aislado sobrevive con fuerza en muy pocos casos.	NO-EXPLÍCITO	INTERPRETACION-DEL-REPORT	mixta (9 casos de empresas que operan en México, documental BMV/NYSE/Nasdaq + narrativa de estrategia)	Juicio cualitativo, caso por caso, de si el driver «estructural» domina sobre el driver «psicológico» en 9 decisiones de compra/estrategia empresarial	Síntesis narrativa de 9 casos sin ponderación estadística ni contrafactual agregado; recombina veredictos ya dictaminados caso por caso; en ningún caso se mide la variable psicológica en la persona consumidora (se infiere de la estrategia de la empresa, no de una encuesta)	No aplica: síntesis de 9 casos empresariales, no una conducta observable única	No aplica	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md:L5	No aplica	NO-MEDIBLE-POR-DISEÑO	Síntesis que recombina los 9 casos ya dictaminados en filas propias (aspiracional-011 a 019); no hay diseño que compare el «peso» de la variable estructural vs psicológica en una sola prueba: cada caso es un episodio único de una empresa sin grupo de control. Los componentes descriptivos (cifras BMV/NYSE por caso) están en las filas de cada caso.	SIN-ID-MANIFIESTO	ninguna	ninguna corrida con <payload_id> (u0mf --calc: no aplica, sin payload_id)	ASTRA5-MESA-CONSUMO	No aplica; ver filas de cada caso (aspiracional-011 a 019)	CONC-DOC-ASPIRACIONAL-SINTESIS-TLDR		Recorrido de las secciones (3) y (4) del report (los 9 casos) y de P2/P3 (L6-7); sin búsqueda adicional por ser síntesis de contenido ya recorrido.	CONSUMO	Cambiaría si un diseño con contrafactual (experimento de campo o panel con variación exógena en precio/crédito) mostrara que el componente psicológico predice compra por encima del estructural, controlando por precio/crédito/escala.
ASTRA5-U0-ASPIR-003	aspiracional-003	CAND-76a7b8ac-L6;TIER-76a7b8ac-L85;ASP-CASO-07	L6;L85-L91	El test más limpio (iPhone a mensualidades) demuestra que la aspiración de estatus en gama alta es estructuralmente DEPENDIENTE del crédito: sin las 24 mensualidades sin intereses, el segmento C+/C no accedería. Aislabilidad: AISLABLE — este es el test directo del encargo. CONFIRMA que la aspiración existe Y CONFIRMA que es estructuralmente dependiente del crédito.	FUERTE	INTERPRETACION-DEL-REPORT	mixta (analistas de mercado sobre México + datos de penetración/envíos de terceros, sin dato de la persona consumidora)	Que la adopción de iPhone en el segmento C+/C sea causalmente dependiente del esquema de 24 MSI (comparación de adopción entre cohorte elegible y no elegible al mismo precio/equipo)	Ninguna serie citada (AppsFlyer, Omdia, CIU) compara acceso con y sin financiamiento para el mismo segmento; el crédito es mecanismo plausible pero el efecto marginal no está identificado (no hay grupo elegible vs. no elegible observado)	Persona; compradores de smartphone gama alta en México, segmento AMAI C+/C, sin ola ni universo muestral declarado (cifras de penetración/envíos, no encuesta poblacional)	Ninguno recorrido mide marca de celular ni uso de MSI por marca; ENIF 2015 mide uso de tarjeta de crédito/departamental para compras en tiendas, sin marca ni esquema MSI (ver fila aspiracional-005)	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md:L85-L91	No aplica: ningún instrumento del corpus pregunta por marca de celular o uso de meses sin intereses (u0busca -q 'meses sin intereses' -> 0; -q '24 mensualidades' -> 0; -q iPhone -> 0)	NO-MEDIBLE-POR-DISEÑO	Corrección vigente (L5,L85-L91): las series de penetración/envíos y las declaraciones de analistas no comparan acceso con y sin financiación para el mismo segmento; el crédito es mecanismo plausible, el efecto marginal no está identificado. Exige un contrato causal de elegibilidad/tasa de financiamiento y compra antes de dictaminar necesidad del crédito, que ningún instrumento recorrido ni documento web de este lote provee. No se identificó instrumento tras este recorrido; no equivale a imposibilidad universal.	SIN-ID-MANIFIESTO	ninguna	ninguna corrida con <payload_id> (u0mf --calc: no aplica, sin payload_id)	ASTRA5-MESA-DINERO	Diseñar/localizar un contraste elegible-vs-no-elegible a MSI por segmento AMAI, mismo precio/equipo (Telcel/AT&T condiciones de financiación no publican elegibilidad individual)	CONC-DOC-IPHONE-MSI-CAUSAL		u0busca -q 'meses sin intereses' -> 0 aciertos; -q '24 mensualidades' -> 0; -q iPhone -> 0; -q 'marca del celular'/'marca de su celular'/'sistema operativo' -> 0 (de 113780 identidades con texto); u0mf --busca telcel/att -> sin coincidencias directas a MSI	DINERO	Cambiaría si un estudio (propio de Telcel/AT&T, Apple, Condusef o académico) comparara adopción de iPhone entre cohortes elegibles y no elegibles a 24 MSI, mismo precio/equipo, y mostrara que la brecha desaparece sin financiamiento.
ASTRA5-U0-ASPIR-004	aspiracional-004	TIER-76a7b8ac-L85;ASP-CASO-07	L88	Según Expansión (30-abr-2026), citando AppsFlyer, «la penetración de iPhone pasó de alrededor de 10% a 31%… impulsada por mayores facilidades de financiamiento y su carácter aspiracional». En envíos trimestrales, Apple subió de 9% (2025) a 17% (2026) con el iPhone 17 (Omdia); The CIU sitúa a Apple 3er lugar con 12-15% histórico.	FUERTE	CIFRA-PUBLICADA	mixta (firmas de analítica/mercado global —AppsFlyer, Omdia, The CIU— con cifra específica de México, solo accesible vía prensa en este lote)	Participación/penetración de iPhone en el parque de smartphones en México por trimestre/año (AppsFlyer, Omdia, The CIU)	Cifra de mercado agregada (no persona-nivel); no distingue causa de adopción (crédito, deseo, recambio) ni segmento AMAI con desagregación pública	Empresa/mercado; parque de smartphones vendidos/activos en México, sin ola ni fecha de corte uniforme entre las tres fuentes citadas	AppsFlyer (reporte de penetracion de apps/dispositivos; appsflyer.com/press-releases y appsflyer.com/resources/reports/state-of-app-marketing/ revisados, sin pieza especifica MX localizada); Omdia (tracker trimestral de envios; omdia.tech.informa.com/pr con acceso bloqueado 403 Forbidden); The CIU (theciu.com confirmado como consultora real de telecomunicaciones en Mexico, con grafica de participacion de smartphones, sin informe con URL propia localizado)	No confirmado tras dos pasadas: 1a pasada WebSearch (Expansion 30-abr-2026, 9to5mac 21-may-2026, roastbrief) es prensa/portales que citan a AppsFlyer/Omdia/CIU, no el documento primario; 2a pasada WebFetch directo a appsflyer.com/press-releases (404), appsflyer.com/resources/reports/state-of-app-marketing/ (404), theciu.com (organizacion confirmada, sin URL de reporte especifico), omdia.tech.informa.com/pr (403 Forbidden). Ningun documento primario de AppsFlyer/Omdia/The CIU identificado con URL propia.	No aplica	MEDIBLE-CON-ADQUISICIÓN	EXISTENCIA-NO-COMPROBADA tras 4 consultas WebFetch (WebSearch de sesion agotado): appsflyer.com/press-releases -> 404; appsflyer.com/resources/reports/state-of-app-marketing/ -> 404; theciu.com -> confirma que The CIU es consultora mexicana real de telecomunicaciones, con grafica 'Participacion de Smartphones - % Total de lineas moviles' pero sin informe especifico con URL propia sobre penetracion historica de iPhone; omdia.tech.informa.com/pr -> 403 Forbidden. No se localizo el reporte/comunicado primario de AppsFlyer, Omdia ni The CIU que sostenga 10%->31% ni 9%->17%. El componente (participacion de iPhone en ventas/envios de smartphones en Mexico) sigue siendo observable por instrumentos identificados (trackers comerciales de estas tres firmas, con emisor confirmado) aunque el documento exacto no quedo acreditado en este lote.	SIN-ID-MANIFIESTO	ninguna	ninguna corrida con <payload_id> (u0mf --calc: no aplica, sin payload_id)	ASTRA5-MESA-CONSUMO	Con acceso a WebSearch: localizar el reporte/comunicado primario de AppsFlyer (p.ej. 'State of Mobile Marketing' LATAM), el tracker trimestral de Omdia con desglose por marca en Mexico (probar acceso alterno a omdia.tech.informa.com sin bloqueo de bot), y el informe/ficha de The CIU (seccion 'Documentos de analisis' de theciu.com) citados por el report; confirmar existencia y fecha exactas antes de cotejar 10%->31% y 9%->17%.	CONC-DOC-APPSFLYER-OMDIA-CIU-IPHONE-MX		1a pasada: WebSearch 'AppsFlyer penetracion iPhone Mexico 2026 financiamiento Expansion Omdia envios' (2026-09-24) -> solo prensa/portales (expansion.mx, 9to5mac.com, roastbrief.com.mx), ningun documento primario localizado. Segunda pasada 2026-09-24 (WebFetch; WebSearch de sesion agotado): appsflyer.com/press-releases -> 404; appsflyer.com/resources/reports/state-of-app-marketing/ -> 404; theciu.com -> confirma organizacion real, sin reporte especifico enlazado; omdia.tech.informa.com/pr -> 403 Forbidden. 4 consultas adicionales, 0 documentos primarios acreditados.	CONSUMO	Cambiaría si se localiza el reporte primario de AppsFlyer u Omdia con la cifra exacta y metodología, o si el dato solo existe en prensa y nunca se corrobora con la fuente primaria.
ASTRA5-U0-ASPIR-005	aspiracional-005	ASP-CASO-07;ASP-REGLA-04	L85-L91;L127-L131	6.14 ¿Usted utiliza su(s) tarjeta(s) de crédito bancaria(s) o departamental(es) para… 2 hacer compras en establecimientos comerciales, tiendas o restaurantes?	NO-EXPLÍCITO (rige el componente de oferta de crédito de los casos iPhone y Regla 4, sin tier propio en el report)	CIFRA-PUBLICADA	(a) primaria México	Persona 18+ que declara usar tarjeta de crédito bancaria o departamental para comprar en tiendas/restaurantes (proxy de oferta/uso de crédito al consumo, sin marca ni esquema MSI)	No identifica marca de tienda, monto, esquema de mensualidades ni motivo de la compra (aspiración/estatus vs. necesidad); no cubre tarjetas no bancarias/no departamentales ni crédito informal	Persona; usuarios de servicios financieros 18+, ENIF 2015, nacional (diseño complejo de la encuesta, no verificado en este lote)	enif2015 (ola 2015)	enif_2015_enif_2015_fd|8233cf53f59049660aa894d6a0bb93412f5a484fa96ede80c8f018ed3a250cc5|hoja=TModulo2;fila=229,232	P6_14_1/P6_14_2, variable p6_14_1/p6_14_2 en tmodulo2.sav; códigos de respuesta por extraer de enif_2015_enif_2015_fd (hoja TModulo2)	MEDIBLE-EN-CORPUS	Pregunta y variable con payload_id real en el manifiesto (enif_2015_enif_2015_bd_sav), texto literal copiado de u0busca, universo declarado (usuarios de servicios financieros 18+, ENIF 2015). Sirve como proxy de oferta de crédito al consumo (§ oferta antes que preferencia) para el mecanismo que el caso iPhone/Regla 4 atribuye al crédito, sin poder aislar marca ni esquema MSI.	enif_2015_enif_2015_bd_sav|e785205ca9aace206d57e78350e2e3ba4b1b1827d6791d11e2716f5063ca6859|raíz data_raw; U0 no abrió microdato	ninguna	ninguna corrida con enif_2015_enif_2015_bd_sav (u0mf --calc: 0/326)	ASTRA5-MESA-DINERO	Extraer códigos de respuesta de p6_14_1/p6_14_2 (hoja TModulo2, fd) y tabular tenencia de tarjeta departamental/bancaria como cota de oferta de crédito al consumo, sin imputar marca ni estatus	CONC-ENIF2015-P6_14		u0busca -q 'P6_14' --encuesta enif --ola 2015 -> 5 aciertos con texto (tmodulo2.sav/DBF, TModulo2 fd); u0busca -q 'tarjeta departamental' -> 4 aciertos (enfih2019 P8_12/MTO_TCRD); u0mf --calc enif_2015_enif_2015_bd_sav -> 0/326	DINERO	Cambiaría si al extraer los códigos, la mayoría de tenedores de tarjeta departamental/bancaria declara NO usarla para compras en tiendas (la oferta de crédito no se traduciría en uso observado).
ASTRA5-U0-ASPIR-006	aspiracional-006	ASP-REGLA-04	L127-L131	EL MÁS DÉBIL / mayormente ROTO como driver DECISIVO AISLADO. […] la baja movilidad se expresa a través de instrumentos financieros (crédito al consumo, mensualidades sin intereses, membresías) que habilitan el gasto aspiracional — es decir, G2 opera mediado por la estructura de crédito, no como impulso psicológico directo.	NO-EXPLÍCITO	INTERPRETACION-DEL-REPORT	mixta (recombinación de los 9 casos + marco teórico importado masstige/Veblen)	Que el consumo compensatorio de estatus (G2/perfiles 2/3) sea un driver psicológico directo del gasto observado, vs. mediado por crédito	Recombina veredictos de los 9 casos ya dictaminados; G2/perfiles no tienen definición operacional (ver aspiracional-001), así que «mediado por crédito» es una relectura del propio forense, no un contraste con el modelo canónico	No aplica: síntesis teórica, no una conducta observable única	No aplica	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md:L127-L131	No aplica	NO-MEDIBLE-POR-DISEÑO	Recombina los 9 casos (ya dictaminados en filas propias) contra un constructo (G2) sin definición operacional (fila aspiracional-001); no hay instrumento que mida «consumo compensatorio» como impulso psicológico distinto de la variable estructural. No se identificó instrumento tras este recorrido; no equivale a imposibilidad universal.	SIN-ID-MANIFIESTO	ninguna	ninguna corrida con <payload_id> (u0mf --calc: no aplica, sin payload_id)	ASTRA5-MESA-CONSUMO	Diseñar contraste individual de mecanismo (persona, no venta agregada) una vez localizada la definición operacional de G2/perfiles (fila aspiracional-001)	CONC-DOC-ASPIRACIONAL-REGLA4-G2		Mismas búsquedas que aspiracional-001 (grep sobre 3 reports locales, glosario-corregido); sin búsqueda adicional.	CONSUMO	Cambiaría si un panel individual (compra, crédito, estatus autodeclarado) mostrara que personas con baja movilidad social gastan más en estatus AUN controlando por acceso a crédito.
ASTRA5-U0-ASPIR-007	aspiracional-007	ASP-REGLA-01	L118-L119	Veredicto: NO VALIDADA con métrica de venta; el caso ancla (Mamá Lucha) NO es evidencia conductual. Mamá Lucha es un personaje publicitario de Bodega Aurrera […] no una métrica de decisión de compra. El premio Effie (2007) y el reconocimiento IMPI «Marca Famosa» son premios de publicidad/marca, explícitamente excluidos como evidencia conductual.	NO-EXPLÍCITO	INTERPRETACION-DEL-REPORT	(a) primaria México (campaña publicitaria mexicana), sin dato de decisión de compra	Que la «dignidad»/calidad percibida (vs. precio más bajo) explique la decisión de compra en el segmento D/E, usando Mamá Lucha/Bodega Aurrera como caso	Un personaje publicitario y un premio de marca no son medida de elasticidad precio-calidad ni de participación de mercado; el propio report reconoce que la métrica real (Bodega Aurrera = precio más bajo) apunta en contra de la regla	Hogar/persona; segmento D/E y C-, sin ola ni panel de compra declarado	Ninguno recorrido mide elasticidad precio-calidad por marca en D/E; Kantar/NielsenIQ (panel de hogares) no es parte del corpus y no se abrió en este lote	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md:L118-L119	No aplica	NO-MEDIBLE-POR-DISEÑO	Caso único (campaña publicitaria) sin contrafactual ni panel de participación de mercado; el propio report retira el caso como evidencia conductual. Nota de deduplicación vigente (MAMA-LUCHA-FORENSES): el forense hermano «Apuestas Conductuales» dictamina ACIERTA para Mamá Lucha en calidad/dignidad — contradicción que se conserva, no se resuelve por conveniencia (regla: premio Effie y proporción de tiendas no son decisión de compra aislada).	SIN-ID-MANIFIESTO	ninguna	ninguna corrida con <payload_id> (u0mf --calc: no aplica, sin payload_id)	ASTRA5-MESA-CONSUMO	Encargar/localizar panel de hogares D/E (Kantar Worldpanel o NielsenIQ) con elasticidad precio-calidad ajustada; conservar la contradicción con el forense de Apuestas Conductuales hasta que exista ese panel	CONC-DOC-MAMALUCHA-REGLA1		Lectura de §5 Regla 1 del report; cruce con deduplicacion-v1_0.tsv (MAMA-LUCHA-FORENSES); sin búsqueda web adicional (presupuesto del lote agotado en casos con documento BMV/NYSE).	CONSUMO	Cambiaría si un panel de hogares D/E con precio ajustado por calidad percibida mostrara que la marca «digna» gana share frente a la más barata (umbral que el propio report propone en Recomendación 3).
ASTRA5-U0-ASPIR-008	aspiracional-008a	ASP-CASO-09;ASP-REGLA-02	L103-L109	Costco (AUDITADO, Nasdaq): 40 almacenes en México (FY2024); VMT internacional (incl. México) +8.1% ajustado en FY2025. Sam's Club (AUDITADO consolidado Walmex, SIN desglose por formato): Walmex cita reiteradamente a Sam's como formato líder o co-líder en VMT México en 2023, 2024 y 2025 (p. ej., 1T2025: «el formato con mejor desempeño fue Sam's Club»).	NO-EXPLÍCITO (Par 1 central para Regla 2, sin marca de tier explícita propia en el report)	CIFRA-PUBLICADA	mixta (Costco: emisora extranjera con operación en México, cifra internacional no desglosada por país; Walmex: emisora mexicana, Sam's sin desglose propio por formato)	Crecimiento/participación de Costco y Sam's Club en México, cada uno según su propia métrica auditada (Costco FY2025 10-K; Walmex reportes trimestrales BMV)	Costco no desglosa México dentro de «Other International» en el 10-K; Walmex no publica VMT/número de clubes de Sam's por formato de forma auditada — solo lo menciona cualitativamente como líder de crecimiento	Empresa; clubes de membresía operando en México, FY2025 (Costco, cierre agosto 2025) y 1T/3T2025 (Walmex/Sam's)	Costco 10-K FY2025 (SEC EDGAR); Walmex reportes trimestrales BMV 1T2025 y 3T2025	Costco 10-K FY2025: sec.gov/Archives/edgar/data/909832/000090983225000101/cost-20250831.htm (confirmado por WebSearch 2026-09-24); Walmex 1T25: files.walmex.mx/upload/files/2025/ES/Trimestral/1T25/WALMEX_1T25_BMV.pdf; Walmex 3T25: .../3T25/Walmex_Reporte_de_Resultados_3T25.pdf (confirmados por WebSearch 2026-09-24)	No aplica (documento financiero corporativo, no cuestionario de encuesta)	MEDIBLE-CON-ADQUISICIÓN	Documentos primarios identificados y con texto comprobado en este lote vía WebSearch (Costco 10-K FY2025 en SEC EDGAR: 914 tiendas totales, 42 en México, comparables +6% total/+5% Other International; Walmex 1T25/3T25: Sam's Club citado como formato de mejor desempeño). Cotejo de las cifras específicas citadas por el report (40 almacenes México FY2024, VMT +8.1% ajustado FY2025 de Costco; participación 72% en clubes de precio de Sam's) es residual.	faltante: Costco 10-K FY2025 (SEC EDGAR); Walmex reportes trimestrales BMV 1T2025 y 3T2025; SIN-ID-MANIFIESTO; Costco 10-K confirmado en sec.gov (WebSearch 2026-09-24, no descargado/hasheado); Walmex 1T25/3T25 confirmados en files.walmex.mx (WebSearch 2026-09-24, no descargado/hasheado)	ninguna	ninguna corrida con <payload_id> (u0mf --calc: no aplica, sin payload_id)	ASTRA5-MESA-CONSUMO	Descargar y registrar Costco 10-K FY2025 y Walmex 1T25/3T25 en el manifiesto; cotejar cifra México-específica de Costco (no desglosada en el 10-K, requiere presentación a inversionistas separada) y participación de Sam's en clubes de precio	CONC-DOC-COSTCO-SAMS-PAR1		u0mf --busca costco/walmex -> 0/1680 cada uno; WebSearch 'Costco Wholesale fiscal year 2025 annual report 10-K international Mexico comparable sales' (2026-09-24) -> confirma 10-K en sec.gov; WebSearch 'Walmex Walmart de México reporte trimestral 2025 Sam's Club formato con mejor desempeño' (2026-09-24) -> confirma PDFs oficiales en files.walmex.mx	CONSUMO	Cambiaría si el 10-K o una presentación a inversionistas desglosara México con VMT/tiendas distintas a las citadas, o si Walmex publicara un desglose auditado de Sam's que contradijera el liderazgo en VMT.
ASTRA5-U0-ASPIR-009	aspiracional-008b	TIER-76a7b8ac-L111;ASP-REGLA-02	L121-L122;L109-L110	Veredicto: MATIZADA / parcialmente ROTA. Costco/Kirkland confirma que aislar el premium funciona (y es lo más rentable). PERO Sam's demuestra que se puede ganar más participación de mercado SIN aislarse del descuento […] El «SOLO» es falso.	NO-EXPLÍCITO	INTERPRETACION-DEL-REPORT	mixta (recombina el par Costco/Sam's y el caso Starbucks)	Que el aislamiento del premium respecto del descuento sea condición NECESARIA para el crecimiento de un formato masstige en México	Comparación cualitativa de dos empresas con estrategias, clientelas y estructuras de costos distintas, no un experimento ni un panel de marcas con y sin aislamiento premium bajo condiciones comparables	No aplica: juicio de regla de negocio, no una conducta de persona/hogar observable	No aplica	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md:L121-L122	No aplica	NO-MEDIBLE-POR-DISEÑO	Reformulación de una regla de negocio a partir de un par no controlado (Costco vs. Sam's difieren en escala, clientela y categoría) más el caso Starbucks; no hay panel de formatos comparables con y sin aislamiento premium bajo condiciones similares (pieza pendiente ASP-REGLA-02: métrica auditada comparable por formato México). Las cifras que sostienen el juicio están en la fila aspiracional-008a (MEDIBLE-CON-ADQUISICIÓN).	SIN-ID-MANIFIESTO	ninguna	ninguna corrida con <payload_id> (u0mf --calc: no aplica, sin payload_id)	ASTRA5-MESA-CONSUMO	Tratar la reformulación («el aislamiento del descuento protege margen pero no es necesario para crecer») como hipótesis de mercadotecnia hasta contar con panel comparable por formato	CONC-DOC-ASPIRACIONAL-REGLA2		Mismas búsquedas que aspiracional-008a; ver también aspiracional-013a/013b (Starbucks).	CONSUMO	Cambiaría si un panel de formatos de precio/membresía en México, con y sin aislamiento premium, mostrara crecimiento sistemáticamente mayor en los que sí aíslan (o menor en los que no).
ASTRA5-U0-ASPIR-010	aspiracional-009	TIER-76a7b8ac-L111;ASP-REGLA-03	L111-L112;L124-L125	Par 2: Taco Bell vs. Starbucks (marca extranjera — Regla 3) — [ILUSTRATIVO]. Taco Bell fracasó dos veces (1992; 2007-2010) porque compitió contra un producto de identidad nacional (el taco): «no son tacos, son tostadas dobladas… muy feas» (cliente citado por AP). Starbucks tuvo éxito […] Veredicto Regla 3: CONFIRMADA con una condición de frontera clara.	ILUSTRATIVO	INTERPRETACION-DEL-REPORT	mixta (episodios históricos de EU vs. México, cita de cliente vía agencia de noticias AP — prensa)	Que el fracaso de Taco Bell y el éxito de Starbucks en México dependan de si la categoría invadida por la marca extranjera tiene o no identidad nacional protegida	Dos episodios históricos (1992, 2007-2010 vs. décadas de Starbucks) sin diseño que aísle «identidad de categoría» de producto/precio/ejecución; el propio report señala que Taco Bell también tuvo problemas de producto/precio/ejecución (nota de confusión, se mantiene ILUSTRATIVO)	No aplica: comparación de dos episodios corporativos, no una conducta de persona/hogar con universo muestral	Ninguno recorrido mide actitud hacia marca extranjera por categoría de identidad nacional; u0busca -q 'marca extranjera' -> 0 aciertos	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md:L111-L112	No aplica	NO-MEDIBLE-POR-DISEÑO	Par no controlado de dos episodios históricos, uno marcado explícitamente ILUSTRATIVO por el propio report con nota de confusión (producto/precio/ejecución de Taco Bell); la cita del cliente proviene de una agencia de noticias (AP), fuente de prensa que este lote no usa como evidencia primaria. No se identificó instrumento (encuesta de identidad nacional por categoría) tras este recorrido; no equivale a imposibilidad universal.	SIN-ID-MANIFIESTO	ninguna	ninguna corrida con <payload_id> (u0mf --calc: no aplica, sin payload_id)	ASTRA5-MESA-CONSUMO	Localizar un estudio de consumidores (no prensa) que mida identidad nacional, intención/compra y respuesta a marca extranjera por categoría, antes de confirmar la frontera causal	CONC-DOC-TACOBELL-STARBUCKS-REGLA3		u0busca -q 'marca extranjera' -> 0 aciertos con texto (de 113780); no se realizó WebSearch adicional sobre Taco Bell (fuente ya es prensa/AP según el propio report, excluida como primaria en este lote).	CONSUMO	Cambiaría si un estudio de consumidores mexicanos midiera actitud/compra hacia marcas extranjeras por categoría (identidad nacional protegida vs. neutral) y no encontrara diferencia sistemática.
