par_id	consumidor	uso	a_estado	a_clase	a_valor	a_fuente	b_estado	b_clase	b_valor	b_fuente	referencias_reproducibles	comparabilidad	causa_comparabilidad	delta_b_menos_a	magnitud_absoluta	unidad	puntos_porcentuales	cambio_relativo	estado_relativo	representacion	modo_representacion	materialidad	criterio_materialidad	resultado
RELEVO-RES-0003-VS-RESULT-ENCIG-MOR-A-P-SOL1	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida_encig2025	relevo GEN1->GEN2 del slot RES-0003 (conducta_p_medido, reglas_impacto=tramite.mordida.discrecional): la cifra que el consumidor materializa hoy frente al RESULT sellado que la spec de CALC-ENCIG-0001 declara que la releva. Adopcion NO ejecutada aqui: este par mide la distancia, no la autoriza.	RESUELTA	FUENTE	0.085118	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.08511814556534456	RESULT-ENCIG-MOR-A-P-SOL1	ACREDITADA	DEMOSTRADA	las ocho dimensiones tienen correspondencia acreditada	1.4556534455589798e-07	1.4556534455589798e-07	proporcion en escala [0,1]	1.4556534455589798e-05		NO-APLICA-POR-CONTRATO	IGUAL-AL-GRANO	grano del consumidor = 6 decimales	NO-MATERIAL	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-CALCULADO · REPRESENTACION-IGUAL-AL-GRANO · MATERIALIDAD-NO-MATERIAL
RELEVO-RES-0004-VS-RESULT-ENCIG-MOR-A-P-NORMAL-SOL1	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal_encig2025	relevo GEN1->GEN2 del slot RES-0004 (conducta_p_medido, reglas_impacto=tramite.mordida.discrecional): la cifra que el consumidor materializa hoy frente al RESULT sellado que la spec de CALC-ENCIG-0001 declara que la releva. Adopcion NO ejecutada aqui: este par mide la distancia, no la autoriza.	RESUELTA	FUENTE	0.914882	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.9148818544346554	RESULT-ENCIG-MOR-A-P-NORMAL-SOL1	ACREDITADA	DEMOSTRADA	las ocho dimensiones tienen correspondencia acreditada	-1.4556534455589798e-07	1.4556534455589798e-07	proporcion en escala [0,1]	-1.4556534455589798e-05		NO-APLICA-POR-CONTRATO	IGUAL-AL-GRANO	grano del consumidor = 6 decimales	NO-MATERIAL	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-CALCULADO · REPRESENTACION-IGUAL-AL-GRANO · MATERIALIDAD-NO-MATERIAL
RELEVO-RES-0005-VS-RESULT-ENCUCI-A-P-CUALQUIERA	milpa/tramite.yaml:tramite.mordida.discrecional:solicitud_o_entrega_mordida_encuci2020	relevo GEN1->GEN2 del slot RES-0005 (conducta_p_medido, reglas_impacto=tramite.mordida.discrecional): la cifra que el consumidor materializa hoy frente al RESULT sellado que la spec de CALC-ENCUCI-0001 declara que la releva. Adopcion NO ejecutada aqui: este par mide la distancia, no la autoriza.	RESUELTA	FUENTE	0.126006	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.12600561008991654	RESULT-ENCUCI-A-P-CUALQUIERA	ACREDITADA	INFORMACION-INSUFICIENTE	informacion insuficiente en: poblacion			proporcion en escala [0,1]			NO-APLICA-COMPARABILIDAD	NO-APLICA-COMPARABILIDAD		NO-DETERMINABLE	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-SUSTANTIVO-RECHAZADO-INFORMACION-INSUFICIENTE
RELEVO-RES-0006-VS-RESULT-ENCUCI-A-P-COMPLEMENTO-CUALQUIERA	milpa/tramite.yaml:tramite.mordida.discrecional:sin_solicitud_y_sin_entrega_encuci2020	relevo GEN1->GEN2 del slot RES-0006 (conducta_p_derivado, reglas_impacto=tramite.mordida.discrecional): la cifra que el consumidor materializa hoy frente al RESULT sellado que la spec de CALC-ENCUCI-0001 declara que la releva. Adopcion NO ejecutada aqui: este par mide la distancia, no la autoriza.	RESUELTA	FUENTE	0.873994	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.8739943899100835	RESULT-ENCUCI-A-P-COMPLEMENTO-CUALQUIERA	ACREDITADA	DEMOSTRADA	las ocho dimensiones tienen correspondencia acreditada	3.899100834425795e-07	3.899100834425795e-07	proporcion en escala [0,1]	3.899100834425795e-05		NO-APLICA-POR-CONTRATO	IGUAL-AL-GRANO	grano del consumidor = 6 decimales	NO-MATERIAL	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-CALCULADO · REPRESENTACION-IGUAL-AL-GRANO · MATERIALIDAD-NO-MATERIAL
RELEVO-RES-0009-VS-RESULT-ENCIG-MOR-B-P-PRE-CD	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_presencial	relevo GEN1->GEN2 del slot RES-0009 (conducta_p_medido, reglas_impacto=tramite.mordida.con_registro): la cifra que el consumidor materializa hoy frente al RESULT sellado que la spec de CALC-ENCIG-0001 declara que la releva. Adopcion NO ejecutada aqui: este par mide la distancia, no la autoriza.	RESUELTA	FUENTE	0.116	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.11596772958189888	RESULT-ENCIG-MOR-B-P-PRE-CD	ACREDITADA	DEMOSTRADA	las ocho dimensiones tienen correspondencia acreditada	-3.2270418101124076e-05	3.2270418101124076e-05	proporcion en escala [0,1]	-0.0032270418101124076		NO-APLICA-POR-CONTRATO	IGUAL-AL-GRANO	grano del consumidor = 3 decimales	MATERIAL	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-CALCULADO · REPRESENTACION-IGUAL-AL-GRANO · MATERIALIDAD-MATERIAL
RELEVO-RES-0010-VS-RESULT-ENCIG-MOR-B-P-NORMAL-PRE-CD	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial	relevo GEN1->GEN2 del slot RES-0010 (conducta_p_derivado, reglas_impacto=tramite.mordida.con_registro): la cifra que el consumidor materializa hoy frente al RESULT sellado que la spec de CALC-ENCIG-0001 declara que la releva. Adopcion NO ejecutada aqui: este par mide la distancia, no la autoriza.	RESUELTA	FUENTE	0.884	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.8840322704181012	RESULT-ENCIG-MOR-B-P-NORMAL-PRE-CD	ACREDITADA	DEMOSTRADA	las ocho dimensiones tienen correspondencia acreditada	3.227041810116571e-05	3.227041810116571e-05	proporcion en escala [0,1]	0.003227041810116571		NO-APLICA-POR-CONTRATO	IGUAL-AL-GRANO	grano del consumidor = 3 decimales	MATERIAL	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-CALCULADO · REPRESENTACION-IGUAL-AL-GRANO · MATERIALIDAD-MATERIAL
RELEVO-RES-0011-VS-RESULT-ENCIG-MOR-B-P-DIG-CD	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_digital	relevo GEN1->GEN2 del slot RES-0011 (conducta_p_medido, reglas_impacto=tramite.mordida.con_registro): la cifra que el consumidor materializa hoy frente al RESULT sellado que la spec de CALC-ENCIG-0001 declara que la releva. Adopcion NO ejecutada aqui: este par mide la distancia, no la autoriza.	RESUELTA	FUENTE	0.027358	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.027355637658224144	RESULT-ENCIG-MOR-B-P-DIG-CD	ACREDITADA	DEMOSTRADA	las ocho dimensiones tienen correspondencia acreditada	-2.3623417758564247e-06	2.3623417758564247e-06	proporcion en escala [0,1]	-0.00023623417758564247		NO-APLICA-POR-CONTRATO	DISTINTO-AL-GRANO	grano del consumidor = 6 decimales	MATERIAL	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-CALCULADO · REPRESENTACION-DISTINTO-AL-GRANO · MATERIALIDAD-MATERIAL
RELEVO-RES-0012-VS-RESULT-ENCIG-MOR-B-P-NORMAL-DIG-CD	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_digital	relevo GEN1->GEN2 del slot RES-0012 (conducta_p_derivado, reglas_impacto=tramite.mordida.con_registro): la cifra que el consumidor materializa hoy frente al RESULT sellado que la spec de CALC-ENCIG-0001 declara que la releva. Adopcion NO ejecutada aqui: este par mide la distancia, no la autoriza.	RESUELTA	FUENTE	0.972642	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.9726443623417759	RESULT-ENCIG-MOR-B-P-NORMAL-DIG-CD	ACREDITADA	DEMOSTRADA	las ocho dimensiones tienen correspondencia acreditada	2.3623417758633636e-06	2.3623417758633636e-06	proporcion en escala [0,1]	0.00023623417758633636		NO-APLICA-POR-CONTRATO	DISTINTO-AL-GRANO	grano del consumidor = 6 decimales	MATERIAL	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-CALCULADO · REPRESENTACION-DISTINTO-AL-GRANO · MATERIALIDAD-MATERIAL
RELEVO-RES-0013-VS-RESULT-ENCIG-MOR-B-P-PRE-SD	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_presencial_r2	relevo GEN1->GEN2 del slot RES-0013 (conducta_p_medido, reglas_impacto=tramite.mordida.con_registro): la cifra que el consumidor materializa hoy frente al RESULT sellado que la spec de CALC-ENCIG-0001 declara que la releva. Adopcion NO ejecutada aqui: este par mide la distancia, no la autoriza.	RESUELTA	FUENTE	0.141041	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.1410407168724654	RESULT-ENCIG-MOR-B-P-PRE-SD	ACREDITADA	DEMOSTRADA	las ocho dimensiones tienen correspondencia acreditada	-2.8312753461157136e-07	2.8312753461157136e-07	proporcion en escala [0,1]	-2.8312753461157136e-05		NO-APLICA-POR-CONTRATO	IGUAL-AL-GRANO	grano del consumidor = 6 decimales	NO-MATERIAL	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-CALCULADO · REPRESENTACION-IGUAL-AL-GRANO · MATERIALIDAD-NO-MATERIAL
RELEVO-RES-0014-VS-RESULT-ENCIG-MOR-B-P-NORMAL-PRE-SD	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial_r2	relevo GEN1->GEN2 del slot RES-0014 (conducta_p_derivado, reglas_impacto=tramite.mordida.con_registro): la cifra que el consumidor materializa hoy frente al RESULT sellado que la spec de CALC-ENCIG-0001 declara que la releva. Adopcion NO ejecutada aqui: este par mide la distancia, no la autoriza.	RESUELTA	FUENTE	0.858959	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.8589592831275346	RESULT-ENCIG-MOR-B-P-NORMAL-PRE-SD	ACREDITADA	DEMOSTRADA	las ocho dimensiones tienen correspondencia acreditada	2.8312753452830464e-07	2.8312753452830464e-07	proporcion en escala [0,1]	2.8312753452830464e-05		NO-APLICA-POR-CONTRATO	IGUAL-AL-GRANO	grano del consumidor = 6 decimales	NO-MATERIAL	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-CALCULADO · REPRESENTACION-IGUAL-AL-GRANO · MATERIALIDAD-NO-MATERIAL
