relacion_id	necesidad_id	fuente_canonica_normalizada	objeto_evidencia_id_canonico	clasificacion_relacion	estado_productivo	uso_actual	evidencia_disponible	reserva	verificacion_requerida	requiere_decision	decision_id	siguiente_accion	evidencia_ref
REL-00e7bd28c9c0db01fd89a3be	N24	ENIF	OE-6ef40dafb8aa2ce4de4aab6f	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	NO_DETERMINADO	Escala/diseño/universo:	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Mapear en el cuestionario y microdato ENIF los reactivos de la necesidad y el desenlace, y comprobar que comparten unidad de observación.	MAIN:data/mapa-fuentes-2026-08-06.tsv:L14
REL-010587549b42b447e0b551cc	N14	ENASIC	OE-39b0e41e519661a192590d66	NEGATIVA	NO_USAR_PARA_RELACION	Exploración/medición descriptiva según reserva; no parámetro definitivo.	'6.45.06 ¿Por que no ha buscado este tipo de servicios o lugares (guarderia, casa del abuelo, asilo, o algun lugar donde otorguen cuidados o realicen actividades o talleres)? Incomodidad o desconfianza de que alguien ajeno lo cuide'	Escala/diseño/universo: binario Si marcado / no marcado (razon de una lista de opcion multiple); NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); confianza/confia = 3 coincidencias, las 3 son la misma pregunta repetida en 3 tablas distintas. Le falta: es desconfianza acotada especificamente a 'que alguien ajeno cuide' (dominio de cuidados), no un radio de confianza general, y no existe ningun desenlace financiero en este instrumento para construir el puente que pide la necesidad 14, 2026-08-08	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	NO_DETERMINADO	MAIN:data/abrir4-variables-2026-08-08.tsv:L21
REL-01ff8326fdbe3c0a4e299a02	N14	ENSAFI	OE-f5415c4f1402e7c66987fbd5	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	EXISTE-NO-SATISFACE	377 reg. del zip BD ENSAFI 2023: 4 miembros, 4 tablas y 369 encabezados de columna; sin diccionario, sin texto de reactivo ni value labels	NO-APLICA: E2 y supervisión BARRIDO-2 verificadas	NO	NO-APLICA	Obtener diccionario oficial y comprobar texto/sentido.	MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md
REL-028de5b919a6739a98cd9289	N12	ENFIH	OE-ccd36853bad165d40420a98b	NEGATIVA	NO_USAR_PARA_RELACION	Exploración/medición descriptiva según reserva; no parámetro definitivo.	'11.1 Si hoy tuviera una urgencia economica igual a lo que gana o recibe en un mes, ¿usted podria pagarla con un prestamo de amigos o familiares?'	Escala/diseño/universo: binario Si/No; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 26 coincidencias de 'familiar', 15 de 'apoyo' (838 variables) -- la enorme mayoria son transacciones conductuales (prestamos ya recibidos de familiares, subsidios de gobierno) o P11_1_5 (capacidad percibida de afrontamiento en UN escenario hipotetico). Le falta: no es una disposicion general de apoyo/familismo, es capacidad percibida de coping en un escenario puntual, 2026-08-08	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	NO_DETERMINADO	MAIN:data/abrir4-variables-2026-08-08.tsv:L12
REL-02a3b065790c80afc38dd59c	N29	REGISTRO_DE_TANDAS_Y_REPUTACION	OE-0c58708f4cb7f7053d9d7a7f	NO_ACCESIBLE	BLOQUEADA_ACCESO	Exploración/medición descriptiva según reserva; no parámetro definitivo.	NO-ACCESIBLE	Escala/diseño/universo:	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	NO_DETERMINADO	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L29
REL-02b8ee6d0e13dfb6dc7d3331	N27	CSES	OE-a56efe10a720cb6696d3271e	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	NO_DETERMINADO	Escala/diseño/universo:	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Abrir codebook y cuestionario México 2018 y documentar variable, codificación y granularidad; cerrar si no aparece el diseño requerido.	MAIN:data/mapa-ext-general-2026-08-06.tsv:L7
REL-02e6e4861871631dd29048bd	N14	02-	OE-2a65c4b42b26b46a976631ac	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	Gradiente de confianza coobservado con dificultad financiera/seguro familiar en la misma muestra.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Resolver ruta PDF.	MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md
REL-04c3943ecb0df7bacdc3c994	N12	ENFIH	OE-826b60a87b39ab2aec89c752	NEGATIVA	NO_USAR_PARA_RELACION	Exploración/medición descriptiva según reserva; no parámetro definitivo.	EXISTE-NO-SATISFACE	Diccionario fd_xlsx completo: 664 variables, 16 hojas; bd solo aporta 527 nombres de columna. 43 reactivos nombran familia/amigos. Sin listas de opciones.	NO-APLICA: E2 y supervisión BARRIDO-2 verificadas	NO	NO-APLICA	Conservar como negativa fuente-específica; buscar un reactivo disposicional solo en una futura fuente ya identificada.	MAIN:data/abrir4-variables-2026-08-08.tsv:L12
REL-055f95a08fee0f508052ddec	N4	ENSAFI	OE-7b029300001a2bf782ba2f34	NEGATIVA	NO_USAR_PARA_RELACION	Exploración/medición descriptiva según reserva; no parámetro definitivo.	[SIN TEXTO DE REACTIVO -- ENSAFI no trae diccionario en este corpus; nombre de columna derivada, hallada por lectura manual del encabezado, no por el barrido de terminos]	Escala/diseño/universo: binaria, valores observados {1,2} en TMODULO.csv (python3+csv); dirección/sentido no verificable sin documentación; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 369 encabezados crudos, terminos riesgo/arriesg/perdida/perder/certidumbre = 0; IMPULSIVID (y GRA_CONTROL) hallados por lectura manual de las ultimas 17 columnas de TMODULO (indices derivados no P-numerados); sin documentacion complementaria en todo el repo (grep -rIl sobre *.md/*.yaml/*.txt, 0 resultados), 2026-08-08. Mismo riesgo de sobre-interpretar nombre sin pregun	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	NO_DETERMINADO	MAIN:data/abrir4-variables-2026-08-08.tsv:L3
REL-0692b43ca9c2f7bb608a2858	N25	EXPERIMENTO_DE_INFORMACION_ELECTORAL_2009	OE-8f2afe044e85aa01a5d1887e	CANDIDATA	PENDIENTE_EVIDENCIA	Exploración/medición descriptiva según reserva; no parámetro definitivo.	Serie municipal pareada por tipo de elección.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	Revisión de equivalencia y codificación antes de parametrizar.	NO	NO_APLICA	Abrir índice/codebook del paquete y verificar nivel municipal, años y tipo de elección; mantener separado efecto experimental de serie municipal.	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:data/catalogo-fuentes-v2_0.md;MAIN:data/cola-aperturas-externas-2026-08-06.tsv
