unidad	tipo	filas_o_contratos	razon
LECTURA-bbdb2e23-01	G	ASTRA5-U0-SALUD-001;ASTRA5-U0-SALUD-002	
LECTURA-bbdb2e23-02	G	ASTRA5-U0-SALUD-003;ASTRA5-U0-SALUD-004	
LECTURA-bbdb2e23-03	G	ASTRA5-U0-SALUD-005;ASTRA5-U0-SALUD-006	
LECTURA-bbdb2e23-04	G	ASTRA5-U0-SALUD-007;ASTRA5-U0-SALUD-008	
LECTURA-bbdb2e23-05	G	ASTRA5-U0-SALUD-009;ASTRA5-U0-SALUD-010;ASTRA5-U0-SALUD-011	
LECTURA-bbdb2e23-06	G	ASTRA5-U0-SALUD-012;ASTRA5-U0-SALUD-013	
LECTURA-bbdb2e23-07	G	ASTRA5-U0-SALUD-014;ASTRA5-U0-SALUD-015	
LECTURA-bbdb2e23-08	G	ASTRA5-U0-SALUD-016;ASTRA5-U0-SALUD-017	
LECTURA-bbdb2e23-09	G	ASTRA5-U0-SALUD-018	
LECTURA-bbdb2e23-10	G	ASTRA5-U0-SALUD-019;ASTRA5-U0-SALUD-020	
LECTURA-bbdb2e23-11	G	ASTRA5-U0-SALUD-021	
LECTURA-bbdb2e23-12	G	ASTRA5-U0-SALUD-022;ASTRA5-U0-SALUD-023	
LECTURA-bbdb2e23-13	G	ASTRA5-U0-SALUD-024;ASTRA5-U0-SALUD-025	
LECTURA-bbdb2e23-14	G	ASTRA5-U0-SALUD-026	
LECTURA-bbdb2e23-15	G	ASTRA5-U0-SALUD-027	
CAND-bbdb2e23-L60	P	ASTRA5-U0-SALUD-003;ASTRA5-U0-SALUD-005;ASTRA5-U0-SALUD-006;ASTRA5-U0-SALUD-007;ASTRA5-U0-SALUD-008;ASTRA5-U0-SALUD-018;ASTRA5-U0-SALUD-012;ASTRA5-U0-SALUD-013	DEDUP: encabezado editorial de '3. Mapa de evidencia [FUERTE]' — restata en forma de lista los hallazgos ya filados (IEPS, farmacias, brecha de género, fentanilo, informalidad); la mención genérica de 'prevalencias de obesidad, diabetes, sedentarismo' no trae cifra propia nueva (obesidad nacional no se cuantifica aquí; diabetes=fila014/015; sedentarismo=fila024/025).
CAND-bbdb2e23-L68	P	ASTRA5-U0-SALUD-004;ASTRA5-U0-SALUD-016;ASTRA5-U0-SALUD-017;ASTRA5-U0-SALUD-014;ASTRA5-U0-SALUD-015;ASTRA5-U0-SALUD-021	DEDUP: encabezado editorial de '3. Mapa de evidencia [MEDIA]' — restata en forma de lista los hallazgos ya filados (etiquetado, gradiente regional, adherencia a crónicos, imagen corporal); sin cifra propia nueva.
CAND-bbdb2e23-L231	P	ASTRA5-U0-SALUD-028	
CAND-bbdb2e23-L232	P	ASTRA5-U0-SALUD-029	
CAND-bbdb2e23-L238	P	ASTRA5-U0-SALUD-030	
CAND-bbdb2e23-L239	P	ASTRA5-U0-SALUD-031	
CAND-bbdb2e23-L245	P	ASTRA5-U0-SALUD-032	
CAND-bbdb2e23-L246	P	ASTRA5-U0-SALUD-033	
CAND-bbdb2e23-L252	P	ASTRA5-U0-SALUD-034	
CAND-bbdb2e23-L253	P	ASTRA5-U0-SALUD-035	
CAND-bbdb2e23-L259	P	ASTRA5-U0-SALUD-036	
CAND-bbdb2e23-L260	P	ASTRA5-U0-SALUD-037	
TIER-bbdb2e23-L74	T	ASTRA5-U0-SALUD-026	DEDUP: encabezado '[HIPÓTESIS RAZONABLE]:' de la sección 3 — la primera viñeta (consumo compensatorio) ya está filada en salud-cuerpo-026; la segunda viñeta ('rol de la confianza radial en a quién se cree en salud') es mención de un constructo del marco conceptual del proyecto sin cifra ni reactivo propio en este report: NO-AFIRMACION (marco teórico, sin componente contrastable propio distinto al ya filado).
TIER-bbdb2e23-L78	T	ASTRA5-U0-SALUD-027;ASTRA5-U0-SALUD-012;ASTRA5-U0-SALUD-013;ASTRA5-U0-SALUD-022;ASTRA5-U0-SALUD-023	DEDUP: encabezado '[NARRATIVA POPULAR]:' de la sección 3 — sus tres viñetas ('comen mal'=fila027; 'fatalismo cultural'=filas012/013; 'medicina tradicional es atraso/siempre segura'=filas022/023) ya están filadas o cubiertas por sus contrapartes cuantitativas.
TIER-bbdb2e23-L163	T	ASTRA5-U0-SALUD-038	
TIER-bbdb2e23-L219	T	ASTRA5-U0-SALUD-012;ASTRA5-U0-SALUD-013	DEDUP: 'El fatalismo ante la diabetes es cultural' (mito #2, §9) restata literalmente el hallazgo #6 (L19) ya filado como salud-cuerpo-012 (informalidad, reservada/expuesta) y salud-cuerpo-013 (carencia de acceso, PENDIENTE-VERIFICACION-DOCUMENTAL).
LECTURA-bbdb2e23-01	F	ASTRA5-U0-SALUD-001;ASTRA5-U0-SALUD-002	DEDUP: ficha de lectura de Codex; mismo id que la unidad G correspondiente, ya filada.
LECTURA-bbdb2e23-02	F	ASTRA5-U0-SALUD-003;ASTRA5-U0-SALUD-004	DEDUP: ficha de lectura de Codex; mismo id que la unidad G correspondiente, ya filada.
LECTURA-bbdb2e23-03	F	ASTRA5-U0-SALUD-005;ASTRA5-U0-SALUD-006	DEDUP: ficha de lectura de Codex; mismo id que la unidad G correspondiente, ya filada.
LECTURA-bbdb2e23-04	F	ASTRA5-U0-SALUD-007;ASTRA5-U0-SALUD-008	DEDUP: ficha de lectura de Codex; mismo id que la unidad G correspondiente, ya filada.
LECTURA-bbdb2e23-05	F	ASTRA5-U0-SALUD-009;ASTRA5-U0-SALUD-010;ASTRA5-U0-SALUD-011	DEDUP: ficha de lectura de Codex; mismo id que la unidad G correspondiente, ya filada.
