id_afirmacion	programa_id	ola	pregunta_buscada	secciones_recorridas
ASTRA5-U0-MER-031	MMSI	2016	escalon/quintil de ingreso por origen o tono de piel; educacion superior cruzada SEXO x TONO	spec COLA-MMSI-PISOS-spec-v1_0.md Sec0 (premisas), Sec2 (catalogo cerrado de conductas: no incluye ingreso), Sec3 (ejes), Sec4 ('un eje a la vez; nunca cruces'); FD mmsi2016_fd.xlsx via medidor
ASTRA5-U0-MER-033	MMSI	2016	indice de movilidad de quintil socioeconomico de origen a destino por tono de piel	spec COLA-MMSI-PISOS-spec-v1_0.md Sec0 ('el modulo no trae indice ni quintil...la movilidad de quintil que cita MER-033 no se construye aqui, NC propia'), Sec2, Sec3
ASTRA5-U0-JUV-006	ENADID	2023	serie de estado conyugal (union libre/matrimonio) para los años 2005 y 2025	spec.yaml CALC-ENADID-COLA-2018-0001 Sec0 premisas ('Olas en corpus: 1992, 1997, 2009, 2014, 2018, 2023'); no hay ola 2005 ni 2025 del programa en corpus
ASTRA5-U0-GENOM-029	PEW	2024	tamano/porcentaje de poblacion hispana/latina en EEUU 2000-2024 (agregado demografico, no item de opinion)	Pew_gas_spring2024 Questionnaire.pdf completo (grep por 'Latino'/'Hispanic'/poblacion EEUU); manifiesto PEW (pew_gas_spring2013/2015/2017/2018/2023/2024/2025, todos Global Attitudes Survey de opinion, ninguno es serie de conteo censal de EEUU)
ASTRA5-U0-MIGR-042	PEW	N/D	estimacion de poblacion indocumentada mexicana en EEUU (Pew/MPI, agregado demografico, no item de opinion)	Pew_gas_spring2024 Questionnaire.pdf completo; manifiesto PEW (mismas 7 olas GAS de opinion en Mexico, ninguna con modulo de estatus migratorio/indocumentados en EEUU); MPI no es programa con microdato en el manifiesto de este acto
ASTRA5-U0-RELIG-017	PEW	2014 (no en corpus)	atribucion del exito a fuerzas fuera del control por nivel educativo, Mexico 2014	manifiesto.yaml grep -i pew (olas registradas: 2013,2015,2017,2018,2023,2024,2025 -- ninguna 2014); Pew_gas_spring2024 Questionnaire.pdf (no trae item retrospectivo de atribucion de exito por escolaridad)
ASTRA5-U0-RELIG-023	PEW	2014 (no en corpus)	tasa de 'religious switching' total Mexico vs Panama vs Paraguay, informe 'Religion in Latin America' 2014	manifiesto.yaml grep -i pew (sin ola 2014); Pew_gas_spring2024 Questionnaire.pdf (topline de switching solo cubre Spring2024, no la comparacion historica de 2014)
ASTRA5-U0-RELIG-038	PEW	no precisada por el report (2014 o 2026)	proselitismo activo declarado por conversos evangelicos en America Latina ('su iglesia lo busco a usted')	manifiesto.yaml grep -i pew (sin ola que calce con el informe citado); Pew_gas_spring2024 Questionnaire.pdf (sin item de proselitismo/reclutamiento por parte de la nueva iglesia)
ASTRA5-U0-FIN-017	ENIF		confianza interpersonal general (estilo WVS: '¿diría usted que se puede confiar en la mayoría de las personas...?')	inventario-fd-v1_1.tsv e inventario-reactivos-contexto-v1_1.tsv, instrumento=enif* (2012,2015,2018,2021,2024), bloque completo P5/P10 de percepcion de riesgo/desconfianza
ASTRA5-U0-TRUST-006	ENCIG	2023	confianza en 'la familia' como institución (item explícito, escala 0-10 o similar)	batería XI completa de ENCIG 2023 (p11_1_01..p11_1_25), inventario-reactivos-v1_2.tsv (declarado texto_reactivo vacío al 100% para ENCIG); spec.yaml de CALC-ENCIG-2023-0001-v1_1
ASTRA5-U0-TRUST-025	ENCIG	2023	confianza en 'la familia' como institución (item explícito)	misma búsqueda que TRUST-006: batería XI completa (p11_1_01..25) de ENCIG 2023
ASTRA5-U0-MER-032	ENADIS	2017	escolaridad (nivel superior) por tonalidad de piel autoreportada (escala PERLA A..K)	data/manifiesto.yaml, ids 'enadis*' (3 filas, las 3 de ola 2022: enadis2022_cuestionario_general, enadis2022_cuestionario_opinion, enadis2022_fd) -- ola 2017 ausente del corpus
ASTRA5-U0-MER-040	ENOE	2025	probabilidad de automatización del puesto de trabajo (variable de riesgo de automatización por ocupación)	cuestionarios ENOE (básico y ampliado v5/v6a) y enoe_325_fd_c_bas_amp.pdf: bloque de ocupación/rama de actividad; no hay reactivo de riesgo de automatización
