id_lectura	archivo_fuente_linea	rol_fuente	concepto_deduplicado	componente_y_limite	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-ed13e951-01	corpus/forense/Crédito_Popular_en_México__Morosidad_Auditada__Fondeo_y_Gobierno_Corporativo_como_Verdaderos_Riesgos_Estructurales.md:L9	forense_base	CRPOP-PAGO	Rentabilidad, CAT y mora de cartera popular observables; disposición individual voluntaria no aislada por ellas	PENDIENTE-COTEJO-PRIMARIO	¿Qué IMOR, IMORA, castigos, CAT y utilidad por producto/segmento muestran las cuentas auditadas de Azteca/BanCoppel/Findep con misma fecha?	CNBV cartera por institución/producto; HR Ratings Azteca/BanCoppel; EEFF auditados Findep; tarifarios CAT citados en forense	ASTRA5-MESA-DINERO	Cotejar PDF/series originales y armonizar cartera/producto/fecha; no usar rentabilidad para inferir virtud del deudor.
LECTURA-ed13e951-02	corpus/forense/Crédito_Popular_en_México__Morosidad_Auditada__Fondeo_y_Gobierno_Corporativo_como_Verdaderos_Riesgos_Estructurales.md:L10	forense_base	CRPOP-PRODUCTO	Mora por producto y esquema de cobro; «la misma persona» no se observa en agregados de cartera	PENDIENTE-MICRO-PRODUCTO	¿Hay identificador de cliente longitudinal que compare su pago entre efectivo, tarjeta, nómina y durable, con condiciones de cobro?	CNBV/HR Ratings tasas por producto; microdato enlazado de cliente no identificado ni solicitado	ASTRA5-MESA-DINERO	Usar agregados sólo para riesgo de producto; requerir dato pareado antes de afirmar que la misma persona cambia conducta.
LECTURA-ed13e951-03	corpus/forense/Crédito_Popular_en_México__Morosidad_Auditada__Fondeo_y_Gobierno_Corporativo_como_Verdaderos_Riesgos_Estructurales.md:L11	forense_base	CRPOP-COLAPSOS	Famsa y Crédito Real son dos episodios con causas regulatorias/contables distintas; el complemento agrega AlphaCredit	PENDIENTE-EXPEDIENTES	¿Qué resoluciones y EEFF prueban causal de revocación Famsa y cronología de impago/ajustes Crédito Real?	DOF/CNBV revocación Famsa 2020; EEFF/BMV Crédito Real 2021-22; expedientes citados en forense	ASTRA5-MESA-DINERO	Cotejar documentos primarios y no equiparar las dos fallas de gobierno/fondeo con ausencia de mora de clientes.
LECTURA-ed13e951-04	corpus/forense/Crédito_Popular_en_México__Morosidad_Auditada__Fondeo_y_Gobierno_Corporativo_como_Verdaderos_Riesgos_Estructurales.md:L12	forense_base	CRPOP-CAME	CAME/SOFIPO: cartera vencida, NICAP, pérdidas, captación y cronología regulatoria separadas	PENDIENTE-CORTE-REGULATORIO	¿Qué fechas y definiciones CNBV producen IMOR/IMORA/NICAP de CAME y qué acto documenta intervención 2025?	CNBV boletines SOFIPO/CAME 2024-25; resolución de intervención; PCR Verum citados en forense	ASTRA5-MESA-DINERO	Fijar ola de cartera y criterio de capital; no llamar réplica causal de Famsa por semejanza de indicadores.
LECTURA-ea74603e-01	corpus/forense/compass-4-e29a28d4-credito-popular-2026.md:L12	complemento_forense_credito_popular	CRPOP-PAGO	Once casos no son once muestras independientes de pago voluntario; el complemento precisa mecanismo, castigos y precio	PENDIENTE-COTEJO-PRIMARIO	¿Qué fuente primaria respalda cada tasa de cartera y qué casos comparten grupo/institución o producto?	compass-4 §A once casos y §C anexo de fuentes; CNBV/BMV/SEC/EEFF originales por cotejar	ASTRA5-MESA-DINERO	Conservar clase mixta y procedencia externa; cotejar originales antes de elevar etiquetas AUDITADA/AUTO-REPORTADA; no convertir complemento en dominio 38.
LECTURA-ea74603e-02	corpus/forense/compass-4-e29a28d4-credito-popular-2026.md:L14	complemento_forense_credito_popular	CRPOP-MECANISMO-COBRO	Descuento en nómina puede producir mora baja sin elección voluntaria del deudor	PENDIENTE-OPERACION-NOMINA	¿Qué contrato de nómina y estado de cartera Crédito Real distinguen cobro automático de decisión del cliente?	Crédito Real factsheets/BMV de nómina, descuento y NPL citados en compass-4 §A caso 7a	ASTRA5-MESA-DINERO	Separar proporción de cartera nómina y mora de atribución psicológica; verificar que la serie es previa al default.
LECTURA-ea74603e-03	corpus/forense/compass-4-e29a28d4-credito-popular-2026.md:L16	complemento_forense_credito_popular	CRPOP-PRENDA	Redención de prenda e inventario añejo no son misma variable y ninguna identifica pago sin garantía	PENDIENTE-DOS-METRICAS	¿Qué definición y universo produjo ~90% redención NMP y qué métrica SEC produce 1%-2% inventario >1 año FirstCash?	Nacional Monte de Piedad comunicado/estadística original por localizar; FirstCash SEC 10-K 2024-25 citados en compass-4 §C	ASTRA5-MESA-DINERO	No calcular default de FirstCash con inventario añejo ni transferir redención prendaria a pago voluntario de crédito sin colateral.
LECTURA-ea74603e-04	corpus/forense/compass-4-e29a28d4-credito-popular-2026.md:L18	complemento_forense_credito_popular	CRPOP-PRECIO-CASTIGO	CAT, pérdida esperada e IMORA son métricas distintas; «precio precarga pérdida» requiere contabilidad por producto	PENDIENTE-MARGEN-PRODUCTO	¿Qué estados de resultados por producto unen ingreso financiero, costo de fondeo, pérdida esperada y castigos para cada actor?	Banxico Indicadores Básicos de Créditos Personales y Microcréditos feb-2024; CNBV/EEFF de casos; tarifarios CAT citados en compass-4 §C	ASTRA5-MESA-DINERO	Cotejar bases de CAT y mora; no inferir margen neto como resta directa de dos porcentajes con distintos denominadores.
LECTURA-ea74603e-05	corpus/forense/compass-4-e29a28d4-credito-popular-2026.md:L20	complemento_forense_credito_popular	CRPOP-COLAPSOS	AlphaCredit añade tercer caso de contraste contable; no recontar Famsa/Crédito Real como casos nuevos	PENDIENTE-EXPEDIENTE-ALPHA	¿Qué comunicado BMV y expediente Chapter 11 prueban corrección de derivados y cronología del default AlphaCredit 2021?	AlphaCredit comunicados BMV 2018-21 y expediente Chapter 11 Delaware citados en compass-4 §A caso 7b/§C	ASTRA5-MESA-DINERO	Cotejar documentos originales y conservar tres colapsos sólo en síntesis ampliada; no trasladar los 11 casos del complemento al diseño de seis actores del forense base.
LECTURA-ed13e951-05	corpus/forense/Crédito_Popular_en_México__Morosidad_Auditada__Fondeo_y_Gobierno_Corporativo_como_Verdaderos_Riesgos_Estructurales.md:L24	caso_base	CRPOP-AZTECA	IMOR total 3.8%, consumo 5.2% y ajustado ~10.7% provienen de cortes y definiciones distintos; rentabilidad no identifica voluntad de pago	PENDIENTE-SERIES-COMPATIBLES	¿Qué producto, fecha, cartera, castigos y reservas sostienen cada tasa y el 313% de cobertura?	Moody's Local Banco Azteca cierre 2024; HR Ratings y CNBV 2024-25 citados en caso 1	ASTRA5-MESA-DINERO	Cotejar informes originales y no promediar IMOR total, consumo y ajustado.
