par_id	consumidor	uso	a_estado	a_clase	a_valor	a_fuente	b_estado	b_clase	b_valor	b_fuente	referencias_reproducibles	comparabilidad	causa_comparabilidad	delta_b_menos_a	magnitud_absoluta	unidad	puntos_porcentuales	cambio_relativo	estado_relativo	representacion	modo_representacion	materialidad	criterio_materialidad	resultado
RELEVO-RES-0025-VS-RESULT-EVASIONNORMA-A-P-EVADE	milpa/tramite.yaml:tramite.evasion_norma:evade_norma_envipe2025	RES-0025: p ponderada por delito de evade/cumple norma; ENVIPE 2025, n=40 280. Consumidor milpa/tramite.yaml:tramite.evasion_norma:evade_norma_envipe2025; legacy en el archivo del consumidor frente a CALC-EVASION-NORMA-0001-v1_1::RESULT-EVASIONNORMA-A-P-EVADE. Esta comparación no adopta ni edita el consumidor.	RESUELTA	FUENTE	0.562774	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.5627744787844097	RESULT-EVASIONNORMA-A-P-EVADE	ACREDITADA	DEMOSTRADA	las ocho dimensiones tienen correspondencia acreditada	4.787844096743044e-07	4.787844096743044e-07	proporcion en escala [0,1]	4.7878440967430436e-05		NO-APLICA-POR-CONTRATO	IGUAL-AL-GRANO	grano del consumidor = 6 decimales	NO-MATERIAL	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-CALCULADO · REPRESENTACION-IGUAL-AL-GRANO · MATERIALIDAD-NO-MATERIAL
RELEVO-RES-0026-VS-RESULT-EVASIONNORMA-A-P-CUMPLE	milpa/tramite.yaml:tramite.evasion_norma:cumple_norma_envipe2025	RES-0026: p ponderada por delito de evade/cumple norma; ENVIPE 2025, n=40 280. Consumidor milpa/tramite.yaml:tramite.evasion_norma:cumple_norma_envipe2025; legacy en el archivo del consumidor frente a CALC-EVASION-NORMA-0001-v1_1::RESULT-EVASIONNORMA-A-P-CUMPLE. Esta comparación no adopta ni edita el consumidor.	RESUELTA	FUENTE	0.437226	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.43722552121559033	RESULT-EVASIONNORMA-A-P-CUMPLE	ACREDITADA	DEMOSTRADA	las ocho dimensiones tienen correspondencia acreditada	-4.787844096743044e-07	4.787844096743044e-07	proporcion en escala [0,1]	-4.7878440967430436e-05		NO-APLICA-POR-CONTRATO	IGUAL-AL-GRANO	grano del consumidor = 6 decimales	NO-MATERIAL	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-CALCULADO · REPRESENTACION-IGUAL-AL-GRANO · MATERIALIDAD-NO-MATERIAL
RELEVO-RES-0028-VS-RESULT-ENVIPE-DEN-P-COMPLEMENTO-C2-U1	milpa/tramite.yaml:civico.denuncia.miedo_desconfianza:denuncia_por_otra_razon	RES-0028: legacy q=1-p(C2,U4) persona vs candidato p(C2 complementario,U1) delito. Consumidor milpa/tramite.yaml:civico.denuncia.miedo_desconfianza:denuncia_por_otra_razon; legacy en el archivo del consumidor frente a CALC-ENVIPE-0001::RESULT-ENVIPE-DEN-P-COMPLEMENTO-C2-U1. Esta comparación no adopta ni edita el consumidor.	RESUELTA	FUENTE	0.705687	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.7327566125957219	RESULT-ENVIPE-DEN-P-COMPLEMENTO-C2-U1	ACREDITADA	INCOMPATIBILIDAD	ruptura/incompatibilidad en: unidad, poblacion, evento, transformacion			proporcion en escala [0,1]			NO-APLICA-COMPARABILIDAD	NO-APLICA-COMPARABILIDAD		NO-DETERMINABLE	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-SUSTANTIVO-RECHAZADO-INCOMPATIBILIDAD
RELEVO-RES-0031-VS-RESULT-TIENEAHORROS-A-P-TIENE	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:tiene_ahorros_enif2024	RES-0031: p ponderada de persona 18+ con/sin ahorro; ENIF 2024, n=13 502. Consumidor milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:tiene_ahorros_enif2024; legacy en el archivo del consumidor frente a CALC-TIENE-AHORROS-0001-v1_1::RESULT-TIENEAHORROS-A-P-TIENE. Esta comparación no adopta ni edita el consumidor.	RESUELTA	FUENTE	0.64208	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.6420795665818781	RESULT-TIENEAHORROS-A-P-TIENE	ACREDITADA	DEMOSTRADA	las ocho dimensiones tienen correspondencia acreditada	-4.3341812183683714e-07	4.3341812183683714e-07	proporcion en escala [0,1]	-4.3341812183683714e-05		NO-APLICA-POR-CONTRATO	IGUAL-AL-GRANO	grano del consumidor = 5 decimales	NO-MATERIAL	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-CALCULADO · REPRESENTACION-IGUAL-AL-GRANO · MATERIALIDAD-NO-MATERIAL
RELEVO-RES-0032-VS-RESULT-TIENEAHORROS-A-P-NO-TIENE	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:no_tiene_ahorros_enif2024	RES-0032: p ponderada de persona 18+ con/sin ahorro; ENIF 2024, n=13 502. Consumidor milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:no_tiene_ahorros_enif2024; legacy en el archivo del consumidor frente a CALC-TIENE-AHORROS-0001-v1_1::RESULT-TIENEAHORROS-A-P-NO-TIENE. Esta comparación no adopta ni edita el consumidor.	RESUELTA	FUENTE	0.35792	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.35792043341812185	RESULT-TIENEAHORROS-A-P-NO-TIENE	ACREDITADA	DEMOSTRADA	las ocho dimensiones tienen correspondencia acreditada	4.3341812183683714e-07	4.3341812183683714e-07	proporcion en escala [0,1]	4.3341812183683714e-05		NO-APLICA-POR-CONTRATO	IGUAL-AL-GRANO	grano del consumidor = 5 decimales	NO-MATERIAL	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-CALCULADO · REPRESENTACION-IGUAL-AL-GRANO · MATERIALIDAD-NO-MATERIAL
RELEVO-RES-0033-VS-RESULT-DFVEJEZ-A-P-RECIBE	milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:recibe_dinero_familiares_para_vejez	RES-0033: p ponderada de persona que recibe/no recibe dinero familiar para vejez; ENIF 2024, n=11 895. Consumidor milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:recibe_dinero_familiares_para_vejez; legacy en el archivo del consumidor frente a CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1::RESULT-DFVEJEZ-A-P-RECIBE. Esta comparación no adopta ni edita el consumidor.	RESUELTA	FUENTE	0.457707	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.4577065669362348	RESULT-DFVEJEZ-A-P-RECIBE	ACREDITADA	DEMOSTRADA	las ocho dimensiones tienen correspondencia acreditada	-4.330637651817071e-07	4.330637651817071e-07	proporcion en escala [0,1]	-4.330637651817071e-05		NO-APLICA-POR-CONTRATO	IGUAL-AL-GRANO	grano del consumidor = 6 decimales	NO-MATERIAL	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-CALCULADO · REPRESENTACION-IGUAL-AL-GRANO · MATERIALIDAD-NO-MATERIAL
RELEVO-RES-0034-VS-RESULT-DFVEJEZ-A-P-NO-RECIBE	milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:no_recibe_dinero_familiares_para_vejez	RES-0034: p ponderada de persona que recibe/no recibe dinero familiar para vejez; ENIF 2024, n=11 895. Consumidor milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:no_recibe_dinero_familiares_para_vejez; legacy en el archivo del consumidor frente a CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1::RESULT-DFVEJEZ-A-P-NO-RECIBE. Esta comparación no adopta ni edita el consumidor.	RESUELTA	FUENTE	0.542293	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.5422934330637652	RESULT-DFVEJEZ-A-P-NO-RECIBE	ACREDITADA	DEMOSTRADA	las ocho dimensiones tienen correspondencia acreditada	4.330637651817071e-07	4.330637651817071e-07	proporcion en escala [0,1]	4.330637651817071e-05		NO-APLICA-POR-CONTRATO	IGUAL-AL-GRANO	grano del consumidor = 6 decimales	NO-MATERIAL	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-CALCULADO · REPRESENTACION-IGUAL-AL-GRANO · MATERIALIDAD-NO-MATERIAL
RELEVO-RES-0053-VS-RESULT-HVD-A-SOLO-INFORMAL	milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_solo_informal	RES-0053: partición F/I de ahorro (solo informal, ambas, solo formal, ninguno); ENIF 2024, n=13 502. Consumidor milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_solo_informal; legacy en el archivo del consumidor frente a CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1::RESULT-HVD-A-SOLO-INFORMAL. Esta comparación no adopta ni edita el consumidor.	RESUELTA	FUENTE	0.357153	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.3571525665818782	RESULT-HVD-A-SOLO-INFORMAL	ACREDITADA	DEMOSTRADA	las ocho dimensiones tienen correspondencia acreditada	-4.33418121781326e-07	4.33418121781326e-07	proporcion en escala [0,1]	-4.33418121781326e-05		NO-APLICA-POR-CONTRATO	IGUAL-AL-GRANO	grano del consumidor = 6 decimales	NO-MATERIAL	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-CALCULADO · REPRESENTACION-IGUAL-AL-GRANO · MATERIALIDAD-NO-MATERIAL
RELEVO-RES-0054-VS-RESULT-HVD-A-AMBAS-VIAS	milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_ambas_vias	RES-0054: partición F/I de ahorro (solo informal, ambas, solo formal, ninguno); ENIF 2024, n=13 502. Consumidor milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_ambas_vias; legacy en el archivo del consumidor frente a CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1::RESULT-HVD-A-AMBAS-VIAS. Esta comparación no adopta ni edita el consumidor.	RESUELTA	FUENTE	0.204767	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.20476743341812176	RESULT-HVD-A-AMBAS-VIAS	ACREDITADA	DEMOSTRADA	las ocho dimensiones tienen correspondencia acreditada	4.334181217535704e-07	4.334181217535704e-07	proporcion en escala [0,1]	4.334181217535704e-05		NO-APLICA-POR-CONTRATO	IGUAL-AL-GRANO	grano del consumidor = 6 decimales	NO-MATERIAL	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-CALCULADO · REPRESENTACION-IGUAL-AL-GRANO · MATERIALIDAD-NO-MATERIAL
RELEVO-RES-0055-VS-RESULT-HVD-A-SOLO-FORMAL	milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_solo_formal	RES-0055: partición F/I de ahorro (solo informal, ambas, solo formal, ninguno); ENIF 2024, n=13 502. Consumidor milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_solo_formal; legacy en el archivo del consumidor frente a CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1::RESULT-HVD-A-SOLO-FORMAL. Esta comparación no adopta ni edita el consumidor.	RESUELTA	FUENTE	0.08016	milpa/tramite.yaml	RESUELTA	RESULTADO-CORRIDA0	0.08015956658187823	RESULT-HVD-A-SOLO-FORMAL	ACREDITADA	DEMOSTRADA	las ocho dimensiones tienen correspondencia acreditada	-4.334181217674482e-07	4.334181217674482e-07	proporcion en escala [0,1]	-4.334181217674482e-05		NO-APLICA-POR-CONTRATO	IGUAL-AL-GRANO	grano del consumidor = 5 decimales	NO-MATERIAL	"{""evidencias"": [{""cita"": ""parametros.adopcion_p3.umbral_grano_milpa = 1e-06 -- «la tolerancia con que T35 (c) compara el valor materializado por el consumidor contra el RESULT»; es el grano del CONSUMIDOR, no de una spec, y por eso vale para los cuatro CALC de estos pares"", ""fuente"": ""data/corrida0/CALC-B-0001/spec.yaml"", ""sha256"": ""7feed075d55bf795f921bc7bd0d75ac8bffa60b205822cf1333364a2c67efe16""}], ""metrica"": ""magnitud_absoluta"", ""umbral"": 1e-06}"	DELTA-CALCULADO · REPRESENTACION-IGUAL-AL-GRANO · MATERIALIDAD-NO-MATERIAL
