# GENERADO por tools/mide_participacion_tipo_boleta.py --tabla-identificacion (ACTO MAESTRA35-L3, P0). No editar a mano.
entidad	de	a	hueco	tipo_de	tipo_a	dD_pres	dD_int	clase	identifica	estatus_entidad	cohorte
Aguascalientes	2016	2019	3	sin-federal	sin-federal	0	0	STAY	alpha	TRATADO	g2021
Aguascalientes	2019	2021	2	sin-federal	intermedia	0	1	SWITCH	beta_int (+alpha)	TRATADO	g2021
Aguascalientes	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2021
Baja California	2016	2019	3	sin-federal	sin-federal	0	0	STAY	alpha	TRATADO	g2021
Baja California	2019	2021	2	sin-federal	intermedia	0	1	SWITCH	beta_int (+alpha)	TRATADO	g2021
Baja California	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2021
Baja California Sur	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Baja California Sur	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Campeche	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Campeche	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Chiapas	2015	2018	3	sin-federal	presidencial	1	0	SWITCH	beta_pres (+alpha)	TRATADO	g2018
Chiapas	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2018
Chiapas	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2018
Chihuahua	2016	2018	2	sin-federal	presidencial	1	0	SWITCH	beta_pres (+alpha)	TRATADO	g2018
Chihuahua	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2018
Chihuahua	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2018
Ciudad de México	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Ciudad de México	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Coahuila	2017	2018	1	sin-federal	presidencial	1	0	SWITCH	beta_pres (+alpha)	TRATADO	g2018
Coahuila	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2018
Coahuila	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2018
Colima	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Colima	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Durango	2016	2019	3	sin-federal	sin-federal	0	0	STAY	alpha	NUNCA-TRATADO	
Durango	2019	2022	3	sin-federal	sin-federal	0	0	STAY	alpha	NUNCA-TRATADO	
Estado de México	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Estado de México	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Guanajuato	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Guanajuato	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Guerrero	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Guerrero	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Hidalgo	2016	2020	4	sin-federal	sin-federal	0	0	STAY	alpha	TRATADO	g2024
Hidalgo	2020	2024	4	sin-federal	presidencial	1	0	SWITCH	beta_pres (+alpha)	TRATADO	g2024
Jalisco	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Jalisco	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Michoacán	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Michoacán	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Morelos	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Morelos	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Nayarit	2017	2021	4	sin-federal	intermedia	0	1	SWITCH	beta_int (+alpha)	TRATADO	g2021
Nayarit	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	TRATADO	g2021
Nuevo León	2018	2021	3	presidencial	intermedia	-1	1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Nuevo León	2021	2024	3	intermedia	presidencial	1	-1	SWITCH	beta_pres - beta_int (+alpha)	SIEMPRE-CONCURRENTE-EN-VENTANA-CON-2015-INDETERMINADO	
Oaxaca	2016	2018	2	sin-federal	presidencial	1	0	SWITCH	beta_pres (+alpha)	TRATADO	g2018
