ola	payload_id	reactivo	fuente_texto	texto	escala_y_no_respuesta	modo_poblacion_diseno	dictamen	medicion
2004	642348348mexico_2004_export_version	b18	1671516622cam_mexico_questionnaire_2004 §B (Anotar 1-7, 8=NS)	¿Hasta qué punto tiene confianza en la Policía?	1-7; 8 NS	presencial papel; marzo 2004; región×urbano/rural; 130 sitios; sin peso	EQUIVALENTE-TEXTO-ESCALA; marco y fecha distintos	CALC-LAPOP-PISOS-2004-0001
2006	518939279mexico_lapop_final_2006_data_set_092906	b18	etiqueta de variable del .dta (sin cuestionario 2006 en corpus)	¿Hasta qué punto tiene confianza usted en la Policía?	1-7 por diseño idéntico a 2004 (1390537077technical_information_mexico_2006); 8 NS; guardia ESCALA-DISCREPANTE	presencial; último mes de campaña presidencial 2006; diseño idéntico a 2004; sin peso	EQUIVALENTE-CON-RESERVA-DOCUMENTAL	CALC-LAPOP-PISOS-2006-0001
2019	mexico_lapop_americasbarometer_2019_v1_0_w	b18	abmex18_v12_0_2_5_spa_190207_w §B	¿Hasta qué punto tiene confianza usted en la Policía?	1-7; 888888/988888	presencial dispositivo; 30/ene-27/mar/2019; marco padrón 2010; autoponderada	EQUIVALENTE (ola de referencia presencial)	CALC-LAPOP-PISOS-2019-0001 (sellado #1084)
2021	mex_2021_lapop_americasbarometer_v1_2_w	b18	abmex2021_mexico_questionnaire_v17_2_5_2_spa_210420_w CB B18 (Core B, media muestra aleatoria)	¿Hasta qué punto tiene confianza usted en la Policía?	1-7	CATI RDD móvil; 26/mar-11/jul/2021; sólo con celular; ponderada; Core A/B	RUPTURA-MODO-POBLACION (CATI RDD móvil); se reporta aparte	CALC-LAPOP-PISOS-2021-0001
2023	mex_2023_lapop_americasbarometer_v1_0_w	b18	lapop_abmex2023_cuestionario_mexico C.O.X.CC sin muestra dividida	¿Hasta qué punto tiene confianza usted en la Policía?	1-7; 888888/988888	presencial; 12/may-19/jul/2023; marco Censo 2020; autoponderada	EQUIVALENTE; contrato U0 POL-001	CALC-LAPOP-PISOS-2023-0001 RESULT-LAPOP-PISOS-2023-POL001
2004	642348348mexico_2004_export_version	b21	1671516622cam_mexico_questionnaire_2004 §B (Anotar 1-7, 8=NS)	¿Hasta qué punto tiene confianza en los partidos políticos?	1-7; 8 NS	presencial papel; marzo 2004; región×urbano/rural; 130 sitios; sin peso	EQUIVALENTE-TEXTO-ESCALA; marco y fecha distintos	CALC-LAPOP-PISOS-2004-0001
2006	518939279mexico_lapop_final_2006_data_set_092906	b21	etiqueta de variable del .dta (sin cuestionario 2006 en corpus)	¿Hasta qué punto tiene confianza usted en los partidos políticos?	1-7 por diseño idéntico a 2004 (1390537077technical_information_mexico_2006); 8 NS; guardia ESCALA-DISCREPANTE	presencial; último mes de campaña presidencial 2006; diseño idéntico a 2004; sin peso	EQUIVALENTE-CON-RESERVA-DOCUMENTAL	CALC-LAPOP-PISOS-2006-0001
2019	mexico_lapop_americasbarometer_2019_v1_0_w	b21	abmex18_v12_0_2_5_spa_190207_w §B	¿Hasta qué punto tiene confianza usted en los partidos políticos?	1-7; 888888/988888	presencial dispositivo; 30/ene-27/mar/2019; marco padrón 2010; autoponderada	EQUIVALENTE (ola de referencia presencial)	CALC-LAPOP-PISOS-2019-0002
2021	mex_2021_lapop_americasbarometer_v1_2_w	b21	abmex2021_mexico_questionnaire_v17_2_5_2_spa_210420_w CB B21 (Core B, media muestra aleatoria)	¿Hasta qué punto tiene confianza usted en los partidos políticos?	1-7	CATI RDD móvil; 26/mar-11/jul/2021; sólo con celular; ponderada; Core A/B	RUPTURA-MODO-POBLACION (CATI RDD móvil); se reporta aparte	CALC-LAPOP-PISOS-2021-0001
2023	mex_2023_lapop_americasbarometer_v1_0_w	b21	lapop_abmex2023_cuestionario_mexico C.O.X.SW sin muestra dividida	¿Hasta qué punto tiene usted confianza en los partidos políticos?	1-7; 888888/988888	presencial; 12/may-19/jul/2023; marco Censo 2020; autoponderada	EQUIVALENTE; contrato U0 POL-001	CALC-LAPOP-PISOS-2023-0001 RESULT-LAPOP-PISOS-2023-POL001
2004	642348348mexico_2004_export_version	eff1	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	presencial papel; marzo 2004; región×urbano/rural; 130 sitios; sin peso	AUSENTE	NO-MEDIBLE
2006	518939279mexico_lapop_final_2006_data_set_092906	eff1	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	presencial; último mes de campaña presidencial 2006; diseño idéntico a 2004; sin peso	AUSENTE	NO-MEDIBLE
2021	mex_2021_lapop_americasbarometer_v1_2_w	eff1	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	CATI RDD móvil; 26/mar-11/jul/2021; sólo con celular; ponderada; Core A/B	AUSENTE	NO-MEDIBLE
2019	mexico_lapop_americasbarometer_2019_v1_0_w	eff1	abmex18_v12_0_2_5_spa_190207_w	A los que gobiernan el país les interesa lo que piensa la gente como usted	1-7 acuerdo	presencial dispositivo; 30/ene-27/mar/2019; marco padrón 2010; autoponderada	EQUIVALENTE	CALC-LAPOP-PISOS-2019-0002
2023	mex_2023_lapop_americasbarometer_v1_0_w	eff1	lapop_abmex2023_cuestionario_mexico C.O.X.SW sin muestra dividida	A los que gobiernan el país les interesa lo que piensa la gente como usted	1-7 acuerdo	presencial; 12/may-19/jul/2023; marco Censo 2020; autoponderada	EQUIVALENTE	CALC-LAPOP-PISOS-2023-0001
2004	642348348mexico_2004_export_version	eff2	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	presencial papel; marzo 2004; región×urbano/rural; 130 sitios; sin peso	AUSENTE	NO-MEDIBLE
2006	518939279mexico_lapop_final_2006_data_set_092906	eff2	ausente en el archivo de la ola	NO-APLICA	NO-APLICA	presencial; último mes de campaña presidencial 2006; diseño idéntico a 2004; sin peso	AUSENTE	NO-MEDIBLE
