conducta	conducta_texto	ola	comparado_con	veredicto	alcance_del_veredicto	reactivo	texto_literal	opciones_y_codigos	filtro_y_flujo	periodo_referencia	unidad	poblacion_base	ponderador_y_diseno	fuente	secciones_fd_recorridas	texto_buscado	nota
C1	Horas semanales de cuidado a integrantes del hogar, definición sellada 2024: CUID_ESP_INT_HOG_CON_CP + CUID_INT_0A5_CON_CP + CUID_INT_6A14_CON_CP + CUID_INT_60MAS_CON_CP (tvar_crea; CALC-ENUT-0001)	2024	2024 (ancla)	MISMO-INSTRUMENTO	Fila ancla. Las 21 celdas del marcador (10 NAC recae_mujeres_40mas × sexo_edad, 10 MARG reparto_mujeres40 × sexo_edad, 1 MARG reparto_hogar razón) usan esta definición.	TVAR_CREA: CUID_ESP_INT_HOG_CON_CP, CUID_INT_0A5_CON_CP, CUID_INT_6A14_CON_CP, CUID_INT_60MAS_CON_CP (residuo CUID_INT_15A59 fuera); crudos TMODULO 6.11 P6_11_01..14, 6.12 P6_12_01..12, 6.13 P6_13_1..9, 6.15 P6_15_1..7	Concepto FD TVAR_CREA: «Cuidados a integrantes del hogar de 0 a 5 años, con cuidados pasivos y con cuidados emocionales» (ídem 6-14, 60+; especiales: «incluye cuidados pasivos y cuidados emocionales»). Ítems nuevos en 2024: emocionales P6_11_13, P6_12_11, P6_13_8, P6_15_6 («sin hacer otra actividad, dedicó tiempo para jugar, leerle(s), escucharle(s), orientarle(s) o consolarle(s)»); esperas P6_11_09, P6_12_04, P6_13_1, P6_15_4 («sin considerar el traslado y sin hacer otra actividad, le(s) esperó…»); pasivo «le(s) vigiló o estuvo al pendiente de forma presente»	Ítem: 1 Sí / 2 No / b; tiempo: horas 00-99 y minutos 00-59 L-V y S-D (P6_1xA_nn_1..4). TVAR_CREA en horas decimales (rango 0-280 para 0-5)	FILTRO_S6_11 (3.7=1 o 3.8∈{1,2}); FILTRO_S6_12 0-5 sin cuidados especiales; FILTRO_S6_13 6-14 sin cuidados especiales (disjunto de 6.12); FILTRO_S6_15 60+ sin cuidados especiales. El FD no publica la fórmula de las variables creadas	«Durante la semana pasada» · horas/minutos L-V y S-D (P6_1xA_nn_1..4)	persona (horas/semana; media ponderada por eje) y hogar (razón)	personas elegidas de 12 años y más (TMODULO; TVAR_CREA 74 053 personas según el árbitro MAESTRA35-L7)	FAC_PER (persona, en TMODULO y TVAR_CREA) · FAC_HOG (hogar, en TSDEM/THOGAR, no en TVAR_CREA) · EST_DIS × UPM_DIS · TLOC 1-4	enut2024_fd.xlsx sha256/16=4a7dddf1bc0612f5 hoja TMODULO filas 659-1199 (FILTRO_S6_11..P6_15A_7_4) y hoja TVAR_CREA filas 43-53 · enut2024_diccionario_variables.html sha256/16=f9a2e32bc7673946	FD hojas TVIVIENDA, THOGAR, TSDEM (FAC_HOG), TMODULO (6.11-6.15, FILTRO_S6_1x, EDAD_V, NIV, TLOC, diseño), TVAR_CREA (variables creadas, derivadas, diseño); RNM 2024; dictamen ADR-557 (forense/notas/2026-09-19-GEN2-PISOS-ENUT2019-EJES-1-dictamen.md §1)		Sellada en CALC-ENUT-0001 (razón), CALC-ENUT2024-PARTICIPACION-INTENSIDAD-0001 y CALC-ENUT2024-DISTRIBUCION-HORAS-0002 (este último bajo FP-409: no se usa como oro). La fórmula INEGI se valida en el acto sumando los ítems crudos de TMODULO contra TVAR_CREA (RESULT de validación, no supuesto).
C1	Horas semanales de cuidado a integrantes del hogar, definición sellada 2024: CUID_ESP_INT_HOG_CON_CP + CUID_INT_0A5_CON_CP + CUID_INT_6A14_CON_CP + CUID_INT_60MAS_CON_CP (tvar_crea; CALC-ENUT-0001)	2019	2024	CAMBIO-DE-INSTRUMENTO	Toda la definición: 9 actividades de 2024 (4 emocionales + 4 esperas + presencia en el pasivo) no existen en 2019; 6.13 cubre 0-14 (anida 0-5) donde 2024 separa 6-14.	TModulo 6.11 P6_11_01..11; 6.12 P6_12_1..3; 6.13 P6_13_1..6 (0-14); 6.15 P6_15_1..4; sin tabla de variables creadas	Pasivo: «mientras hacía otra cosa, lo(s) cuidó o estuvo al pendiente?» (P6_11_11, P6_13_6, P6_15_4) — sin «de forma presente». Sin ítem «jugar, leerle(s), escucharle(s), orientarle(s) o consolarle(s)». Sin ítem «esperó». Salud: «lo(s) llevó, recogió o esperó para que recibiera(n) atención de salud» (fusionado)	Ítem 1 Sí; tiempo horas/minutos L-V y S-D (P6_1xA_nn_1..4); tabla TModulo sin variables creadas	FP6_11 (3.11=1); FP6_12 0-5 sin cuidados; FP6_13 0-14 sin cuidados especiales (incluye a los de 0-5); FP6_14; FP6_15 60+	«Durante la semana pasada» · horas/minutos L-V y S-D (P6_1xA_nn_1..4)	persona y hogar	integrantes del hogar de 12 años y más (TMODULO tradicional; la tabla _indígena es extracción del subconjunto hablante, RNM 2019)	FAC_PER (persona) · FAC_HOG (hogar, en TSDem/THogar) · EST_DIS × UPM_DIS · TLOC 1-4 · ponderadores reemplazados el 28/ago/2025 (nota_bd_enut_2019.txt)	enut2019_fd.xlsx sha256/16=8577edc8e1f2b001 hoja TModulo filas 6.11-6.15 (P6_11_01..P6_15_4) · enut2019_diccionario_variables.html sha256/16=3c47a1341092fdd1	FD hojas TVivienda, THogar (FAC_HOG), TSDem (SEXO, EDAD, FAC_HOG, FAC_PER), TModulo (NIV, 6.1-6.15, EDAD_V, TLOC, EST_DIS, UPM_DIS, FAC_PER); RNM 2019 descripciones de tabla; nota_bd_enut_2019.txt	Sobre las 140 filas de 6.11-6.15 del FD 2019: «consol» 0, «orient» 0, «escuch» 0, «jugar» 0, «de forma presente» 0, «tvar_crea» 0, «variables creadas» 0; «esper» 4, todas dentro del ítem fusionado «llevó, recogió o esperó para que recibiera(n) atención de salud», ninguna como ítem propio «sin hacer otra actividad»	Veredicto de ADR-557 (PR #908), confirmado hoy contra el FD. Diferencia 2019→2024 desagregada por ítem en el dictamen §1.4; en esta tabla vive la consecuencia: no hay piso 2019 de C1. La conducta C2 es lo construible.
C1	Horas semanales de cuidado a integrantes del hogar, definición sellada 2024: CUID_ESP_INT_HOG_CON_CP + CUID_INT_0A5_CON_CP + CUID_INT_6A14_CON_CP + CUID_INT_60MAS_CON_CP (tvar_crea; CALC-ENUT-0001)	2014	2024	CAMBIO-DE-INSTRUMENTO	Toda la definición (mismo motivo que 2019: 2014 ≡ 2019 ítem por ítem).	TMODULO2 6.11 P6_11_01_1..P6_11_11_5; 6.12 P6_12_1..3; 6.13 P6_13_1..6 (0-14); TMODULO3 6.15 P6_15_1..4	Textos idénticos a 2019 en los 24 ítems de cuidado (6.11×11, 6.12×3, 6.13×6, 6.15×4); única variación: 6.14_3 «de clases, trabajo u otro lugar» (2019 añade «de algún trámite»), fuera de C1	Ítem 1 Sí / 2 No / 9 NE / b; tiempo horas 00-99, minutos 00-59, horas S-D 00-48 (columnas _2.._5)	FILTRO 6.11 (3.11=1); 6.12 0-5 sin cuidados especiales; 6.13 0-14 sin cuidados especiales; 6.15 60+ sin cuidados especiales (idénticos a 2019)	«Durante la semana pasada» · horas/minutos L-V y S-D (columnas _2.._5 de cada ítem)	persona y hogar	integrantes del hogar de 12 años y más (TMODULO2/TMODULO3, 42 118 registros según cabecera DBF; base nacional Enut2014.zip, el subconjunto _PI es extracción, no muestra adicional)	FAC_PER (persona, C 5) · FAC_VIV (vivienda; no existe FAC_HOG) · EDIS × UPM_DIS (el estrato se llama EDIS, no EST_DIS) · TLOC 1-4	enut2014_fd.xls sha256/16=032c504c100241d5 hoja TModulo2 filas 195-406 y TModulo3 filas 25-103 · enut2014_diccionario_variables.html sha256/16=db9c9f75b47a2842	FD hojas TSDem (SEXO, EDAD, TLOC, FAC_PER, EDIS), TModulo1 (NIV, 6.1-6.10), TModulo2 (6.11-6.13), TModulo3 (6.14-6.15, VII, VIII), THogar, TVivienda; RNM 2014 descripciones de tabla	Sobre las 172 filas de 6.11-6.15 del FD 2014 (TModulo2+TModulo3): «consol» 0, «orient» 0, «de forma presente» 0, «variables creadas» 0; «esper» 4, todas dentro del ítem fusionado de atención de salud	2014 y 2019 comparten instrumento de cuidado; 2014 no tiene FAC_HOG (sólo FAC_VIV) y su estrato se llama EDIS.
C1	Horas semanales de cuidado a integrantes del hogar, definición sellada 2024: CUID_ESP_INT_HOG_CON_CP + CUID_INT_0A5_CON_CP + CUID_INT_6A14_CON_CP + CUID_INT_60MAS_CON_CP (tvar_crea; CALC-ENUT-0001)	2009	2024	CAMBIO-DE-INSTRUMENTO	Toda la definición: otra batería (5.10-5.13), otros cortes de edad (menores de 6 / menores de 15 / 60+), sin filtro de dependencia en 5.11-5.13, dependientes en tabla aparte por persona cuidada.	TCuidados 5.10 P5_10_1..6 (por dependiente N_REF); TModulo2 5.11 P5_11_1..3 (menores de 6), 5.12 P5_12_1..5 (menores de 15), 5.13 P5_13_1..2 (60+), 5.14 P5_14_1..2 (integrante cualquiera)	5.11 «dio de comer a algún menor de 6 años?» / «bañó, aseó, vistió o arregló…» / «cargó o acostó…»; 5.12 «llevó o recogió de la guardería o escuela a algún menor de 15 años?» / «ayudó en las tareas de la escuela…» / «asistió a juntas, festivales o actividades de apoyo…» / «llevó, acompañó o recogió a algún menor de 15 años para recibir atención médica?» / «estuvo al pendiente de algún menor de 15 años mientras usted hacía otra cosa?»; 5.13 «llevó, acompañó o recogió a algún adulto mayor de 60 años para recibir atención médica?» / «estuvo al pendiente de algún adulto mayor…»; 5.14 «consoló, aconsejo o conversó con algún integrante del hogar?»; 5.10 «le dio de comer a (NOMBRE) o le ayudó a hacerlo?» / «bañó, aseó, vistió o arregló…» / «le administró medicamentos…, monitoreó o estuvo al pendiente de sus síntomas?» / «llevó o acompañó a (NOMBRE) para recibir atención médica?» / «le dio terapia especial… o le ayudó a realizar ejercicios?» / «cuidó o estuvo al pendiente de (NOMBRE) mientras usted hacía otra cosa?»	Ítem 1 Sí / 2 No / 3 No aplica / 9 NE; tiempo horas 00-99 (P5_13_2_2 000-999), minutos 00-59, S-D horas 00-48 (columnas _2.._5)	5.10 sólo para dependientes identificados en 3.x (tabla TCuidados, una fila por par); 5.11-5.13 sin filtro de «no dependiente»; 5.14 sin corte de edad	«¿Durante la semana pasada …» · horas y minutos de lunes a viernes y de sábado a domingo (columnas _2.._5 de cada ítem)	persona y hogar	integrantes del hogar de 12 años y más (TModulo2, 44 084 registros según cabecera DBF; TCuidados una fila por par cuidador×dependiente)	FAC_PER (persona) · FAC_VIV (vivienda/hogar; no existe FAC_HOG) · EST_DIS × UPM_DIS · LOC 1 urbano / 2 rural	enut2009_fd.pdf sha256/16=7f51369ae14244f7 pdf-págs 8 (3.14 NIV), 19-20 (5.11-5.13), 26 (5.10 TCuidados) · enut2009_diccionario_variables.html sha256/16=ccd1eb3e762d8b4c · cuest_ENUT2009.pdf dentro de enut2009_bd_dbf.zip sha256/16(zip)=ae1bbbaf12ec4eb6	FD cap. III (TSDem: SEXO, EDAD, NIV, LOC), cap. V TModulo2 5.1-5.24, TCuidados 5.10, diseño muestral; RNM 2009 grupos TCuidados/TModulo; cuestionario 2009 secciones V	«terapia» en 5.12 (0), «computadora» en 5.13 (0), «cargó» y «remedios» en 5.10 (0), «6 a 14», «0 a 5» (0: los cortes son «menor de 6» y «menor de 15»)	5.14 «consoló, aconsejó o conversó» es un ítem emocional genérico (sin edad) que no equivale a los emocionales 2024 (por bloque de edad y «sin hacer otra actividad»); queda fuera de toda variante.
C2	Horas semanales de cuidado — NÚCLEO COMÚN 2014/2019/2024: ítems = o ≈ de los bloques especiales, 0-14 (6.12∪6.13) y 60+, pasivo tal cual en cada ola, sin emocionales ni esperas; 15-59 fuera (como en C1)	2024	2024 (ancla)	MISMO-INSTRUMENTO	Fila ancla: define el subconjunto de ítems 2024 que forma el núcleo.	6.11 {01,02,03,04,05,06,07,08,10,11,12,14} · 6.12 {01,02,03,05,06,07,08,09,10,12} · 6.13 {2,3,4,5,6,7,9} · 6.15 {1,2,3,5,7}; excluidos: esperas {P6_11_09, P6_12_04, P6_13_1, P6_15_4} y emocionales {P6_11_13, P6_12_11, P6_13_8, P6_15_6}	Pares ≈ declarados: 2024 acompañó (P6_11_06/P6_12_08/P6_13_5/P6_15_2) + llevó/recogió (P6_11_07/P6_12_09/P6_13_6/P6_15_3) ↔ un solo ítem «llevó, recogió o esperó» en 2014/2019; P6_12_06 «ayudó en actividades de educación inicial o preescolar» ↔ tareas 0-14; P6_12_10/P6_13_7 «revisó o dio atención a su salud» ↔ «terapia especial o ejercicios» 0-14; pasivo «vigiló o estuvo al pendiente de forma presente» ↔ «cuidó o estuvo al pendiente»	Como C1; horas = h_LV + min_LV/60 + h_SD + min_SD/60 por ítem, suma sin tope	Los mismos filtros de C1; 6.12 y 6.13 se suman (0-14) para casar con el 0-14 anidado de 2014/2019	«Durante la semana pasada» · horas/minutos L-V y S-D (P6_1xA_nn_1..4)	persona (media) y hogar (razón)	personas elegidas de 12 años y más (TMODULO; TVAR_CREA 74 053 personas según el árbitro MAESTRA35-L7)	FAC_PER (persona, en TMODULO y TVAR_CREA) · FAC_HOG (hogar, en TSDEM/THOGAR, no en TVAR_CREA) · EST_DIS × UPM_DIS · TLOC 1-4	enut2024_fd.xlsx sha256/16=4a7dddf1bc0612f5 hoja TMODULO filas 659-1199 (FILTRO_S6_11..P6_15A_7_4) y hoja TVAR_CREA filas 43-53 · enut2024_diccionario_variables.html sha256/16=f9a2e32bc7673946	FD hojas TVIVIENDA, THOGAR, TSDEM (FAC_HOG), TMODULO (6.11-6.15, FILTRO_S6_1x, EDAD_V, NIV, TLOC, diseño), TVAR_CREA (variables creadas, derivadas, diseño); RNM 2024; dictamen ADR-557 (forense/notas/2026-09-19-GEN2-PISOS-ENUT2019-EJES-1-dictamen.md §1)		Estimando NUEVO, autorizado por mesa el 21/sep/2026 (opción A). Se valida en 2024 que la suma de TODOS los ítems reproduce TVAR_CREA *_CON_CP persona por persona (RESULT de validación); C2 ≤ C1 por construcción y su diferencia por eje mide el tamaño del cambio de instrumento.
C2	Horas semanales de cuidado — NÚCLEO COMÚN 2014/2019/2024: ítems = o ≈ de los bloques especiales, 0-14 (6.12∪6.13) y 60+, pasivo tal cual en cada ola, sin emocionales ni esperas; 15-59 fuera (como en C1)	2019	2024	CAMBIO-MENOR	Actividades y cortes de edad iguales; cambian (a) el pasivo, que en 2019 no exige presencia, (b) tres ítems de salud fusionan traslado+espera+acompañamiento donde 2024 los parte en dos, (c) el bloque 0-14 es uno solo (6.13) más 6.12 sólo con 3 ítems físicos.	6.11 P6_11_01..11 (todos) · 6.12 P6_12_1..3 · 6.13 P6_13_1..6 · 6.15 P6_15_1..4	Ver fila C1/2019: textos verbatim de los 24 ítems; el núcleo los toma todos	Ítem 1 Sí; P6_1xA_nn_1..4 horas/minutos	FP6_11, FP6_12, FP6_13 (0-14), FP6_15	«Durante la semana pasada» · horas/minutos L-V y S-D (P6_1xA_nn_1..4)	persona (media) y hogar (razón)	integrantes del hogar de 12 años y más (TMODULO tradicional; la tabla _indígena es extracción del subconjunto hablante, RNM 2019)	FAC_PER (persona) · FAC_HOG (hogar, en TSDem/THogar) · EST_DIS × UPM_DIS · TLOC 1-4 · ponderadores reemplazados el 28/ago/2025 (nota_bd_enut_2019.txt)	enut2019_fd.xlsx sha256/16=8577edc8e1f2b001 hoja TModulo filas 6.11-6.15 (P6_11_01..P6_15_4) · enut2019_diccionario_variables.html sha256/16=3c47a1341092fdd1	FD hojas TVivienda, THogar (FAC_HOG), TSDem (SEXO, EDAD, FAC_HOG, FAC_PER), TModulo (NIV, 6.1-6.15, EDAD_V, TLOC, EST_DIS, UPM_DIS, FAC_PER); RNM 2019 descripciones de tabla; nota_bd_enut_2019.txt		Dirección esperada del sesgo declarada, no medida: el pasivo 2019 sin exigencia de presencia admite más horas que el pasivo presente 2024; la espera dentro del ítem de salud 2019 se cuenta donde 2024 la separa y el núcleo la excluye. Ambos empujan C2(2019) ≥ C2(2024) a conducta constante.
C2	Horas semanales de cuidado — NÚCLEO COMÚN 2014/2019/2024: ítems = o ≈ de los bloques especiales, 0-14 (6.12∪6.13) y 60+, pasivo tal cual en cada ola, sin emocionales ni esperas; 15-59 fuera (como en C1)	2014	2024	CAMBIO-MENOR	Idéntico a 2019 (2014 ≡ 2019 en los 24 ítems).	TMODULO2 6.11 P6_11_01..11, 6.12 P6_12_1..3, 6.13 P6_13_1..6 · TMODULO3 6.15 P6_15_1..4 (columnas _1 Sí, _2.._5 tiempo)	Ver fila C1/2014	Ítem 1 Sí / 2 No / 9 / b; columnas _2.._5 tiempo	FILTRO 6.11, 6.12, 6.13 (0-14), 6.15 idénticos a 2019	«Durante la semana pasada» · horas/minutos L-V y S-D (columnas _2.._5 de cada ítem)	persona (media) y hogar (razón con FAC_VIV, variante declarada)	integrantes del hogar de 12 años y más (TMODULO2/TMODULO3, 42 118 registros según cabecera DBF; base nacional Enut2014.zip, el subconjunto _PI es extracción, no muestra adicional)	FAC_PER (persona, C 5) · FAC_VIV (vivienda; no existe FAC_HOG) · EDIS × UPM_DIS (el estrato se llama EDIS, no EST_DIS) · TLOC 1-4	enut2014_fd.xls sha256/16=032c504c100241d5 hoja TModulo2 filas 195-406 y TModulo3 filas 25-103 · enut2014_diccionario_variables.html sha256/16=db9c9f75b47a2842	FD hojas TSDem (SEXO, EDAD, TLOC, FAC_PER, EDIS), TModulo1 (NIV, 6.1-6.10), TModulo2 (6.11-6.13), TModulo3 (6.14-6.15, VII, VIII), THogar, TVivienda; RNM 2014 descripciones de tabla		Serie 2014-2019-2024 de C2 es comparable con la cautela del pasivo (2024 presente). Ponderador de hogar: FAC_VIV (no hay FAC_HOG) — variante declarada para la razón.
C2	Horas semanales de cuidado — NÚCLEO COMÚN 2014/2019/2024: ítems = o ≈ de los bloques especiales, 0-14 (6.12∪6.13) y 60+, pasivo tal cual en cada ola, sin emocionales ni esperas; 15-59 fuera (como en C1)	2009	2024	CAMBIO-DE-INSTRUMENTO	El núcleo exige ítems que 2009 no pregunta: terapia/ejercicios 0-14 (6.13_2), apoyo con computadora/cursos 60+ (6.15_1), llevó/recogió del trabajo o trámite 60+ (6.15_3), y en dependientes cargó/acostó, remedios caseros, llevó/recogió de clases, tareas y juntas (6.11 03,04,08,09,10); además 5.11-5.13 no excluyen a los dependientes.	5.10 (TCuidados), 5.11, 5.12, 5.13 — véase C1/2009	Ver fila C1/2009	Ver fila C1/2009	Ver fila C1/2009	«¿Durante la semana pasada …» · horas y minutos de lunes a viernes y de sábado a domingo (columnas _2.._5 de cada ítem)	persona y hogar	integrantes del hogar de 12 años y más (TModulo2, 44 084 registros según cabecera DBF; TCuidados una fila por par cuidador×dependiente)	FAC_PER (persona) · FAC_VIV (vivienda/hogar; no existe FAC_HOG) · EST_DIS × UPM_DIS · LOC 1 urbano / 2 rural	enut2009_fd.pdf sha256/16=7f51369ae14244f7 pdf-págs 8 (3.14 NIV), 19-20 (5.11-5.13), 26 (5.10 TCuidados) · enut2009_diccionario_variables.html sha256/16=ccd1eb3e762d8b4c · cuest_ENUT2009.pdf dentro de enut2009_bd_dbf.zip sha256/16(zip)=ae1bbbaf12ec4eb6	FD cap. III (TSDem: SEXO, EDAD, NIV, LOC), cap. V TModulo2 5.1-5.24, TCuidados 5.10, diseño muestral; RNM 2009 grupos TCuidados/TModulo; cuestionario 2009 secciones V	«terapia» en 5.12 (0 de 5 ítems), «computadora» / «celular» / «cursos» en 5.13 (0 de 2), «trabajo» / «trámite» en 5.13 (0), «cargó» / «remedios» / «tareas» / «juntas» en 5.10 (0 de 6)	2009 sólo entra en la serie por C3 (núcleo mínimo).
C3	Horas semanales de cuidado — NÚCLEO MÍNIMO 2009/2014/2019/2024: sólo actividades presentes en las cuatro olas (comer, bañar, cargar, llevar a guardería/escuela, tareas, juntas, salud, pasivo; dependientes: comer, bañar, medicamentos, salud, terapia, pasivo; 60+: salud, pasivo)	2024	2024 (ancla)	MISMO-INSTRUMENTO	Fila ancla: subconjunto de C2.	6.11 {01,02,05,06,07,08,14} · 6.12 {01,02,03,05,06,07,08,09,12} · 6.13 {2,3,4,5,6,9} · 6.15 {2,3,7}	Subconjunto de los textos de C2/2024	Como C2	Como C2	«Durante la semana pasada» · horas/minutos L-V y S-D (P6_1xA_nn_1..4)	persona (media) y hogar (razón)	personas elegidas de 12 años y más (TMODULO; TVAR_CREA 74 053 personas según el árbitro MAESTRA35-L7)	FAC_PER (persona, en TMODULO y TVAR_CREA) · FAC_HOG (hogar, en TSDEM/THOGAR, no en TVAR_CREA) · EST_DIS × UPM_DIS · TLOC 1-4	enut2024_fd.xlsx sha256/16=4a7dddf1bc0612f5 hoja TMODULO filas 659-1199 (FILTRO_S6_11..P6_15A_7_4) y hoja TVAR_CREA filas 43-53 · enut2024_diccionario_variables.html sha256/16=f9a2e32bc7673946	FD hojas TVIVIENDA, THOGAR, TSDEM (FAC_HOG), TMODULO (6.11-6.15, FILTRO_S6_1x, EDAD_V, NIV, TLOC, diseño), TVAR_CREA (variables creadas, derivadas, diseño); RNM 2024; dictamen ADR-557 (forense/notas/2026-09-19-GEN2-PISOS-ENUT2019-EJES-1-dictamen.md §1)		Variante declarada en el COMMIT-1 para que 2009 entre en la serie; entra «toda o ninguna» con las demás variantes (firma de dirección §2).
C3	Horas semanales de cuidado — NÚCLEO MÍNIMO 2009/2014/2019/2024: sólo actividades presentes en las cuatro olas (comer, bañar, cargar, llevar a guardería/escuela, tareas, juntas, salud, pasivo; dependientes: comer, bañar, medicamentos, salud, terapia, pasivo; 60+: salud, pasivo)	2019	2024	CAMBIO-MENOR	Como C2/2019 (pasivo sin presencia; salud fusionada).	6.11 {01,02,05,06,07,11} · 6.12 {1,2,3} · 6.13 {1,3,4,5,6} · 6.15 {2,4}	Subconjunto de C1/2019	Como C2/2019	Como C2/2019	«Durante la semana pasada» · horas/minutos L-V y S-D (P6_1xA_nn_1..4)	persona y hogar	integrantes del hogar de 12 años y más (TMODULO tradicional; la tabla _indígena es extracción del subconjunto hablante, RNM 2019)	FAC_PER (persona) · FAC_HOG (hogar, en TSDem/THogar) · EST_DIS × UPM_DIS · TLOC 1-4 · ponderadores reemplazados el 28/ago/2025 (nota_bd_enut_2019.txt)	enut2019_fd.xlsx sha256/16=8577edc8e1f2b001 hoja TModulo filas 6.11-6.15 (P6_11_01..P6_15_4) · enut2019_diccionario_variables.html sha256/16=3c47a1341092fdd1	FD hojas TVivienda, THogar (FAC_HOG), TSDem (SEXO, EDAD, FAC_HOG, FAC_PER), TModulo (NIV, 6.1-6.15, EDAD_V, TLOC, EST_DIS, UPM_DIS, FAC_PER); RNM 2019 descripciones de tabla; nota_bd_enut_2019.txt		—
