paso	seccion	nacimiento	veces_por_acto	costo_estimado_s	recomendacion	justificacion
0.a BASE AL DIA (git fetch --prune + rev-list --count)	GUARD DE ARRANQUE	ACTO GEN2-E3 · AUTOMATIZA-GEN2-1, 7/sep/2026, plan v2.0 §8 Fase I	1	1-3	MANTENER	Barato (segundos); evita exactamente el defecto de arrancar sobre base atrasada y descubrirlo al cerrar, que cuesta el acto entero.
0.b ARBOL LIMPIO (git status --porcelain)	GUARD DE ARRANQUE	ACTO GEN2-E3 · AUTOMATIZA-GEN2-1, 7/sep/2026	1	<1	MANTENER	Instantáneo; evita perder trabajo ajeno sin commitear.
0.c DUPLICADO (ls-remote + worktree list + gh pr list --search)	GUARD DE ARRANQUE	ACTO GEN2-E3 · AUTOMATIZA-GEN2-1, 7/sep/2026 -- defecto real: dos sesiones sobre el mismo rotulo producen dos ADR con el mismo numero	1	2-5	MANTENER	Barato; protege contra la colision de numero de ADR que motivo esta guarda -- ya ocurrio.
0.d HIGIENE reporte (tools/limpia_arbol.py --reporta)	GUARD DE ARRANQUE	ACTO GEN2-E3 · AUTOMATIZA-GEN2-1, 7/sep/2026	1	2-4	MANTENER	Barato; solo reporta, no decide.
1 ADR re-derivado (tools/cierre_acto.py Fase A, incluye 1 corrida interna de check.py --baseline --parallel)	CIERRE	ACTO AUTOMATIZA-1-E3, 7/sep/2026 -- preflight mecanico, detecta colision de numero de ADR antes de redactarlo	1-2 (una por cierre; re-fusion repite)	60-200 (domina check.py interno)	ABARATAR	El chequeo de colision de ADR/FP es barato y vale la pena; la corrida interna de check.py que trae empaquetada es la PRIMERA de hasta 3 invocaciones por cierre (ver pasos 6 y 12) y prueba el arbol ANTES de que la cascada edite nada -- el mismo estado que el ejecutor tipicamente ya verifico al terminar la EJECUCION. Anadir una bandera `--asume-verde-si-mismo-arbol` (con el HASH DE ARBOL, no el commit, del VERDE ya corrido: `git rev-parse HEAD^{tree}`) ahorraria 1 de las hasta 6 ejecuciones del nucleo por cierre (~60-200s) sin perder cobertura donde de verdad cambia algo (pasos 6 y 12 siguen intactos). PRECISADO por ADENDA-1 (A5): la condicion es "mismo ARBOL", no "commit reciente" -- un commit reciente puede traer un arbol distinto al que el salto va a verificar (por ejemplo si la sesion edito algo entre la corrida VERDE y el paso 1), y comparar por sha de commit dejaria pasar ese cambio sin suite. El ahorro estimado no cambia.
2 Cabecera gobernanza (entrada nueva en canon/gobernanza-v1_15.md §4)	CIERRE	D-10 general, sin ACTO propio citado	1-2	<1 (edicion manual, tiempo humano no medido aqui)	MANTENER	Es el registro de la decision misma (E.2); no es un chequeo que costear, es el entregable.
3 Recifrado L0 (insercion a mano + tools/cierre_acto.py --aplica)	CIERRE	ADR-497 (retiro v1_12); ACTO AUTOMATIZA-2-B · CIERRA-TERCER-CONTADOR, 7/sep/2026	1-2	1-3	MANTENER	Barato y todo-o-nada; sustituye media docena de comandos manuales.
4 registro-rotulos.tsv (censo de rotulo)	CIERRE	D-6/ADR-128	1-2	<1	MANTENER	Barato; es el indice que T25 verifica.
5 T25 (_T25_ARCHIVOS_CONOCIDOS, si aplica rotulo pelado)	CIERRE	regex de tests/check.py::_T25_ROTULO_BARE	0-1 (condicional)	<1	MANTENER	Condicional y barato.
6 check.py --baseline --parallel #1 (verifica cascada antes de push)	CIERRE	D-10 general -- gate obligatorio antes de declarar el PR listo	1-2	60-200	MANTENER	Prueba el arbol DESPUES de los pasos 2-5 (gobernanza/L0/rotulos ya editados) -- estado distinto del paso 1; es el primer punto que puede atrapar una cascada mal aplicada.
