id_lectura	archivo_fuente_linea	rol_fuente	concepto_deduplicado	componente_y_limite	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-baa568e2-01	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L7	resumen_forense	CLIENT-AGENCIA	Regalos y transferencias no explican por sí solos grandes desenlaces; varios diseños miden oferta, participación, elección o secreto por separado	PENDIENTE-SINTESIS-POR-DISEÑO	¿Qué efecto identifica cada estudio sobre turnout, voto elegido y creencia de monitoreo, y qué parte sólo es correlación?	forense casos A1-A4/B1-B3/C1-C3; artículos originales y réplica por cotejar	ASTRA5-U3	No promediar ocho «casos conservados» con diez encabezados ni usar una sola regla causal; documentar unidad y diseño de cada caso.
LECTURA-baa568e2-02	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L10	resumen_forense	CLIENT-AGENCIA	Autonomía del voto frente a oferta de compra es afirmación de encuestas/experimentos con elecciones distintas	PENDIENTE-PANEL-Y-MONITOREO	¿Qué preguntas distinguen recibir oferta, aceptarla, creer que el voto es observable y voto efectivo en México?	Greene-Simpser 2018/2020; Greene 2024; Ascencio-Chang 2025 citados en forense	ASTRA5-U3	Separar respuestas declaradas de voto secreto observado y no convertir mayoría de casos en «regla» nacional sin marco de muestras.
LECTURA-baa568e2-03	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L11	resumen_forense	CLIENT-4T	Beneficiario 4T y voto correlacionan; aprobación/identidad y beneficio son predictores simultáneos, no canales causales aislados	PENDIENTE-ENEM-2024	¿Qué preguntas y coeficientes ENEM 2024 miden beneficio, identidad Morena, aprobación AMLO y voto Sheinbaum, con sus intervalos?	ENEM 2024 artículo de Castro Cornejo/Altamirano/Beltrán y cuestionario/microdato por cotejar; forense caso C1	ASTRA5-U3	Leer coeficientes/publicación primaria; no declarar efecto independiente nulo ni compra condicionada desde exit poll.
LECTURA-baa568e2-04	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L12	resumen_forense	CLIENT-MARGEN	Margen presidencial grande y distribución de regalos no identifican contribución causal de programas/maquinaria	PENDIENTE-DESCOMPOSICION	¿Qué diseño estima el efecto causal de dádivas/programas/identidad sobre votos 2018 y 2024 manteniendo emisor y segmento comparables?	INE cómputos 2018/2024; Greene-Simpser 2018 panel; ENEM 2024 por cotejar	ASTRA5-U3	Conservar «no explica por sí solo» como límite; no atribuir diferencia de margen a una variable sin contrafactual.
CASO-baa568e2-A1	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L28	caso_forense	CLIENT-PROGRESA	Progresa 2000 aleatorizado: De La O 2013 vs reanálisis Imai/King/Velasco 2020 discrepan sobre turnout/voto PRI	PENDIENTE-REPLICA-CORREGIDA	¿Qué unidades aleatorizadas, correcciones de datos y 12 intervalos del reanálisis producen efecto nulo?	Imai-King-Velasco 2020 Journal of Politics 82(2):714-730; De La O 2013 AJPS; datos de réplica por cotejar	ASTRA5-U3	Privilegiar lectura corregida con datos/versiones visibles y conservar disputa; no declarar persuasión donde sólo hay turnout.
CASO-baa568e2-A2	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L37	caso_forense	CLIENT-2018-OFERTAS	Encuesta panel 2018 capta ofertas/rechazos; victoria de quien ofreció menos no identifica efecto individual nulo	PENDIENTE-PANEL-EQD	¿Qué pregunta del panel EQD 2018 define ofrecido 52.9%, objetivo 42.4%, rechazo 42.7% y secreto percibido?	Greene-Simpser 2020 Política y Gobierno 27(2), cuestionario/datos panel EQD 2018 por cotejar	ASTRA5-U3	Revisar attrition 1310→583 y universos de porcentajes; separar oferta, aceptación y voto.
CASO-baa568e2-A3	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L46	caso_forense	CLIENT-REACCION-NEGATIVA	Experimento Greene 2024 mide reacción a ofertas según identificación partidista; no informa prevalencia nacional de compra efectiva	PENDIENTE-ARTICULO-ESTIMULO	¿Qué estímulo, asignación y desenlace del estudio «Money Can't Buy You Love» identifican reacción negativa?	Greene 2024 AJPS artículo/suplemento/replicación por localizar	ASTRA5-U3	Leer protocolo y muestra, conservar efecto experimental local sin extrapolar frecuencia nacional.
CASO-baa568e2-A4	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L53	caso_forense	CLIENT-AUTONOMIA-NORMA	Cornelius/Schedler 2000: rechazo normativo cualitativo/sondeos históricos, no voto observado 2024	PENDIENTE-SOURCE-2000	¿Qué entrevistas/preguntas originales sostienen 5%-25% de beneficio y rechazo normativo, en qué localidades?	Cornelius 2002 y Schedler 2004 citados en forense; instrumentos originales por localizar	ASTRA5-U3	Marcar evidencia histórica/ilustrativa y no equiparar norma declarada con ausencia de compra.
CASO-baa568e2-B1	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L60	caso_forense	CLIENT-SORIANA	Cantú 2019 estima efecto local por proximidad a Soriana; no prueba escala nacional de compra persuasiva	PENDIENTE-IDENTIFICACION-GEO	¿Qué sección, distancia, placebo y estimando Cantú 2019 usó para tarjetas Soriana 2012?	Cantú 2019 Journal of Politics 81(3):790-804, apéndice/datos por cotejar	ASTRA5-U3	Verificar supuesto de proximidad exógena y límites locales antes de generalizar.
CASO-baa568e2-B2	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md:L69	caso_forense	CLIENT-TURNOUT-BROKER	Larreguy/Marshall/Querubín 2016 identifica compra de participación bajo monitoreo de brokers, distinta de persuasión de preferencia	PENDIENTE-CASILLAS-DISEÑO	¿Qué variación exógena en número de casillas por sección y qué desenlace de PRI/PAN identifican monitoreo del broker?	Larreguy-Marshall-Querubín 2016 APSR 110(1):160-179 y apéndice/replicación por cotejar	ASTRA5-U3	Conservar distinción turnout/vote-choice y alcance espacial; «ni broker» retirado del motor no borra el estudio histórico.
