id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-96b842bb-01	corpus/reports/Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md:L15	EDER 2025 16.9/31.1% antes de 18 compara cohortes con distinta exposición; OCDE 46% 20-30 corresidencia es otro corte.		PENDIENTE-EDER-EMANCIPACION	¿Qué definición de independencia, edad/censura y cohorte EDER; qué pregunta OCDE da 46%?	INEGI EDER 2025 cuestionario/diseño/tablas; OECD Society at a Glance 2024	ASTRA5-MESA-JUVENTUD	Deduplicar con familia y separar cohorte, periodo y ciclo.
LECTURA-96b842bb-02	corpus/reports/Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md:L16	ENADID fecundidad 70.6→45.2 y TGF 2.07→1.60 usan edad y denominadores distintos; unión 2005/2025 exige fuente/estado conyugal comparable.		PENDIENTE-ENADID-FECUNDIDAD	¿Qué tablas ENADID 2023/CONAPO, edades y método estiman tasas y unión?	INEGI ENADID 2023 cuestionario/FD/diseño; serie 2005/2025	ASTRA5-MESA-JUVENTUD	Separar fertilidad, unión y causalidad de cohorte.
LECTURA-96b842bb-03	corpus/reports/Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md:L17	ENDUTIH 2024 97% internet, 5.7 horas, 97.2% smartphone y brecha rural necesitan reactivos/universos separados; RESULT P7_1 6+ no mide cada subgrupo.		PENDIENTE-ENDUTIH-JOVENES	¿Qué preguntas, edad 18-24, factor y localidad generan tasas/horas/dispositivo?	ENDUTIH 2024 cuestionario/FD/diseño en main; RESULT P7_1 agregado	ASTRA5-U1	Cotejar sólo coincidencias exactas; no extrapolar P7_1 agregado.
LECTURA-96b842bb-04	corpus/reports/Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md:L18	ENSANUT 2022 ideación alguna vez 7.6 adolescentes/7.7 adultos no es más alta en adolescentes; intento 6.5/3.5 y ENCODAT malestar tienen bases/ventanas distintas.		PENDIENTE-SALUD-MENTAL-JOVEN	¿Qué edades, preguntas, ventanas y sexo definen ideación, intento, malestar y muerte?	Borges et al. ENSANUT 2022; ENCODAT 2025; defunciones INEGI	ASTRA5-MESA-SALUD	Deduplicar con salud mental; corregir generalización de ideación.
LECTURA-96b842bb-05	corpus/reports/Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md:L19	Oxfam casi 8/10 NEET mujeres y 95% de ellas cuida: categoría de trabajo de mercado, cuidado y sexo requiere universo/horas; ENOE/ENUT diferentes.		PENDIENTE-NEET-CUIDADO	¿Qué edades, clasificación ENOE y pregunta de cuidados genera 8/10, 95% y 5.2-7.6 horas?	Oxfam No nos llames ninis; ENOE 2014-2024; ENUT 2024	ASTRA5-U1	Deduplicar con familia/género y separar trabajo doméstico de cuidado.
LECTURA-96b842bb-06	corpus/reports/Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md:L20	Censo mide adscripción por edad/sexo; secuencia individual de secularización y liderazgo femenino requieren comparación cohortes armonizadas.		PENDIENTE-RELIGION-JOVEN	¿Qué tabulados 2010/2020 por edad/sexo y estudio UNAM muestran desvinculación?	INEGI Censo 2010/2020; Acta Sociológica 2023	ASTRA5-MESA-RELIGION	Deduplicar con religiosidad; no equiparar sin religión con ateísmo.
LECTURA-96b842bb-07	corpus/reports/Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md:L21	Marcha 8M, actitudes, movilización y acceso legal a aborto son desenlaces distintos; geografía y tiempo de normas importan.		PENDIENTE-FEMINISMO-JOVEN	¿Qué encuesta por edad/sexo mide actitud, qué registro asistencia y qué estados/acceso vigente?	Encuesta mexicana actitudes; registros 8M; DOF/congresos/servicios por registrar	ASTRA5-MESA-GENERO	Separar movilización, opinión, ley y acceso; verificar vigencia.
LECTURA-96b842bb-08	corpus/reports/Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md:L22	ENDISEG 2021 5.1% 15+ y ~15.6% 15-19 son autoidentificación, no orientación latente ni prevalencia real; visibilidad y aceptación separadas.		PENDIENTE-ENDISEG-EDAD	¿Qué pregunta, edad, factor y IC genera 5.1/15.6 y 43% no compartido con padres?	INEGI ENDISEG 2021 cuestionario/FD/diseño	ASTRA5-MESA-GENERO	Deduplicar con pareja/familia; no extrapolar dating apps.
LECTURA-96b842bb-09	corpus/reports/Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md:L23	Berkeley YouGov 2020 n=2270 mide jerarquía política/cultural fuera de México; Deloitte/Stanford justifican liderazgo en otra muestra. No hay contrato mexicano.		PENDIENTE-JERARQUIA-JOVEN	¿Qué pregunta mexicana compara aceptación de jerarquía y exigencia de razones en mismo joven?	Berkeley 2024 brief; Deloitte 2025; estudio mexicano por localizar	ASTRA5-MESA-AUTORIDAD	Marcar transferencia y no unir dos mitades como un solo resultado.
LECTURA-96b842bb-10	corpus/reports/Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md:L24	51.4% atribuido a jóvenes de votación Morena puede invertir denominador; 57% voto joven por Sheinbaum y 63.5% simulacro tienen bases distintas.		PENDIENTE-VOTO-JOVEN	¿Qué encuesta salida, edad, base de 51.4% y ponderación distingue composición del voto frente a preferencia entre jóvenes?	Mitofsky 2024 metodología; salidas 2024; simulacros universitarios	ASTRA5-U3	Verificar denominador antes de «decisivo»; deduplicar con voto/clase.
