unidad	tipo	filas_o_contratos	razon
LECTURA-d6710e19-01	G	ENLACE;ASTRA5-U0-FIN-010	
LECTURA-d6710e19-02	G	ENLACE;ASTRA5-U0-FIN-011;ASTRA5-U0-FIN-012	
LECTURA-d6710e19-03	G	ENLACE;ASTRA5-U0-FIN-013;ASTRA5-U0-FIN-014	
LECTURA-d6710e19-04	G	ENLACE;ASTRA5-U0-FIN-015;ASTRA5-U0-FIN-016	
LECTURA-d6710e19-05	G	ASTRA5-U0-FIN-017;ASTRA5-U0-FIN-018;ASTRA5-U0-FIN-019	
LECTURA-d6710e19-06	G	ASTRA5-U0-FIN-020;ASTRA5-U0-FIN-021;ASTRA5-U0-FIN-022	
LECTURA-d6710e19-07	G	ASTRA5-U0-FIN-023;ASTRA5-U0-FIN-024	
LECTURA-d6710e19-08	G	ENLACE;ASTRA5-U0-FIN-025;ASTRA5-U0-FIN-026	
LECTURA-d6710e19-09	G	ENLACE;ASTRA5-U0-FIN-027	
LECTURA-d6710e19-10	G	ENLACE;ENLACE	
LECTURA-d6710e19-11	G	ENLACE;ASTRA5-U0-FIN-028	
LECTURA-d6710e19-12	G	ENLACE;ASTRA5-U0-FIN-029	
LECTURA-d6710e19-13	G	ASTRA5-U0-FIN-030;ASTRA5-U0-FIN-031;ASTRA5-U0-FIN-032;ASTRA5-U0-FIN-033	
TIER-d6710e19-L69	T		NO-AFIRMACION: encabezado de leyenda de la seccion 'Mapa de evidencia' que introduce tres narrativas populares (L70-72) ya calificadas por el propio report como 'Falso' en la seccion Mitos (L131-136, items 1-3); no es una afirmacion sostenida por el report sino un rotulo editorial que agrupa creencias a refutar.
LECTURA-d6710e19-01	F	ENLACE;ASTRA5-U0-FIN-010	
LECTURA-d6710e19-02	F	ENLACE;ASTRA5-U0-FIN-011;ASTRA5-U0-FIN-012	
LECTURA-d6710e19-03	F	ENLACE;ASTRA5-U0-FIN-013;ASTRA5-U0-FIN-014	
LECTURA-d6710e19-04	F	ENLACE;ASTRA5-U0-FIN-015;ASTRA5-U0-FIN-016	
LECTURA-d6710e19-05	F	ASTRA5-U0-FIN-017;ASTRA5-U0-FIN-018;ASTRA5-U0-FIN-019	
LECTURA-d6710e19-06	F	ASTRA5-U0-FIN-020;ASTRA5-U0-FIN-021;ASTRA5-U0-FIN-022	
LECTURA-d6710e19-07	F	ASTRA5-U0-FIN-023;ASTRA5-U0-FIN-024	
LECTURA-d6710e19-08	F	ENLACE;ASTRA5-U0-FIN-025;ASTRA5-U0-FIN-026	
LECTURA-d6710e19-09	F	ENLACE;ASTRA5-U0-FIN-027	
LECTURA-d6710e19-10	F	ENLACE;ENLACE	
LECTURA-d6710e19-11	F	ENLACE;ASTRA5-U0-FIN-028	
LECTURA-d6710e19-12	F	ENLACE;ASTRA5-U0-FIN-029	
LECTURA-d6710e19-13	F	ASTRA5-U0-FIN-030;ASTRA5-U0-FIN-031;ASTRA5-U0-FIN-032;ASTRA5-U0-FIN-033	
INT-L49-L51	INT	ASTRA5-U0-FIN-034	
INT-L65-L67	INT	ASTRA5-U0-FIN-035	
