decision_adquisicion_id	activo_id	familia_logica_id	accion	razon	beneficio_informativo	costo	riesgo	autoridad_requerida	criterio_parada	estado
DADQ-3ae5f8d5d51fb0473e20efc6	ADESC-2d97775d02b4aa6d56907f4a	NO_DETERMINADO	BUSQUEDA_DIRIGIDA	Verificar población, unidad y diseño material de una especificación descriptiva ya delimitada.	Determinar si la especificación puede ejecutarse sin inventar campos materiales.	Un intento dirigido en catálogo o documento oficial previamente localizado	Bajo; no se descargó ni incorporó el activo a T0	SUPERVISOR	Cerrar al localizar evidencia oficial o al agotar el intento dirigido; no hacer discovery panorámico.	NO_LOCALIZADO
DADQ-576549012218c1129ca6890d	ADESC-2fd1571170de3cc808444a6d	NO_DETERMINADO	BUSQUEDA_DIRIGIDA	Verificar población, unidad y diseño material de una especificación descriptiva ya delimitada.	Determinar si la especificación puede ejecutarse sin inventar campos materiales.	Un intento dirigido en catálogo o documento oficial previamente localizado	Bajo; no se descargó ni incorporó el activo a T0	SUPERVISOR	Cerrar al localizar evidencia oficial o al agotar el intento dirigido; no hacer discovery panorámico.	EVIDENCIA_LOCALIZADA
DADQ-5c5c2b5e119f1753bb78ab3d	ADESC-a3d55583950a7c2ad933baef	NO_DETERMINADO	BUSQUEDA_DIRIGIDA	Verificar población, unidad y diseño material de una especificación descriptiva ya delimitada.	Determinar si la especificación puede ejecutarse sin inventar campos materiales.	Un intento dirigido en catálogo o documento oficial previamente localizado	Bajo; no se descargó ni incorporó el activo a T0	SUPERVISOR	Cerrar al localizar evidencia oficial o al agotar el intento dirigido; no hacer discovery panorámico.	EVIDENCIA_LOCALIZADA
DADQ-637b625d92f19f257bc62ac7	ADESC-d0aacd50b3222cff460d5872	NO_DETERMINADO	BUSQUEDA_DIRIGIDA	Verificar población, unidad y diseño material de una especificación descriptiva ya delimitada.	Determinar si la especificación puede ejecutarse sin inventar campos materiales.	Un intento dirigido en catálogo o documento oficial previamente localizado	Bajo; no se descargó ni incorporó el activo a T0	SUPERVISOR	Cerrar al localizar evidencia oficial o al agotar el intento dirigido; no hacer discovery panorámico.	NO_LOCALIZADO
DADQ-68c8c1f27bc36be9bb140b8d	ADESC-007436221258b7bec4c7ddfd	NO_DETERMINADO	BUSQUEDA_DIRIGIDA	Verificar población, unidad y diseño material de una especificación descriptiva ya delimitada.	Determinar si la especificación puede ejecutarse sin inventar campos materiales.	Un intento dirigido en catálogo o documento oficial previamente localizado	Bajo; no se descargó ni incorporó el activo a T0	SUPERVISOR	Cerrar al localizar evidencia oficial o al agotar el intento dirigido; no hacer discovery panorámico.	EVIDENCIA_LOCALIZADA
DADQ-776ce1b91e412ae8c0ec1b7b	ADESC-6744f78c1b8c5c40c65b6e00	NO_DETERMINADO	BUSQUEDA_DIRIGIDA	Verificar población, unidad y diseño material de una especificación descriptiva ya delimitada.	Determinar si la especificación puede ejecutarse sin inventar campos materiales.	Un intento dirigido en catálogo o documento oficial previamente localizado	Bajo; no se descargó ni incorporó el activo a T0	SUPERVISOR	Cerrar al localizar evidencia oficial o al agotar el intento dirigido; no hacer discovery panorámico.	EVIDENCIA_LOCALIZADA
DADQ-8b0c6ad0ada0bb84c752f319	ADESC-a7f8b2c1914408e032dd6b2c	NO_DETERMINADO	BUSQUEDA_DIRIGIDA	Verificar población, unidad y diseño material de una especificación descriptiva ya delimitada.	Determinar si la especificación puede ejecutarse sin inventar campos materiales.	Un intento dirigido en catálogo o documento oficial previamente localizado	Bajo; no se descargó ni incorporó el activo a T0	SUPERVISOR	Cerrar al localizar evidencia oficial o al agotar el intento dirigido; no hacer discovery panorámico.	EVIDENCIA_LOCALIZADA
DADQ-96308f951aaaec86131db9ff	ADESC-4870e9379d2cf6e8ed1df000	NO_DETERMINADO	BUSQUEDA_DIRIGIDA	Verificar población, unidad y diseño material de una especificación descriptiva ya delimitada.	Determinar si la especificación puede ejecutarse sin inventar campos materiales.	Un intento dirigido en catálogo o documento oficial previamente localizado	Bajo; no se descargó ni incorporó el activo a T0	SUPERVISOR	Cerrar al localizar evidencia oficial o al agotar el intento dirigido; no hacer discovery panorámico.	EVIDENCIA_LOCALIZADA
DADQ-aaeea4b3116c4be749e0d2b7	CONJUNTO_T0_NO_ADQUIRIDO:n=35199:sha256=4e220c67e2822f4dd34ed5911d5f9a7bf204d93f2949d35f59689aba7e7c42ea	NO_APLICA_CONJUNTO_EXACTO	NO_ADQUIRIR_AHORA	No existe una carencia concreta autorizada que justifique adquirir en masa el conjunto exacto; sus miembros son las filas DECLARADO_NO_ADQUIRIDO de universo-declarado-t0.tsv, reconciliadas por el hash del alcance.	NO_DETERMINADO hasta vincular una carencia concreta sin revelar contexto a Nivel 1	Descarga, almacenamiento, verificación e inspección no evaluados individualmente	Ampliar el alcance y mezclar activos posteriores con el denominador T0	SUPERVISOR	Mantener sin adquirir hasta una decisión supervisora fundada en una carencia concreta y máximo dos intentos.	VIGENTE
DADQ-ee5202e2526b67ed12ea82a6	ADESC-252f169db18fcaad469a13d0	NO_DETERMINADO	BUSQUEDA_DIRIGIDA	Verificar población, unidad y diseño material de una especificación descriptiva ya delimitada.	Determinar si la especificación puede ejecutarse sin inventar campos materiales.	Un intento dirigido en catálogo o documento oficial previamente localizado	Bajo; no se descargó ni incorporó el activo a T0	SUPERVISOR	Cerrar al localizar evidencia oficial o al agotar el intento dirigido; no hacer discovery panorámico.	EVIDENCIA_LOCALIZADA
DADQ-fd58bc81069705057d2da9a3	ADESC-6a648170aaf9840055b9eaa0	NO_DETERMINADO	BUSQUEDA_DIRIGIDA	Verificar población, unidad y diseño material de una especificación descriptiva ya delimitada.	Determinar si la especificación puede ejecutarse sin inventar campos materiales.	Un intento dirigido en catálogo o documento oficial previamente localizado	Bajo; no se descargó ni incorporó el activo a T0	SUPERVISOR	Cerrar al localizar evidencia oficial o al agotar el intento dirigido; no hacer discovery panorámico.	EVIDENCIA_LOCALIZADA
