necesidad_id	fuente_canonica	evidencia_id	estado_anterior	estado_propuesto	evidencia_explicita	razon	reserva_incertidumbre	requiere_decision_humana
N1	ENCIG	OE-27a5b3ff4507764a40380904	CANDIDATA	CANDIDATA	MAIN:README.md;MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md | Relación entre confianza en servidores públicos y pago de mordida en la misma muestra.	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N2	ENCOAP	OE-52c65e0d0129b5272522d037	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L4	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N2	ISSP	OE-e98c88fd0bd8f8493cef061f	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L8 | INDEXADO-NO-DESCARGADO	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N2	ISSP	OE-f0df762d8d95ea4d04b39ef2	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L5	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N3	ISSP	OE-9de1114d76ce882ed34bf8e8	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L15	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N3	ISSP	OE-6c724f4d1ff61a92ad3b1beb	NEGATIVA	NEGATIVA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L38 | NO-ENCONTRADO-EN-UNIVERSO-DECLARADO	Negativa explícita preservada para esta relación semántica.	Ninguna; la apertura negativa está documentada.	NO
N3	MICROCREDIT_IMPACTS_RANDOMIZED_MICROCREDIT_PROGRAM_PLACEMENT_EXP	OE-0b4087e3279cfa0fe5c27919	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L4 | INDEXADO-NO-DESCARGADO	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N4	ENFIH2019_FD_XLSX	OE-d82cbec8d1cd45676a9c95b6	CANDIDATA	CANDIDATA	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/integrador-psicologia-mexicano.md | Reactivo actitudinal de aversión al riesgo con desenlace propio de G2.	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N5	WVS	OE-3e9b3749b85eec5a7a570417	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L17	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N6	ENFIH2019_FD_XLSX	OE-b03c67f3df56bb086aa5493e	CANDIDATA	NEGATIVA	MAIN:data/abrir4-variables-2026-08-08.tsv:L10 | P9_12_1..6 mide tenencia de seguros, no disposición actitudinal al riesgo; no hay desenlace relevante coobservado; EXISTE-NO-SATISFACE.	La apertura explícita demuestra un defecto de categoría para esta relación concreta: producto de seguro no equivale a aversión al riesgo.	La fuente puede contener otras relaciones, pero esta evidencia no satisface N6.	NO
N8	ENCIG	OE-819aa50dad79d83364ba8f0f	CANDIDATA	CANDIDATA	MAIN:canon/gobernanza-v1_15.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md | Exposición a violencia y respuesta de ver/oír/callar sin selección determinística por victimización.	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N10	ENBIARE2021	OE-62009c20a223203d160baf5c	CANDIDATA	NEGATIVA	MAIN:data/abrir4-variables-2026-08-08.tsv:L25 | PA6 y PA3_08 miden expectativa/perspectiva futura, pero ENBIARE no contiene desenlace conductual G4 de violencia/justicia coobservable; EXISTE-NO-SATISFACE.	La apertura explícita encuentra el reactivo, pero documenta que falta la coobservación exigida por N10.	El reactivo temporal existe; la negativa se limita a satisfacer la relación N10 completa.	NO
N12	ENBIARE2021	OE-7f44fa3fa8c7613438913dd6	CANDIDATA	CANDIDATA	MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md | Apoyo familiar no circular, coobservado con conducta de seguro/afrontamiento ante ausencia estatal.	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N12	ENFIH2019_FD_XLSX	OE-826b60a87b39ab2aec89c752	CANDIDATA	CANDIDATA	MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md | Apoyo familiar no circular, coobservado con conducta de seguro/afrontamiento ante ausencia estatal.	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N12	ISSP	OE-2d196672c346d9eb08441b65	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L8 | INDEXADO-NO-DESCARGADO	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N12	ISSP	OE-9c9700631e773d55e687e55c	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L5	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N12	ISSP	OE-af8ae9ef91dbb73b1e246458	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L6	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N13	ISSP	OE-366d9c5884d65abb8547ae56	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L9 | INDEXADO-NO-DESCARGADO	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N13	ISSP	OE-c784b73130190d561571fe98	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L5	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N13	ISSP	OE-dfce1d6e6ebbe5bcb65fec02	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L6	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N14	ENBIARE2021	OE-13d0bcd20755243644c9b7bd	CANDIDATA	CANDIDATA	MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md | Gradiente de confianza coobservado con dificultad financiera/seguro familiar en la misma muestra.	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N14	ENCUCI	OE-7bcdf8692160761ace39557f	CANDIDATA	CANDIDATA	MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md | Gradiente de confianza coobservado con dificultad financiera/seguro familiar en la misma muestra.	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N14	ISSP	OE-40750227480ea9c75b5c20c8	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L5	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N15	ENCOAP	OE-abc2c8ba2a4e437153d2ebfd	CANDIDATA	CANDIDATA	MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md;MAIN:corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md | Proxy de deferencia con diseño publicado y desenlace laboral/comunicacional en la misma muestra.	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N15	GLOBAL_PREFERENCES_SURVEY	OE-bc25d290ec6b244df97af048	CANDIDATA	CANDIDATA	MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md;MAIN:corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md | Proxy de deferencia con diseño publicado y desenlace laboral/comunicacional en la misma muestra.	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N15	LATINOBARÓMETRO	OE-6f933b74f8ae06c8c38d7f95	CANDIDATA	CANDIDATA	MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md;MAIN:corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md | Proxy de deferencia con diseño publicado y desenlace laboral/comunicacional en la misma muestra.	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N15	WVS	OE-ba2e48ea9eddf4b1176c5d08	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L17	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N16	ENCIG	OE-fdff082a292e54fde7d4b680	CANDIDATA	CANDIDATA	MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md;MAIN:forense/censo-estimabilidad-coeficientes-v1_0.md;MAIN:forense/cobertura-motor.md | Probabilidad de mordida bajo sanción/testigo, idealmente municipal y triangulada fuera de ENCIG.	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N16	ENCOAP	OE-2c7ace9dcc93466566d2c0a2	CANDIDATA	CANDIDATA	MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md;MAIN:forense/censo-estimabilidad-coeficientes-v1_0.md;MAIN:forense/cobertura-motor.md | Probabilidad de mordida bajo sanción/testigo, idealmente municipal y triangulada fuera de ENCIG.	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N17	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	OE-153099e060474c664f682d70	CANDIDATA	CANDIDATA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L13 | INDEXADO-NO-DESCARGADO	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N17	SERIES_SPEI_CODI_BANXICO	OE-d894d788fed5b863de54b79b	CANDIDATA	CANDIDATA	MAIN:data/mapa-fuentes-2026-08-06.tsv:L135	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
N18	ENOE	OE-50dfcbc516e7e4a51facda49	CANDIDATA	CANDIDATA	MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md;MAIN:corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md;MAIN:forense/cobertura-motor.md | Evasión por sanción creíble × utilidad percibida, separando subsistencia y cinismo de clase alta.	Estado preservado: la evidencia referenciada no contiene una apertura explícita aplicable suficiente para reclasificar esta relación concreta.	Falta apertura o mapeo fuente-necesidad-evidencia; no se infiere por afinidad temática.	NO
