variable	ola	item_num_cuestionario	pregunta_texto_verbatim	fuente_linea_cuestionario	nota
P35A/P35B(lista)	ola1 (marzo)	35A/35B	"Le voy a leer una lista de tres [o cuatro] actividades que aparecen en esta tarjeta y quisiera que me diga cuántas de estas actividades ha hecho usted en las últimas semanas... Lista A (folios pares, 3 items): a) Ver noticias en TV que mencionan candidato; b) Asistir a acto de campaña; c) Hablar de política con otras personas. Lista B (folios nones, 4 items): a) Ver noticias en TV que mencionan candidato; b) Asistir a acto de campaña; c) Recibir un regalo, favor o acceso a un servicio a cambio de su voto; d) Hablar de política con otras personas."	1192-1211	item sensible = c) de Lista B, folios nones; wording ESPAÑOL, confirma supuesto 2 de LEEME Adenda 3 (Lista B = Lista A + un ítem, ítem = venta del voto)
W2_P35A/W2_P35B(lista)	ola2 (julio)	35A/35B	idéntico wording verbatim a ola1 (mismo texto, folios pares/nones, mismo ítem c sensible)	3057-3121	confirma que el diseño de lista no cambió entre olas
P38A(ola1)	ola1 (marzo)	38a	"¿Usted o alguien de su familia que vive en esta casa...está inscrito al Seguro Popular?"	1352-1354	no es el usado en T-series de este acto
P38B(ola1, "P38B_oportunidades")	ola1 (marzo)	38b	"¿...recibe beneficios del Programa Oportunidades?"	1352-1354	variable de T12 (P38B_oportunidades x P8, control P36C); colisión de nombre corto con W2_P38B declarada en LEEME Adenda7-B
W2_P38A(Gabriel vignette)	ola2 (julio)	38a	"Vamos a suponer que hay una persona que se llama Gabriel/Gabriela... ¿Si alguien le ofreciera a Gabriel/Gabriela una despensa grande y variada a cambio de su voto, usted cree que Gabriel/Gabriela la aceptaría?"	3299-3306	variable de fila de T9b
W2_P38B(Gabriel vignette)	ola2 (julio)	38b	"Si Gabriel/Gabriela acepta, ¿usted cree que hace lo correcto o no hace lo correcto?"	3307-3309	variable de columna de T9b
P39	ola1 (marzo)	39	"¿Alguna persona le ha condicionado los beneficios de algún programa de gobierno en que usted está inscrito a cambio de su voto? (SI) ¿Cuál programa?"	1358-1360	filtrada a inscritos en programa (SOLO SI DIJO SÍ A 38a-c); variable de T13, universo=inscritos (N=696), no poblacional
P40	ola1 (marzo)	40	"En las últimas semanas, ¿Alguien le ha hecho un favor o le ha ofrecido un regalo o servicio a cambio de su voto?"	1361-1366	variable de T10 (xP7) y T11 (xP8); par de ola 1 de W2_P41
W2_P41	ola2 (julio)	41 (ola2, no transcrito aquí)	pregunta equivalente a P40 en ola2 (formulación reportada en LEEME, no re-transcrita de este cuestionario en este acto)	--	variable de T6, T7a, T7b, T9a
P46	ola1 (marzo)	46	"En general, ¿a qué clase social diría que pertenecen usted y su familia?"	1482-1483	control de T9b (5 niveles: alta/media alta/media baja/obrera/baja); ítem de ola1 aplicado como control estático en crosstab de ola2 (panel)
