relacion_id	necesidad_id	fuente_canonica_normalizada	objeto_evidencia_id_canonico	objeto_modelo_origen	objetos_modelo_permitidos	universo_declarado	universo_adquirido	universo_inspeccionado	universo_semantico	universo_productivo	estado_evidencia	adjudicacion_semantica	capacidad_productiva	clasificacion_relacion_legacy	estado_productivo_legacy	activo_id_vinculado	reporte_inspeccion_ref	regla_derivacion	reserva	destino_procesamiento
REL-00e7bd28c9c0db01fd89a3be	N24	ENIF	OE-6ef40dafb8aa2ce4de4aab6f	R3.4	R3.4	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-010587549b42b447e0b551cc	N14	ENASIC	OE-39b0e41e519661a192590d66	G5.radio_confianza	G5.radio_confianza	SI	SI	SI	SI	NO	MAPEADO_COMPLETO	NEGATIVA	NO_USAR_PARA_RELACION	NEGATIVA	NO_USAR_PARA_RELACION	ACT-5c3ec815e501b415d50abbea	RINS-35672cd7db9077ed5fb2b878	negativa legacy con procedencia aceptada;negativa legacy preservada	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	TERMINAL_LEGACY_PRESERVADO
REL-01ff8326fdbe3c0a4e299a02	N14	ENSAFI	OE-f5415c4f1402e7c66987fbd5	G5.radio_confianza	G5.radio_confianza	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	MECANISMO_NO_EJECUTADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	sin mecanismo exacto ejecutado;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-028de5b919a6739a98cd9289	N12	ENFIH	OE-ccd36853bad165d40420a98b	G5.familismo_apoyo	G5.familismo_apoyo	SI	SI	SI	SI	NO	MAPEADO_COMPLETO	NEGATIVA	NO_USAR_PARA_RELACION	NEGATIVA	NO_USAR_PARA_RELACION	ACT-74bf3091ec67b1696fbb9c72	RINS-bd965712738f58c527c4fbf0	negativa legacy con procedencia aceptada;negativa legacy preservada	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	TERMINAL_LEGACY_PRESERVADO
REL-02a3b065790c80afc38dd59c	N29	REGISTRO_DE_TANDAS_Y_REPUTACION	OE-0c58708f4cb7f7053d9d7a7f	R8.2	R8.2	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	NO_ACCESIBLE	CANDIDATA	SIN_RUTA_VIABLE_ACTUAL	NO_ACCESIBLE	BLOQUEADA_ACCESO	NO_DETERMINADO	NO_DETERMINADO	legacy NO_ACCESIBLE preservado;acceso bloqueado explícitamente; no se convierte en negativa	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	BLOQUEO_ACCESO_PRESERVADO
REL-02b8ee6d0e13dfb6dc7d3331	N27	CSES	OE-a56efe10a720cb6696d3271e	NO_DETERMINADO	R7.4;R7.5	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	DESCARGADO_NO_ABIERTO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	presencia en disco sin reporte exacto vinculado;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-02e6e4861871631dd29048bd	N14	02-	OE-2a65c4b42b26b46a976631ac	G5.radio_confianza	G5.radio_confianza	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	MECANISMO_NO_EJECUTADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	sin mecanismo exacto ejecutado;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-04c3943ecb0df7bacdc3c994	N12	ENFIH	OE-826b60a87b39ab2aec89c752	G5.familismo_apoyo	G5.familismo_apoyo	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	MAPEADO_COMPLETO	NEGATIVA	NO_USAR_PARA_RELACION	NEGATIVA	NO_USAR_PARA_RELACION	NO_DETERMINADO	NO_DETERMINADO	negativa legacy con procedencia aceptada;negativa legacy preservada	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	TERMINAL_LEGACY_PRESERVADO
REL-055f95a08fee0f508052ddec	N4	ENSAFI	OE-7b029300001a2bf782ba2f34	G2.aversion_riesgo	G2.aversion_riesgo	SI	SI	SI	SI	NO	MAPEADO_COMPLETO	NEGATIVA	NO_USAR_PARA_RELACION	NEGATIVA	NO_USAR_PARA_RELACION	ACT-a5b1ba06474f0809ac967843	RINS-e6b455f723e30e199e5ab6b6	negativa legacy con procedencia aceptada;negativa legacy preservada	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	TERMINAL_LEGACY_PRESERVADO
REL-0692b43ca9c2f7bb608a2858	N25	EXPERIMENTO_DE_INFORMACION_ELECTORAL_2009	OE-8f2afe044e85aa01a5d1887e	R7.1	R7.1	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-08af2a451bfb04d90902eec4	N28	IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	OE-cf8d6b60756007bb54baf260	R8.1	R8.1	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-0a4bbf31b54c5ce3565ba753	N26	PUB	OE-c1b02a844fc80c9293323757	R7.3	R7.3	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-0b0dac8dd04b5f25133518f8	N29	FINANZAS	OE-d644fa49bac078e3b0ce67b3	R8.2	R8.2	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-0b6385436015c470992017f1	N13	ENSAFI	OE-b82cd53df63bf1a736b8b985	G5.familismo_obligacion	G5.familismo_obligacion	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	MECANISMO_NO_EJECUTADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	sin mecanismo exacto ejecutado;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-0c03e53054567fc014b50bc0	N8	ENVIPE	OE-5e7583b82a9bd409ff3de7f4	G4.exposicion_violencia	G4.exposicion_violencia	SI	SI	SI	SI	NO	DESCARGADO_NO_ABIERTO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	ACT-b73c975ba73c4ceaf60433e0	RINS-141064fbf97be0ec11250915	reporte neutral estructural, sin mapeo semántico automático;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
REL-0ccb1f487408f4999004b321	N24	REPORTE_SOBRE_USO_Y_CONFIANZA_DE_SERVICIOS_FINANCIEROS_DIGITALES	OE-eddca7ca14da62ef97c9048e	R3.4	R3.4	SI	NO_DETERMINADO	NO_DETERMINADO	SI	NO	INDEXADO_NO_DESCARGADO	CANDIDATA	REQUIERE_DATO	CANDIDATA	PENDIENTE_EVIDENCIA	NO_DETERMINADO	NO_DETERMINADO	indexación declarada sin apertura exacta vinculada;falta adquisición, apertura o evidencia exacta	Reporte neutral no cambia adjudicación; identidad solo por id_manifiesto+hash exactos	CLASIFICAR_TRABAJO
