# DERIVADO (P5, ACTO GEN2-RELEVO-TANDA-1). Lo que la vista APRENDE de las mediciones del 18-20/sep. NO ADOPTA.
# Resultado: 0 ofertas nuevas. Ningun CALC del 19/sep declara pareja consumidor<-RESULT; la vista no INFIERE (regla de la casa en tools/relevo_usos.py).
calc	sellada	cuenta_gen2	adopcion_declarada	mapa_C1_consumidores	pin_C2_a_slot_legacy	oferta_para_vista	razon_sin_oferta
CALC-C2-COMPUESTO-RESERVADAS-0001	SI	SI  # PROPUESTO -- nace PENDIENTE-DE-MESA salvo firma; `adoptados_activos` no se mueve	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-EDER2017-PRIMERA-UNION-SEXO-COHORTE-0001	SI	PENDIENTE-DE-MESA	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-EDER2017-PRIMERA-UNION-SEXO-COHORTE-0002	SI	PENDIENTE-DE-MESA	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENADID-0001	SI	PENDIENTE-DE-MESA	NINGUNA	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENADID2023-UNION-SEXO-EDAD-0001	NO	PENDIENTE-DE-MESA	NINGUNA	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENADID2023-UNION-SEXO-EDAD-0002	SI	PENDIENTE-DE-MESA	NINGUNA	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENADID2023-UNION-SEXO-EDAD-0003	SI	PENDIENTE-DE-MESA	NINGUNA	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENADID2023-UNION-SEXO-EDAD-0004	SI	PENDIENTE-DE-MESA	NINGUNA	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENCIG2021-CRUCES-HISTORICOS-0001	NO	PENDIENTE-DE-MESA	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
CALC-ENCIG2021-CRUCES-HISTORICOS-0002	NO	PENDIENTE-DE-MESA	SIN-CLAVE-adopcion	NO	NINGUNO	NO	la spec no fija pareja consumidor<-RESULT: sin C1-MAPA, sin C1-SINGULAR y sin frase C2 de enlace; el canal C3 solo acredita cobertura de corrida
