unidad	tipo	filas_o_contratos	razon
LECTURA-ab76b878-01	G	ASTRA5-U0-EMOC-001	
LECTURA-ab76b878-01	F	ASTRA5-U0-EMOC-001	
LECTURA-ab76b878-02	G	ASTRA5-U0-EMOC-002	
LECTURA-ab76b878-02	F	ASTRA5-U0-EMOC-002	
LECTURA-ab76b878-03	G	ASTRA5-U0-EMOC-003	
LECTURA-ab76b878-03	F	ASTRA5-U0-EMOC-003	
LECTURA-ab76b878-04	G	ASTRA5-U0-EMOC-004;ASTRA5-U0-EMOC-005;ASTRA5-U0-EMOC-006	
LECTURA-ab76b878-04	F	ASTRA5-U0-EMOC-004;ASTRA5-U0-EMOC-005;ASTRA5-U0-EMOC-006	
LECTURA-ab76b878-05	G	ASTRA5-U0-EMOC-007	
LECTURA-ab76b878-05	F	ASTRA5-U0-EMOC-007	
LECTURA-ab76b878-06	G	ASTRA5-U0-EMOC-008;ASTRA5-U0-EMOC-009	
LECTURA-ab76b878-06	F	ASTRA5-U0-EMOC-008;ASTRA5-U0-EMOC-009	
LECTURA-ab76b878-07	G	ASTRA5-U0-EMOC-010	
LECTURA-ab76b878-07	F	ASTRA5-U0-EMOC-010	
LECTURA-ab76b878-08	G	ASTRA5-U0-EMOC-011	
LECTURA-ab76b878-08	F	ASTRA5-U0-EMOC-011	
LECTURA-ab76b878-09	G	ASTRA5-U0-EMOC-012;ASTRA5-U0-EMOC-013	
LECTURA-ab76b878-09	F	ASTRA5-U0-EMOC-012;ASTRA5-U0-EMOC-013	
LECTURA-ab76b878-10	G	ASTRA5-U0-EMOC-014	
LECTURA-ab76b878-10	F	ASTRA5-U0-EMOC-014	
LECTURA-ab76b878-11	G	ASTRA5-U0-EMOC-015	
LECTURA-ab76b878-11	F	ASTRA5-U0-EMOC-015	
LECTURA-ab76b878-12	G	ASTRA5-U0-EMOC-016;ASTRA5-U0-EMOC-017;ASTRA5-U0-EMOC-018;ASTRA5-U0-EMOC-019	
LECTURA-ab76b878-12	F	ASTRA5-U0-EMOC-016;ASTRA5-U0-EMOC-017;ASTRA5-U0-EMOC-018;ASTRA5-U0-EMOC-019	
LECTURA-ab76b878-13	G	ASTRA5-U0-EMOC-020	
LECTURA-ab76b878-13	F	ASTRA5-U0-EMOC-020	
LECTURA-ab76b878-14	G	ASTRA5-U0-EMOC-021	
LECTURA-ab76b878-14	F	ASTRA5-U0-EMOC-021	
LECTURA-ab76b878-15	G	ASTRA5-U0-EMOC-022	
LECTURA-ab76b878-15	F	ASTRA5-U0-EMOC-022	
CAND-ab76b878-L281	P		NO-AFIRMACION: nota editorial -- es la misma nota metodologica sobre criterios de tier (SOLIDO/MEDIO/HIPOTESIS) que cierra el report (L280-281); no es una afirmacion sobre Mexico, es meta-comentario sobre como el propio report clasifico su evidencia.
MORAL-INTERNO-01	F	ASTRA5-U0-EMOC-023;ASTRA5-U0-EMOC-001;ASTRA5-U0-EMOC-003;ASTRA5-U0-EMOC-015	
MORAL-INTERNO-02	F	ASTRA5-U0-EMOC-024;ASTRA5-U0-EMOC-025;ASTRA5-U0-EMOC-026;ASTRA5-U0-EMOC-027;ASTRA5-U0-EMOC-028;ASTRA5-U0-EMOC-010;ASTRA5-U0-EMOC-012;ASTRA5-U0-EMOC-013;ASTRA5-U0-EMOC-014;ASTRA5-U0-EMOC-016;ASTRA5-U0-EMOC-019	
MORAL-INTERNO-03	F	ASTRA5-U0-EMOC-029;ASTRA5-U0-EMOC-030;ASTRA5-U0-EMOC-001;ASTRA5-U0-EMOC-004;ASTRA5-U0-EMOC-005;ASTRA5-U0-EMOC-006;ASTRA5-U0-EMOC-020	
MORAL-INTERNO-04	F	ASTRA5-U0-EMOC-031;ASTRA5-U0-EMOC-032;ASTRA5-U0-EMOC-007;ASTRA5-U0-EMOC-016;ASTRA5-U0-EMOC-020;ASTRA5-U0-EMOC-021;ASTRA5-U0-EMOC-022	
