id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-188f152f-01	corpus/reports/La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md:L9	β −0.15 de apoyo, obligación y referente provienen de subescalas y muestras de diáspora; no estiman efecto causal nacional.		PENDIENTE-FAMILISMO-SALUD	¿Qué estudio, tamaño, ajuste y subescala produce β −0.15 y cuál se validó en México?	Zeiders 2013; Valdivieso-Mora 2016; escalas Sabogal/Lugo Steidel	ASTRA5-MESA-FAMILIA	Separar dimensiones y validez de transferencia México/EE.UU.
LECTURA-188f152f-02	corpus/reports/La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md:L11	Hofstede IDV 30 e IVR 97 son índices agregados; FP-293 conserva co-variación y no causa de calidez o fiesta.		PENDIENTE-HOFSTEDE-FAMILIA	¿Qué edición y muestra de índices permiten comparar países y cuál mide comportamiento familiar?	Hofstede Insights metodología; correcciones-vigentes-v1_0.tsv	ASTRA5-MESA-FAMILIA	Deduplicar con interacción/autoridad y degradar mecanismo.
LECTURA-188f152f-03	corpus/reports/La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md:L13	Vivienda +42%, salario −21% y salida 28.9 años tienen series/unidades distintas; causa económica de corresidencia exige seguimiento comparable.		PENDIENTE-CORRESIDENCIA	¿Qué periodos, deflactores, edades y pregunta de salida del hogar originan las tres cifras?	INEGI Censo/ENIGH; índice vivienda SHF; salarios reales; estudio emancipación por registrar	ASTRA5-MESA-FAMILIA	Separar tendencias y medir vínculo sin atribución automática.
LECTURA-188f152f-04	corpus/reports/La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md:L15	95.3% cuidadoras, 54.3 horas y 26.3% PIB son universos diferentes: cuidado de mayores, tiempo no remunerado y cuenta satélite.		PENDIENTE-CUIDADOS-FAMILIA	¿Qué encuesta/edad/cuidador, bloque ENUT y año de cuenta satélite originan cada tasa?	ENUT 2024 cuestionario/diseño en main; INEGI cuenta satélite; encuesta cuidadores por registrar	ASTRA5-U1	Deduplicar con vejez/género; TIME-002 no mide cuidado exclusivo de mayores.
LECTURA-188f152f-05	corpus/reports/La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md:L17	90% empresas familiares, 85% PIB y supervivencia 3/10 requieren definición empresa, valor agregado y cohorte longitudinal; no comparten necesariamente marco.		PENDIENTE-EMPRESA-FAMILIAR	¿Qué censo empresarial y registro longitudinal verifican propiedad/control y supervivencia generacional?	Secretaría de Economía/INEGI Censos Económicos; estudio supervivencia por registrar	ASTRA5-MESA-ECONOMIA	Verificar denominadores y evitar mezclar empresas con PIB.
LECTURA-188f152f-06	corpus/reports/La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md:L19	Segundo lugar mundial de estigma y refrán como barrera no tienen instrumento, año ni vínculo individual identificados.		PENDIENTE-ESTIGMA-FAMILIA	¿Qué encuesta internacional compara estigma con misma escala y mide respuesta familiar/búsqueda de atención?	Estudio comparado y Mora-Ríos/Bautista 2014 por registrar	ASTRA5-MESA-SALUD	Deduplicar con salud mental y separar ranking de mecanismo.
LECTURA-188f152f-07	corpus/reports/La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md:L21	Abnegación, afrontamiento pasivo, comunicación y enfermedad son dimensiones diferentes; muestra clínica no prueba causa en población.		PENDIENTE-ABNEGACION	¿Qué escala mexicana, muestra y modelo vincula abnegación con límites y desenlace clínico?	Díaz-Guerrero 1996; Ramírez Stege 2022; escala de cuidadores por registrar	ASTRA5-MESA-FAMILIA	Mantener asociaciones y evitar extrapolación clínica.
LECTURA-188f152f-08	corpus/reports/La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md:L23	Asociación en U de cohesión y alcohol adolescente requiere escala/edad/ajuste; enmeshment no equivale a cercanía familiar.		PENDIENTE-COHESION-ALCOHOL	¿Qué categorías y tamaños de Marsiglia 2009 producen ambos extremos y moderación?	Marsiglia et al. 2009 estudio primario por registrar	ASTRA5-MESA-SALUD	Acotar a muestra y no inferir causalidad ni diagnóstico.
LECTURA-188f152f-09	corpus/reports/La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md:L25	Tres de cuatro jóvenes fuera de estudio/trabajo mujeres y 18.9% de 18-24 usan sexo, edad y actividad diferentes; cuidado no se infiere del estatus NEET.		PENDIENTE-JOVENES-CUIDADO	¿Qué ola ENOE, edad y preguntas de trabajo doméstico/cuidado generan ambas cifras?	ENOE ola por identificar y ENUT 2024 diseño/cuestionario	ASTRA5-U1	No usar RESULT ENOE 2024T3 para ola no especificada; cruzar estatus y cuidado.
LECTURA-188f152f-10	corpus/reports/La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md:L27	Mitad ahorra exclusivamente informal contradice 36.6% en sección de producto; tanda, colchón y acceso son reactivos/universos distintos.		PENDIENTE-AHORRO-INFORMAL	¿Qué ola ENIF, pregunta de ahorro y denominador sustentan 50% o 36.6%?	ENIF 2024 cuestionario/FD/diseño y CALC por cotejar	ASTRA5-MESA-DINERO	Deduplicar FIN y CAPSOC; no equiparar uso de tanda a ahorro exclusivamente informal.
