id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-bed36971-01	corpus/reports/Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md:L12	Fecundidad ENADID, proporción 60+, proyección CONAPO y esperanza de vida son cuatro series con años y definiciones distintas; «antes de enriquecerse» es comparación adicional.		PENDIENTE-SERIES-EDAD	¿Qué tablas ENADID 2018/2023, CONAPO 2025/2030 y mortalidad 2024 sustentan 1.89, 12.3/14.7, 17.1m/12.8 y 75.5?	ENADID/CONAPO series oficiales y metadatos por registrar	ASTRA5-MESA-VEJEZ	Contratar cada serie y denominador; no unir cifras sin armonización de edad.
LECTURA-bed36971-02	corpus/reports/Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md:L14	82% de hogares con mayores nucleares/ampliados y 16.8% unipersonales refieren hogares/arreglos; 1.8m refiere personas, y «no por elección libre» es inferencia causal.		PENDIENTE-CENSO-HOGAR	¿Qué universo y clasificación del Censo 2020 originan 82%, 16.8% y 1.8m, y qué pregunta mide preferencia de corresidencia?	Censo 2020 tabulados de hogares/personas 60+; INAPAM por registrar	ASTRA5-MESA-VEJEZ	Separar unidades hogar/persona y degradar explicación de elección hasta prueba.
LECTURA-bed36971-03	corpus/reports/Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md:L16	Perfil cuidadora 50+, 14 h/día y 74% sin apoyo proviene de muestra de cuidadoras dependientes; distribución nacional ENUT es otro universo.		PENDIENTE-PERFIL-CUIDADO	¿Qué estudio, N, edad/dependencia del receptor y preguntas sustentan 14 h y 74%; qué mide ENUT 2024 por sexo?	Salazar-Barajas et al. perfil cuidadoras; ENUT 2024 cuestionario/diseño en main	ASTRA5-MESA-VEJEZ	No extrapolar muestra clínica a todas las mujeres; coordinar con TIME-002.
LECTURA-bed36971-04	corpus/reports/Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md:L18	Rango Zarit 14.5-66% mezcla estudios locales y umbrales; ISSSTE 52/36/98 mide tres desenlaces en muestra propia, no tasas nacionales.		PENDIENTE-ZARIT	¿Qué escala/umbral, instrumentos de depresión/ansiedad, N y dependencia de cada estudio originan los porcentajes?	Cabada Ramos y Martínez Castillo 2017; Landeros-Pérez 2014; estudio Sonora por registrar	ASTRA5-MESA-SALUD	Separar prevalencias por muestra, escala y dependencia; evitar promedio nacional.
LECTURA-bed36971-05	corpus/reports/Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md:L20	Monto y cobertura Pensión Bienestar 2026 son programa/fecha; suficiencia económica, pobreza y dependencia funcional requieren desenlaces diferentes.		PENDIENTE-PENSION-2026	¿Qué reglas de operación/padrón 2026 fijan 6,400 y >14m personas 65+; qué evaluación mide pobreza/cuidado?	Secretaría de Bienestar reglas y padrón 2026; evaluación CONEVAL por registrar	ASTRA5-MESA-VEJEZ	Verificar monto, corte y cobertura; no deducir efecto clínico de transferencia.
LECTURA-bed36971-06	corpus/reports/Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md:L22	3/10 pensión 65+, 41.5% hombres/25.4% mujeres y 40% cotizantes mezclan edad, sexo y población activa.		PENDIENTE-PENSION-CONTRIBUTIVA	¿Qué encuesta, variable, año y definición de pensión contributiva originan cada tasa; qué base calcula cotización laboral?	IIEc-UNAM Isalia Nava; CONEVAL/CONSAR/ENOE por registrar	ASTRA5-MESA-VEJEZ	Fijar denominadores y no inferir causalidad individual de la informalidad agregada.
LECTURA-bed36971-07	corpus/reports/Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md:L24	Ausencia de sistema nacional, trámite legislativo, ratio 15:1 y presupuesto son cuatro afirmaciones; estado legal exige cotejo vigente.		PENDIENTE-SNC	¿Qué texto legislativo/estatus al corte y método Inmujeres definen 15 veces, demanda potencial y reforma 2024?	Senado/Diputados expedientes y DOF; Inmujeres estudio de demanda por registrar	ASTRA5-MESA-VEJEZ	Separar existencia de programas subnacionales de sistema nacional y verificar norma/fecha.
LECTURA-bed36971-08	corpus/reports/Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md:L26	ENASEM 2021 satisfacción 88.3%, soledad 39.8% y equivalencia 10.3m no pueden usar todos el mismo 60+ si el propio report estima 17.1m 60+ en 2025: 39.8% de 17.1m es ~6.8m.		PENDIENTE-ENASEM-DENOMINADOR	¿Qué ítem/escala, ola, edad, expansión y tabla producen cada tasa y el absoluto 10.3m; corresponde 39.8% a otro universo?	ENASEM 2021 cuestionario, dato/tabulado y factores por registrar	ASTRA5-MESA-VEJEZ	Marcar equivalencia inconsistente; reconstruir universo antes de promover cifra.
LECTURA-bed36971-09	corpus/reports/Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md:L28	Remesas de hijos y soledad de mayores rurales son coocurrencias cualitativas; ausencia de compañía no se deduce de recepción de dinero.		PENDIENTE-MIGRACION-MAYORES	¿Qué estudios López Ramírez y Rojas Huerta/Lara Lara, localidades y entrevistas documentan remesas, convivencia y soledad?	Colmex 2008; estudio municipal 2023 por registrar	ASTRA5-MESA-VEJEZ	Deduplicar con report de migración, conservar diferencia entre red afectiva y transferencia.
LECTURA-bed36971-10	corpus/reports/Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md:L30	841 y 850 geriatras certificados son cortes de fuente/año distintos; 17,000 personas por geriatra y meta 2,770 son cociente y benchmark que requieren base.		PENDIENTE-GERIATRAS	¿Qué padrón/vigencia Consejo/CONACEM, edad de población y estándar originan 841/850, 17,000 y 2,770?	Consejo Mexicano de Geriatría; CERTEZA/CONACEM; INGER por registrar	ASTRA5-MESA-VEJEZ	Fijar fecha y certificación; recalcular razón antes de recomendación.
