id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-8d989005-01	corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md:L14	Confianza LAPOP policía/partidos contratada; porcentajes familia/universidad/Marina provienen de otras preguntas/universos; desempeño causal no medido	ASTRA5-U0-POL-001	MIXTA-JERARQUIA-PARCIAL	¿Qué reactivos ENCIG 2025 y ENVIPE 2025 originan 84.8/75.9/91% y comparten escala/universo con B18/B21 LAPOP?	lapop_abmex2023_cuestionario_mexico B18/B21; RESULT-LAPOP-PISOS-2019-TABLA main 72595501 B18=10.7189% es otra ola; ENCIG 2025 y ENVIPE 2025 tienen otras preguntas/universos	ASTRA5-U3	U3 coteja B18/B21 2023 en su propio universo; no heredar RESULT 2018-19 ni unir porcentajes heterogéneos como una escala.
LECTURA-8d989005-02	corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md:L16	93.2% cifra oculta tiene contrato POL-002; denuncia 9.6%, razones y resolución 0.8% requieren denominadores distintos; «cálculo racional» no directo	ASTRA5-U0-POL-002	MIXTA-CIFRA-MEDIBLE-EN-CORPUS-SIN-RESULT; RESTO-PENDIENTE	¿Qué preguntas ENVIPE 2025 y tabulado oficial generan denuncia, motivos de no denuncia y resolución positiva por incidente?	envipe2025_cuest_modulo_pdf BP1_20/BP1_21/BP1_24;envipe2025_fd_pdf;envipe2025_diseno_muestral_pdf SHA f60661545c2980026619370b69b7d7d3988ab62100cfa7a9b33ac76b4a7f0e69 en main e792419c	ASTRA5-U3	U3 congela cuatro estimandos y factores por delito, con ajuste de incidentes repetidos >5; verifica permiso de apertura separado. No inferir tolerancia ni cálculo mental de cifra oculta.
LECTURA-8d989005-03	corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md:L18	59.8% presidencial 2024 aparece en estudio muestral INE; cómputo distrital presidencial INE da 61.04%; 13.02% judicial corresponde a boleta SCJN en fuentes de cómputo, mientras 12.86% del report carece de cargo/corte; motivación estratégica no se sigue de tasas		INE-RESULT-2024-EN-MAIN-SIN-CONTRASTE-PRESIDENCIAL; MOTIVO-PENDIENTE	¿Qué estimador/fecha/cargo judicial produjo 12.86%, y por qué 59.8% del estudio muestral difiere de 61.04% del cómputo presidencial?	INE estudio muestral participación 2024 y cómputo presidencial 9-jun-2024; INE cómputo judicial SCJN 2025; RESULT-INE-PISOS-2024-TABLA en main 72595501 SHA 5d5e0ce5bef544457e4c49f34a92b08672c692bf20b83f932b6db44a6da068ca: marcas/LN 55.8314%, no voto presidencial	ASTRA5-U3	Conservar fuentes/denominadores presidenciales y judiciales; usar cotejo-result-politica-v1_0.tsv para excluir marcas/LN como sustituto y buscar cargo/corte de 12.86%.
LECTURA-8d989005-04	corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md:L20	Transversalidad del voto por región/clase requiere votos individuales o inferencia ecológica acotada		PENDIENTE-SEGMENTOS	¿Qué encuesta postelectoral 2024 observa voto por ingreso/clase/región con diseño nacional?	ENEM 2024 cuestionario y microdato por cotejar en manifiesto; cómputos INE por entidad no miden clase	ASTRA5-U3	Separar resultado territorial de voto individual por estrato; no llamar ausencia de clivaje a victoria en entidades.
LECTURA-8d989005-05	corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md:L22	Provisión/identidad frente a ideología y «autócrata benévolo» son mecanismos actitudinales distintos		PENDIENTE-REACTIVOS-PAREADOS	¿Qué preguntas ENEM/LAPOP/WVS miden aprobación del líder, beneficios, identidad e inclinación autoritaria en la misma persona?	ENEM 2024 cuestionario por cotejar; LAPOP 2023 cuestionario registrado; WVS México 2018 cuestionario raíz descargas_mx	ASTRA5-U3	Construir contrato por componente; no traducir aprobación presidencial a autoritarismo esencial ni a mecanismo causal de provisión.
LECTURA-8d989005-06	corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md:L24	Termómetros 2000/2018, polarización afectiva y comparación con EE.UU. requieren escalas/olas armonizadas		PENDIENTE-SERIE-TERMOMETRO	¿Qué encuesta, pregunta y base 0-10 originan 4.1 en 2000 y 2.4 en 2018, y qué muestra comparable produce contraste EE.UU.?	Moreno 2024 citado en report; encuestas electorales 2000/2018 y estudio comparado por localizar	ASTRA5-U3	Cotejar instrumento original, signo y denominador de rival; no llamar cambio de clima a serie de preguntas incompatibles.
LECTURA-8d989005-07	corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md:L26	Agencia frente a dádiva y efectos de transferencia se estudian en forense; frase «sin broker» es histórica, retirada del motor		PENDIENTE-DISEÑOS-CLIENTELISMO	¿Qué estudios mexicanos separan oferta, aceptación, voto declarado y monitoreo de broker, y cuáles identifican efecto de programa 4T?	forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md; Greene-Simpser 2018/2020; ENEM 2024	ASTRA5-U3	Aplicar corrección vigente de «ni broker»; distinguir agencia individual, turnout y compra persuasiva, sin usar correlación de beneficiarios como efecto.
LECTURA-8d989005-08	corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md:L28	14% experiencia de corrupción en trámites es una tasa por usuario urbano de trámite; trampa social causal no observada		PENDIENTE-ENCIG-2023	¿Qué pregunta ENCIG 2023 identifica solicitud/pago de mordida, su filtro de trámite y ponderador?	ENCIG 2023 cuestionario/FD/dato con ids por cotejar en manifiesto; diseño urbano 100 mil+ citado en report	ASTRA5-U3	Fijar unidad persona/trámite y acceso; no extrapolar a rural ni convertir prevalencia en motivo individual.
LECTURA-8d989005-09	corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md:L30	Linchamientos y autodefensas son episodios y organizaciones distintos; respuesta al vacío estatal es mecanismo causal		PENDIENTE-REGISTRO-EVENTOS	¿Qué registro geocodifica linchamiento/autodefensa e impunidad estatal en mismo lugar/periodo, con regla de evento?	registros primarios de fiscalías/observatorio por identificar; report §Patrones linchamientos/autodefensas	ASTRA5-U3	Definir fenómeno, periodo y geografía antes de cruce; no dictar imposibilidad por ausencia inicial de registro.
LECTURA-8d989005-10	corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md:L32	CRAC-PC como institucionalidad comunitaria es afirmación organizacional, no tasa de encuesta		PENDIENTE-NORMA-ETNOGRAFIA	¿Qué actas/estatutos de asamblea CRAC-PC definen autoridad, rotación y jurisdicción frente a autodefensa?	estatutos/actas CRAC-PC y estudios de campo citados en report por localizar	ASTRA5-U3	Leer fuente organizacional y delimitar comunidades; no generalizar a toda policía comunitaria mexicana.
