necesidad_id	fuente_canonica	objeto_evidencia_id	tipo_evidencia	evidencia_ref	evidencia_localizador	variable_reactivo_tabla	texto_evidencia	unidad_observacion	periodo	universo_muestra	codificacion	parte_necesidad_cubierta	parte_necesidad_no_cubierta	uso_potencial_modelo	transformacion_requerida	incertidumbre	traza_revision	siguiente_accion
N3	ENFIH	OE-7419790292a051ce7ebbb5fe	INSTRUMENTO_LOCAL_PARCIAL	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	NO_DETERMINADO	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Reactivo explícito de sensibilidad de estatus coobservado con consumo mediado por crédito.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/abrir4-variables-2026-08-08.tsv, localizador L9-L14, y se contrastó únicamente con N3 / ENFIH / OE-7419790292a051ce7ebbb5fe.	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
N3	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	OE-02ca9729c199ce7586579636	DOCUMENTO_INDEXADO_SIN_MAPEO	MAIN:data/mapa-ext-academico-2026-08-06.tsv	L15	NO_DETERMINADO	El mapa clasifica documentalmente el estudio, pero no contiene instrumento, variable ni resultado que conecte esta clave con la necesidad.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	SATISFACE-UMBRAL-DOCUMENTAL	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-ext-academico-2026-08-06.tsv, localizador L15, y se contrastó únicamente con N3 / INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO / OE-02ca9729c199ce7586579636.	Abrir materiales suplementarios del estudio y localizar variable, tratamiento, resultado y muestra mexicanos pertinentes.
N3	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	OE-e8196751ae92cecdc38e72c1	DOCUMENTO_INDEXADO_SIN_MAPEO	MAIN:data/mapa-ext-academico-2026-08-06.tsv	L15	NO_DETERMINADO	El mapa clasifica documentalmente el estudio, pero no contiene instrumento, variable ni resultado que conecte esta clave con la necesidad.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	SATISFACE-UMBRAL-DOCUMENTAL	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-ext-academico-2026-08-06.tsv, localizador L15, y se contrastó únicamente con N3 / INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO / OE-e8196751ae92cecdc38e72c1.	Abrir materiales suplementarios del estudio y localizar variable, tratamiento, resultado y muestra mexicanos pertinentes.
N4	ENFIH	OE-64909cd43474fe401f3cf196	INSTRUMENTO_LOCAL_PARCIAL	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	NO_DETERMINADO	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Reactivo actitudinal de aversión al riesgo con desenlace propio de G2.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/abrir4-variables-2026-08-08.tsv, localizador L9-L14, y se contrastó únicamente con N4 / ENFIH / OE-64909cd43474fe401f3cf196.	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
N5	ENFIH	OE-ee2008967035d534126bbcb0	INSTRUMENTO_LOCAL_PARCIAL	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	NO_DETERMINADO	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Diseño longitudinal o experimental que observe horizonte temporal y conducta financiera con potencia útil.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/abrir4-variables-2026-08-08.tsv, localizador L9-L14, y se contrastó únicamente con N5 / ENFIH / OE-ee2008967035d534126bbcb0.	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
N5	ENNVIH	OE-2914da93c77f7bde435ccf41	PANEL_SIN_MAPEO_DIRIGIDO	MAIN:forense/matriz-impacto-universal-2026-08-06.md	L81	NO_DETERMINADO	La matriz reconoce ENNViH/MxFLS como ruta longitudinal para horizonte temporal, pero la fase descriptiva y la llave panel siguen pendientes.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Diseño longitudinal o experimental que observe horizonte temporal y conducta financiera con potencia útil.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:forense/matriz-impacto-universal-2026-08-06.md, localizador L81, y se contrastó únicamente con N5 / ENNVIH / OE-2914da93c77f7bde435ccf41.	Abrir codebooks por ola y localizar indicador temporal, conducta financiera y llave individual longitudinal.
N5	LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	OE-0139b3dc528f6df3fe1811a0	INDEXADO_NO_DESCARGADO	MAIN:data/mapa-ext-academico-2026-08-06.tsv	L5	NO_DETERMINADO	El estudio está indexado pero no descargado; no hay instrumento o resultado local verificable para adjudicar.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	INDEXADO-NO-DESCARGADO	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-ext-academico-2026-08-06.tsv, localizador L5, y se contrastó únicamente con N5 / LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2 / OE-0139b3dc528f6df3fe1811a0.	Recuperar el paquete canónico del estudio y revisar instrumento, diseño, outcomes y tablas de impacto.
N6	ENFIH	OE-bbf838f18125cdb07027ae39	INSTRUMENTO_LOCAL_PARCIAL	MAIN:data/abrir4-variables-2026-08-08.tsv	L9-L14	NO_DETERMINADO	La apertura local de ENFIH documenta variables financieras concretas y búsquedas de constructos, pero no demuestra para esta clave el par constructo–desenlace exigido.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Reactivo de aversión al riesgo coobservado con conducta de ahorro ante volatilidad.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/abrir4-variables-2026-08-08.tsv, localizador L9-L14, y se contrastó únicamente con N6 / ENFIH / OE-bbf838f18125cdb07027ae39.	Abrir el diccionario ENFIH y construir una tabla variable×constructo×desenlace para esta necesidad; verificar coobservación por llave de persona.
N7	ENIF	OE-c168b43614acb9a4b5abf786	INSTRUMENTO_LOCAL_PARCIAL	MAIN:forense/hitoE-campana-medicion-v2_0.md	L999-L1116	NO_DETERMINADO	ENIF tiene reactivos financieros identificados (P9_9_1..6, P4_10 y sección 11), pero la evidencia local no verifica el cruce específico solicitado por esta clave.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Relación entre expectativa de apoyo familiar y horizonte corto/ahorro en la misma persona.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:forense/hitoE-campana-medicion-v2_0.md, localizador L999-L1116, y se contrastó únicamente con N7 / ENIF / OE-c168b43614acb9a4b5abf786.	Mapear en el cuestionario y microdato ENIF los reactivos de la necesidad y el desenlace, y comprobar que comparten unidad de observación.
N8	VOTAR_ENTRE_BALAS	OE-b2462eff969c4d5cf7746ad9	BASE_INDEXADA_SIN_MAPEO	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv	L14	NO_DETERMINADO	La base de violencia político-criminal está identificada, pero no hay variables abiertas que prueben respuesta individual o el mecanismo requerido.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Exposición a violencia y respuesta de ver/oír/callar sin selección determinística por victimización.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv, localizador L14, y se contrastó únicamente con N8 / VOTAR_ENTRE_BALAS / OE-b2462eff969c4d5cf7746ad9.	Abrir diccionario/descarga y mapear tipo de evento, actor, municipio, fecha y outcome electoral; declarar límite ecológico.
