id_afirmacion	fila_local	unidades	localizador	texto_vigente	tier_report	clase	procedencia_evidencia	componente_contrastable	limite_inferencial	conducta_unidad_universo	instrumento_ola	documento_id_hash_pagina	pregunta_textual_codigo_respuestas	dictamen	dictamen_razon	datos_id_estado	reserva	gen2_existente	propietario_propuesto	siguiente_operacion	dedup_concepto	contrato_existente	busqueda_a13	dominio	falsador
ASTRA5-U0-TEC-011	tecnologia-001	LECTURA-d47463c2-01;CAND-d47463c2-L5	L13,L5 TL;DR	el gobierno es la unica institucion en desconfianza segun el Edelman Trust Barometer 2025 Mexico, con 47%; las empresas encabezan con 67%	SOLIDO	CIFRA-PUBLICADA	a	Proporcion de adultos mexicanos que confian (top-2-box escala de 9, TRU_INS) en gobierno vs empresas, Edelman Trust Barometer 2025 Mexico, muestra online	Muestra online (no representa offline/rural); no observa mecanismo de adopcion tecnologica individual, solo nivel agregado de confianza institucional	persona adulta 18+; universo online Mexico; ola 2025	Edelman Trust Barometer 2025 Mexico (TRU_INS)	Edelman Trust Barometer Global Report 2025 pp.41/43 TRU_INS; PDF publico sin SHA/registro local; URL https://www.edelman.com/sites/g/files/aatuss191/files/2025-01/2025 Edelman Trust Barometer_Final.pdf; confirmado via edelman.com/lat/es/trust/2025/trust-barometer (23/sep/2026): gobierno 47% unico desconfiado, empresas 67% maxima confianza, ONG 61%, medios 54%	codigos por extraer del PDF Edelman TRU_INS (escala 1-9, agrupacion top-2/bottom-2); no abierto en este lote	MEDIBLE-CON-ADQUISICIÓN	Documento primario identificado (Edelman Trust Barometer 2025, informe global + pagina pais Mexico) y su cifra confirmada por fuente oficial edelman.com el 23/sep/2026; falta registrar el PDF en manifiesto con sha256 y extraer el bloque TRU_INS con universo/ponderacion exactos.	faltante: Edelman Trust Barometer 2025 Mexico (TRU_INS) (https://www.edelman.com/sites/g/files/aatuss191/files/2025-01/2025); SIN-ID-MANIFIESTO (documento no registrado en data/manifiesto.yaml de este repo)		ninguna corrida con este payload (u0mf --busca edelman: 0 de 1680)	ASTRA5-U3	Registrar y hashear el PDF Edelman Trust Barometer 2025 (global + Mexico) en manifiesto; extraer bloque TRU_INS con universo/ponderacion; cotejar 47/67 contra el documento primario, no solo agregadores	CONC-DOC-EDELMAN-2025		u0mf --busca edelman -> 0/1680; u0pdf -q Edelman -> 1 coincidencia irrelevante (dnr2025_report); WebSearch 'Edelman Trust Barometer 2025 Mexico gobierno 47% empresas 67% confianza' (23/sep/2026) -> edelman.com/lat/es/trust/2025/trust-barometer confirma 47/67/61/54	TECNOLOGIA	Cambiaria si una encuesta probabilistica (no online) mexicana mostrara que confianza en gobierno y en empresas NO difieren, o si el ranking de instituciones se invirtiera en una replica offline.
ASTRA5-U0-TEC-012	tecnologia-002	LECTURA-d47463c2-01;CAND-d47463c2-L5	L13,L88 Patron 1	Nu Mexico supero los 13 millones de clientes (16 de octubre de 2025)... 14% de la poblacion adulta y 23% de las personas bancarizadas... 78% vive fuera de las grandes ciudades y mas del 60% pertenece a hogares de ingresos bajos y medios-bajos	SOLIDO	CIFRA-PUBLICADA	a	Numero de clientes registrados de Nu Mexico (empresa fintech) a fecha de corte, auto-reportado por la empresa; no es encuesta poblacional	Cifra empresarial auto-reportada (no auditada independientemente en este lote); clientes no equivale a usuarios activos; no identifica causa de adopcion a nivel individual	persona adulta con cuenta Nu Mexico; universo nacional; corte 16-oct-2025	Comunicado de prensa Nu Mexico / Nubank International, oct-2025	confirmado via nu.com/es/sala-de-prensa/compania/nu-mexico-supera-los-13-millones-de-clientes y international.nubank.com.br (23/sep/2026): 13 millones de clientes, 14% poblacion adulta, 23% personas bancarizadas, 78% fuera de grandes ciudades, 22% acceso primera vez, 36% previamente rechazados	no-aplica (dato administrativo empresarial, no reactivo de encuesta)	MEDIBLE-CON-ADQUISICIÓN	Documento primario (comunicado oficial Nu Mexico/Nubank) identificado y contenido confirmado el 23/sep/2026; falta registrar el comunicado en manifiesto con sha256. No hay instrumento de encuesta que mida el mecanismo (ver tecnologia-003).	faltante: Comunicado de prensa Nu Mexico / Nubank International, oct-2025; SIN-ID-MANIFIESTO		ninguna corrida con este payload (u0mf --busca 'nu mexico': 0/1680)	ASTRA5-U4	Registrar y hashear el comunicado Nu Mexico oct-2025 en manifiesto; dedup_concepto FINTECH-NU-CLIENTES ya declara que 13M/13.1M/15M son serie temporal de una empresa, no observaciones independientes	FINTECH-NU-CLIENTES		u0mf --busca 'nu mexico' -> 0/1680; WebSearch 'Nu Mexico 13 millones de clientes octubre 2025 comunicado oficial' (23/sep/2026) -> nu.com sala de prensa confirma cifras	TECNOLOGIA	Cambiaria si el comunicado empresarial resultara no verificable, o si una auditoria regulatoria (CNBV) reportara una cifra de clientes activos sustancialmente menor a los 13M declarados.
ASTRA5-U0-TEC-013	tecnologia-003	LECTURA-d47463c2-01	L13	La desconfianza en el gobierno no impidio la adopcion de tecnologia financiera privada. Lo que movio la aguja fue utilidad + inclusion + diseno, no confianza institucional.	SOLIDO	INTERPRETACION-DEL-REPORT	a	Atribucion causal de que factor (utilidad/inclusion/diseno vs confianza institucional) explica la decision individual de adoptar fintech privada	La evidencia disponible son dos series agregadas de fuentes distintas (confianza Edelman y clientes Nu) en fechas distintas sin dato pareado a nivel de persona; coexistencia agregada no identifica mecanismo individual	persona; mecanismo de decision individual de adopcion; no observado directamente	ninguno identificado que empareje confianza institucional + uso de fintech + motivo declarado en la misma persona	(n/a: afirmacion de mecanismo, no cifra)	(n/a)	NO-MEDIBLE-POR-DISEÑO	Los instrumentos recorridos (ENIF 2012/2015/2018/2021/2024, ENDUTIH 2023/2024/2025) no preguntan simultaneamente confianza institucional y motivo de adopcion de fintech en la misma persona; u0busca -q confia en internet|confianza en internet|confianza en la tecnologia -> 0 aciertos; u0busca -q banca movil|app de banco|billetera digital|monedero electronico -> 12 aciertos (uso de banca movil ENDUTIH 2023/2024/2025, sin motivo/confianza pareada). No se identifico instrumento tras este recorrido; no equivale a imposibilidad universal.	(n/a)		ninguna corrida con este componente (es interpretacion, no cifra con payload_id)	ASTRA5-U4	Buscar o disenar instrumento que empareje confianza institucional, uso de fintech y motivo en la misma persona	CONC-DOC-PARADOJA-FINTECH-MECANISMO		u0busca -q confia en internet|confianza en internet|confianza en la tecnologia -> 0 aciertos; u0busca -q banca movil|app de banco|billetera digital|monedero electronico -> 12 aciertos	TECNOLOGIA	Cambiaria si una encuesta mexicana preguntara a la misma persona su confianza institucional y su motivo de adopcion de fintech, y mostrara que la confianza institucional predice significativamente la adopcion controlando por utilidad percibida.
ASTRA5-U0-TEC-014	tecnologia-004	LECTURA-d47463c2-02;CAND-d47463c2-L6	L15,L6 TL;DR	Los mexicanos distinguen entre confianza en el algoritmo y confianza en la institucion que lo despliega. Adoptan algoritmos de empresas privadas mientras resisten los del Estado. No es tecnofobia: es desconfianza dirigida a un actor especifico.	SOLIDO	INTERPRETACION-DEL-REPORT	a	Si, para una misma persona, la disposicion a usar una tecnologia varia segun el operador (privado vs Estado) manteniendo funcion/riesgo constantes	Es inferencia por contraste de casos distintos (fintech privada vs CURP biometrica estatal), no medicion pareada en la misma persona con la misma tecnologia bajo dos operadores	persona; adopcion diferencial por operador; no observado directamente	instrumento mexicano pareado tecnologia x operador no identificado	(n/a)	(n/a)	NO-MEDIBLE-POR-DISEÑO	Ningun instrumento recorrido pregunta, para la misma tecnologia, la disposicion de uso variando solo el operador (privado/Estado). u0busca -q identidad digital|biometric -> 1 acierto (MOCIBA2025 P2_2, medida de seguridad usada, no pareo tecnologia-operador); u0busca -q banca movil... -> 12 aciertos de uso sin contraparte estatal comparable. No se identifico instrumento tras este recorrido; no equivale a imposibilidad universal.	(n/a)		ninguna corrida con este componente	ASTRA5-U4	Localizar o disenar experimento/encuesta pareada tecnologia x operador	CONC-DOC-SELECTIVIDAD-OPERADOR		u0busca -q identidad digital|biometric -> 1 acierto con texto (MOCIBA2025 P2_2); u0busca -q banca movil|app de banco|billetera digital|monedero electronico -> 12 aciertos	TECNOLOGIA	Cambiaria si una encuesta pareada mostrara que la disposicion de uso NO varia por operador para la misma tecnologia, o si variara tambien con tecnologias privadas de bajo riesgo.
ENLACE	tecnologia-005	LECTURA-d47463c2-03	L17	VER-CONTRATO -- 83.1% uso de internet 2024; brechas urbano/rural y CDMX-Sonora/Chiapas; 9.5% no sabe usarlo	SOLIDO	ENLACE	a	VER-CONTRATO	VER-CONTRATO	VER-CONTRATO	ENDUTIH 2024	VER-CONTRATO (TEC-001..004,007)	VER-CONTRATO	MEDIBLE-EN-CORPUS	Componente ya cubierto por contratos cerrados ASTRA5-U0-TEC-001, TEC-002, TEC-003, TEC-004 y TEC-007 (P7_1, P7_2, P4_4 ENDUTIH 2024); esta fila solo enlaza el hallazgo G-03 del report a esos contratos.	VER-CONTRATO		RESULT-ENDUTIH-PISOS-2024-TABLA (#1085): P7_1=1 83.12% [82.66-83.59] n=58080; TLOC_1 88.90%/TLOC_4 69.96% (no es DOMINIO U/R, ver limite en TEC-003)	ASTRA5-U4	ninguna (contrato cerrado); ver correcciones-vigentes-v1_0.tsv para el desglose TEC-001..007	CONC-ENDUTIH2024-P7_1	ASTRA5-U0-TEC-001;ASTRA5-U0-TEC-002;ASTRA5-U0-TEC-003;ASTRA5-U0-TEC-004;ASTRA5-U0-TEC-007	(heredada del contrato; no repetida en este lote)	TECNOLOGIA	VER-CONTRATO
ENLACE	tecnologia-006	CAND-d47463c2-L7	L7 TL;DR	VER-CONTRATO -- techo estructural: 16.9% no usa internet, 9.5% no sabe usarlo, exclusion sur rural/indigena	NO-EXPLICITO (rige TL;DR / Patron 3)	ENLACE	a	VER-CONTRATO	VER-CONTRATO	VER-CONTRATO	ENDUTIH 2024	VER-CONTRATO	VER-CONTRATO	MEDIBLE-EN-CORPUS	Mismo componente que G-03 (fila tecnologia-005); enlaza a los mismos contratos TEC-001..004,007.	VER-CONTRATO		RESULT-ENDUTIH-PISOS-2024-TABLA (#1085)	ASTRA5-U4	ninguna (contrato cerrado)	CONC-ENDUTIH2024-P7_1	ASTRA5-U0-TEC-001;ASTRA5-U0-TEC-002;ASTRA5-U0-TEC-003;ASTRA5-U0-TEC-004;ASTRA5-U0-TEC-007	(heredada del contrato)	TECNOLOGIA	VER-CONTRATO
ASTRA5-U0-TEC-015	tecnologia-007	LECTURA-d47463c2-04	L19	el 70% respondio estar emocionado, ubicandonos en la quinta posicion, detras de lideres como China (80%)	SOLIDO (report lo marca MAS MALINTERPRETADO)	CIFRA-PUBLICADA	a	Proporcion de adultos online <75 anos en Mexico que declaran sentirse emocionados con productos/servicios que usan IA, Ipsos AI Monitor 2024	Muestra online <75 anos (sesgo hacia poblacion conectada/urbana); autorreporte de emocion declarada, no conducta observada	persona adulta online <75; universo Mexico dentro de 32 paises; abr-may 2024	Ipsos AI Monitor 2024 (32 paises)	confirmado via WebSearch 23/sep/2026 (ipsos.com/en-us/ipsos-ai-monitor-2024 y PDF ipsos.com/sites/default/files/ct/news/documents/2024-06/Ipsos-AI-Monitor-2024-final-APAC.pdf, p.17 segun ficha de lectura previa): pregunta 'Products and services using artificial intelligence make me excited', Mexico 70%, 5 lugar de 32 paises tras China 80%	'Products and services using artificial intelligence make me excited' (acuerdo, escala Ipsos; codigos exactos por extraer del PDF, no abierto en este lote)	MEDIBLE-CON-ADQUISICIÓN	Documento primario identificado (Ipsos AI Monitor 2024, PDF publico) y cifra 70%/5 lugar confirmada el 23/sep/2026 desde fuente oficial ipsos.com; falta registrar el PDF en manifiesto con sha256 y extraer universo/ponderacion exactos de la muestra mexicana.	faltante: Ipsos AI Monitor 2024 (32 paises); SIN-ID-MANIFIESTO		ninguna corrida con este payload (u0mf --busca ipsos: 0/1680)	ASTRA5-U4	Registrar y hashear el PDF Ipsos AI Monitor 2024 en manifiesto; fijar tamano de muestra mexicana y ponderacion	CONC-DOC-IPSOS-AIMONITOR-2024		u0mf --busca ipsos -> 0/1680; WebSearch 'Ipsos AI Monitor 2024 Mexico 70% emocionado inteligencia artificial' (23/sep/2026) -> ipsos.com confirma	TECNOLOGIA	Cambiaria si el documento primario mostrara un universo/ponderacion que no sostenga el 70% publicado, o si una replica probabilistica mostrara un nivel de entusiasmo sustancialmente distinto.
ASTRA5-U0-TEC-016	tecnologia-008	LECTURA-d47463c2-04	L19	el 66% ya usa herramientas de IA (Ipsos/Google 'Our Life with AI', datos 2025)	SOLIDO (rige el mismo hallazgo 4)	CIFRA-PUBLICADA	a	Proporcion de mexicanos que declaran ya usar herramientas de IA, estudio Ipsos/Google Our Life with AI 2025	Ola distinta a AI Monitor 2024 (universo/pregunta pueden no ser comparables); no verificado documento primario en este lote (presupuesto web agotado)	persona; universo por confirmar; 2025	Ipsos/Google 'Our Life with AI' 2025 (documento primario no localizado en este lote)	no localizado en este lote (fuera de presupuesto web de 12 consultas)	por extraer	MEDIBLE-CON-ADQUISICIÓN	Cierre bajo regla 4: no se comprobo el documento primario 'Ipsos/Google Our Life with AI 2025' en esta pasada -- presupuesto WebSearch de la sesion agotado (200/200) antes de llegar a esta fila; sin nuevas consultas WebSearch posibles en esta segunda pasada. u0mf --busca ipsos -> 0/1680 (el corpus no tiene ningun producto Ipsos registrado). EXISTENCIA-NO-COMPROBADA tras 1 consulta de corpus; 0 consultas WebSearch posibles (presupuesto de sesion agotado antes de esta fila); 2 intentos de WebFetch a URLs conjeturadas de ipsos.com (sin buscador disponible) devolvieron 404, por lo que tampoco se confirmo por esa via.	SIN-ID-MANIFIESTO; EXISTENCIA-NO-COMPROBADA tras esta pasada		ninguna	ASTRA5-U4	Con presupuesto WebSearch disponible: localizar y registrar el documento primario Ipsos/Google 'Our Life with AI' 2025 (probable dominio ipsos.com o blog.google); fijar universo/ponderacion mexicana antes de citar 66%.	CONC-DOC-IPSOS-GOOGLE-OURLIFE-2025		Segunda pasada 24-sep-2026: u0mf --busca ipsos -> 0/1680 (propia). presupuesto WebSearch de la sesion agotado (200/200) antes de llegar a esta fila; sin nuevas consultas WebSearch posibles en esta segunda pasada: 0 consultas WebSearch nuevas. WebFetch https://www.ipsos.com/en/ai-monitor-2024 -> HTTP 404; WebFetch https://www.ipsos.com/en/ipsos-ai-monitor-2024 -> HTTP 404 (URLs conjeturadas sin buscador disponible).	TECNOLOGIA	(no aplica hasta ubicar el documento; cuando se ubique, declarar falsador con universo confirmado)
ASTRA5-U0-TEC-017	tecnologia-009	LECTURA-d47463c2-04	L19	coexiste con nerviosismo (52% en 2026)	SOLIDO (rige el mismo hallazgo 4)	CIFRA-PUBLICADA	a	Proporcion de mexicanos que declaran nerviosismo ante la IA, encuesta 2026 (fuente no identificada por el report en el pasaje)	Fuente no identificada por nombre/autor en el propio report; posible tercera ola distinta a las dos anteriores	persona; universo/ola sin identificar	no identificado en este lote	no localizado en este lote (fuera de presupuesto web)	por extraer	MEDIBLE-CON-ADQUISICIÓN	Cierre bajo regla 4: el report no nombra la fuente de '52% en 2026' y no se pudo identificar en esta pasada -- presupuesto WebSearch de la sesion agotado (200/200) antes de llegar a esta fila; sin nuevas consultas WebSearch posibles en esta segunda pasada. EXISTENCIA-NO-COMPROBADA tras 0 consultas nuevas posibles (no hay nombre de encuestadora/instrumento en el propio texto del report que permita una busqueda de corpus dirigida distinta de la ya hecha en tecnologia-016/018).	SIN-ID-MANIFIESTO; EXISTENCIA-NO-COMPROBADA tras esta pasada		ninguna	ASTRA5-U4	Identificar la encuesta 2026 de nerviosismo ante IA citada por el report (con presupuesto WebSearch disponible); registrar documento primario antes de citar la cifra.	CONC-DOC-NERVIOSISMO-IA-2026		Segunda pasada 24-sep-2026: sin nombre de fuente en el report, no hay termino de corpus especifico que buscar mas alla de lo ya cubierto (ipsos, google) en tecnologia-016/018 (0 resultados). presupuesto WebSearch de la sesion agotado (200/200) antes de llegar a esta fila; sin nuevas consultas WebSearch posibles en esta segunda pasada; 0 consultas WebSearch nuevas.	TECNOLOGIA	(no aplica hasta ubicar el documento)
ASTRA5-U0-TEC-018	tecnologia-010	LECTURA-d47463c2-04	L19	el entusiasmo declarado esta correlacionado con el optimismo economico regional... El 'entusiasmo mexicano por la IA' es un artefacto parcial de patron regional y de muestras online, no un rasgo distintivamente mexicano.	SOLIDO	INTERPRETACION-DEL-REPORT	a	Si el nivel de entusiasmo declarado por pais correlaciona con un indice de optimismo economico regional en la misma ola Ipsos AI Monitor 2024 (32 paises)	Requiere la tabla comparativa entre paises del mismo documento Ipsos (no extraida en este lote); es correlacion ecologica entre paises, no inferencia causal individual	pais (unidad agregada), no persona; 32 paises, 2024	Ipsos AI Monitor 2024 (mismo documento de tecnologia-007)	SIN-ID-MANIFIESTO; pieza: Ipsos, "AI Monitor 2024" (32 paises), seccion de comparacion entre paises con indice/contexto de optimismo economico regional; URL/DOI no confirmado en esta pasada	(comparacion agregada, no reactivo unico)	MEDIBLE-CON-ADQUISICIÓN	Correccion de defecto de validacion (CON-ADQUISICION sin id|sha ni URL/DOI primario): se deja identificado el emisor y titulo exactos citados por el propio report -- Ipsos, 'AI Monitor 2024' (32 paises) -- pero NO se logro confirmar URL/DOI ni id de manifiesto en esta pasada: presupuesto WebSearch de la sesion agotado (200/200) antes de llegar a esta fila; sin nuevas consultas WebSearch posibles en esta segunda pasada; u0mf --busca ipsos -> 0/1680; 2 intentos de WebFetch a URLs conjeturadas de ipsos.com devolvieron 404 (sin buscador disponible para hallar la URL real). EXISTENCIA-NO-COMPROBADA tras estos 3 intentos (1 de corpus + 2 WebFetch); el documento sigue sin confirmarse formalmente, aunque el propio report lo cita con emisor y titulo precisos.	SIN-ID-MANIFIESTO; emisor y titulo identificados por el report (Ipsos, AI Monitor 2024); URL/DOI no confirmado; EXISTENCIA-NO-COMPROBADA tras esta pasada		ninguna	ASTRA5-U4	Con presupuesto WebSearch disponible: localizar la URL/DOI exacta de Ipsos 'AI Monitor 2024' y su tabla de comparacion entre paises (entusiasmo declarado vs indice de optimismo economico regional) antes de afirmar la correlacion.	CONC-DOC-IPSOS-AIMONITOR-2024		Segunda pasada 24-sep-2026: u0mf --busca ipsos -> 0/1680. WebFetch https://www.ipsos.com/en/ai-monitor-2024 -> HTTP 404; WebFetch https://www.ipsos.com/en/ipsos-ai-monitor-2024 -> HTTP 404. presupuesto WebSearch de la sesion agotado (200/200) antes de llegar a esta fila; sin nuevas consultas WebSearch posibles en esta segunda pasada: 0 consultas WebSearch posibles para encontrar la URL correcta.	TECNOLOGIA	Cambiaria si, dentro del mismo documento, el entusiasmo mexicano no correlacionara con optimismo economico regional, lo que apuntaria a un rasgo especifico en vez de un artefacto regional.
