seccion	id	veredicto	cita
no-corrido.tsv	NC-0012	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0012 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0026	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0026 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0029	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0029 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0037	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0037 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0048	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0048 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0055	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0055 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0056	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0056 (clase=NO-CLASIFICABLE)
no-corrido.tsv	NC-0061	DE-MESA	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0061 (clase=BANDEJA-TITULAR)
no-corrido.tsv	NC-0070	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0070 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0072	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0072 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0075	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0075 (clase=ESPERA-ACTO-NOMBRADO)
no-corrido.tsv	NC-0085	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0085 (clase=SUCESOR-YA-FUSIONADO)
no-corrido.tsv	NC-0090	DE-MESA	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0090 (clase=BANDEJA-TITULAR)
no-corrido.tsv	NC-0098	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0098 (clase=SUCESOR-YA-FUSIONADO)
no-corrido.tsv	NC-0107	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0107 (clase=SIN-ASIGNAR)
no-corrido.tsv	NC-0111	DE-MESA	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0111 (clase=BANDEJA-TITULAR)
no-corrido.tsv	NC-0120	VIGENTE	forense/analisis/senal-1/nc-abiertas-por-clase.tsv:NC-0120 (clase=NO-CLASIFICABLE)
