regla	cierre_original	clase	veredicto_hoy	ruta_payload_si_existe	siguiente_acto_propuesto	prioridad
R1.4	forense/hallazgos.md:147 (2026-08-05, barrido público 17 condiciones, NO-ACCESIBLE por muro de pago Kantar/NielsenIQ); forense/hallazgos.md:96 (2026-08-04, FP-38, reasigna rama de consumo compensatorio)	ESTRUCTURAL (dato de mercado propietario; candidato fresco sin evaluar sobre panel abierto)	NO-ENCONTRADO — 194 menciones case-insensitive de ennvih|mxfls examinadas en data/manifiesto.yaml (137 líneas ennvih, 83 líneas mxfls), 0 con usado_para distinto de CAL-G3, ninguna marca de ítem de bienes de estatus/marca	data/raw vía manifiesto ids ennvih1_2002_hogar_*..ennvih3_2009_* (ruta únicamente, microdato no abierto)	UBUNTU — abrir cuestionario/diccionario ENNViH-MxFLS buscando ítem de marca o gasto en bienes de estatus, sin abrir el hueco de mercado (paywall sigue vigente)	media
R2.1	forense/hallazgos.md:96 (ENCUP 2012, objeto de actitud, descartado); hallazgos.md:143 (ELCOS 2012, NO EXISTE); hallazgos.md:161 (VERIF-3, ECCO 45pp, sin variable conductual); hallazgos.md:204/160 (RNM/ENAPROCE-ENESTYC, confidencial, solo Laboratorio de Microdatos INEGI)	ESTRUCTURAL (único candidato vivo es acceso institucional restringido)	NO-ACCESIBLE sobre RNM (trámite Laboratorio de Microdatos INEGI, no es receta de un minuto); EXISTE-NO-SATISFACE confirmado sobre ECCO/ENCUP/ELCOS, 4 fuentes ya agotadas	ninguna nueva en manifiesto hoy	NUBE si se documenta el trámite; el acceso mismo es UBUNTU-con-trámite-externo, fuera de un acto de repo	baja
R2.2	forense/hallazgos.md:143 (ELCOS, "proxy estrecho sin diseño pareado"); hallazgos.md:161 (ECCO 45pp, sin rotación/productividad/tipología de liderazgo en ninguna página); FP-86 (probable D)	ESTRUCTURAL (clima organizacional/rotación es dato interno de empresa, no se publica)	NO-ENCONTRADO — 2 archivos íntegros examinados (ELCOS, ECCO)	ninguna	NUBE — proponer fila D	baja
R3.4	forense/hitoD-preregistro-v2_0.md:795-838; FP-104 (ABIERTA, firmas-pendientes.tsv), reformulada 24/ago/2026 en ADR-145(D3) para EMISOR-M-2; ADR-138 diagnostica H1/H2 sin adjudicar (0.09/0.71=12.7%≥10%)	ESTRUCTURAL (firma de mesa pendiente sobre spec/comparador, no hueco de dato — Banxico CF881-CF885 ya identificadas en hallazgos.md:160)	EXISTE-NO-SATISFACE — emisor ya corrió con datos existentes; falta decisión de mesa	series Banxico CF881-CF885 (hallazgos.md:160, no formalizadas en manifiesto); tramite.yaml; milpa/src/emisor.py	NUBE — solo requiere firma de mesa sobre el emisor ya construido	alta
R7.3	forense/hitoD-R7_3-veredicto-v1_0.md (20/ago, completo, propone fila C); FP-106 FIRMADA 24/ago (caso-por-caso de fila C); FP-112 ABIERTA, condicionada a corrobora-motor + visto de mesa	ESTRUCTURAL (firma de mesa pendiente — es el caso que la Parte 0 de este encargo habría archivado si venía adjunta la firma F1; no vino)	sin cambio — C propuesta, no archivada	n/a, ya corrida	NUBE — requiere solo firma de mesa (FP-112)	alta
R7.4	forense/hallazgos.md:143 (barrido-público, EXISTE-SATISFACE vía snippet, sin abrir); hallazgos.md:161 (VERIF-3, ACLED_HDX abierto real: solo Country/Month/Year/Events, degradado a EXISTE-NO-SATISFACE); hallazgos.md:148 (cola de adquisición TRAMO C)	INFORMACIONAL (hueco de granularidad, no propietario ni ético)	EXISTE-NO-SATISFACE confirmado sobre ACLED_HDX (ya abierto, agregado nacional-mes); GDELT/UCDP/Mass Mobilization confirmados en data/cola-adquisicion-2026-08-12.tsv líneas 12,14-17, marcados FUERA-DE-ALCANCE-ADQ15, aún sin descargar — NO-ENCONTRADO en manifiesto, 1 archivo (cola-adquisicion) examinado	data/raw/acled_hdx_* (existente, insuficiente); cola de adquisición ya prioriza GDELT/UCDP/Mass Mobilization	UBUNTU — bajar GDELT/UCDP/Mass Mobilization de la cola ya priorizada (comparte falsador con R7.5)	alta
R7.5	mismo cierre que R7.4 (falsador compartido, misma cascada hallazgos.md:143/161/148)	INFORMACIONAL (mismo hueco de granularidad)	EXISTE-NO-SATISFACE sobre ACLED_HDX; NO-ENCONTRADO sobre GDELT/UCDP/Mass Mobilization en manifiesto, 1 archivo (cola-adquisicion) examinado	mismo que R7.4	UBUNTU — misma corrida que R7.4, un solo acto para ambas	alta
R8.2	FP-86 (probable D inejecutable); sin barrido específico adicional más allá de "dato propietario, apps de ROSCA/plataforma"	ESTRUCTURAL (propietario — tasa de incumplimiento de plataforma de tandas digitales)	NO-ENCONTRADO — sin candidato nuevo desde 05/ago; grep "tanda|rosca" contra manifiesto no repitió hallazgo desde entonces	ninguna	NUBE — proponer fila D	baja
R8.3	forense/hallazgos.md:124,133,137,140 (cascada C-06a/C-06b/M-5/P3 → ADR-64, condición B se levanta, condición A sigue bloqueada por marca C3 de circularidad ENCUCI); FP-29 FIRMADA reconcilia cifras externas pero no da falsador propio a R8.3	ESTRUCTURAL (circularidad de diseño en la propia regla — marca C3 NO se disuelve, sigue vigente, verificado contra la ficha)	EXISTE (payload presente, no EXISTE-SATISFACE) — WVS7 México confirmado en manifiesto (data/manifiesto.yaml:11071 en adelante) y ISSP 2017 Social Networks ZA6980 confirmado (data/manifiesto.yaml:11313, za6980_q_mx), ambos fecha_descarga 2026-08-12; ninguno cruzado aún contra el falsador exacto (puente personal vs. enforcement)	data/manifiesto.yaml:11071-11340+ (WVS7, ISSP ZA6980)	UBUNTU — abrir cuestionarios WVS7/ISSP buscando ítem de confianza en desconocido condicionado a enforcement, sin tocar la marca C3	media-alta
R10.1	forense/hitoD-R10_1-veredicto-v1_0.md; forense/hitoD-R10_1-defecto-spec-v1_0.md (20/ago, "spec mal, no se corrige hacia atrás")	ESTRUCTURAL (spec defectuosa)	sin cambio — FP-108 ABIERTA, espera spec sucesora v2.0 (codificación pragmática, segundo codificador, arista rama4→C, techo de n declarado)	n/a	NUBE (redactar spec v2.0) luego UBUNTU (recodificar con segundo codificador)	media
