id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-d47463c2-01	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md:L13	47% confianza gobierno, 67% empresas, clientes fintech y causalidad de utilidad son estimandos distintos		PENDIENTE-CRUCE-ECOLOGICO	¿Qué preguntas Edelman 2025 miden confianza por institución y existe observación individual que enlace confianza con adopción fintech?	Edelman Trust Barometer México 2025 cuestionario/tablas; serie de clientes Nu oct-2025; instrumento individual conjunto por identificar	ASTRA5-U3_U4	Cotejar universo online Edelman y definición de cliente activo; no inferir causa de adopción comparando dos fuentes agregadas.
LECTURA-d47463c2-02	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md:L15	Selección por operador y confianza en algoritmo frente a institución		PENDIENTE-DISEÑO-PAREADO	¿Qué pregunta a una misma persona varía tecnología y operador manteniendo función/riesgo constantes?	instrumento mexicano pareado tecnología×operador por identificar; report §Details Marco conceptual	ASTRA5-U4	Separar adopción observada por producto de preferencia causal por operador; localizar experimento/encuesta pareada.
LECTURA-d47463c2-03	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md:L17	Uso/no uso y motivo principal ya contratados; 86.9/68.5 por localidad y 84.4/50.7 por hogar/estado son subestimandos con otra unidad	ASTRA5-U0-TEC-001	MIXTA-PARCIALMENTE-CONTRATADA	¿Qué campo de tamaño de localidad clasifica P7_1 y qué pregunta de acceso doméstico corresponde a hogares CDMX/Sonora/Chiapas?	endutih2024_cuestionario_pdf P7_1/P7_2 y sección de vivienda; endutih2024_fd_xlsx; diseño 2024	ASTRA5-U4	Fijar persona 6+ frente a hogar y denominadores urbano/rural/entidad; no atribuir brecha indígena sin diseño específico.
LECTURA-d47463c2-04	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md:L19	70% emoción IA 2024, 66% uso 2025 y 52% nerviosismo 2026 proceden de encuestas/muestras distintas		PENDIENTE-TRES-INSTRUMENTOS	¿Cuál es texto, base online, ponderación y ola de cada pregunta Ipsos/Google y puede compararse emoción con nerviosismo?	Ipsos AI Monitor 2024 México; Ipsos/Google Our Life with AI 2025; encuesta Ipsos 2026 citadas en report	ASTRA5-U4	Leer instrumentos y fichas de las tres fuentes por separado; no rotular entusiasmo nacional o tendencia sin compatibilidad.
LECTURA-d47463c2-05	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md:L21	21.8M cuentas CoDi y 17.8M operaciones son registros distintos; inactividad y motivos atribuidos no se derivan de sus totales		PENDIENTE-SERIE-PRIMARIA	¿Qué serie Banxico fecha cuentas habilitadas, usuarios activos y operaciones CoDi, y qué pregunta mide miedo fiscal/fricción?	Banxico estadísticas CoDi al sep-2025 citadas en report; encuesta primaria de motivos por identificar	ASTRA5-U4	Verificar definición, periodo y unidad de cada serie; no dividir operaciones acumuladas entre cuentas para inferir actividad individual ni causa.
LECTURA-d47463c2-06	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md:L23	Adopción SPEI frente a CoDi; utilidad/fricción como explicación causal		PENDIENTE-COMPARABILIDAD	¿Qué series Banxico SPEI y CoDi usan misma ventana/unidad y qué medidor separa utilidad de confianza?	Banxico estadísticas SPEI y CoDi por identificar; series de transacciones no incluyen percepción individual	ASTRA5-U4	Armonizar usuarios, transacciones y ventanas; dejar explicación como hipótesis hasta medir percepción o diseño contrafactual.
LECTURA-d47463c2-07	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md:L25	Preferencia humana en servicios de alto riesgo y aceptación de algoritmo en tareas estructuradas		PENDIENTE-FUENTE-ENCUESTA	¿Qué encuesta mexicana 2025 preguntó preferencia humana, con escenarios y denominadores de riesgo/ambigüedad?	encuesta 2025 de servicio al cliente citada en report sin autor/cuestionario identificados	ASTRA5-U4	Identificar autor e instrumento; exigir escenarios comparables antes de trasladar literatura internacional de aversión algorítmica.
LECTURA-d47463c2-08	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md:L27	Resistencia organizada a identidad digital documentable; distribución social y motivación no observadas por esos actos		PENDIENTE-EXPEDIENTES	¿Cuáles decretos, amparos y pronunciamientos fechados de R3D/Artículo 19 muestran oposición, y qué evidencia mide composición de participantes?	decretos 2025 Llave MX/CURP; expedientes judiciales; comunicados R3D/Artículo 19 citados en report	ASTRA5-U3_U4	Censar actos primarios por fecha y actor; no inferir que élites informadas son toda la resistencia ni motivo psicológico.
LECTURA-d47463c2-09	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md:L29	18.9% riesgo automatización y 32/21 exposición IA urbana/rural son modelos de riesgo; resistencia sindical e informalidad como amortiguador aparte		PENDIENTE-MODELO-OCDE	¿Qué ocupaciones, tareas, bases y umbral originan 18.9% y 32/21 en el modelo OCDE 2024?	OCDE Creación de empleo y desarrollo económico local 2024 citado en report; ENOE 2024 para informalidad; registro de acciones sindicales por identificar	ASTRA5-U1_U4	Leer anexo técnico OCDE y distinguir exposición modelada de desplazamiento real; no deducir ausencia sindical del modelo.
LECTURA-d47463c2-10	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md:L31	Uso de WhatsApp para comercio y servicio; «capa de confianza» como mecanismo no probado		PENDIENTE-TRANSACCIONES-Y-PERCEPCION	¿Qué dato mexicano cuantifica transacciones por WhatsApp y qué pregunta vincula confianza personal con adopción del canal?	Meta WhatsApp Business API/estadística México por identificar; instrumento de confianza-canal por identificar	ASTRA5-U4	Separar existencia de casos de volumen dominante y prueba del mecanismo de confianza; no heredar tier SÓLIDO a hipótesis.
LECTURA-d47463c2-11	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md:L33	Comparación India UPI/Aadhaar, Brasil Pix y México CoDi; «superar baja confianza» exige diseños comparables		PENDIENTE-COMPARATIVO	¿Qué series de RBI/NPCI, Banco Central do Brasil y Banxico miden usuarios/operaciones bajo la misma unidad y qué encuestas miden confianza?	estadísticas primarias UPI/Aadhaar/Pix/CoDi y reglas regulatorias por identificar	ASTRA5-U4	Cotejar temporalidad, obligación, gratuidad y denominadores; mantener comparación como hipótesis de diseño institucional.
LECTURA-d47463c2-12	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md:L35	50% médicos con teleconsulta 2024 y mercado 1600M USD; necesidad/confianza como motivo separado		COLA-MESA-SALUD	¿Qué encuesta a médicos pregunta teleconsulta con marco muestral y qué estudio de mercado define USD 1600M?	encuesta médica 2024 y estimación de mercado citadas en report sin archivo primario identificado	ASTRA5-MESA-SALUD	Mesa decide adquisición dirigida de salud; separar conducta de médicos, valor de mercado y motivo, sin abrir frente extra automáticamente.
LECTURA-d47463c2-13	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md:L37	Confianza radial como difusión interpersonal expresamente hipotética		PENDIENTE-DISEÑO-RED	¿Qué dato mexicano enlaza recomendación de lazo cercano, exposición y adopción posterior en una red?	instrumento/red longitudinal de difusión tecnológica por identificar; report §Mapa de evidencia Hipótesis	ASTRA5-U4	Conservar etiqueta HIPÓTESIS y no convertir confianza social transversal en efecto de red causal.
LECTURA-d47463c2-14	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md:L39	Desconfianza mexicana no distintiva; comparativo WVS/Latinobarómetro y desigualdad deben tener países/olas comparables		PENDIENTE-COMPARATIVO	¿Qué preguntas WVS/Latinobarómetro 2024, países y ponderaciones permiten afirmar que México no es distintivo?	WVS ola 7 y Latinobarómetro 2024 cuestionarios/datos con entradas de manifiesto; archivo específico por cotejar	ASTRA5-U3	Verificar México frente a países comparables con la misma pregunta y año; no derivar racionalidad individual de medias nacionales.
LECTURA-d47463c2-15	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md:L41	«Baja confianza implica rechazo IA» es mito rechazado; su refutación causal depende de 01/02, no de coexistencia agregada		NO-AFIRMACION-POSITIVA-MECANISMO-PENDIENTE	¿Qué encuesta pareada observa confianza institucional y uso/actitud IA por individuo y operador?	Edelman/Ipsos fuentes separadas de filas 01/04; instrumento individual conjunto por identificar	ASTRA5-U3_U4	Conservar rechazo del determinismo como cautela; no llamar prueba causal a comparación ecológica.
