id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-b49daaca-01	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md:L26	Roland Berger calidad:precio 2:1 es preferencia declarada de muestra comercial; «todos los NSE» y compra real requieren estratos/conducta.		PENDIENTE-CALIDAD-PRECIO	¿Qué pregunta, n, canal y clasificación NSE sustentan 2:1 y cada estrato?	Roland Berger 2024 encuesta/metodología por registrar	ASTRA5-MESA-CONSUMO	No inferir ausencia de sensibilidad al precio desde ranking declarado.
LECTURA-b49daaca-02	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md:L27	McKinsey 2012 4% baja marca, 25% menos cantidad y 90-100% satisfechos entre cambiadores son bases condicionales; inercia/riesgo no medida.		PENDIENTE-CAMBIO-MARCA	¿Qué ciudades/categorías, pregunta y denominador corresponden a cada tasa?	McKinsey 2012 n=2200 cuatro ciudades informe original	ASTRA5-MESA-CONSUMO	Separar comportamiento, satisfacción condicional y mecanismo.
LECTURA-b49daaca-03	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md:L28	GWI 57% aspiracional depende de definición/muestra; Gini y experimento Granada FP-38 no identifican compensación psicológica mexicana.		PENDIENTE-ASPIRACION-CONSUMO	¿Qué ítem GWI, año, base y contraste mexicano de desigualdad→estatus existen?	GWI informe; Velandia-Morales 2022 Granada; R1.4 ENIGH pendiente	ASTRA5-MESA-ESTATUS	Deduplicar clase/aspiración y conservar FP-38.
LECTURA-b49daaca-04	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md:L29	PCMI 82% prefiere efectivo, «ENIF 2025» 85.2% <500 y 10-15% tarjeta mezclan fecha, universo, uso/preferencia; contrato ENIF cerrado es 2024.		PENDIENTE-EFECTIVO-ENIF	¿Qué encuesta PCMI y qué ola/reactivo ENIF dan cada porcentaje y denominador?	PCMI 2024; ENIF 2024 cuestionario/FD/diseño en main; ENIF 2025 por verificar	ASTRA5-MESA-DINERO	No atribuir cifras 2025 al contrato 2024 ni confundir uso con preferencia.
LECTURA-b49daaca-05	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md:L30	WVS 2012 12% confianza generalizada no mide confianza de compra o recomendaciones; Q57 WVS 2018 codebook 10.5% es ola distinta.		PENDIENTE-CONFIANZA-COMPRA	¿Qué Q57/ola WVS y qué encuesta de compra cruza recomendaciones y confianza en mismas personas?	WVS México 2012/2018; estudio de decisiones de compra por registrar	ASTRA5-U3	Deduplicar TRUST/capital social y no inferir motor causal.
LECTURA-b49daaca-06	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md:L31	IZEA 2024 66% y 79% Gen Z/Millennials requieren país, población online, ventana y definición «compró por»; recomendación no identifica efecto incremental.		PENDIENTE-INFLUENCERS	¿Qué muestra, país, edad, pregunta y ponderación IZEA producen 66/79%?	IZEA 2024 metodología/cuestionario por registrar	ASTRA5-MESA-DIGITAL	Acotar universo de consumidores y separar exposición de compra.
LECTURA-b49daaca-07	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md:L32	AMVO 941 mil mdp 2025, 17.7% retail y CAGR 21.7% son métricas/periodos; 90% prefiere física es encuesta declarada, no complemento de share.		PENDIENTE-ECOMMERCE	¿Qué definición de valor/retail y años CAGR usa AMVO; qué pregunta Roland Berger da 90%?	AMVO Estudio Venta Online 2026 para 2025; Roland Berger 2024	ASTRA5-MESA-CONSUMO	No restar preferencia física de cuota monetaria digital.
LECTURA-b49daaca-08	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md:L33	OXXO 22k tiendas y 50% de pagos en efectivo del e-commerce son universo condicionado; unicidad internacional exige comparación, no deriva de EBANX.		PENDIENTE-OXXO-PAGOS	¿Qué fuente, fecha y denominador EBANX/PCMI define «50%» por operaciones o valor?	EBANX Beyond Borders; FEMSA/OXXO red; PCMI	ASTRA5-MESA-DINERO	Separar red física, flujo y comparación internacional.
LECTURA-b49daaca-09	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md:L34	5% marca privada requiere categoría, canal, valor/unidades y año; disparidad entre países no prueba aversión psicológica a marcas desconocidas.		PENDIENTE-MARCA-PRIVADA	¿Qué Kantar/Nielsen define 5% México y comparte denominador con 43/31/17 extranjeros?	Kantar Brand Footprint 2024; Nielsen/private label internacional	ASTRA5-MESA-CONSUMO	Verificar comparabilidad y no atribuir causa desde cuota.
LECTURA-b49daaca-10	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md:L35	WhatsApp 92.2% puede ser porcentaje de internautas/usuarios de redes, no población; 75% conversión desde contacto es base seleccionada.		PENDIENTE-WHATSAPP-COMPRA	¿Qué encuesta/edad define penetración y qué seguimiento de leads define compra 75%?	Statista/AMVO; DataReportal/ENDUTIH; CRM de negocios por registrar	ASTRA5-MESA-DIGITAL	Separar cuenta, persona, uso y conversión; deduplicar digital.
