id_celda	variante	replica	estado	valor_extraido	evidencia_textual	regla_de_extraccion	razon_no_extraible	archivo
CIV-M-01	L+corpus	1	NO-EXTRAIBLE			SIN-ANCLA	ningun encabezado 'estimaci...' ni frase-ancla (estimacion puntual / mi punto / punto central) con contenido evaluable (numero o rechazo explicito)	L-CIV-M-01-M__L+corpus__01__v1_3.json
CIV-M-01	L+corpus	2	NO-EXTRAIBLE		estimación puntualdel reactivo solicitado, y no debe registrarse como tal. Recomendación operativa: este reactivo requiere el cuestionario ENVIPE 2012 o el	ANCLA-RECHAZO	rechazo explicito de estimacion en un encabezado o frase-ancla de estimacion puntual	L-CIV-M-01-M__L+corpus__02__v1_3.json
CIV-M-01	L+corpus	3	NO-EXTRAIBLE			SIN-ANCLA	ningun encabezado 'estimaci...' ni frase-ancla (estimacion puntual / mi punto / punto central) con contenido evaluable (numero o rechazo explicito)	L-CIV-M-01-M__L+corpus__03__v1_3.json
CIV-M-01	L+corpus	4	NO-EXTRAIBLE		estimación puntual, y no debe convertirse en un número por interpolación. **Qué desbloquearía la respuesta:** (a) el inventario de reactivos contra el cual s	ANCLA-RECHAZO	rechazo explicito de estimacion en un encabezado o frase-ancla de estimacion puntual	L-CIV-M-01-M__L+corpus__04__v1_3.json
CIV-M-01	L+corpus	5	NO-EXTRAIBLE			SIN-ANCLA	ningun encabezado 'estimaci...' ni frase-ancla (estimacion puntual / mi punto / punto central) con contenido evaluable (numero o rechazo explicito)	L-CIV-M-01-M__L+corpus__05__v1_3.json
CIV-M-01	L+corpus	6	NO-EXTRAIBLE			SIN-ANCLA	ningun encabezado 'estimaci...' ni frase-ancla (estimacion puntual / mi punto / punto central) con contenido evaluable (numero o rechazo explicito)	L-CIV-M-01-M__L+corpus__06__v1_3.json
CIV-M-01	L+corpus	7	NO-EXTRAIBLE		estimación puntualpara `denuncia_con_miedo_o_desconfianza` en la ENVIPE ola 2012, y no voy a inventar una cifra plausible. Razones explícitas: 1. **El acto	ANCLA-RECHAZO	rechazo explicito de estimacion en un encabezado o frase-ancla de estimacion puntual	L-CIV-M-01-M__L+corpus__07__v1_3.json
CIV-M-01	L+corpus	8	NO-EXTRAIBLE		estimación puntualdel reactivo que se me pide, y no debe usarse como sustituto. **Recomendación de acto:** resolver primero si `denuncia_con_miedo_o_desconf	ANCLA-RECHAZO	rechazo explicito de estimacion en un encabezado o frase-ancla de estimacion puntual	L-CIV-M-01-M__L+corpus__08__v1_3.json
CIV-M-01	L-solo	1	NO-EXTRAIBLE			SIN-ANCLA	ningun encabezado 'estimaci...' ni frase-ancla (estimacion puntual / mi punto / punto central) con contenido evaluable (numero o rechazo explicito)	L-CIV-M-01-M__L-solo__01__v1_3.json
CIV-M-01	L-solo	2	NO-EXTRAIBLE		Estimación puntualninguna.** Escala binaria, por lo que no aplica intervalo de confianza continuo. Si me indica el número de pregunta del cuestionario ENVI	ANCLA-RECHAZO	rechazo explicito de estimacion en un encabezado o frase-ancla de estimacion puntual	L-CIV-M-01-M__L-solo__02__v1_3.json
CIV-M-01	L-solo	3	NO-EXTRAIBLE		Estimación puntualninguna. Si el ejercicio requiere una salida forzosa, la respuesta correcta es `NA / reactivo no verificable`. Si me indica el nombre r	ANCLA-RECHAZO	rechazo explicito de estimacion en un encabezado o frase-ancla de estimacion puntual	L-CIV-M-01-M__L-solo__03__v1_3.json
