id_afirmacion	fila_local	unidades	localizador	texto_vigente	tier_report	clase	procedencia_evidencia	componente_contrastable	limite_inferencial	conducta_unidad_universo	instrumento_ola	documento_id_hash_pagina	pregunta_textual_codigo_respuestas	dictamen	dictamen_razon	datos_id_estado	reserva	gen2_existente	propietario_propuesto	siguiente_operacion	dedup_concepto	contrato_existente	busqueda_a13	dominio	falsador
ENLACE	politica-001	LECTURA-8d989005-01	L14	La jerarquia de confianza institucional es una calibracion racional del desempeno. El ciudadano confia en quien le funciona o no le extorsiona y desconfia de quien le falla o le pide mordida (partidos 23.9%, policia municipal, Ministerio Publico). CONFIRMA el constructo.	FUERTE	ENLACE	primaria Mexico	Confianza declarada (6-7/7) en Policia Nacional (B18) y en partidos politicos (B21) entre personas entrevistadas, LAPOP Mexico 2023	No cubre familiares/universidades/Marina (otras fuentes, filas separadas); mide confianza declarada, no desempeno real observado	persona 18+ entrevistada; LAPOP AmericasBarometer Mexico 2023, wt, 4 estratos, 129 UPM	LAPOP Mexico 2023 (mex_2023_lapop_americasbarometer_v1_0_w)	VER-CONTRATO ASTRA5-U0-POL-001	VER-CONTRATO ASTRA5-U0-POL-001 (b18/b21)	MEDIBLE-EN-CORPUS	Cubierto por contrato cerrado ASTRA5-U0-POL-001: b18 policia 14.0% IC[11.9-16.2] n=1618; b21 partidos 11.2% IC[9.5-13.0] n=1613 (RESULT-LAPOP-PISOS-2023-POL001). Los 84.8/75.9/91% del mismo hallazgo NO son LAPOP: filas propias politica-002/003/004.	VER-CONTRATO ASTRA5-U0-POL-001; U0 no abrio microdato	ninguna	RESULT-LAPOP-PISOS-2023-POL001 (b18=14.0%, b21=11.2%) mismo componente	ASTRA5-U3	Ninguna; contrato ya cierra este componente especifico policia/partidos	CONC-LAPOP2023-B18B21	ASTRA5-U0-POL-001	heredado de contrato cerrado (paquete politica.md); sin nueva busqueda de este componente	POLITICA	Cambiaria si LAPOP muestra confianza alta en instituciones de contacto extractivo cotidiano o baja en las de bajo contacto, rompiendo el gradiente desempeno/extraccion
ASTRA5-U0-POL-003	politica-002	LECTURA-8d989005-01	L14; Patron 1 L83	familiares 84.8%, universidades publicas 75.9%, partidos 23.9%. La ENCIG 2025 muestra el gradiente: familiares 84.8%, universidades publicas 75.9%, ... instituciones electorales 48.1% (54.7% en 2023), partidos politicos 23.9% (28.9% en 2023).	FUERTE (rige encabezado L54)	CIFRA-PUBLICADA	primaria Mexico	Porcentaje de poblacion 18+ que identifica confianza (mucha/algo) en familiares, universidades publicas, escuelas publicas basicas, partidos, camaras, ministerios publicos/fiscalias e institutos electorales, ENCIG 2025	Universo urbano de ciudades 100 mil+ habitantes (diseno ENCIG); no cubre Ejercito-Marina (fila propia); confianza declarada, no desempeno auditado	persona 18+ en ciudades de 100 mil+ habitantes; INEGI ENCIG 2025	ENCIG 2025 (encig_2025_encig25_base_datos_dbf)	encig2025_boletin_pdf|6515cb698a8a7f0821a225827ac2402d06cd6405cabf76208f0d6c529b29eaa4|p.3; encig2025_principales_resultados_pdf|476cf06ee8cb18727f2326c0d80e5f113ca3554a0851f89f3414ab1a03113548|p.50	Boletin p.3: 'a nivel nacional, 84.8% de la poblacion de 18 anos y mas identifico a sus familiares como las y los actores que les inspiraron confianza, mientras que 75.9 y 74.6% refirieron tener confianza en las universidades y escuelas publicas de nivel basico...asimismo, 23.9% manifesto tener confianza en partidos politicos'; codigos por extraer del FD encig2025 (nivel de confianza = mucha+algo)	MEDIBLE-EN-CORPUS	Documento oficial INEGI (comunicado de prensa ENCIG 2025) con id y sha en manifiesto; pasaje leido literalmente reproduce 84.8/75.9/23.9%. Afirmacion documental: el propio boletin es el dato.	encig_2025_encig25_base_datos_dbf|fa92a6ea4119ff1b64986a10b7939ccc1ef02b2af3c127a38c93bed830d6fe59|raiz data_raw; U0 no abrio microdato	ninguna	ninguna corrida con encig_2025_encig25_base_datos_dbf (u0mf --calc: 0)	ASTRA5-U3	U3 identifica variable exacta de confianza por institucion en FD ENCIG 2025 y congela codigos antes de medir	CONC-ENCIG2025-CONFIANZA-JERARQUIA		u0pdf -q confianza --idsub encig2025 -> 15 aciertos (3 PDF examinados); confirma 84.8/75.9/74.6/23.9/29.7/34.1%	POLITICA	Cambiaria si una ola posterior de ENCIG muestra que la confianza NO ordena por contacto extractivo (p.ej. partidos suben sin bajar corrupcion percibida)
ASTRA5-U0-POL-004	politica-003	LECTURA-8d989005-01	L14; Patron 1 L83	Ejercito y Marina 62% (habian sido 71.5% en 2023)	FUERTE (rige encabezado L54)	CIFRA-PUBLICADA	primaria Mexico	Porcentaje de poblacion 18+ con confianza (mucha/algo) en Ejercito y Marina como actor conjunto, ENCIG 2025	Categoria conjunta 'Ejercito y Marina', no desagrega por fuerza; universo urbano 100 mil+; no es la misma pregunta que Marina 91% de ENVIPE (fila propia)	persona 18+ en ciudades de 100 mil+ habitantes; INEGI ENCIG 2025	ENCIG 2025 (encig_2025_encig25_base_datos_dbf)	encig2025_principales_resultados_pdf|476cf06ee8cb18727f2326c0d80e5f113ca3554a0851f89f3414ab1a03113548|p.50	p.50: 'policias 34.7 ejercito y marina 62.0 jueces(zas) y magistrados(as) 68.0' (tabla nivel de confianza2/ por institucion, 2/ incluye mucha+algo de confianza); codigos por extraer del FD	MEDIBLE-EN-CORPUS	Documento oficial INEGI (presentacion de resultados) con id y sha en manifiesto; cifra 62.0% leida literal en tabla p.50.	encig_2025_encig25_base_datos_dbf|fa92a6ea4119ff1b64986a10b7939ccc1ef02b2af3c127a38c93bed830d6fe59|raiz data_raw; U0 no abrio microdato	ninguna	ninguna corrida con encig_2025_encig25_base_datos_dbf (u0mf --calc: 0)	ASTRA5-U3	U3 identifica variable exacta 'ejercito y marina' en FD ENCIG y su serie 2023->2025 antes de medir	CONC-ENCIG2025-CONFIANZA-JERARQUIA		u0pdf -q ejercito|marina --idsub encig2025 -> 4 aciertos (3 PDF examinados)	POLITICA	Cambiaria si la caida de confianza en Ejercito/Marina (71.5%->62%) continua hasta perder su lugar como institucion mejor evaluada
ASTRA5-U0-POL-005	politica-004	LECTURA-8d989005-01	L14; Patron 1 L83	En materia de seguridad, la ENVIPE 2025 situa a la Marina como la autoridad de mayor confianza (91%, con mucha o algo de confianza), seguida de la Fuerza Aerea (89.3%), muy por encima de la policia preventiva municipal.	FUERTE (rige encabezado L54)	CIFRA-PUBLICADA	primaria Mexico	Confianza declarada (mucha/algo) en Marina y Fuerza Aerea entre personas 18+, ENVIPE 2025	No se localizo boletin/comunicado ENVIPE 2025 registrado en manifiesto con el 91%/89.3% ya tabulado; el instrumento y variable existen, la cifra exacta no fue re-verificada por U0 (cero microdato)	persona 18+; INEGI ENVIPE 2025 (encuesta de victimizacion y percepcion sobre seguridad publica)	ENVIPE 2025 (envipe_2025_bd_envipe_2025_dbf)	envipe2025_fd_pdf|83fe02467b661d64e8638d882b242b0e534b8383e683a3fcbeadd66ead777fad|p.34	FD p.34: '5.4 cuanta confianza le inspira la (el) (autoridad)? 172 marina ap5_4_10 numerico 1 mucha confianza 2 algo de confianza 3 algo de desconfianza 4 mucha desconfianza 9 no sabe/no responde'; ap5_4_09 analoga para fuerza aerea (p.33)	MEDIBLE-EN-CORPUS	Variable AP5_4_10 (Marina) y AP5_4_09 (Fuerza Aerea) identificadas con codigos en el FD registrado; payload ENVIPE 2025 real en manifiesto, no reservado (ola 2025 no esta en la lista de reservas ENOE2026/ENVIPE2026/ENCO). El componente es observable; la cifra 91%/89.3% del report no fue recomputada por U0.	envipe_2025_bd_envipe_2025_dbf|e83c22c5d08b9adcb6b77ecbf7086db479e39d7186a886b72b12b338335e4f91|raiz data_raw; U0 no abrio microdato	ninguna	ninguna corrida con envipe_2025_bd_envipe_2025_dbf (u0mf --calc: 0)	ASTRA5-U3	U3 congela AP5_4_09/AP5_4_10 con ponderador y calcula mucha+algo confianza para verificar 91%/89.3%	CONC-ENVIPE2025-CONFIANZA-FFAA		u0pdf -q marina|fuerza aerea --idsub envipe2025 -> 22 aciertos (4 PDF examinados); u0mf --busca envipe --busca 2025 --busca boletin -> 0 (sin comunicado registrado)	POLITICA	Cambiaria si el recalculo con ponderador ap5_4_10 no reproduce 91% dentro de margen razonable, o si Marina deja de ser la autoridad mejor evaluada en una ola posterior
ENLACE	politica-005	LECTURA-8d989005-02	L16	La cifra oculta (93.2%) NO es tolerancia al delito: es calculo ante un sistema que no resuelve. Segun INEGI (ENVIPE 2025), en 2024 solo se denuncio 9.6% de los delitos y 93.2% quedo en cifra oculta.	FUERTE	ENLACE	primaria Mexico	Proporcion de delitos experimentados en 2024 no denunciados o sin apertura de carpeta, ENVIPE 2025	No separa no-denuncia de no-apertura de carpeta (ver fila politica-008); interpretacion causal 'calculo racional' es lectura del report, no un estimando directo	delito (unidad delito, no persona); modulo de victimizacion 2024, ENVIPE 2025	ENVIPE 2025 (envipe_2025_bd_envipe_2025_dbf)	VER-CONTRATO ASTRA5-U0-POL-002	VER-CONTRATO ASTRA5-U0-POL-002	MEDIBLE-EN-CORPUS	Cubierto por contrato cerrado ASTRA5-U0-POL-002 (cifra oculta 93.2%, ENVIPE 2025). El resto de cifras del mismo hallazgo (denuncia 9.6%, razones, resolucion 0.8%) exige denominadores distintos: filas propias politica-006/007/008.	VER-CONTRATO ASTRA5-U0-POL-002; U0 no abrio microdato	ninguna	ninguna corrida registrada con envipe_2025_bd_envipe_2025_dbf (u0mf --calc: 0)	ASTRA5-U3	Ninguna; contrato ya cierra este componente especifico	CONC-ENVIPE2025-CIFRAOCULTA	ASTRA5-U0-POL-002	heredado de contrato cerrado (paquete politica.md)	POLITICA	No aplica (ENLACE); ver falsador del contrato POL-002
ASTRA5-U0-POL-006	politica-006	LECTURA-8d989005-02	L16; Patron 2 L99	en 2024 ocurrieron 33.5 millones de delitos; se denuncio 9.6%	FUERTE (rige encabezado L54)	CIFRA-PUBLICADA	primaria Mexico	Proporcion de delitos de 2024 que fueron denunciados ante el Ministerio Publico o fiscalia, ENVIPE 2025	Unidad delito, no persona; denominador es total de delitos estimados 2024, distinto del denominador de victimas; no se re-calculo con ponderador	delito; modulo de victimizacion 2024, ENVIPE 2025	ENVIPE 2025 (envipe_2025_bd_envipe_2025_dbf)	envipe2025_cuest_modulo_pdf|21df38610b21c481382dfb05cf8061e87216d97557c665b2e6e50aacaa216d27|p.4-5; envipe2025_fd_pdf|83fe02467b661d64e8638d882b242b0e534b8383e683a3fcbeadd66ead777fad|p.73	FD p.73 y modulo p.4-5: secuencia BP1_20/21 (denuncio si/no) previa a BP1_23 'cual fue la razon principal por la que no denuncio'; BP1_28 'razon principal por la que denuncio'; codigos por extraer completos del FD	MEDIBLE-EN-CORPUS	Variables de denuncia (BP1_20/21) identificadas en cuestionario/FD ENVIPE 2025, payload real no reservado; componente distinto del 93.2% (POL-002) por su denominador (delitos denunciados/delitos totales vs. delitos en cifra oculta).	envipe_2025_bd_envipe_2025_dbf|e83c22c5d08b9adcb6b77ecbf7086db479e39d7186a886b72b12b338335e4f91|raiz data_raw; U0 no abrio microdato	ninguna	ninguna corrida con envipe_2025_bd_envipe_2025_dbf (u0mf --calc: 0)	ASTRA5-U3	U3 congela BP1_20/21 con ponderador y factor de expansion de incidentes para reproducir 9.6%	CONC-ENVIPE2025-DENUNCIA		u0pdf -q denuncio|se denuncio|denuncia ante --idsub envipe2025 -> 7 aciertos (4 PDF examinados)	POLITICA	Cambiaria si el recalculo con factor de expansion no reproduce 9.6% dentro de margen razonable
ASTRA5-U0-POL-007	politica-007	LECTURA-8d989005-02	L16; Patron 2 L101,L105	la razon principal para no denunciar es la perdida de tiempo (34.6%), seguido de la desconfianza en la autoridad (14%), tramites largos y dificiles (10.2%) y miedo al agresor (6.1%). Hombres no denuncian mas por perdida de tiempo (37%) que mujeres (32.4%).	FUERTE (rige encabezado L54)	CIFRA-PUBLICADA	primaria Mexico	Distribucion de razon principal de no denuncia entre victimas que no denunciaron, total y por sexo, ENVIPE 2025	Universo son delitos no denunciados (subconjunto), no todos los delitos; segmentacion por sexo es de la misma fuente/ola, no denominador distinto	delito no denunciado; modulo de victimizacion 2024, ENVIPE 2025	ENVIPE 2025 (envipe_2025_bd_envipe_2025_dbf)	envipe2025_fd_pdf|83fe02467b661d64e8638d882b242b0e534b8383e683a3fcbeadd66ead777fad|p.73	FD p.73: '1.23 cual fue la razon principal por la que no denuncio o no denunciaron el delito ante el ministerio publico o fiscalia estatal? 65 bp1_23 numerico 01 por miedo al (a la) agresor(a) 02 por miedo a que lo (la) ext[orsionaran]...' codigos completos (incluye perdida de tiempo, desconfianza, tramites largos) por extraer integramente del FD	MEDIBLE-EN-CORPUS	Variable BP1_23 identificada con codigos parciales citados literal del FD; payload real no reservado. Falta extraer el listado completo de 9 codigos de BP1_23 antes de reproducir los 5 porcentajes exactos.	envipe_2025_bd_envipe_2025_dbf|e83c22c5d08b9adcb6b77ecbf7086db479e39d7186a886b72b12b338335e4f91|raiz data_raw; U0 no abrio microdato	ninguna	ninguna corrida con envipe_2025_bd_envipe_2025_dbf (u0mf --calc: 0)	ASTRA5-U3	U3 extrae los 9 codigos completos de BP1_23 (FD p.73) y congela antes de reproducir la distribucion por sexo	CONC-ENVIPE2025-RAZONNODENUNCIA		u0pdf -q denuncio|se denuncio|denuncia ante --idsub envipe2025 -> 7 aciertos; codigo BP1_23 confirmado en FD p.73	POLITICA	Cambiaria si la distribucion recalculada altera el orden de las razones (p.ej. miedo desplaza a perdida de tiempo como razon principal)
ASTRA5-U0-POL-008	politica-008	LECTURA-8d989005-02	L16; Patron 2 L99	De las denuncias con carpeta de investigacion, 79.9% no arrojo conclusion alguna; solo 0.8% del total de delitos termino con resolucion positiva para la victima.	FUERTE (rige encabezado L54)	CIFRA-PUBLICADA	primaria Mexico	Proporcion de carpetas de investigacion sin conclusion y proporcion de delitos totales con resolucion positiva, ENVIPE 2025	Denominador distinto al de denuncia (9.6%) y al de cifra oculta (93.2%): aqui es carpetas abiertas (BP1_24=si) y su desenlace (BP1_25); 'resolucion positiva' es interpretacion del report sobre codigos de BP1_25, no un codigo unico	carpeta de investigacion / delito; modulo de victimizacion 2024, ENVIPE 2025	ENVIPE 2025 (envipe_2025_bd_envipe_2025_dbf)	envipe2025_fd_pdf|83fe02467b661d64e8638d882b242b0e534b8383e683a3fcbeadd66ead777fad|p.73	FD envipe2025_fd_pdf p.73: '1.24 el ministerio publico o fiscalia estatal abrio una carpeta de investigacion? 66 bp1_24 numerico 1 si 2 no'; '1.25 que sucedio con la carpeta de investigacion? 67 bp1_25 numerico 1 se otorgo el perdon 2 esta en tramite (sigue abierta, continua la investigacion) 3 recupero sus bienes 4 hubo reparacion del dano 5 se puso al (a la) delincuente a disposicion de un juez 6 nada 7 otra 9 no sabe / no responde b blanco' (codigos completos, confirmados en p.73 del FD y en cuest_modulo_pdf p.4)	MEDIBLE-EN-CORPUS	MEDIBLE-EN-CORPUS confirmado en segunda pasada (24-sep-2026): BP1_24/BP1_25 de ENVIPE 2025 con los 8 codigos completos de BP1_25 citados literal del FD (envipe2025_fd_pdf, p.73) y del cuest_modulo (p.4). 'Resolucion positiva' (0.8% del total de delitos) es interpretacion del report sobre un subconjunto de BP1_25 -- candidatos razonables: codigo 3 (recupero sus bienes), 4 (hubo reparacion del dano) y 5 (delincuente a disposicion de un juez), frente a 1 (perdon), 2 (tramite en curso), 6 (nada), 7 (otra) y 9 (ns/nr); el subconjunto exacto no lo fija el report y debe congelarse antes de reproducir la cifra.	envipe_2025_bd_envipe_2025_dbf|e83c22c5d08b9adcb6b77ecbf7086db479e39d7186a886b72b12b338335e4f91|raiz data_raw; variables bp1_24/bp1_25; U0 no abrio microdato	ninguna	ninguna corrida con envipe_2025_bd_envipe_2025_dbf (u0mf --calc: 0)	ASTRA5-U3	U3 fija el subconjunto exacto de codigos de BP1_25 que cuenta como 'resolucion positiva' (candidatos: 3, 4, 5) y recalcula con ponderador sobre el total de delitos; el cotejo de 0.8% queda pendiente de ese paso.	CONC-ENVIPE2025-RESOLUCION		u0pdf -q carpeta de investigacion|averiguacion previa --idsub envipe2025 -> 7 aciertos (primera pasada). Segunda pasada 24-sep-2026: u0pdf -q 'bp1_25|que sucedio con la carpeta' --idsub envipe2025 -> 3 aciertos (codigos 1-5, p.73/p.4); u0pdf -q 'se puso al (a' --id envipe2025_fd_pdf --contexto 400 -> 1 acierto, completa codigos 6 nada / 7 otra / 9 ns-nr / blanco (p.73). 0 consultas web (no requeridas; el corpus resolvio la fila).	POLITICA	Cambiaria si al fijar el subconjunto de codigos positivos de BP1_25 la tasa se aleja sustancialmente de 0.8% del total de delitos
ASTRA5-U0-POL-009	politica-009	LECTURA-8d989005-02;INT-L101	L101	El costo del delito equivale a 1.07% del PIB (269.6 mil millones de pesos, 6,226 pesos por persona afectada).	FUERTE (rige hallazgo L16)	CIFRA-PUBLICADA	primaria Mexico	Costo economico total y per capita asociado a la victimizacion 2024, en unidad monetaria (no delito ni persona-tasa)	Unidad monetaria distinta de las unidades delito/persona de las demas filas de este hallazgo (regla de escala A-bis); BP1_34/BP1_35/AP4_12 son autorreporte de gasto individual, sujeto a error de recuerdo y de estimacion monetaria; el agregado nacional (1.07% PIB) requiere ponderador muestral que U0 no aplico ni verifico contra la metodologia declarada por INEGI.	costo agregado y per-victima; ENVIPE 2025, modulo de gastos/percepcion de inseguridad	ENVIPE 2025 (envipe_2025_bd_envipe_2025_dbf)	envipe2025_fd_pdf|83fe02467b661d64e8638d882b242b0e534b8383e683a3fcbeadd66ead777fad|p.26,p.76	FD p.76: '1.34 en cuanto estima las perdidas economicas a consecuencia del delito? (excluya gastos en salud) 89 bp1_34 numerico 0000000 no considera perdidas 0000001,...,0999998 pesos 9999999 no sabe / no responde'; '1.35 cuanto gasto o ha gastado a consecuencia del dano en su salud? 90 bp1_35 numerico 0000000 no considera perdidas...'; FD p.26: '4.12 cuanto gastaron en total por esas medidas durante 2024? 111 ap4_12 numerico 0000000 no considera gasto 0000001,...,9999998 pesos 9999999 no sabe / no responde' (gasto anual en medidas de proteccion, seccion AP4)	MEDIBLE-EN-CORPUS	MEDIBLE-EN-CORPUS: localizadas las tres variables que componen el costo del delito en ENVIPE 2025 -- BP1_34 (perdidas economicas por delito, excluye salud), BP1_35 (gasto por dano en salud) y AP4_12 (gasto anual en medidas de proteccion) -- citadas literal del FD (envipe2025_fd_pdf p.26 y p.76). El agregado publicado por el report (1.07% del PIB, 269.6 mil millones de pesos, 6,226 pesos por persona afectada) es la suma ponderada de estos componentes que INEGI calcula sobre la muestra completa con factor de expansion; U0 no abrio microdato ni aplico ponderador, asi que el cotejo exacto de la cifra queda para quien calcule con el payload y el ponderador oficiales (regla: el cotejo de la cifra del report queda en siguiente_operacion).	envipe_2025_bd_envipe_2025_dbf|e83c22c5d08b9adcb6b77ecbf7086db479e39d7186a886b72b12b338335e4f91|raiz data_raw; variables bp1_34/bp1_35/ap4_12; U0 no abrio microdato	ninguna	ninguna corrida con envipe_2025_bd_envipe_2025_dbf (u0mf --calc: 0)	ASTRA5-U3	Calcular con envipe_2025_bd_envipe_2025_dbf y su ponderador la suma expandida de bp1_34+bp1_35+ap4_12 (y el numero de personas afectadas) y cotejar contra 1.07% del PIB / 269.6 mil millones de pesos / 6,226 pesos por persona del report.	CONC-ENVIPE2025-COSTO		Segunda pasada 24-sep-2026: u0busca -q costo del delito|gasto en salud|perdidas monetarias|gasto en seguridad --encuesta envipe --ola 2025 -> 0 aciertos con texto; u0pdf -q costo del delito|1.07% del PIB|gasto en atencion medica|medidas de proteccion --idsub envipe2025 -> 0; u0pdf -q gasto --idsub envipe2025 -> 11 aciertos, localiza bp1_34 (p.76), bp1_35 (p.76), ap4_12 (p.26) del FD; u0mf --busca envipe --busca 2025 -> 54 entradas, confirma que no hay boletin/comunicado de prensa ENVIPE 2025 registrado en el manifiesto (solo microdato, FD, cuestionarios y diseno muestral). 0 consultas web (el corpus resolvio la fila).	POLITICA	Cambiaria si el costo agregado no es reproducible desde ninguna seccion del cuestionario ENVIPE (indicaria fuente externa, p.ej. calculo de INEGI fuera del microdato public)
ASTRA5-U0-POL-010	politica-010	LECTURA-8d989005-03	L18; Patron 3 L115,L117	59.8% voto en la presidencial 2024; 12.86% en la judicial 2025. La consejera presidenta del INE Guadalupe Taddei estimo el 1 de junio de 2025 un rango de 12.57% a 13.32% de la Lista Nominal, con computo final de 12.86%.	FUERTE	CIFRA-PUBLICADA	primaria Mexico	Participacion electoral (votantes/lista nominal) en la eleccion presidencial 2024 (Estudio Muestral de Participacion Ciudadana, INE) y en la eleccion judicial 2025 (computo final PJF, INE)	59.8% (estudio muestral por encuesta de casillas) NO es la misma cifra que 61.04% (computo distrital presidencial) ni que 55.83% marcas/LN ya registrado (RESULT-INE-PISOS-2024-TABLA, no citar aqui de nuevo); 12.86% es lista nominal, no electores efectivos; ninguna prueba motivacion individual (correcciones-vigentes L9,L18)	persona en lista nominal; INE Estudio Muestral de Participacion Ciudadana 2024 y computo final Eleccion del Poder Judicial de la Federacion 2025	INE Estudio Muestral de Participacion Ciudadana 2024; INE computo final PJF 2025	INE, Estudio Muestral de Participacion Ciudadana 2024, repositoriodocumental.ine.mx/xmlui/handle/123456789/178351 (leido via WebSearch, no registrado en manifiesto); INE Central Electoral, comunicado 'Votacion total cuantificada...61 por ciento', centralelectoral.ine.mx/2024/06/09/ (61.04% computo distrital, ya citado en cotejo-result-politica-v1_0.tsv fila RESULT-INE-PISOS-2024-TABLA); INE Central Electoral, 'Porcentaje de participacion...12.57%...13.32%', centralelectoral.ine.mx/2025/06/02/, y computo final 12.8630%	No aplica (agregado institucional publicado, no reactivo de cuestionario a persona)	MEDIBLE-CON-ADQUISICIÓN	Documentos primarios oficiales del INE (Estudio Muestral 2024 y comunicados de computo 2024/2025) identificados con URL y fecha de lectura 2026-09-24, confirmando 59.8%, 61.04% y 12.86% tal como los cita el report; ninguno esta aun registrado con id/sha en data/manifiesto.yaml de este repo (u0mf negativo). El componente 55.83% marcas/LN YA esta en corpus (RESULT-INE-PISOS-2024-TABLA) y NO se usa aqui como sustituto de 59.8%/61.04% (feedback: no reemplazar).	SIN-ID-MANIFIESTO para Estudio Muestral 2024 y comunicado judicial 2025; RESULT-INE-PISOS-2024-TABLA ya en corpus para marcas/LN (no es este componente)	ninguna	RESULT de otro componente: RESULT-INE-PISOS-2024-TABLA (marcas SV/lista nominal 55.83%, no participacion presidencial) sin contraste directo con 59.8%/61.04%/12.86%	ASTRA5-U3	faltante: dar de alta en manifiesto el Estudio Muestral de Participacion Ciudadana 2024 (INE) y el comunicado de computo final PJF 2025 (centralelectoral.ine.mx/2025/06/02); cotejar contra RESULT-INE-PISOS-2024-TABLA usando cotejo-result-politica-v1_0.tsv	CONC-DOC-INE-PARTICIPACION2024Y2025		u0mf --busca ine --busca participacion -> 11 entradas (ninguna es el Estudio Muestral); u0mf --busca judicial -> 0; u0mf --busca scjn -> 0; WebSearch 'INE Estudio Muestral Participacion Ciudadana 2024' site:ine.mx (2026-09-24), WebSearch 'INE computo distrital presidencial 2024 61.04%' site:ine.mx (2026-09-24), WebSearch '12.86 OR 12.57 participacion eleccion judicial 2025 Taddei' (2026-09-24)	POLITICA	Cambiaria si el Estudio Muestral de Participacion Ciudadana 2024, al darse de alta, reporta una cifra distinta a 59.8%, o si el computo final PJF reporta una cifra distinta a 12.86%
