pr	titulo	rama	creado	fusionado	n_corridas	canceladas	tiempo_reloj_s	tiempo_runner_s
948	ACTO GEN2-TUBERIA-PREFLIGHT-CI-1 · el CI corre preflight sobre todo CALC sin sel	claude/entorno-spu2y7	2026-09-21T05:33:39Z	2026-09-21T15:03:40Z	4	0	900.0	1764.0
946	ACTO GEN2-TUBERIA-SIDECAR-CUERPO-1 · el sello de un encargo cubre su CUERPO, nac	claude/entorno-6pj9np	2026-09-21T04:42:01Z	2026-09-21T05:42:12Z	2	0	452.0	861.0
945	ACTO GEN2-TUBERIA-SUCESOR-1 · CORRECTIVO POST-MERGE · el BLOQUEA del revisor lle	claude/new-session-ccjtu7	2026-09-21T04:21:21Z	2026-09-21T04:56:28Z	5	1	930.0	1766.0
944	ACTO GEN2-CELDA-D-PILOTO-3-COMMIT-1-v1_2 · los dos CALC del piloto 3 pasan corri	acto/gen2-celda-d-piloto-3-commit-1-v1_2	2026-09-21T04:11:58Z	2026-09-21T05:57:35Z	3	0	711.0	1286.0
943	ACTO GEN2-DIN-CREDITO-PISOS-ENIF2021-1 · piso ENIF 2021 de las conductas de créd	acto/gen2-din-credito-pisos-enif2021-1	2026-09-21T03:51:47Z	2026-09-21T05:07:34Z	4	2	922.0	1564.0
942	ACTO GEN2-RELEVO-TANDA-3 · la firma de mesa se vuelve un canal de relevo: 24 lec	claude/focused-archimedes-fjyqf5	2026-09-21T03:26:13Z	2026-09-21T04:29:58Z	1	0	201.0	218.0
941	ACTO GEN2-CELDA-D-PILOTO-3-COMMIT-2-3 · PARO (b): corrida0 preflight BLOQUEADO e	acto/gen2-celda-d-piloto-3-commit-2-3	2026-09-21T03:22:00Z	2026-09-21T05:24:11Z	5	0	1096.0	2107.0
940	GEN2-TRAMITE-FIRMAS-3: propaga veinte firmas de mesa del 21/sep	acto/gen2-tramite-firmas-3-propagacion	2026-09-21T03:12:32Z	2026-09-21T04:06:00Z	1	0	223.0	414.0
939	ACTO GEN2-TUBERIA-SUCESOR-1 · T15 asevera tres cosas y acepta huecos · la guarda	claude/new-session-ccjtu7	2026-09-21T03:07:11Z	2026-09-21T03:55:04Z	5	1	930.0	1766.0
938	ACTO GEN2-LIMPIEZA-RAMAS-LOCALES-6 · el último: la A-MEDIAS de #936 era falsa (c	acto/gen2-limpieza-ramas-locales-6	2026-09-21T02:07:50Z	2026-09-21T02:56:33Z	4	1	660.0	1229.0
937	ACTO MOTOR-LINAJE-1 · el cargador de linaje deja de reventar ante un id íntegram	claude/ecstatic-edison-y1t005	2026-09-21T01:46:26Z	2026-09-21T03:12:04Z	4	1	605.0	1130.0
936	ACTO GEN2-LIMPIEZA-RAMAS-LOCALES-5 · inventario final: 20 ramas más borradas, ce	acto/gen2-limpieza-ramas-locales-5	2026-09-21T01:34:38Z	2026-09-21T02:44:48Z	4	1	666.0	1149.0
935	ACTO GEN2-NUBE-PILOTO-1-bis · el carril de nube existe y los dos lados de FP-67 	claude/trusting-allen-0y61rq-bis	2026-09-21T01:33:19Z	2026-09-21T02:23:29Z	4	1	685.0	1170.0
934	GEN2-LIMPIEZA-RAMAS-LOCALES-4-CIERRE-FP402 · ejecuta la firma de mesa sobre las 	acto/gen2-limpieza-ramas-locales-4-cierre-fp402	2026-09-21T01:08:45Z	2026-09-21T02:35:36Z	2	0	287.0	539.0
933	GEN2-SENAL-1: métrica rectora, NC clasificadas, adopción propagada	claude/clever-dirac-9nb7d8	2026-09-21T01:03:01Z	2026-09-21T01:18:34Z	2	1	277.0	476.0
932	ACTO GEN2-DIN-CREDITO-COMPARABILIDAD-TEXTO-1 · comparabilidad por texto de la se	acto/gen2-din-credito-comparabilidad-texto-1	2026-09-21T00:59:10Z	2026-09-21T01:49:39Z	3	0	462.0	919.0
929	ACTO GEN2-LIMPIEZA-RAMAS-LOCALES-4 · pasada final: 16 ramas borradas, 6 rechazad	acto/gen2-limpieza-ramas-locales-4	2026-09-21T00:38:48Z	2026-09-21T01:00:25Z	1	0	119.0	246.0
928	ACTO GEN2-RELEVO-RECONCILIA-1 · 37 de los 173 slots legacy ya tienen su cifra en	claude/gracious-faraday-wf9b8j	2026-09-20T23:09:49Z	2026-09-21T00:31:29Z	2	0	334.0	663.0
927	v2.15: instrucciones, plantilla de encargo, y guía de ejecución	claude/wonderful-johnson-8qs9qj	2026-09-20T22:44:57Z	2026-09-20T22:48:48Z	1	0	181.0	337.0
926	ACTO GEN2-CELDA-D-PILOTO-3-COMMIT-1-v1_1 · COMMIT-1 con cuerpo: spec v1.1 + EMIS	acto/gen2-celda-d-piloto-3-commit-1-v1_1	2026-09-20T22:00:03Z	2026-09-21T00:14:50Z	3	0	483.0	899.0
925	GEN2-MARCADOR-ENLACE-2: precedencia entre tablas de identidad	claude/pensive-keller-7wxjod	2026-09-20T21:51:35Z	2026-09-20T22:25:19Z	2	0	393.0	673.0
924	ACTO GEN2-CELDA-D-PILOTO-3-EJECUCION · S2/S1 cierran por texto; COMMIT-2 PARA (g	acto/gen2-celda-d-piloto-3-ejecucion	2026-09-20T21:28:06Z	2026-09-20T22:04:22Z	2	1	293.0	560.0
923	ACTO GEN2-LIMPIEZA-RAMAS-LOCALES-3 · P1-P4 tras adenda de dirección — 116 ramas 	acto/gen2-limpieza-ramas-locales-3	2026-09-20T21:17:03Z	2026-09-20T23:04:27Z	3	1	372.0	683.0
922	ACTO GEN2-CORRIDA0-RENDIMIENTO-1: suite 415.9s → 198.0s sin cambiar salida	claude/vibrant-goldberg-oxbn3o	2026-09-20T20:43:18Z	2026-09-20T21:23:41Z	2	0	297.0	558.0
921	[TRAMITE] digesto 2026-09-20	claude/tramite-2026-09-20	2026-09-20T14:27:57Z	2026-09-20T20:46:17Z	4	2	505.0	851.0
920	[ADQ] 2026-09-20	codex/adq-2026-09-20	2026-09-20T06:24:48Z	2026-09-20T21:24:10Z	2	0	382.0	741.0
919	[ADQ-DEMANDA] 2026-09-20	censo/2026-09-20	2026-09-20T06:21:00Z	2026-09-20T20:46:56Z	3	1	419.0	711.0
918	[DERIVADOS] 2026-09-20	derivados/2026-09-20	2026-09-20T06:20:52Z	2026-09-20T21:39:05Z	2	0	327.0	617.0
917	ACTO GEN2-CI-GUARDIAS-VIVAS-1: descubre y ejecuta 97 tests huérfanos	claude/vigilant-ritchie-7zuufs	2026-09-20T05:28:38Z	2026-09-20T20:42:15Z	2	0	370.0	707.0
916	ACTO GEN2-GUARDIAN-ENVIPE-EJES-IC-1 · el guardián de ENVIPE 2025 aprende sexo y 	acto/gen2-guardian-envipe-ejes-ic-1	2026-09-20T05:21:32Z	2026-09-20T05:36:14Z	2	0	345.0	641.0
