# data/l9-censo-a4-v1_0.tsv — CENSO A.4 de ACTO MAESTRA35-L9 · REGLAS-ACTIVOS-L3 (P0)
# Un renglon por (pieza, regla, fuente). Producido por las rutas --censo de los cuatro
# medidores nuevos de tools/; narrado en forense/notas/2026-09-02-MAESTRA35-L9-P0-censo.md.
# sha256_coincide: verificado contra data/manifiesto.yaml en la corrida del censo, payload por payload.
# Escrito sin el modulo csv a proposito (despoja comillas de filas ajenas en los TSV de este programa).
pieza	regla	id_modelo	tier	fuente	payload_id	sha256_coincide	item_desenlace	item_moderador	codigos_desenlace	denominador	ponderador	diseno	unidad	veredicto	que_falta
a	R7.7	civico.clientelismo.turnout_no_vote_choice	MEDIA	LAPOP Mexico 2019	mexico_lapop_americasbarometer_2019_v1_0_w	si	vb2 (asistencia) / vb3n (eleccion)	clien1na (le ofrecieron beneficio por su voto)	vb2 1=Si voto 2=No voto; vb3n 101=AMLO 102=Anaya 103=Meade 104=Bronco 0=blanco 97=anulo 177=otro	1578 validos en clien1na (271 Si / 1307 No); vb2 1576; vb3n 1035	wt CONSTANTE=1 (muestra autoponderada)	estratopri (4) x upm (129)	persona 18+	EXISTE-SATISFACE	nada para la pierna de asistencia; la de eleccion no observa QUIEN dio la dadiva y se pre-registra contra el partido en el gobierno en 2018 (PRI)
a-bis	R7.3	civico.voto.agencia_con_secreto	FUERTE	LAPOP Mexico 2023	mex_2023_lapop_americasbarometer_v1_0_w	si	vb20 (intencion de voto)	mexwf1_19 (recibe ayuda) x countfair3 (percepcion de voto secreto)	vb20 1=No votaria 2=Por el del actual presidente 3=Por otro 4=blanco/anula; countfair3 1=Siempre 2=Algunas veces 3=Nunca	mexwf1_19 1615 (363 Si); countfair3 1542; vb20 1414	wt CONSTANTE=1	strata=estratopri (4) x upm (130)	persona 18+	EXISTE-SATISFACE	el desenlace contemporaneo es vb20; vb3n de 2023 pregunta por 2018 y no sirve como desenlace de un moderador medido en 2023
a-bis	R7.6	civico.voto.clientelar_si_observable	MEDIA	LAPOP Mexico 2023	mex_2023_lapop_americasbarometer_v1_0_w	si	vb20 (intencion de voto)	mexwf1_19 x countfair3	igual que R7.3 (es su par contrario)	igual que R7.3	wt CONSTANTE=1	strata x upm	persona 18+	EXISTE-SATISFACE	mismo cruce que R7.3, leido por la rama contraria del moderador
a	R7.7/R7.3/R7.6	(las tres, sobre la misma persona)	-	LAPOP Mexico, todas las olas del corpus	-	si	-	-	-	-	-	-	-	EXISTE-NO-SATISFACE	NINGUNA ola trae a la vez la bateria clientelar y el item de secreto: 2019 tiene clien1n/clien1na/clien4a/clien4b y CERO items de secreto; 2023 tiene countfair3 y CERO items clien*. El cruce dadiva x secreto sobre la misma persona no existe en el corpus.
a	-	-	-	LAPOP Mexico 2021	mex_2021_lapop_americasbarometer_v1_2_w	si	-	-	-	2998 filas, 262 columnas	wt (4 valores)	upm degenerada: 2998 valores distintos = 1 por persona	persona 18+	EXISTE-NO-SATISFACE	ola reducida de COVID: sin clien*, sin prot3, sin vb2, sin vb3n, sin countfair3, sin mexwf1_19. No entra a ninguna pieza.
b	R7.4	civico.protesta.agravio_urbano	MEDIA-FUERTE	LAPOP Mexico 2019	mexico_lapop_americasbarometer_2019_v1_0_w	si	prot3 (participo en una protesta)	ur (ambito) x vic1ext (agravio)	prot3 1=Si 2=No; ur 1=Urbano 2=Rural; vic1ext 1=Si 2=No	prot3 1576 (112 Si); celdas del eje: urbano-victima 455, urbano-no-victima 807, rural-victima 65, rural-no-victima 252	wt CONSTANTE=1	estratopri (4) x upm (129)	persona 18+	EXISTE-SATISFACE	la celda rural-victima tiene n=65 y su numerador esperado ronda 5: se pre-registra guardia de cobertura y no se reporta celda con numerador <10
b	R7.4	civico.protesta.agravio_urbano	MEDIA-FUERTE	LAPOP Mexico 2006 (contraste de serie)	518939279mexico_lapop_final_2006_data_set_092906	si	PROT1 / PROT2	UR x VIC1	PROT1 y PROT2 1=Algunas veces 2=Casi nunca 3=Nunca (escala de frecuencia, NO binaria)	PROT1 1485; PROT2 209 (gateada dentro de PROT1)	sin columna de peso en el archivo	ESTRATOPRI (4) x UPM (130)	persona 18+	EXISTE-NO-SATISFACE	instrumento distinto: prot3 de 2019 es binaria y ungateada; PROT1/PROT2 de 2006 son escala de frecuencia y PROT2 esta gateada (n=209). No hay serie comparable, y el archivo de 2006 tampoco trae ponderador.
c	R7.8	civico.transferencia.entitlement_derecho	HIPOTESIS	ENCUCI 2020	encuci2020_bd_dbf	si	AP6_9 (los programas sociales son un derecho vs una ayuda)	AP6_10 (beneficiario en 12 meses)	AP6_9 1=Es una ayuda que da el gobierno 2=Es un derecho de los ciudadanos 3=Ninguna 9=NS/NR	AP6_9 21519 (100%); AP6_10 21519 (5789 beneficiarios / 15676 no)	FAC_SEL (persona), poblacion expandida 96 427 583	EST_DIS (281) x UPM_DIS (3096); join total por ID_PER, 0 filas sin par	persona 15+	EXISTE-SATISFACE	nada. Es exactamente la percepcion que MAESTRA33-E18 no encontro en ENASEM (afiliacion, no percepcion). AP6_11 (le pidieron algo a cambio, gateada en AP6_10=1, n=5789) entra como eje secundario
d	R1.5	dinero.ahorro.seguro_deposito_atenua_aversion	MEDIA	ENIF 2024	enif_2024_enif_2024_bd_csv	si	P5_20 (razon principal de no tener cuenta)	P5_23 (sabe si sus ahorros estan protegidos)	P5_20 03=No confia en instituciones financieras o le dan mal servicio; 05=Prefiere otras formas de ahorro (tanda, guardar en casa); P5_23 1=Si 2=No	P5_20 2970 sin cuenta (03: n=183, 05: n=143); P5_23 13502 (100%: 4136 Si / 9366 No)	FAC_PER, poblacion expandida 94 221 441	EST_DIS (190) x UPM_DIS (2164)	persona 18-70	EXISTE-SATISFACE	cobertura del moderador sobre el universo del desenlace = 100% (2970 de 2970): la spec NO sale degenerada
d	R1.5	dinero.ahorro.seguro_deposito_atenua_aversion	MEDIA	ENIF 2024 (sensibilidad IPAB)	enif_2024_enif_2024_bd_csv	si	P5_20	P5_24_1 (nombra al IPAB)	P5_24_1 0=No se menciono 1=Si se menciono; b=Blanco por secuencia	solo 426 de los 2970 sin cuenta traen P5_24_1 (14.3%); en el total, 362 de 13502 nombran IPAB y 3148 de los 4136 que dicen conocer la proteccion contestan 'no sabe' cual	FAC_PER	EST_DIS x UPM_DIS	persona 18-70	EXISTE-NO-SATISFACE	anidada dentro del Si de P5_23: creer que hay proteccion no es que el seguro sea visible. n insuficiente para la interaccion; el marginal se reporta como hallazgo, no como celda de la regla
