necesidad_id	fuente_canonica	evidencia_id	estado_anterior	estado_propuesto	evidencia_explicita	razon	reserva_incertidumbre	requiere_decision_humana
N2	GPS	OE-8a46899fd75017e0dac7eacf	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L3; apertura=no documentada; indicio=sin evidencia textual concreta	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N3	ENBIARE	OE-39d2eb9994c3ef05c686095e	NEGATIVA	NEGATIVA	MAIN:data/abrir4-variables-2026-08-08.tsv:L23: —	La apertura local documenta ausencia o existencia que no satisface esta relación específica; se preserva la negativa explícita.	La negativa se limita a esta necesidad, fuente y objeto de evidencia; no se propaga.	NO
N3	ENSAFI	OE-fb259558b58d975d64b7a5ff	CANDIDATA	CANDIDATA	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Reactivo explícito de sensibilidad de estatus coobservado con consumo mediado por crédito.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N3	ENSAFI	OE-e7969017eea0c50fe8d10a7e	NEGATIVA	NEGATIVA	MAIN:data/abrir4-variables-2026-08-08.tsv:L2: —	La apertura local documenta ausencia o existencia que no satisface esta relación específica; se preserva la negativa explícita.	La negativa se limita a esta necesidad, fuente y objeto de evidencia; no se propaga.	NO
N3	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	OE-02ca9729c199ce7586579636	CANDIDATA	CANDIDATA	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L15; apertura=SATISFACE-UMBRAL-DOCUMENTAL; indicio=SATISFACE-UMBRAL-DOCUMENTAL	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N3	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	OE-e8196751ae92cecdc38e72c1	CANDIDATA	CANDIDATA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L22; apertura=SATISFACE-UMBRAL-DOCUMENTAL; indicio=SATISFACE-UMBRAL-DOCUMENTAL	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N3	MICROCREDIT_IMPACTS_COMPARTAMOS_RCT	OE-f651d8070c16835c9901c40f	CANDIDATA	CANDIDATA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L8; apertura=INDEXADO-NO-DESCARGADO; indicio=INDEXADO-NO-DESCARGADO	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N4	ENBIARE	OE-39d2eb9994c3ef05c686095e	NEGATIVA	NEGATIVA	MAIN:data/abrir4-variables-2026-08-08.tsv:L24: —	La apertura local documenta ausencia o existencia que no satisface esta relación específica; se preserva la negativa explícita.	La negativa se limita a esta necesidad, fuente y objeto de evidencia; no se propaga.	NO
N4	ENSAFI	OE-3771d1da25d6fb0ba805f95c	CANDIDATA	CANDIDATA	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/integrador-psicologia-mexicano.md; apertura=SIN_APERTURA_EXPLICITA; indicio=Reactivo actitudinal de aversión al riesgo con desenlace propio de G2.	La referencia local conserva un candidato o frontera, pero no aporta reactivo, payload, apertura o resultado suficiente para adjudicarlo.	Requiere nueva evidencia fuente-específica; permanece candidata sin inferencia temática.	NO
N4	ENSAFI	OE-7b029300001a2bf782ba2f34	NEGATIVA	NEGATIVA	MAIN:data/abrir4-variables-2026-08-08.tsv:L3: [SIN TEXTO DE REACTIVO -- ENSAFI no trae diccionario en este corpus; nombre de columna derivada, hallada por lectura manual del encabezado, no por el barrido de terminos]	La apertura local documenta ausencia o existencia que no satisface esta relación específica; se preserva la negativa explícita.	La negativa se limita a esta necesidad, fuente y objeto de evidencia; no se propaga.	NO
