id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-196ec5d4-01	corpus/reports/Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md:L19	«No es anti-intelectual» combina valoración de educación, respeto profesional y acceso institucional; no existe escala nacional única que pruebe la negación universal.		PENDIENTE-VALORACION	¿Qué preguntas ENPECYT/encuesta educativa miden interés, inversión y respeto, con qué cobertura urbana/rural?	ENPECYT 2017 cuestionario/tabulados; encuesta de aspiraciones Palomar/Victorio por registrar	ASTRA5-MESA-CONOCIMIENTO	Separar actitudes, conducta educativa y barreras de acceso.
LECTURA-196ec5d4-02	corpus/reports/Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md:L20	ENPECYT 2017 boletín 272/18 y cuestionario: adultos 18+ de localidades ≥100 mil, interés IV A P1 ítem3 (8.4 muy grande+27.4 grande+39.2 moderado=75.0%); apoyo a inversión sección25 ítem1 código 1+2 con 92.2% en texto y 92.3% en numeralia, discrepancia interna pendiente. Wellcome Global Monitor 2018 índice de cinco ítems, 27% de baja confianza para Centroamérica y México nueve países conjunto, no México aislado. No misma persona/universo/ola ni prueba de coexistencia individual.	ASTRA5-U0-CONOC-004..006	INTERES-URBANO/ATRIBUCION-INVERSION/REGION-WELLCOME-CERRADOS;92_2-92_3/FECHAS/MEXICO-SOLO-PENDIENTES	¿Qué tabulado ENPECYT concilia 92.2/92.3 y fechas de campo ficha web versus boletín? ¿Qué tabla Wellcome da índice México aislado, mismo umbral y base?	INEGI boletín PDF SHA 8cf0c1a6dc8addd7475b1e48e94d62e7f5fe9b32667185e0315ca9315203925c y cuestionario PDF SHA 90526e38a60f476e1aa1124b7f5d8f496e45b78f091d2dcb2ffcc32913ceb281; Wellcome informe PDF SHA eea01061dd982e280dba6964b38d3476a71610b029283bd9368661834435cb8d pp.12,52-54; todos SIN-ID	ASTRA5-MESA-CONOCIMIENTO / ASTRA5-MESA-DOCUMENTAL	Registrar tres documentos/licencias/SHA; fijar versión/denominador del 92.2/92.3 sin microdato, buscar tabla país Wellcome antes de estimación México.
LECTURA-196ec5d4-03	corpus/reports/Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md:L21	Confianza radial en personas conocidas procede de otro report; trasladarla a selección de fuente informativa es hipótesis sin pregunta pareada.		PENDIENTE-CONFIANZA-INFO	¿Qué encuesta mide en mismos entrevistados confianza familiar/institucional y elección/verificación de fuente?	Report confianza; ENCIG 2025; estudio UNAM/Hurtado Razo por registrar	ASTRA5-MESA-CONOCIMIENTO	Deduplicar constructo de confianza y buscar cruce individual antes de causalidad.
LECTURA-196ec5d4-04	corpus/reports/Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md:L22	41% automedicación y 28% consultorio farmacia provienen de Research Land/UPAX abril 2026; «por acceso» requiere motivos y comparación, no se infiere de las tasas.		PENDIENTE-UPAX	¿Qué cuestionario, marco muestral, N, edad, síntomas y preguntas de razón de consulta originan 41/28/44%?	Research Land/Grupo UPAX abril 2026 informe/metodología por registrar	ASTRA5-MESA-CONOCIMIENTO	Separar uso, primer recurso y motivo; no llamar representativo sin diseño.
LECTURA-196ec5d4-05	corpus/reports/Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md:L23	Escuela privada como seguro anticaída/estatus es mecanismo de elección distinto de matrícula privada y retorno salarial.		PENDIENTE-ESCUELA-PRIVADA	¿Qué pregunta de hogar mide razones de elegir privada, miedo a caer, aprendizaje y señal de estatus?	Palomar/Victorio 2017 y report clasemediero; encuesta elección escolar por identificar	ASTRA5-MESA-CONOCIMIENTO	Deduplicar hipótesis con clasemediero y conservar falta de estimando de decisión.
LECTURA-196ec5d4-06	corpus/reports/Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md:L24	Prima salarial 50-150% mezcla grados/cortes OCDE; diferencial observado no identifica retorno causal para cada egresado ni decisión educativa.		PENDIENTE-OCDE-RETORNO	¿Qué tabla Education at a Glance 2025, edad, jornada, nivel ISCED y definición de ingresos origina rango y ranking México?	OCDE Education at a Glance 2025 México indicador A4 por registrar	ASTRA5-MESA-CONOCIMIENTO	Cotejar ratio por nivel, comparador y selección laboral; separar de causalidad.
LECTURA-196ec5d4-07	corpus/reports/Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md:L25	OCDE PISA 2022 México: media matemática 395 (IC95% 391–399), 66% de estudiantes evaluados bajo nivel 2; n6288 en 280 escuelas representan ~1,393,700 escolarizados, ~64% de toda la cohorte de 15 años. Vol. I Tabla I.2.4 da intervalo de rango matemático 54–64, no 51º puntual del report. Puntaje/proficiencia no miden valoración ni aspiración educativa de familias.	ASTRA5-U0-CONOC-001..003	PISA-PUNTUACION/NIVEL/COBERTURA-CERRADOS;RANKING-51-CORREGIDO;ASPIRACION-PENDIENTE	¿Qué encuesta mexicana pregunta valoración/aspiración educativa familiar por edad, sector y región con denominador propio? ¿De qué cálculo procede 51/81 del report frente al intervalo OCDE 54–64?	OCDE México ficha 2023 PDF SHA 8be7ac8ca27f9b37bf142ed82e9b3342c7b67a2086dfe267d997c5055bfe0558 pp.2-3,8; Vol. I PDF SHA 84bb19ca15ba075b780bc0b37498510a5a53e2028bc8fbda19586ac88d21a025 pp.29,66 Tabla I.2.4; ambos SIN-ID	ASTRA5-MESA-CONOCIMIENTO / ASTRA5-MESA-DOCUMENTAL	Registrar ambos PDF/licencia/SHA; corregir puesto 51 o aportar cálculo reproducible, separar cohorte escolarizada de familias/actitudes.
LECTURA-196ec5d4-08	corpus/reports/Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md:L26	Uso de mensajería, verificación y creencia en desinformación COVID son exposiciones/desenlaces de fuentes distintas; consumo no mide credulidad.		PENDIENTE-VERIFICACION	¿Qué muestra y pregunta producen 78.5% que verificó, 97.6% origen familiar y proporción que creyó mensajes falsos?	Estudios UNAM/Hurtado Razo WhatsApp COVID; ENDUTIH 2023 por registrar	ASTRA5-MESA-CONOCIMIENTO	Separar plataforma, fuente, acción de verificar y creencia.
LECTURA-196ec5d4-09	corpus/reports/Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md:L27	Reuters 2026 confianza 31% es muestra digital/noticiosa según método propio; «redes/video superan sitios» necesita métrica y denominador de uso, no prueba migración de credibilidad.		PENDIENTE-REUTERS-2026	¿Qué pregunta, N, reclutamiento, categoría de plataformas y serie 2025/2026 producen 31% y comparación?	Reuters Institute Digital News Report 2026 perfil México y métodos por registrar	ASTRA5-MESA-CONOCIMIENTO	Contratar uso y confianza por separado; no generalizar a todos los mexicanos.
LECTURA-196ec5d4-10	corpus/reports/Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md:L28	Vacunación COVID adulta autorreportada 86-89% y esquema infantil 26.6% (dos años) son antígenos, edades y años distintos; brecha no identifica desabasto frente a rechazo.		PENDIENTE-ENSANUT-VACUNAS	¿Qué preguntas, cartilla/autorreporte, IC, edad y tablas ENSANUT 2021-2023 sustentan cada cobertura y motivos de falta?	ENSANUT Continua 2021/2022/2023 vacunación infantil y COVID por registrar	ASTRA5-MESA-SALUD	Separar coberturas y evaluar logística, oferta y rechazo con datos propios.
