id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-dfb84e08-01	corpus/reports/Religiosidad_y_Psicología_del_Mexicano_Contemporáneo__Moral__Afrontamiento__Consumo_e_Identidad_en_Transformación.md:L9	Censo 2010/2020 catolicismo de población censada y Pew 2024 adultos 67% difundido 2026 son años, edades y modos distintos; caída de Iglesia frente a creencia requiere preguntas pareadas.		PENDIENTE-PEW-CENSO	¿Qué reactivos de adscripción/creencia, edad, diseño y fechas producen 82.7/77.7/67/~90%; hay serie comparable?	INEGI Censos 2010/2020 religión; Pew 2024 estudio publicado 2026 y métodos oficiales	ASTRA5-MESA-RELIGION	Separar pertenencia nominal, creencia y diferencias de universo sin atribuir todo a causalidad institucional.
LECTURA-dfb84e08-02	corpus/reports/Religiosidad_y_Psicología_del_Mexicano_Contemporáneo__Moral__Afrontamiento__Consumo_e_Identidad_en_Transformación.md:L11	ENCREER 2016 47.8% semanal y 6.5% diario son frecuencias entre católicos adultos; homilía del nuncio «menos de 10%» usa fuente/denominador diferente.		PENDIENTE-ENCREER-ASISTENCIA	¿Qué pregunta/códigos y expansión por adscripción producen frecuencias; qué población pretende la homilía?	RIFREM ENCREER 2016 informe/cuestionario oficiales en rifrem.mx/encreer, muestra 3000 adultos 18+	ASTRA5-MESA-RELIGION	Poner documento en cola de mesa, verificar hash/condiciones; no sumar homilía como estimación independiente.
LECTURA-dfb84e08-03	corpus/reports/Religiosidad_y_Psicología_del_Mexicano_Contemporáneo__Moral__Afrontamiento__Consumo_e_Identidad_en_Transformación.md:L13	ENCREER 53.5% evangélicos «diario» frente 6.5% católicos es frecuencia de culto de subgrupos, no «cantidad de fe» ni densidad causal de redes.		PENDIENTE-ENCREER-EVANGELICOS	¿Qué N efectivo por evangélicos/católicos, pregunta y error por subgrupo tiene 53.5/6.5%?	RIFREM ENCREER 2016 informe/prácticas y diseño en rifrem.mx/encreer	ASTRA5-MESA-RELIGION	Cotejar tabla primaria y precisión de subgrupo antes de comparar compromiso.
LECTURA-dfb84e08-04	corpus/reports/Religiosidad_y_Psicología_del_Mexicano_Contemporáneo__Moral__Afrontamiento__Consumo_e_Identidad_en_Transformación.md:L15	Porcentajes católicos/protestantes por estado del Censo 2020 son composición de población, no intensidad de práctica ni valor moral.		PENDIENTE-CENSO-ESTADOS	¿Qué variable de religión, categorías, faltantes y denominadores estatales sustentan Chiapas 53.9/32.4 y Bajío 89-92%?	Censo 2020 tabulados religión por entidad y metadatos	ASTRA5-MESA-RELIGION	Registrar valores por estado y deduplicar con report de pareja.
LECTURA-dfb84e08-05	corpus/reports/Religiosidad_y_Psicología_del_Mexicano_Contemporáneo__Moral__Afrontamiento__Consumo_e_Identidad_en_Transformación.md:L17	«Sin religión» censal, «creyente sin adscripción» y creer en Dios Pew son categorías/preguntas distintas; concentración de 51.2% en siete entidades no es tasa urbana ni generacional.		PENDIENTE-SIN-RELIGION	¿Qué categorías censales 2010/2020 son comparables y qué cruce edad/urbanización/creencia mide «creer sin pertenecer»?	Censo 2020 religión, Pew 2024 México y ENCREER 2016 por registrar	ASTRA5-MESA-RELIGION	Separar números absolutos, proporciones y creencia; no llamar ateos a todos sin adscripción.
LECTURA-dfb84e08-06	corpus/reports/Religiosidad_y_Psicología_del_Mexicano_Contemporáneo__Moral__Afrontamiento__Consumo_e_Identidad_en_Transformación.md:L19	Conversión por disciplina, sobriedad, redes, movilidad y sentido son motivaciones y efectos diferentes; afiliarse no identifica beneficio económico.		PENDIENTE-CONVERSION	¿Qué estudio longitudinal/entrevistas, municipio y pregunta compara motivos de conversión y resultados posteriores?	Pew switching 2024, CIESAS/El Colef Chiapas y estudio de movilidad por registrar	ASTRA5-MESA-RELIGION	Mantener hipótesis de mecanismo sin ranking causal.
LECTURA-dfb84e08-07	corpus/reports/Religiosidad_y_Psicología_del_Mexicano_Contemporáneo__Moral__Afrontamiento__Consumo_e_Identidad_en_Transformación.md:L21	Afluencia Basílica 2025 y San Hipólito 2024 son conteos administrativos de visitas/eventos, no devotos únicos ni tendencia de práctica; Santa Muerte es otro universo.		PENDIENTE-PEREGRINACIONES	¿Qué operativo, método de conteo, periodo y deduplicación originan 13m/12m/120k; cuál fuente prueba ranking mundial?	SEGOB CDMX Operativo Basílica 2025/2024; San Hipólito 2024; fuente internacional por registrar	ASTRA5-MESA-RELIGION	No inferir crecimiento de creyentes desde visitantes; separar tres devociones.
LECTURA-dfb84e08-08	corpus/reports/Religiosidad_y_Psicología_del_Mexicano_Contemporáneo__Moral__Afrontamiento__Consumo_e_Identidad_en_Transformación.md:L23	Afrontamiento religioso colaborativo/delegante, resiliencia/estrés y búsqueda de ayuda son escalas/desenlaces distintos; estudios mexicanos locales no miden eficacia clínica general.		PENDIENTE-COPING-RELIGIOSO	¿Qué escala Pargament validada en México, N, diagnóstico y diseño sustentan asociación positiva/negativa?	Pargament 1988 y estudios UAEM adultos mayores/diabetes por registrar	ASTRA5-MESA-SALUD	Separar constructo, asociación y recomendación clínica; validar transferencia de escala.
LECTURA-dfb84e08-09	corpus/reports/Religiosidad_y_Psicología_del_Mexicano_Contemporáneo__Moral__Afrontamiento__Consumo_e_Identidad_en_Transformación.md:L25	Fe distinta de fatalismo es distinción conceptual; peso «posiblemente mayoritario» de estructura no está estimado por el contraste de reclusas ni la revisión mixta.		PENDIENTE-FATALISMO	¿Qué escala/diseño separa creencia religiosa, percepción de control, barrera material y conducta en residentes mexicanos?	Abraído-Lanza 2007; Espinosa de los Monteros/Gallo 2011; Pew 2014 por registrar	ASTRA5-MESA-RELIGION	No hacer equivalencia causal fe=fatalismo ni afirmar peso mayoritario sin modelo.
LECTURA-dfb84e08-10	corpus/reports/Religiosidad_y_Psicología_del_Mexicano_Contemporáneo__Moral__Afrontamiento__Consumo_e_Identidad_en_Transformación.md:L27	Concanaco 45,318 mdp 2024 es proyección gremial de consumo/turismo de Día de Muertos, distinta de Sectur 25,605 mdp y de gasto estrictamente religioso.		PENDIENTE-DERRAMA	¿Qué metodología, universo económico, precios nominales y solapamiento producen 45,318/41,198 y estimación Sectur?	Concanaco Servytur 2023/2024 y Sectur boletines/metodología por registrar	ASTRA5-MESA-RELIGION	No atribuir toda derrama a religión ni sumar proyecciones.
