id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-f8ef1dd3-01	corpus/reports/Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md:L10-L14; L4; L47	Movilidad quintil inferior→inferior (50/100), inferior→superior (2/100), pobreza por ingresos (73/100), movilidad educativa 1/10 y razón 7, e inclusión financiera parental 13% vs 4% son estimandos distintos; Observatorio CEEY es acto institucional, no medición.		PENDIENTE-CEEY-EMOVI	¿Qué cohortes, edades, quintiles de origen/destino, ponderadores y cortes del informe CEEY 2025/ESRU-EMOVI 2023 producen cada transición? ¿El 13/4 compara el mismo grupo/resultado?	CEEY Informe de Movilidad Social en México 2025 y ficha técnica ESRU-EMOVI 2023; CEEY La ruta hacia la inclusión financiera mayo 2025; cuestionarios y tabulados exactos por localizar	ASTRA5-MESA-MOVILIDAD	Leer dos informes primarios y diseño; contratar por transición y cohorte. No interpretar reducción de Gini como movilidad.
LECTURA-f8ef1dd3-02	corpus/reports/Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md:L16-L20; L4; L54-L55	Gini ENIGH 2024 0.391 con y 0.450 sin transferencias separados en MER-004/005; pobreza multidimensional 29.6%, extrema 5.3%, serie 2016/2022 y atribución causal a salario/programas siguen residuales con fuentes/fórmulas distintas.	ASTRA5-U0-MER-004..005	GINI-PUBLICADO-CERRADO-SIN-REGISTRO; POBREZA-Y-CAUSALIDAD-PENDIENTES	¿Qué publicación y fórmula INEGI 2024/2016 sustentan pobreza 29.6/5.3 y comparabilidad? ¿Qué análisis identifica por separado efecto causal de transferencias y salario mínimo, más allá de Gini contable?	ENIGH reporte 23/25 p.11 gráfica 2, SIN-ID enigh2024_reporte_resultados.pdf SHA 6b091e2d640b6682ca568203637d2a327fbcae950ba7ef66c441c5970568903d copia física SIN REGISTRO; datos/diseño ENIGH 2024 en main; INEGI pobreza multidimensional 2024 e IBERO/CONASAMI por localizar	ASTRA5-MESA-MOVILIDAD	Consumir MER-004/005 solo como agregados publicados y mantener MEDIBLE-CON-ADQUISICIÓN hasta main; separar pobreza, serie comparable y causalidad en contratos propios.
LECTURA-f8ef1dd3-03	corpus/reports/Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md:L22; L6; L32	Report L6/L22 contiene afirmaciones ENOE 2026T1; la lectura del boletín 301/26 por U0 fue exposición prohibida. No hay contrato activo ni entrega de cifras a U1. PIB, pronósticos, salario, beneficiarios y atribución de pobreza siguen residuales.	ASTRA5-U0-ENOE-001 (2024T3 solamente); MER-001..003 retirados del corte activo	EXPOSICION-RESERVA-SIN-DICTAMEN	¿Qué decisión de mesa define el tratamiento del boletín y sus derivados? Para el resto: ¿qué fuente fija PIB, salarios y beneficiarios, y qué identificación sustenta efecto causal?	forense/analisis/dominios/exposicion-enoe2026t1-v1_0.md; #1087 RESULT ENOE 2024T3 en main, otra ola; fuentes económicas por localizar	ASTRA5-MESA	Resolver exposición y reserva por acto expreso; no transferir cifras a U1 ni abrir más información 2026T1. Contratar fuentes económicas independientemente.
LECTURA-f8ef1dd3-04	corpus/reports/Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md:L24; L34-L36; L56-L57	Anuncios de inversión Integralia, inauguraciones, remesas Banxico y mercado de lujo/VC son series con unidad, fecha y cobertura distintas; la incertidumbre arancelaria es explicación causal no aislada.		PENDIENTE-SERIES-EMPRESARIALES	¿Qué boletines trimestrales Integralia sustentan -23/-49%, qué serie Banxico da 61,791/64,746 MUSD y cómo se define VC AMEXCAP/TTR?	Integralia nearshoring 2025; Banxico remesas 2024/2025; AMEXCAP y TTR 2025/2026; Euromonitor/LuxuryLab 2025 por localizar	ASTRA5-MESA-ECONOMIA	Registrar series, monedas, cortes, revisiones y procedencia antes de comparar; separar anuncios de inversión realizada.
LECTURA-f8ef1dd3-05	corpus/reports/Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md:L26; L5; L44; L49	ENCIG 2025 P3_2 frecuencia 84.1% y P11_1_04 confianza federal 46.5% separados en MER-006/007 para adultos urbanos 18+; victimización 15.6% queda separada en LECTURA-f8ef1dd3-05-VICT, 59.1% exige ola 2023, CPI 2025 otro instrumento; evaluación judicial es normativa aparte.	ASTRA5-U0-MER-006..007	ENCIG2025-DOS-REACTIVOS-CERRADOS-SIN-REGISTRO; CPI-VICTIMIZACION-SERIE-JURIDICO-PENDIENTES	¿P11_1_04 en ENCIG 2023, mismo universo/denominador, produce 59.1%? ¿Qué tabla CPI 2025 fija 27/141 y qué acto jurídico sustenta la evaluación de la reforma?	ENCIG 2025 cuestionario y estructura en main, diseño SHA de74a89623696e54e2d409a5cb5ae2b41dcd54a73c9deef1102b5793d875175e, boletín SHA 6515cb698a8a7f0821a225827ac2402d06cd6405cabf76208f0d6c529b29eaa4, presentación p.50 SHA 476cf06ee8cb18727f2326c0d80e5f113ca3554a0851f89f3414ab1a03113548 copias físicas SIN REGISTRO; ENCIG 2023 presentación, CPI 2025 y HRW/norma por registrar	ASTRA5-U3	U3 consume MER-006/007 con dominio urbano 100 mil+, coteja P3_2/P11_1_04; consume 15.6% sólo tras fórmula de LECTURA-f8ef1dd3-05-VICT; contrata 59.1% solo tras cotejar ola 2023. CPI y juicio normativo separados.
LECTURA-f8ef1dd3-05-VICT	corpus/reports/Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md:L26	ENCIG 2025 publica 15.6% de personas que experimentaron corrupción entre quienes hicieron trámites, pagos, solicitudes de servicios o tuvieron contacto con autoridades durante 2025, en ciudades de 100 mil+ y 18+; la presentación lo expresa como 15 642 por 100 mil. P8.3_1/_2/_3 pregunta solicitud o insinuación de beneficio por servidor/coyote (1 sí, 2 no, 9 NS/NR); P6.1 registra hasta 23 tipos de contacto (1 sí, 2 no, 3 no aplica, 9 NS/NR). El 15.6 no es tasa de toda la población ni incidencia por trámite; fórmula de persona/contacto, no aplica y no respuesta del tabulado oficial aún pendientes.		AFIRMACION-DESCOMPUESTA-REACTIVOS-LEIDOS; FORMULA-OFICIAL-PENDIENTE	¿El numerador oficial une P8_3_1/2/3=1 en tabla de persona y cómo define el denominador de personas con contacto P6_1, 6.3a y no respuesta? ¿Qué ponderador/filtro y diseño producen 15.6%, distinto de incidencia por trámite FAC_TRA?	ENCIG 2025 cuestionario id encig25_cuestionario_pdf SHA 807196d6aba5ee584fcc3710b6f01c6a43970b91c7f3c380f68109a4bd16bd33, pp.12-13 P6.1 y p.20 P8.3; estructura id encig25_estructura_base_datos_pdf SHA 09e1b19bcb165979406865360bfdec95a9767640c58565b64d405ceb04e623a2, pp.2,37; boletín físico SIN-ID SHA 6515cb698a8a7f0821a225827ac2402d06cd6405cabf76208f0d6c529b29eaa4 p.3; dato encig_2025_encig25_base_datos_dbf en main, microdato NO ABIERTO	ASTRA5-U3 / ASTRA5-MESA-DOCUMENTAL	MESA-DOCUMENTAL registra boletín sin que U0 toque manifiesto; U3 localiza ficha metodológica/fórmula oficial y congela estimando de persona con contacto, ponderador FAC_P18 y tratamiento de 9/3 antes de cotejar 15.6%; no usar 84.1% P3_2 ni FAC_TRA como sustitutos.
LECTURA-f8ef1dd3-06	corpus/reports/Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md:L28; L6; L38; L50; L53	Mijs/Hoy 2017 atribución riqueza 12%, pobreza 15%, corrupción 47%, contactos 27% y familia 14% exige cuestionario, estímulo experimental y denominadores; MMSI/ENADIS/Oxfam miden educación/color en otras muestras; satisfacción Latinobarómetro es otro constructo.		PENDIENTE-MIJS-HOY-ETNIA	¿Qué brazos/ítems y respuestas del experimento México 2017 producen los porcentajes y en qué universo? ¿Qué cortes ENADIS/MMSI/Oxfam generan las brechas? ¿Hay una fuente WVS/LB comparable de mérito?	Mijs y Hoy Social Problems 2021 artículo, suplemento e instrumento; ESRU/MMSI 2016; ENADIS 2017; Oxfam Por mi raza hablará la desigualdad 2019; Latinobarómetro 2024 tabulados por localizar	ASTRA5-MESA-MOVILIDAD	Leer instrumento experimental y tabulados primarios; no presentar N=1,600 de 2017 como réplica 2023-26 ni usar satisfacción vital como mérito.
LECTURA-f8ef1dd3-INT-07	corpus/reports/Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md:L40	Narcocultura como pedagogía de aspiración y «juvenicidio» son mecanismos teóricos; prohibición/estrategia cultural 2025 es evento político distinto.		PENDIENTE-INTERNO	¿Qué estudios originales 2025 identifican exposición individual, cambio aspiracional y población; qué acto/documento registra la estrategia cultural?	Estudios narcoeducación/narcocultura digital 2025 y anuncio presidencial abril 2025 por localizar	ASTRA5-MESA-CULTURA	Distinguir discurso/representación de efecto individual; identificar estudios y evento antes de conclusión causal.
LECTURA-f8ef1dd3-INT-08	corpus/reports/Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md:L42	ENIGH 2024 ingreso mensual 12,016/7,905 por sexo, Buk brecha 16.6% salarial, BBVA 331/131 minutos de trabajo no remunerado y consejos 17.5% son medidas de universos y unidades distintos.		PENDIENTE-INTERNO	¿Qué variable, unidad (persona/hogar, ingreso total/laboral), ponderador y edad producen cada brecha? ¿Qué encuesta origina minutos y consejos?	ENIGH 2024 tabulados por sexo; Buk Radiografía 2026 ficha técnica; BBVA Research 2025 fuentes originales; ENUT 2024 TIME-002 no equivale a minutos diarios BBVA	ASTRA5-U2	Separar ingreso ENIGH, salario Buk, tiempo BBVA/ENUT y consejos por empresa; cotejar fuente y denominador.
LECTURA-f8ef1dd3-INT-09	corpus/reports/Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md:L46-L57	Recomendaciones y umbrales 2/100 EMOVI 2029, CPI<27, informalidad>55 son reglas prospectivas, no datos nuevos; reservas del propio report sobre ENIGH, VC, Mijs/Hoy y Latinobarómetro 2025 deben acompañar cada afirmación.		PENDIENTE-INTERNO	¿Se publicó una ola ESRU-EMOVI 2029 o Latinobarómetro 2025 comparable? ¿Qué versión/fuente y fecha valida cada umbral y pronóstico?	CEEY ESRU-EMOVI futura; Latinobarómetro 2025 estado por reconsultar; ficha ENIGH 2024; AMEXCAP/TTR series divergentes	ASTRA5-MESA-MOVILIDAD	Tratar umbrales como decisión editorial condicional y actualizar solo al existir fuente/ola pertinente; no contarlos como RESULT.
