unidad	ruta	sha256_recalculado	linea	marca_tier	pasaje
TIER-329d8c81-L47	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	329d8c81ce99bc29a1b1f8297a5d6779e08acbf99cda7d43abc06b920397fd54	47	Tier:* **[FUERTE	- *Tier:* **[FUERTE]**.
TIER-329d8c81-L65	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	329d8c81ce99bc29a1b1f8297a5d6779e08acbf99cda7d43abc06b920397fd54	65	Tier:* **[FUERTE	- *Tier:* **[FUERTE]**.
TIER-329d8c81-L74	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	329d8c81ce99bc29a1b1f8297a5d6779e08acbf99cda7d43abc06b920397fd54	74	Tier:* **[MEDIA	- *Tier:* **[MEDIA]**.
TIER-329d8c81-L83	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	329d8c81ce99bc29a1b1f8297a5d6779e08acbf99cda7d43abc06b920397fd54	83	Tier:* **[FUERTE	- *Tier:* **[FUERTE]**.
TIER-329d8c81-L92	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	329d8c81ce99bc29a1b1f8297a5d6779e08acbf99cda7d43abc06b920397fd54	92	Tier:* **[MEDIA	- *Tier:* **[MEDIA]**.
TIER-329d8c81-L101	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	329d8c81ce99bc29a1b1f8297a5d6779e08acbf99cda7d43abc06b920397fd54	101	Tier:* **[MEDIA	- *Tier:* **[MEDIA]**.
TIER-329d8c81-L112	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	329d8c81ce99bc29a1b1f8297a5d6779e08acbf99cda7d43abc06b920397fd54	112	Tier:* **[MEDIA	- *Tier:* **[MEDIA]**.
TIER-329d8c81-L121	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	329d8c81ce99bc29a1b1f8297a5d6779e08acbf99cda7d43abc06b920397fd54	121	Tier:* **[ILUSTRATIVO	- *Tier:* **[ILUSTRATIVO]** (sin métrica de venta; riesgo retrospectivo).
TIER-329d8c81-L130	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	329d8c81ce99bc29a1b1f8297a5d6779e08acbf99cda7d43abc06b920397fd54	130	Tier:* **[ILUSTRATIVO	- *Tier:* **[ILUSTRATIVO]**.
TIER-329d8c81-L157	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	329d8c81ce99bc29a1b1f8297a5d6779e08acbf99cda7d43abc06b920397fd54	157	Tier:* **[MEDIA	- *Tier:* **[MEDIA]**.
TIER-329d8c81-L165	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	329d8c81ce99bc29a1b1f8297a5d6779e08acbf99cda7d43abc06b920397fd54	165	Tier:* **[ILUSTRATIVO	- *Tier:* **[ILUSTRATIVO]**.
TIER-329d8c81-L173	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	329d8c81ce99bc29a1b1f8297a5d6779e08acbf99cda7d43abc06b920397fd54	173	Tier:* **[ILUSTRATIVO	- *Tier:* **[ILUSTRATIVO]**.
TIER-329d8c81-L242	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	329d8c81ce99bc29a1b1f8297a5d6779e08acbf99cda7d43abc06b920397fd54	242	tier FUERTE	**Etapa 1 — Consolidar lo probado (ahora).** Tratar como reglas SI-ENTONCES de tier FUERTE, listas para el modelo: (a) *SI el segmento es no/sub-bancarizado informal, ENTONCES diseñar sobre efectivo + datos alternativos, no sobre buró ni sustitución del efectivo* (Azteca, OXXO, Kueski/Aplazo, Par 1 y 2); (b) *SI se comunica a segmentos populares, ENTONCES enmarcar el ahorro como dignidad/heroísmo, no como pobreza* (Mamá Lucha); (c) *SI cae un indicador de salud pública, ENTONCES auditar primero abasto/logística antes de invocar "cultura"* (vacunas). Umbral que cambiaría estas reglas: aparición de métricas de morosidad AUDITADAS que contradigan la escala de fintech, o una evaluación causal que aísle "confianza" como driver.
TIER-329d8c81-L246	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	329d8c81ce99bc29a1b1f8297a5d6779e08acbf99cda7d43abc06b920397fd54	246	tier FUERTE	**Etapa 3 — Estresar el patrón dominante (6-12 meses).** Buscar el contra-ejemplo que rompería "utilidad > confianza": un producto de alta utilidad y baja fricción que aun así fracasó por desconfianza pura en un segmento definido. Si no se encuentra tras búsqueda deliberada, elevar la regla a tier FUERTE transversal; si se encuentra, MATIZARLA por segmento.
TIER-76a7b8ac-L38	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	76a7b8ac6fa420fbaefd7027d84a1385f9dbb85b8fa627119e9aca8aa37c825b	38	[MEDIA]	#### Caso 1: Starbucks México (Alsea) — [MEDIA]
TIER-76a7b8ac-L46	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	76a7b8ac6fa420fbaefd7027d84a1385f9dbb85b8fa627119e9aca8aa37c825b	46	[FUERTE]	#### Caso 2: Liverpool vs. El Palacio de Hierro — [FUERTE] (par contrafactual interno)
TIER-76a7b8ac-L53	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	76a7b8ac6fa420fbaefd7027d84a1385f9dbb85b8fa627119e9aca8aa37c825b	53	[MEDIA]	#### Caso 3: Miniso — [MEDIA]
TIER-76a7b8ac-L61	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	76a7b8ac6fa420fbaefd7027d84a1385f9dbb85b8fa627119e9aca8aa37c825b	61	[MEDIA]	#### Caso 4: Ikea México — [MEDIA]
TIER-76a7b8ac-L69	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	76a7b8ac6fa420fbaefd7027d84a1385f9dbb85b8fa627119e9aca8aa37c825b	69	[MEDIA]	#### Caso 5: Cerveza premium (Heineken México / Grupo Modelo) — [MEDIA]
TIER-76a7b8ac-L76	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	76a7b8ac6fa420fbaefd7027d84a1385f9dbb85b8fa627119e9aca8aa37c825b	76	[FUERTE]	#### Caso 6: Tequila premium/super-premium (Becle / José Cuervo) — [FUERTE]
TIER-76a7b8ac-L85	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	76a7b8ac6fa420fbaefd7027d84a1385f9dbb85b8fa627119e9aca8aa37c825b	85	[FUERTE]	#### Caso 7: iPhone a mensualidades (Telcel/AT&T) — [FUERTE]
TIER-76a7b8ac-L93	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	76a7b8ac6fa420fbaefd7027d84a1385f9dbb85b8fa627119e9aca8aa37c825b	93	[MEDIA]	#### Caso 8: Autos chinos (MG, Chirey, BYD) — [MEDIA]
TIER-76a7b8ac-L111	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	76a7b8ac6fa420fbaefd7027d84a1385f9dbb85b8fa627119e9aca8aa37c825b	111	[ILUSTRATIVO]	### Par 2: Taco Bell vs. Starbucks (marca extranjera — Regla 3) — [ILUSTRATIVO]
TIER-cb16d398-L30	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md	cb16d3980c6b7751ef2c0d5fb492f1bdd735afb40552b7386fc328fbea944440	30	Tier: FUERTE	**Indicador 1 — IMOR del crédito al consumo (banca múltiple). Lectura: ÁMBAR TENUE. Tier: FUERTE (dato CNBV auditado).**
TIER-cb16d398-L33	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md	cb16d3980c6b7751ef2c0d5fb492f1bdd735afb40552b7386fc328fbea944440	33	Tier: FUERTE	**Indicador 2 — Morosidad por producto (desglose). Lectura: ÁMBAR en no garantizado, VERDE en garantizado. Tier: FUERTE.**
TIER-cb16d398-L36	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md	cb16d3980c6b7751ef2c0d5fb492f1bdd735afb40552b7386fc328fbea944440	36	Tier: FUERTE	**Indicador 3 — Morosidad ajustada (IMORA, que incluye castigos y quitas). Lectura: NEUTRAL-TRANQUILIZADOR con matiz. Tier: FUERTE.**
TIER-cb16d398-L39	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md	cb16d3980c6b7751ef2c0d5fb492f1bdd735afb40552b7386fc328fbea944440	39	Tier: FUERTE	**Indicador 4 — Crecimiento del crédito al consumo. Lectura: NEUTRAL (desacelerando). Tier: FUERTE.**
TIER-cb16d398-L42	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md	cb16d3980c6b7751ef2c0d5fb492f1bdd735afb40552b7386fc328fbea944440	42	Tier: FUERTE	**Indicador 5 — Quejas por cobranza ante CONDUSEF. Lectura: ROJO TENUE (señal cualitativa fuerte). Tier: FUERTE.**
TIER-cb16d398-L45	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md	cb16d3980c6b7751ef2c0d5fb492f1bdd735afb40552b7386fc328fbea944440	45	Tier: FUERTE	**Indicador 6 — Advertencia regulatoria explícita. Lectura: ÁMBAR (advertencia declarada, no post-hoc). Tier: FUERTE.**
